,hsa-miR-424,ebv-miR-BART7,hsa-miR-636,hsa-miR-877,hsa-miR-371-3p,hsa-miR-661,hsa-miR-30d,hsa-miR-1914,hsa-miR-2117,hsa-miR-196b,hsa-miR-1978,hsa-miR-1179,hsa-miR-1,hsa-miR-586,hsa-miR-576-3p,hsa-miR-582-3p,hsa-miR-583,hsa-miR-582-5p,hsa-miR-580,hsa-miR-584,hsa-miR-625,hsa-miR-581,hsa-miR-587,hsa-miR-578,hsa-miR-579,hsa-miR-588,hsa-miR-577,hsa-miR-589,hsa-miR-576-5p,hsa-miR-590-3p
20,12.0,191.0,274.0,42.0,28.0,259.0,597.0,375.0,33.0,45.0,481.0,32.0,429.0,65.0,29.0,61.0,59.0,60.0,56.0,57.0,39.0,63.0,53.0,58.0,54.0,50.0,55.0,51.0,64.0,52.0
69,12.0,3.0,271.0,307.0,23.0,2.0,31.0,5.0,560.0,479.0,36.0,30.0,428.0,55.0,64.0,61.0,58.0,59.0,52.0,56.0,71.0,62.0,11.0,57.0,63.0,19.0,54.0,46.0,53.0,20.0
118,17.0,16.0,273.0,44.0,18.0,4.0,40.0,373.0,558.0,381.0,576.0,39.0,1.0,56.0,34.0,51.0,53.0,62.0,52.0,61.0,74.0,49.0,47.0,58.0,55.0,57.0,59.0,54.0,60.0,50.0
167,20.0,1.0,23.0,7.0,4.0,13.0,34.0,26.0,39.0,381.0,32.0,33.0,5.0,36.0,61.0,53.0,51.0,52.0,50.0,62.0,71.0,54.0,48.0,58.0,57.0,49.0,59.0,45.0,60.0,46.0
216,6.0,24.0,1.0,322.0,11.0,30.0,598.0,372.0,7.0,380.0,22.0,40.0,428.0,64.0,142.0,68.0,66.0,67.0,74.0,65.0,31.0,70.0,63.0,105.0,104.0,62.0,140.0,61.0,141.0,60.0
265,534.0,17.0,268.0,306.0,1.0,26.0,18.0,28.0,556.0,378.0,575.0,43.0,42.0,68.0,9.0,65.0,57.0,56.0,61.0,69.0,82.0,64.0,67.0,167.0,54.0,66.0,105.0,63.0,104.0,19.0
314,495.0,187.0,173.0,16.0,6.0,255.0,4.0,26.0,32.0,379.0,554.0,435.0,1.0,44.0,59.0,62.0,43.0,42.0,49.0,47.0,48.0,50.0,45.0,56.0,51.0,46.0,57.0,63.0,58.0,65.0
363,0.0,8.0,38.0,23.0,15.0,4.0,19.0,3.0,557.0,379.0,47.0,33.0,428.0,69.0,63.0,52.0,50.0,51.0,57.0,53.0,61.0,56.0,84.0,55.0,58.0,71.0,59.0,97.0,60.0,96.0
412,7.0,8.0,3.0,309.0,15.0,254.0,20.0,36.0,591.0,39.0,40.0,35.0,428.0,19.0,10.0,67.0,48.0,47.0,57.0,53.0,95.0,56.0,50.0,60.0,58.0,51.0,63.0,52.0,64.0,68.0
461,31.0,37.0,284.0,203.0,481.0,14.0,25.0,374.0,8.0,16.0,0.0,435.0,427.0,51.0,27.0,54.0,49.0,48.0,44.0,50.0,183.0,47.0,52.0,42.0,43.0,53.0,41.0,55.0,56.0,73.0
510,2.0,189.0,23.0,20.0,498.0,7.0,3.0,29.0,0.0,40.0,33.0,41.0,428.0,18.0,10.0,58.0,51.0,64.0,61.0,50.0,35.0,65.0,49.0,45.0,63.0,48.0,57.0,46.0,54.0,59.0
559,15.0,0.0,37.0,28.0,39.0,11.0,35.0,3.0,5.0,4.0,6.0,33.0,426.0,17.0,54.0,55.0,50.0,59.0,42.0,58.0,34.0,44.0,53.0,60.0,49.0,52.0,57.0,51.0,56.0,48.0
608,12.0,2.0,45.0,26.0,495.0,255.0,610.0,369.0,30.0,0.0,3.0,33.0,35.0,51.0,37.0,56.0,54.0,55.0,50.0,61.0,29.0,58.0,60.0,59.0,52.0,47.0,57.0,48.0,53.0,27.0
657,0.0,1.0,41.0,8.0,481.0,14.0,594.0,11.0,3.0,22.0,379.0,4.0,426.0,16.0,58.0,53.0,51.0,52.0,54.0,50.0,35.0,48.0,49.0,40.0,55.0,61.0,56.0,33.0,57.0,45.0
706,4.0,5.0,37.0,10.0,496.0,256.0,595.0,28.0,23.0,3.0,478.0,41.0,428.0,27.0,147.0,103.0,61.0,59.0,106.0,62.0,22.0,105.0,65.0,14.0,107.0,72.0,145.0,66.0,146.0,67.0
755,0.0,185.0,6.0,18.0,498.0,36.0,20.0,369.0,5.0,377.0,37.0,32.0,427.0,47.0,30.0,54.0,52.0,53.0,56.0,62.0,40.0,55.0,46.0,1.0,25.0,44.0,61.0,48.0,92.0,43.0
804,2.0,188.0,33.0,309.0,481.0,29.0,19.0,370.0,32.0,378.0,479.0,40.0,3.0,61.0,143.0,34.0,63.0,65.0,70.0,62.0,81.0,69.0,24.0,11.0,74.0,57.0,106.0,71.0,107.0,49.0
853,0.0,1.0,22.0,20.0,481.0,29.0,612.0,368.0,35.0,39.0,380.0,435.0,43.0,18.0,84.0,62.0,67.0,58.0,63.0,55.0,37.0,68.0,53.0,57.0,66.0,50.0,64.0,49.0,51.0,48.0
902,7.0,9.0,318.0,21.0,498.0,35.0,20.0,370.0,41.0,377.0,33.0,3.0,43.0,51.0,81.0,25.0,52.0,55.0,59.0,45.0,49.0,57.0,46.0,62.0,61.0,48.0,64.0,50.0,65.0,54.0
951,13.0,3.0,30.0,324.0,481.0,0.0,27.0,373.0,38.0,4.0,479.0,6.0,427.0,45.0,62.0,51.0,48.0,63.0,53.0,46.0,33.0,52.0,44.0,19.0,54.0,43.0,60.0,41.0,61.0,47.0
1000,23.0,37.0,17.0,3.0,481.0,311.0,5.0,14.0,0.0,16.0,39.0,40.0,426.0,52.0,65.0,55.0,50.0,49.0,45.0,51.0,183.0,46.0,53.0,43.0,44.0,54.0,42.0,56.0,47.0,74.0
1049,6.0,188.0,276.0,23.0,496.0,3.0,18.0,34.0,38.0,37.0,554.0,35.0,41.0,95.0,27.0,53.0,83.0,51.0,58.0,71.0,61.0,55.0,70.0,64.0,69.0,93.0,65.0,91.0,67.0,90.0
1098,515.0,0.0,31.0,322.0,480.0,8.0,22.0,1.0,37.0,466.0,41.0,433.0,425.0,13.0,53.0,62.0,54.0,55.0,49.0,58.0,69.0,60.0,56.0,64.0,47.0,63.0,61.0,52.0,59.0,50.0
1147,5.0,30.0,43.0,26.0,484.0,256.0,596.0,372.0,3.0,36.0,0.0,33.0,42.0,18.0,60.0,51.0,47.0,48.0,46.0,63.0,37.0,52.0,94.0,66.0,55.0,68.0,62.0,93.0,61.0,91.0
1196,494.0,235.0,286.0,238.0,497.0,313.0,34.0,6.0,21.0,378.0,5.0,435.0,45.0,2.0,63.0,53.0,54.0,60.0,51.0,56.0,292.0,52.0,58.0,49.0,50.0,59.0,48.0,77.0,62.0,35.0
