, Wnt, JAK-STAT, IL-1, MAPK_PI3K, TLR, PI3K_only, TGFB, VEGF, H2O2, MAPK_only, TNFa
2439,0.0,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0
2488,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,8.0,9.0
2537,0.0,1.0,2.0,4.0,5.0,6.0,7.0,8.0,10.0,3.0,9.0
2586,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0
2635,0.0,1.0,3.0,4.0,5.0,2.0,6.0,7.0,10.0,8.0,9.0
2684,1.0,0.0,4.0,3.0,6.0,2.0,7.0,8.0,10.0,5.0,9.0
2733,0.0,1.0,2.0,4.0,5.0,6.0,7.0,8.0,10.0,3.0,9.0
2782,0.0,1.0,4.0,3.0,2.0,6.0,7.0,8.0,10.0,5.0,9.0
2831,0.0,1.0,2.0,4.0,5.0,6.0,7.0,8.0,10.0,3.0,9.0
2880,0.0,1.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,3.0,10.0
2929,0.0,1.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,3.0,10.0
2978,1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0
3027,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0
3076,0.0,1.0,2.0,4.0,5.0,6.0,7.0,8.0,3.0,9.0,10.0
3125,1.0,0.0,3.0,2.0,5.0,6.0,7.0,4.0,8.0,9.0,10.0
3174,0.0,1.0,2.0,3.0,5.0,6.0,7.0,8.0,10.0,4.0,9.0
3223,1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
3272,1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
3321,1.0,0.0,2.0,4.0,3.0,5.0,9.0,7.0,8.0,10.0,6.0
3370,0.0,1.0,2.0,3.0,5.0,6.0,7.0,8.0,4.0,9.0,10.0
3419,0.0,1.0,2.0,3.0,5.0,6.0,7.0,8.0,9.0,4.0,10.0
3468,0.0,1.0,3.0,2.0,4.0,5.0,7.0,6.0,9.0,8.0,10.0
3517,0.0,1.0,2.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0
3566,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
3615,0.0,1.0,4.0,5.0,6.0,2.0,7.0,3.0,8.0,10.0,9.0
3664,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0
3713,1.0,0.0,3.0,2.0,5.0,6.0,7.0,8.0,9.0,4.0,10.0
3762,0.0,1.0,2.0,5.0,6.0,3.0,7.0,4.0,10.0,8.0,9.0
3811,0.0,1.0,4.0,2.0,5.0,3.0,6.0,7.0,10.0,8.0,9.0
3860,1.0,0.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
3909,0.0,1.0,3.0,2.0,5.0,4.0,6.0,7.0,9.0,8.0,10.0
3958,0.0,1.0,4.0,5.0,2.0,6.0,7.0,3.0,8.0,10.0,9.0
4007,1.0,0.0,2.0,3.0,4.0,5.0,9.0,6.0,8.0,10.0,7.0
4056,0.0,1.0,2.0,4.0,5.0,3.0,6.0,7.0,8.0,10.0,9.0
4105,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
4154,0.0,1.0,3.0,4.0,5.0,2.0,7.0,6.0,8.0,10.0,9.0
4203,0.0,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0
4252,0.0,1.0,4.0,3.0,5.0,6.0,7.0,2.0,8.0,10.0,9.0
4301,0.0,1.0,5.0,3.0,6.0,2.0,7.0,8.0,4.0,9.0,10.0
4350,0.0,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
4399,0.0,1.0,2.0,4.0,5.0,6.0,7.0,8.0,3.0,10.0,9.0
4448,1.0,0.0,3.0,4.0,5.0,6.0,2.0,7.0,8.0,10.0,9.0
4497,0.0,1.0,2.0,4.0,5.0,6.0,3.0,7.0,8.0,9.0,10.0
4546,0.0,1.0,3.0,4.0,5.0,6.0,2.0,7.0,9.0,10.0,8.0
4595,1.0,0.0,2.0,4.0,5.0,6.0,7.0,8.0,10.0,3.0,9.0
4644,0.0,1.0,3.0,4.0,5.0,6.0,2.0,7.0,9.0,8.0,10.0
4693,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
4742,0.0,1.0,3.0,4.0,5.0,2.0,6.0,7.0,8.0,10.0,9.0
4791,0.0,1.0,2.0,4.0,5.0,6.0,3.0,7.0,8.0,9.0,10.0
4840,0.0,1.0,2.0,4.0,5.0,6.0,3.0,7.0,9.0,8.0,10.0
4889,1.0,0.0,2.0,4.0,5.0,6.0,3.0,7.0,8.0,9.0,10.0
