,4E-BP1_pS65,CD49b,RSK1-2-3,Bcl-2,MEK1_pS217_S221,p21,XBP1,Caveolin-1,4E-BP1_pT70,Cyclin_D1,RAD51,YB-1_pS102,FRA1,S6_pS235_S236,MIG-6,c-Kit,CD31,ACVRL1,STAT5-alpha,Bap1 c-4,Notch1,Src_pY416,Cyclin_B1,GSK3_pS9,PDCD4,Bim(EP1036),Transglutaminase,4E-BP1_pT37_T46,PRDX1,beta-Catenin
1,0.0,4.0,2.0,6.0,17.0,8.0,7.0,3.0,9.0,54.0,21.0,10.0,23.0,27.0,16.0,11.0,39.0,29.0,13.0,20.0,1.0,15.0,18.0,42.0,64.0,5.0,82.0,40.0,43.0,58.0
50,0.0,4.0,1.0,13.0,12.0,6.0,7.0,5.0,2.0,23.0,30.0,8.0,19.0,31.0,11.0,3.0,63.0,38.0,10.0,16.0,14.0,29.0,27.0,25.0,59.0,60.0,21.0,34.0,9.0,54.0
99,0.0,4.0,5.0,2.0,21.0,3.0,25.0,1.0,14.0,28.0,9.0,20.0,12.0,27.0,23.0,10.0,16.0,54.0,29.0,31.0,8.0,22.0,6.0,26.0,43.0,11.0,45.0,36.0,66.0,41.0
148,0.0,13.0,7.0,12.0,5.0,2.0,3.0,4.0,1.0,16.0,10.0,15.0,8.0,19.0,33.0,38.0,20.0,70.0,11.0,22.0,46.0,41.0,18.0,26.0,24.0,31.0,34.0,63.0,43.0,44.0
197,0.0,6.0,3.0,2.0,17.0,9.0,4.0,1.0,5.0,7.0,23.0,10.0,12.0,11.0,13.0,18.0,32.0,65.0,19.0,29.0,8.0,14.0,69.0,36.0,33.0,27.0,41.0,37.0,63.0,74.0
246,1.0,2.0,4.0,3.0,15.0,6.0,7.0,5.0,9.0,0.0,35.0,11.0,22.0,39.0,18.0,28.0,34.0,71.0,24.0,13.0,8.0,14.0,26.0,36.0,51.0,12.0,49.0,46.0,23.0,16.0
295,0.0,10.0,5.0,7.0,3.0,1.0,6.0,2.0,4.0,13.0,25.0,44.0,21.0,12.0,20.0,8.0,49.0,58.0,26.0,24.0,16.0,42.0,28.0,18.0,53.0,33.0,64.0,43.0,37.0,22.0
344,0.0,7.0,3.0,5.0,30.0,1.0,19.0,2.0,6.0,16.0,12.0,4.0,21.0,14.0,29.0,60.0,20.0,25.0,10.0,42.0,36.0,47.0,9.0,35.0,28.0,15.0,63.0,23.0,53.0,8.0
393,0.0,6.0,7.0,4.0,9.0,8.0,2.0,5.0,10.0,1.0,21.0,30.0,15.0,16.0,27.0,3.0,26.0,63.0,57.0,31.0,19.0,45.0,12.0,23.0,25.0,58.0,49.0,83.0,18.0,44.0
442,1.0,3.0,7.0,2.0,19.0,8.0,0.0,5.0,54.0,10.0,28.0,44.0,43.0,26.0,11.0,21.0,14.0,53.0,6.0,38.0,12.0,13.0,48.0,52.0,16.0,59.0,27.0,29.0,9.0,40.0
491,0.0,2.0,4.0,3.0,1.0,43.0,8.0,5.0,21.0,9.0,15.0,7.0,29.0,6.0,23.0,32.0,26.0,27.0,69.0,35.0,18.0,36.0,19.0,22.0,70.0,44.0,17.0,59.0,42.0,46.0
540,0.0,7.0,3.0,4.0,1.0,23.0,2.0,8.0,25.0,10.0,6.0,42.0,38.0,16.0,12.0,27.0,28.0,18.0,9.0,20.0,36.0,39.0,15.0,5.0,24.0,22.0,31.0,92.0,56.0,30.0
589,0.0,3.0,8.0,1.0,4.0,36.0,44.0,5.0,9.0,6.0,7.0,17.0,28.0,15.0,22.0,29.0,26.0,13.0,25.0,24.0,10.0,57.0,33.0,16.0,49.0,11.0,20.0,31.0,129.0,14.0
638,0.0,13.0,11.0,5.0,7.0,2.0,16.0,9.0,1.0,4.0,14.0,54.0,32.0,17.0,3.0,6.0,29.0,22.0,28.0,33.0,65.0,87.0,42.0,24.0,59.0,8.0,12.0,53.0,31.0,55.0
687,2.0,10.0,7.0,3.0,4.0,43.0,0.0,1.0,5.0,9.0,11.0,15.0,17.0,20.0,16.0,6.0,42.0,14.0,45.0,30.0,68.0,41.0,23.0,54.0,60.0,37.0,33.0,71.0,79.0,50.0
736,1.0,20.0,17.0,5.0,4.0,12.0,16.0,2.0,6.0,10.0,13.0,0.0,8.0,26.0,25.0,33.0,32.0,21.0,27.0,35.0,112.0,48.0,43.0,14.0,68.0,76.0,3.0,52.0,54.0,36.0
785,0.0,8.0,5.0,1.0,2.0,24.0,3.0,9.0,17.0,10.0,4.0,23.0,18.0,6.0,11.0,12.0,13.0,15.0,47.0,20.0,48.0,46.0,52.0,37.0,45.0,14.0,16.0,76.0,35.0,85.0
834,0.0,10.0,35.0,17.0,1.0,9.0,4.0,3.0,14.0,8.0,2.0,15.0,32.0,11.0,25.0,13.0,29.0,23.0,54.0,30.0,70.0,16.0,33.0,26.0,21.0,68.0,31.0,61.0,20.0,55.0
883,0.0,11.0,12.0,1.0,7.0,39.0,55.0,3.0,26.0,4.0,6.0,16.0,23.0,21.0,9.0,64.0,66.0,14.0,76.0,25.0,42.0,24.0,22.0,35.0,19.0,15.0,41.0,30.0,20.0,18.0
932,1.0,5.0,15.0,32.0,8.0,3.0,0.0,6.0,2.0,4.0,7.0,39.0,14.0,13.0,25.0,11.0,55.0,28.0,31.0,12.0,37.0,58.0,76.0,35.0,50.0,17.0,33.0,87.0,56.0,47.0
981,0.0,8.0,1.0,5.0,6.0,4.0,14.0,2.0,34.0,26.0,31.0,15.0,3.0,24.0,7.0,43.0,20.0,19.0,39.0,29.0,22.0,54.0,10.0,70.0,67.0,21.0,72.0,12.0,61.0,32.0
1030,0.0,5.0,4.0,1.0,14.0,7.0,3.0,11.0,6.0,25.0,8.0,2.0,15.0,22.0,19.0,23.0,24.0,10.0,32.0,30.0,9.0,29.0,27.0,46.0,17.0,67.0,34.0,12.0,21.0,57.0
1079,1.0,0.0,10.0,3.0,4.0,2.0,6.0,5.0,56.0,33.0,8.0,59.0,22.0,29.0,34.0,13.0,17.0,24.0,60.0,64.0,9.0,15.0,68.0,65.0,42.0,61.0,32.0,28.0,7.0,47.0
1128,0.0,7.0,2.0,6.0,9.0,1.0,3.0,22.0,23.0,38.0,19.0,17.0,21.0,5.0,20.0,8.0,27.0,10.0,40.0,12.0,11.0,60.0,37.0,48.0,50.0,75.0,36.0,44.0,33.0,45.0
1177,4.0,3.0,0.0,45.0,10.0,5.0,23.0,18.0,13.0,7.0,22.0,1.0,12.0,17.0,27.0,79.0,16.0,9.0,64.0,19.0,8.0,14.0,6.0,40.0,15.0,80.0,69.0,29.0,2.0,38.0
1226,3.0,6.0,10.0,2.0,5.0,0.0,7.0,1.0,11.0,18.0,25.0,4.0,15.0,17.0,24.0,12.0,23.0,37.0,41.0,39.0,14.0,65.0,16.0,87.0,9.0,85.0,27.0,13.0,8.0,44.0
1275,0.0,2.0,1.0,34.0,3.0,4.0,8.0,11.0,10.0,33.0,7.0,6.0,5.0,14.0,12.0,20.0,29.0,38.0,27.0,15.0,9.0,74.0,54.0,58.0,66.0,43.0,89.0,25.0,17.0,47.0
1324,0.0,1.0,4.0,3.0,9.0,5.0,7.0,2.0,24.0,27.0,8.0,20.0,10.0,13.0,11.0,6.0,25.0,45.0,15.0,50.0,14.0,28.0,72.0,47.0,36.0,29.0,60.0,44.0,12.0,57.0
1373,0.0,16.0,3.0,6.0,4.0,5.0,17.0,14.0,8.0,78.0,1.0,12.0,9.0,7.0,11.0,2.0,22.0,27.0,77.0,13.0,20.0,42.0,70.0,71.0,47.0,69.0,74.0,19.0,10.0,41.0
1422,4.0,0.0,1.0,3.0,7.0,9.0,12.0,2.0,19.0,13.0,14.0,6.0,41.0,24.0,5.0,21.0,17.0,35.0,43.0,10.0,28.0,40.0,25.0,68.0,84.0,69.0,66.0,30.0,15.0,65.0
1471,0.0,1.0,4.0,5.0,3.0,22.0,21.0,2.0,12.0,17.0,15.0,32.0,39.0,18.0,28.0,11.0,16.0,8.0,59.0,42.0,19.0,20.0,38.0,68.0,10.0,34.0,23.0,6.0,25.0,24.0
1520,2.0,4.0,3.0,40.0,0.0,53.0,1.0,11.0,23.0,16.0,22.0,26.0,46.0,47.0,42.0,24.0,8.0,19.0,54.0,21.0,10.0,20.0,18.0,49.0,6.0,69.0,14.0,28.0,33.0,12.0
1569,0.0,1.0,3.0,2.0,4.0,23.0,14.0,10.0,17.0,21.0,11.0,22.0,41.0,7.0,36.0,8.0,34.0,26.0,53.0,27.0,31.0,9.0,28.0,20.0,37.0,30.0,35.0,32.0,5.0,64.0
1618,3.0,1.0,2.0,14.0,0.0,16.0,10.0,4.0,5.0,63.0,6.0,40.0,9.0,8.0,11.0,12.0,17.0,23.0,7.0,22.0,15.0,64.0,28.0,51.0,13.0,61.0,20.0,29.0,33.0,19.0
1667,0.0,15.0,1.0,7.0,6.0,23.0,2.0,9.0,35.0,24.0,16.0,66.0,30.0,27.0,18.0,25.0,31.0,10.0,17.0,14.0,44.0,4.0,65.0,38.0,3.0,20.0,8.0,5.0,13.0,12.0
1716,0.0,5.0,1.0,2.0,3.0,7.0,20.0,12.0,6.0,18.0,21.0,25.0,41.0,26.0,17.0,36.0,8.0,15.0,10.0,23.0,43.0,4.0,14.0,28.0,22.0,16.0,24.0,35.0,31.0,9.0
1765,1.0,0.0,2.0,3.0,6.0,28.0,27.0,12.0,13.0,7.0,9.0,46.0,21.0,19.0,58.0,14.0,8.0,11.0,53.0,48.0,50.0,32.0,37.0,42.0,5.0,23.0,4.0,10.0,39.0,38.0
1814,0.0,2.0,9.0,4.0,1.0,18.0,3.0,11.0,15.0,30.0,8.0,51.0,19.0,22.0,23.0,14.0,43.0,21.0,52.0,35.0,27.0,5.0,53.0,16.0,7.0,12.0,13.0,28.0,45.0,24.0
1863,0.0,1.0,4.0,3.0,2.0,11.0,12.0,5.0,10.0,9.0,13.0,16.0,18.0,28.0,69.0,43.0,20.0,44.0,62.0,37.0,6.0,7.0,33.0,32.0,19.0,17.0,31.0,34.0,56.0,25.0
1912,2.0,0.0,12.0,1.0,10.0,17.0,9.0,13.0,11.0,5.0,14.0,70.0,41.0,24.0,53.0,4.0,22.0,54.0,20.0,42.0,8.0,3.0,33.0,25.0,6.0,29.0,28.0,21.0,57.0,7.0
1961,1.0,0.0,7.0,2.0,8.0,14.0,18.0,36.0,5.0,6.0,47.0,3.0,10.0,12.0,43.0,17.0,25.0,35.0,11.0,13.0,41.0,52.0,28.0,21.0,30.0,26.0,56.0,22.0,4.0,38.0
2010,0.0,1.0,10.0,2.0,18.0,7.0,12.0,5.0,6.0,3.0,15.0,4.0,17.0,11.0,28.0,30.0,19.0,29.0,25.0,20.0,8.0,13.0,70.0,48.0,32.0,16.0,68.0,47.0,27.0,22.0
2059,1.0,2.0,15.0,16.0,7.0,0.0,4.0,11.0,23.0,5.0,17.0,30.0,3.0,14.0,12.0,31.0,18.0,27.0,13.0,19.0,39.0,42.0,21.0,63.0,20.0,34.0,43.0,25.0,37.0,22.0
2108,2.0,0.0,3.0,4.0,30.0,15.0,6.0,43.0,9.0,7.0,10.0,1.0,12.0,5.0,66.0,31.0,22.0,24.0,8.0,16.0,18.0,11.0,64.0,28.0,17.0,53.0,40.0,26.0,58.0,14.0
2157,5.0,1.0,3.0,2.0,17.0,8.0,6.0,7.0,10.0,0.0,14.0,4.0,9.0,62.0,37.0,47.0,19.0,18.0,52.0,16.0,28.0,58.0,29.0,44.0,11.0,31.0,68.0,12.0,33.0,43.0
2206,8.0,4.0,0.0,2.0,15.0,7.0,40.0,36.0,3.0,6.0,14.0,1.0,11.0,16.0,9.0,19.0,10.0,5.0,17.0,21.0,55.0,48.0,38.0,44.0,30.0,64.0,58.0,43.0,24.0,13.0
2255,1.0,0.0,2.0,12.0,19.0,6.0,21.0,13.0,5.0,4.0,11.0,27.0,3.0,8.0,35.0,22.0,28.0,38.0,10.0,24.0,23.0,50.0,25.0,43.0,29.0,40.0,74.0,14.0,26.0,15.0
2304,1.0,0.0,2.0,6.0,17.0,4.0,16.0,30.0,11.0,8.0,10.0,5.0,20.0,19.0,28.0,43.0,13.0,40.0,22.0,7.0,3.0,32.0,14.0,88.0,56.0,60.0,87.0,50.0,25.0,24.0
2353,2.0,4.0,7.0,1.0,9.0,5.0,21.0,13.0,20.0,0.0,22.0,6.0,10.0,23.0,32.0,60.0,17.0,45.0,14.0,29.0,3.0,41.0,8.0,42.0,28.0,44.0,62.0,11.0,15.0,12.0
2402,5.0,0.0,1.0,7.0,11.0,8.0,12.0,24.0,6.0,2.0,14.0,3.0,4.0,45.0,36.0,29.0,15.0,16.0,10.0,13.0,31.0,58.0,9.0,28.0,17.0,50.0,55.0,26.0,39.0,27.0
2451,3.0,1.0,16.0,12.0,0.0,6.0,2.0,8.0,4.0,37.0,10.0,23.0,5.0,9.0,29.0,54.0,35.0,53.0,13.0,26.0,44.0,15.0,49.0,19.0,25.0,17.0,27.0,83.0,34.0,36.0
2500,3.0,0.0,2.0,4.0,1.0,13.0,5.0,9.0,8.0,24.0,28.0,21.0,14.0,31.0,7.0,17.0,50.0,11.0,10.0,12.0,41.0,38.0,18.0,32.0,35.0,6.0,33.0,39.0,15.0,46.0
2549,1.0,0.0,3.0,8.0,4.0,6.0,5.0,11.0,23.0,12.0,18.0,24.0,17.0,38.0,21.0,40.0,39.0,45.0,19.0,27.0,2.0,30.0,42.0,25.0,14.0,43.0,33.0,59.0,35.0,32.0
2598,1.0,0.0,5.0,21.0,4.0,8.0,2.0,3.0,7.0,10.0,32.0,6.0,9.0,14.0,25.0,12.0,19.0,24.0,18.0,28.0,27.0,17.0,49.0,13.0,41.0,11.0,15.0,79.0,37.0,65.0
