,HAEMATOPOIETIC,STOMACH,OESOPHAGUS,NERVOUS,OVARY,LUNG,SKIN,LARGE_INTESTINE,PANCREAS,ENDOMETRIUM,URINARY,LIVER,BREAST,GANGLIA,PROSTATE,SOFT_TISSUE,BONE,PLEURA,AERODIGESTIVE,THYROID,KIDNEY,BILIARY,SALIVARY
3527,1.0,5.0,0.0,12.0,18.0,4.0,2.0,8.0,3.0,11.0,6.0,9.0,10.0,7.0,22.0,13.0,15.0,19.0,21.0,16.0,17.0,14.0,20.0
3576,7.0,3.0,9.0,5.0,6.0,2.0,16.0,11.0,0.0,12.0,4.0,8.0,1.0,10.0,13.0,15.0,14.0,19.0,22.0,18.0,17.0,20.0,21.0
3625,0.0,1.0,5.0,3.0,4.0,14.0,6.0,7.0,8.0,13.0,2.0,9.0,12.0,11.0,10.0,16.0,15.0,19.0,22.0,17.0,18.0,20.0,21.0
3674,1.0,0.0,2.0,5.0,6.0,13.0,7.0,3.0,8.0,12.0,4.0,14.0,9.0,11.0,10.0,16.0,15.0,19.0,22.0,17.0,18.0,20.0,21.0
3723,0.0,1.0,2.0,3.0,4.0,13.0,6.0,5.0,7.0,10.0,16.0,9.0,8.0,12.0,11.0,15.0,14.0,19.0,22.0,17.0,18.0,20.0,21.0
3772,0.0,2.0,4.0,15.0,5.0,12.0,1.0,7.0,8.0,10.0,3.0,13.0,9.0,6.0,11.0,14.0,16.0,17.0,21.0,18.0,19.0,22.0,20.0
3821,6.0,2.0,7.0,4.0,5.0,16.0,8.0,9.0,10.0,11.0,3.0,0.0,15.0,12.0,1.0,13.0,14.0,19.0,21.0,17.0,18.0,20.0,22.0
3870,0.0,3.0,6.0,5.0,19.0,12.0,8.0,7.0,9.0,10.0,4.0,13.0,1.0,11.0,2.0,14.0,15.0,16.0,22.0,17.0,18.0,20.0,21.0
3919,0.0,3.0,1.0,4.0,5.0,12.0,7.0,6.0,10.0,2.0,19.0,8.0,11.0,18.0,9.0,13.0,15.0,16.0,22.0,14.0,17.0,20.0,21.0
3968,1.0,7.0,8.0,5.0,19.0,17.0,9.0,3.0,0.0,2.0,6.0,13.0,11.0,16.0,4.0,12.0,14.0,15.0,20.0,18.0,10.0,21.0,22.0
4017,1.0,0.0,3.0,9.0,13.0,8.0,11.0,4.0,5.0,6.0,10.0,7.0,12.0,20.0,2.0,14.0,16.0,17.0,19.0,15.0,18.0,21.0,22.0
4066,9.0,8.0,4.0,6.0,11.0,2.0,5.0,1.0,10.0,3.0,7.0,0.0,12.0,15.0,17.0,13.0,14.0,20.0,16.0,18.0,19.0,21.0,22.0
4115,6.0,0.0,7.0,1.0,5.0,13.0,8.0,12.0,9.0,11.0,4.0,10.0,2.0,18.0,3.0,15.0,14.0,20.0,16.0,17.0,19.0,22.0,21.0
4164,0.0,3.0,7.0,14.0,5.0,2.0,11.0,16.0,1.0,6.0,4.0,15.0,8.0,17.0,18.0,12.0,10.0,9.0,20.0,19.0,13.0,21.0,22.0
4213,2.0,5.0,0.0,6.0,12.0,4.0,8.0,1.0,3.0,10.0,13.0,9.0,7.0,20.0,11.0,16.0,14.0,15.0,19.0,17.0,18.0,21.0,22.0
4262,1.0,0.0,6.0,4.0,5.0,12.0,7.0,11.0,8.0,9.0,3.0,10.0,17.0,18.0,2.0,13.0,15.0,16.0,22.0,14.0,19.0,20.0,21.0
4311,7.0,3.0,8.0,5.0,6.0,2.0,0.0,11.0,1.0,10.0,4.0,13.0,9.0,19.0,12.0,16.0,14.0,15.0,17.0,18.0,20.0,21.0,22.0
4360,0.0,2.0,9.0,3.0,4.0,12.0,7.0,19.0,5.0,8.0,15.0,16.0,6.0,20.0,1.0,13.0,11.0,10.0,18.0,17.0,14.0,21.0,22.0
4409,5.0,1.0,4.0,3.0,15.0,0.0,14.0,6.0,7.0,8.0,2.0,9.0,10.0,20.0,12.0,13.0,11.0,16.0,18.0,17.0,19.0,21.0,22.0
4458,4.0,0.0,5.0,2.0,3.0,14.0,7.0,13.0,8.0,11.0,1.0,9.0,10.0,6.0,12.0,15.0,16.0,20.0,17.0,18.0,19.0,21.0,22.0
4507,0.0,14.0,3.0,5.0,13.0,2.0,8.0,6.0,7.0,10.0,4.0,1.0,9.0,11.0,12.0,16.0,20.0,15.0,18.0,17.0,19.0,21.0,22.0
4556,10.0,9.0,11.0,7.0,6.0,22.0,1.0,5.0,4.0,2.0,8.0,3.0,0.0,14.0,17.0,13.0,15.0,16.0,20.0,12.0,19.0,18.0,21.0
4605,1.0,0.0,4.0,15.0,14.0,8.0,7.0,6.0,2.0,12.0,9.0,11.0,13.0,5.0,3.0,10.0,16.0,17.0,19.0,20.0,18.0,22.0,21.0
4654,7.0,3.0,6.0,5.0,19.0,2.0,9.0,12.0,0.0,11.0,4.0,10.0,1.0,8.0,13.0,15.0,14.0,20.0,16.0,17.0,18.0,21.0,22.0
4703,1.0,0.0,10.0,14.0,3.0,12.0,6.0,4.0,5.0,7.0,15.0,8.0,11.0,2.0,9.0,13.0,16.0,17.0,19.0,18.0,20.0,21.0,22.0
4752,7.0,4.0,11.0,5.0,6.0,0.0,12.0,14.0,1.0,2.0,10.0,9.0,3.0,8.0,16.0,13.0,17.0,20.0,15.0,18.0,19.0,21.0,22.0
4801,1.0,4.0,10.0,5.0,0.0,3.0,13.0,7.0,8.0,17.0,14.0,9.0,2.0,6.0,11.0,12.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
4850,1.0,4.0,6.0,15.0,0.0,12.0,14.0,11.0,7.0,8.0,5.0,9.0,2.0,10.0,3.0,13.0,19.0,16.0,22.0,17.0,18.0,20.0,21.0
4899,0.0,2.0,9.0,4.0,3.0,1.0,12.0,5.0,6.0,8.0,13.0,14.0,7.0,20.0,10.0,11.0,15.0,16.0,18.0,17.0,19.0,21.0,22.0
