,hsa-miR-223,hsa-miR-21,hsa-miR-205,hsa-miR-142-5p,hsa-miR-200a,hsa-miR-31,hsa-miR-140-5p,hsa-miR-125a-3p,hsa-miR-424,hsa-miR-135b,hsa-miR-30a,hsa-miR-224,hsa-miR-1978,hsa-let-7e,hsa-miR-222,hsa-miR-22,hsa-miR-30d,hsa-miR-196b,hsa-miR-628-5p,hsa-miR-30e,hsa-miR-199b-5p,hsa-miR-1303,hsa-miR-877,hsa-miR-146b-5p,kshv-miR-K12-12,hsa-miR-197,hsa-miR-636,hcmv-miR-UL148D,ebv-miR-BART7,hsa-miR-891b
18,1.0,112.0,2.0,9.0,0.0,42.0,3.0,18.0,21.0,27.0,43.0,435.0,139.0,5.0,17.0,16.0,4.0,312.0,131.0,14.0,154.0,150.0,402.0,52.0,123.0,221.0,58.0,7.0,244.0,23.0
67,0.0,145.0,2.0,1.0,3.0,21.0,5.0,14.0,175.0,54.0,7.0,4.0,147.0,9.0,10.0,19.0,30.0,278.0,80.0,53.0,11.0,12.0,347.0,68.0,15.0,472.0,415.0,24.0,437.0,305.0
116,1.0,21.0,9.0,7.0,3.0,19.0,2.0,0.0,146.0,4.0,61.0,5.0,10.0,33.0,18.0,420.0,201.0,250.0,124.0,16.0,32.0,50.0,58.0,458.0,23.0,38.0,232.0,75.0,91.0,437.0
165,1.0,6.0,2.0,4.0,0.0,3.0,8.0,69.0,18.0,5.0,9.0,10.0,41.0,13.0,42.0,294.0,17.0,83.0,20.0,97.0,7.0,12.0,40.0,490.0,123.0,65.0,381.0,15.0,111.0,237.0
214,0.0,14.0,7.0,3.0,1.0,25.0,2.0,4.0,13.0,49.0,17.0,51.0,256.0,8.0,87.0,196.0,255.0,210.0,81.0,38.0,42.0,76.0,55.0,194.0,5.0,6.0,10.0,332.0,46.0,36.0
263,0.0,13.0,15.0,1.0,14.0,2.0,3.0,21.0,16.0,17.0,19.0,124.0,39.0,133.0,24.0,89.0,63.0,258.0,8.0,52.0,66.0,59.0,78.0,6.0,141.0,34.0,91.0,7.0,447.0,155.0
312,0.0,20.0,23.0,2.0,3.0,8.0,6.0,1.0,49.0,29.0,42.0,196.0,38.0,70.0,46.0,4.0,34.0,181.0,69.0,54.0,15.0,30.0,36.0,10.0,18.0,104.0,67.0,57.0,17.0,65.0
361,1.0,8.0,0.0,99.0,34.0,17.0,3.0,243.0,2.0,16.0,125.0,7.0,142.0,15.0,21.0,61.0,83.0,44.0,68.0,161.0,5.0,262.0,37.0,107.0,64.0,500.0,30.0,12.0,35.0,137.0
410,0.0,4.0,20.0,2.0,6.0,5.0,1.0,8.0,26.0,9.0,18.0,108.0,72.0,7.0,38.0,25.0,79.0,64.0,160.0,286.0,82.0,34.0,74.0,13.0,17.0,62.0,91.0,43.0,3.0,81.0
459,1.0,4.0,9.0,5.0,0.0,12.0,3.0,19.0,11.0,2.0,62.0,40.0,36.0,15.0,30.0,247.0,8.0,51.0,14.0,162.0,75.0,48.0,284.0,29.0,406.0,211.0,6.0,39.0,86.0,89.0
508,0.0,9.0,2.0,5.0,7.0,4.0,33.0,3.0,1.0,25.0,10.0,6.0,29.0,104.0,16.0,17.0,12.0,8.0,15.0,58.0,299.0,56.0,115.0,87.0,74.0,18.0,225.0,145.0,24.0,185.0
557,2.0,0.0,37.0,13.0,3.0,12.0,8.0,4.0,33.0,6.0,7.0,17.0,5.0,25.0,20.0,70.0,23.0,1.0,27.0,9.0,215.0,45.0,116.0,69.0,10.0,60.0,61.0,491.0,15.0,29.0
