,ACOT1_DEL,TAG_DEL,HEATR4_DEL,LINC00226_AMP,FRMPD2P1_AMP,LOC727924_DEL,SNX29_DEL,HERC2P2_AMP,OR51A2_DEL,REREP3_DEL,LRP1B_DEL,OR4M2_DEL,CES1P1_DEL,GSTM1_DEL,OR2T27_DEL,CES1_AMP,MIR548AI_DEL,DDTL_DEL,GSTT2B_DEL,FAM86DP_DEL,CCDC144B_DEL,OR4N4_DEL,HLA-DRB6_AMP,OR4N3P_DEL,DEFA3_AMP,CROCC_DEL,RABGAP1L_DEL,BTNL8_DEL,FAM106A_DEL,FAM153A_DEL
31,3.0,12.0,4.0,292.0,10.0,38.0,19.0,7.0,6.0,78.0,25.0,247.0,17.0,345.0,13.0,11.0,240.0,250.0,249.0,27.0,15.0,246.0,128.0,141.0,60.0,81.0,83.0,9.0,16.0,18.0
80,8.0,4.0,9.0,90.0,31.0,24.0,54.0,0.0,39.0,20.0,22.0,36.0,3.0,46.0,12.0,43.0,29.0,14.0,15.0,23.0,91.0,35.0,34.0,44.0,52.0,17.0,37.0,56.0,141.0,49.0
129,8.0,7.0,10.0,20.0,80.0,12.0,5.0,609.0,4.0,51.0,19.0,92.0,39.0,27.0,25.0,34.0,67.0,23.0,22.0,14.0,33.0,91.0,163.0,106.0,64.0,16.0,414.0,28.0,42.0,9.0
178,13.0,12.0,14.0,43.0,66.0,16.0,15.0,0.0,4.0,38.0,33.0,18.0,262.0,9.0,11.0,52.0,373.0,8.0,7.0,30.0,51.0,17.0,19.0,73.0,62.0,202.0,71.0,691.0,63.0,24.0
227,6.0,67.0,8.0,193.0,16.0,22.0,19.0,10.0,2.0,20.0,18.0,32.0,490.0,34.0,7.0,28.0,15.0,25.0,24.0,14.0,9.0,33.0,96.0,31.0,89.0,35.0,29.0,125.0,13.0,45.0
276,6.0,7.0,10.0,42.0,15.0,14.0,11.0,3.0,0.0,24.0,12.0,96.0,110.0,43.0,18.0,21.0,215.0,94.0,93.0,22.0,63.0,95.0,197.0,48.0,30.0,19.0,39.0,45.0,88.0,35.0
325,4.0,0.0,7.0,290.0,17.0,43.0,3.0,11.0,1.0,48.0,23.0,65.0,9.0,15.0,18.0,16.0,49.0,20.0,19.0,86.0,22.0,64.0,39.0,47.0,254.0,122.0,255.0,28.0,27.0,140.0
374,23.0,15.0,25.0,101.0,11.0,6.0,10.0,2.0,1.0,24.0,20.0,29.0,21.0,632.0,14.0,43.0,22.0,18.0,17.0,38.0,31.0,28.0,52.0,30.0,85.0,32.0,188.0,139.0,39.0,12.0
423,0.0,1.0,2.0,7.0,11.0,34.0,91.0,31.0,4.0,36.0,173.0,77.0,21.0,22.0,23.0,106.0,16.0,10.0,9.0,13.0,19.0,78.0,211.0,73.0,40.0,18.0,199.0,17.0,25.0,58.0
472,15.0,28.0,20.0,23.0,26.0,18.0,14.0,6.0,5.0,51.0,21.0,95.0,152.0,4.0,3.0,47.0,281.0,37.0,38.0,16.0,55.0,96.0,85.0,110.0,34.0,699.0,10.0,59.0,79.0,31.0
521,7.0,0.0,8.0,1.0,5.0,9.0,20.0,74.0,4.0,11.0,6.0,17.0,10.0,2.0,19.0,14.0,29.0,12.0,13.0,39.0,28.0,22.0,32.0,16.0,67.0,18.0,15.0,30.0,35.0,303.0
570,2.0,12.0,1.0,14.0,0.0,11.0,42.0,38.0,8.0,13.0,19.0,18.0,33.0,3.0,36.0,15.0,6.0,5.0,4.0,25.0,9.0,22.0,86.0,21.0,40.0,35.0,7.0,60.0,10.0,41.0
619,4.0,10.0,3.0,1.0,0.0,5.0,28.0,2.0,13.0,22.0,110.0,42.0,15.0,26.0,85.0,23.0,11.0,6.0,7.0,34.0,12.0,47.0,30.0,44.0,50.0,40.0,60.0,27.0,24.0,211.0
668,44.0,1.0,45.0,0.0,3.0,5.0,15.0,61.0,11.0,10.0,18.0,16.0,4.0,6.0,9.0,14.0,2.0,8.0,7.0,57.0,32.0,23.0,1082.0,17.0,47.0,27.0,12.0,34.0,40.0,232.0
717,38.0,5.0,39.0,0.0,3.0,4.0,7.0,49.0,10.0,30.0,14.0,71.0,6.0,47.0,9.0,11.0,8.0,2.0,1.0,16.0,19.0,70.0,20.0,57.0,25.0,60.0,58.0,34.0,27.0,48.0
766,12.0,0.0,11.0,16.0,4.0,5.0,44.0,69.0,15.0,18.0,1312.0,26.0,82.0,19.0,24.0,51.0,14.0,8.0,9.0,36.0,1.0,35.0,60.0,34.0,59.0,110.0,187.0,6.0,2.0,30.0
815,4.0,0.0,5.0,9.0,7.0,56.0,14.0,205.0,12.0,48.0,41.0,90.0,18.0,10.0,16.0,21.0,6.0,2.0,1.0,25.0,3.0,149.0,26.0,125.0,28.0,15.0,496.0,11.0,8.0,510.0
