,C-Raf_pS338,MIG-6,VAV1,CDK1,Beclin,YAP_pS127,Rb_pS807_S811,Src_pY416,SHP-2_pY542,TIGAR,beta-Catenin,HSP70,beta-Catenin_pT41_S45,4E-BP1_pT70,PEA15,Src,IGFBP2,Akt,Caspase-7_cleavedD198,Fibronectin,RAD51,p38_pT180_Y182,PKC-alpha,MSH6,TTF1,4E-BP1,EGFR,Annexin_VII,VHL,alpha-Catenin
1033,0.0,1.0,3.0,2.0,6.0,40.0,149.0,7.0,11.0,12.0,4.0,46.0,62.0,19.0,16.0,48.0,129.0,5.0,100.0,9.0,51.0,20.0,50.0,56.0,17.0,27.0,8.0,65.0,31.0,21.0
1082,0.0,1.0,3.0,2.0,9.0,27.0,17.0,108.0,91.0,5.0,59.0,39.0,68.0,16.0,4.0,8.0,145.0,36.0,88.0,19.0,160.0,61.0,6.0,10.0,20.0,131.0,29.0,11.0,21.0,58.0
1131,0.0,1.0,6.0,2.0,31.0,3.0,22.0,46.0,69.0,25.0,7.0,26.0,34.0,29.0,5.0,54.0,14.0,113.0,24.0,44.0,158.0,12.0,91.0,60.0,4.0,53.0,18.0,70.0,38.0,97.0
1180,0.0,1.0,4.0,5.0,13.0,17.0,2.0,6.0,24.0,40.0,12.0,3.0,11.0,14.0,18.0,25.0,46.0,30.0,15.0,51.0,113.0,136.0,95.0,41.0,119.0,57.0,56.0,38.0,10.0,8.0
1229,0.0,5.0,6.0,2.0,1.0,20.0,13.0,17.0,41.0,10.0,4.0,80.0,84.0,3.0,61.0,33.0,31.0,14.0,36.0,45.0,21.0,18.0,46.0,73.0,9.0,32.0,7.0,103.0,43.0,75.0
1278,0.0,4.0,2.0,1.0,142.0,13.0,16.0,5.0,67.0,9.0,17.0,70.0,35.0,3.0,108.0,79.0,159.0,96.0,62.0,29.0,138.0,15.0,64.0,104.0,85.0,33.0,103.0,74.0,22.0,18.0
1327,0.0,5.0,1.0,6.0,9.0,14.0,20.0,2.0,36.0,25.0,11.0,24.0,10.0,4.0,105.0,3.0,12.0,7.0,8.0,34.0,89.0,41.0,55.0,42.0,33.0,16.0,26.0,46.0,38.0,47.0
1376,0.0,5.0,3.0,20.0,15.0,9.0,12.0,24.0,26.0,7.0,4.0,56.0,10.0,58.0,43.0,30.0,144.0,81.0,14.0,39.0,8.0,79.0,128.0,31.0,1.0,25.0,85.0,99.0,90.0,89.0
1425,0.0,3.0,2.0,1.0,5.0,12.0,11.0,40.0,10.0,21.0,25.0,14.0,37.0,23.0,92.0,31.0,71.0,35.0,28.0,19.0,17.0,8.0,32.0,7.0,18.0,24.0,61.0,36.0,59.0,6.0
1474,3.0,6.0,0.0,5.0,36.0,14.0,89.0,1.0,29.0,43.0,9.0,11.0,8.0,4.0,128.0,12.0,24.0,65.0,20.0,45.0,19.0,16.0,56.0,83.0,2.0,113.0,33.0,15.0,54.0,30.0
