,EP300_MUT,ADAM5_DEL,ADAM3A_DEL,OR2T11_AMP,ZNF438_DEL,HERC2P2_AMP,SIRPB1_AMP,SLC7A5P2_DEL,ADCY8_DEL,FAM190A_DEL,MCEE_AMP,C10orf11_DEL,LPA_AMP,HLA-H_DEL,SLC25A37_AMP,FMN2_AMP,NPIPL3_DEL,OR51A4_DEL,LOC100190986_DEL,LINC00202_AMP,RBFOX1_DEL,KALRN_MUT,SLC44A5_DEL,TOP2B_MUT,OR52N1_DEL,LOC100271836_DEL,AATK_AMP,PSG4_DEL,LOC284344_DEL,LRRC37A_AMP
30,0.0,1.0,3.0,13.0,59.0,51.0,145.0,16.0,6.0,14.0,108.0,81.0,17.0,23.0,15.0,154.0,25.0,36.0,26.0,35.0,48.0,67.0,9.0,210.0,69.0,40.0,11.0,5.0,2.0,19.0
79,0.0,1.0,2.0,11.0,35.0,46.0,14.0,12.0,21.0,69.0,81.0,10.0,13.0,129.0,22.0,48.0,15.0,71.0,16.0,70.0,8.0,150.0,3.0,91.0,24.0,20.0,47.0,6.0,5.0,218.0
128,0.0,2.0,3.0,1.0,101.0,61.0,18.0,21.0,29.0,11.0,39.0,8.0,32.0,16.0,50.0,22.0,42.0,36.0,43.0,53.0,34.0,15.0,10.0,203.0,31.0,45.0,26.0,5.0,4.0,12.0
177,0.0,1.0,2.0,6.0,26.0,62.0,149.0,8.0,16.0,34.0,222.0,22.0,21.0,14.0,42.0,66.0,11.0,40.0,10.0,39.0,24.0,41.0,7.0,143.0,13.0,18.0,35.0,3.0,4.0,15.0
226,0.0,1.0,2.0,14.0,39.0,40.0,18.0,26.0,4.0,20.0,106.0,9.0,7.0,17.0,45.0,98.0,36.0,16.0,35.0,50.0,27.0,69.0,21.0,177.0,91.0,44.0,19.0,22.0,11.0,30.0
275,0.0,1.0,2.0,8.0,6.0,33.0,14.0,12.0,11.0,15.0,118.0,97.0,7.0,207.0,3.0,67.0,21.0,29.0,22.0,26.0,4.0,24.0,5.0,179.0,40.0,30.0,16.0,19.0,10.0,112.0
324,0.0,1.0,2.0,6.0,43.0,15.0,5.0,18.0,27.0,42.0,66.0,7.0,11.0,19.0,26.0,24.0,12.0,16.0,13.0,45.0,52.0,122.0,4.0,234.0,36.0,21.0,20.0,40.0,35.0,25.0
373,0.0,7.0,8.0,1.0,359.0,3640.0,73.0,20.0,55.0,36.0,34.0,24.0,10.0,3.0,39.0,5.0,21.0,101.0,22.0,56.0,9.0,30.0,6.0,114.0,76.0,35.0,46.0,4.0,2.0,874.0
422,0.0,1.0,2.0,4.0,12.0,46.0,91.0,22.0,25.0,19.0,29.0,16.0,27.0,8.0,200.0,54.0,31.0,157.0,30.0,13.0,23.0,42.0,20.0,108.0,9.0,45.0,34.0,5.0,3.0,17.0
471,0.0,2.0,3.0,5.0,64.0,59.0,8.0,18.0,10.0,31.0,51.0,11.0,55.0,84.0,165.0,85.0,27.0,24.0,26.0,37.0,30.0,434.0,6.0,323.0,21.0,36.0,19.0,16.0,9.0,4.0
520,0.0,1.0,3.0,4.0,8.0,14.0,7.0,15.0,60.0,41.0,37.0,22.0,100.0,11.0,792.0,2.0,30.0,21388.0,29.0,53.0,13.0,123.0,46.0,38.0,10.0,33.0,16.0,57.0,65.0,1802.0
569,0.0,1.0,2.0,6.0,8.0,3.0,7.0,34.0,20.0,31.0,4.0,19.0,48.0,13.0,24.0,65.0,30.0,75.0,29.0,25.0,16.0,62.0,77.0,28.0,94.0,35.0,10.0,93.0,111.0,18.0
618,2.0,0.0,1.0,4.0,6.0,5.0,40.0,16.0,57.0,11.0,9.0,15.0,34.0,151.0,53.0,14.0,25.0,54.0,26.0,28.0,12.0,21.0,628.0,19.0,33.0,32.0,38.0,24.0,30.0,147.0
667,0.0,1.0,2.0,12.0,4.0,3.0,11.0,21.0,25.0,23.0,7.0,10.0,42.0,61.0,51.0,9.0,34.0,24.0,35.0,14.0,13.0,32.0,50.0,19.0,101.0,36.0,18.0,244.0,236.0,45.0
716,0.0,1.0,2.0,10.0,3.0,5.0,9.0,21.0,13.0,30.0,4.0,40.0,57.0,80.0,146.0,34.0,45.0,132.0,47.0,16.0,20.0,22.0,61.0,11.0,35.0,46.0,8.0,59.0,69.0,15.0
765,2.0,0.0,1.0,4.0,5.0,6.0,49.0,7.0,21.0,65.0,13.0,10.0,16.0,83.0,5379.0,25.0,19.0,33.0,20.0,26.0,32.0,74.0,15.0,35.0,28.0,22.0,29.0,56.0,108.0,38.0
814,0.0,1.0,2.0,5.0,7.0,3.0,68.0,63.0,34.0,20.0,9.0,37.0,38.0,39.0,105.0,8.0,99.0,97.0,98.0,11.0,21.0,40.0,35.0,10.0,16.0,106.0,6.0,64.0,65.0,33.0
863,0.0,1.0,2.0,10.0,5.0,6.0,65.0,9.0,14.0,24.0,23.0,46.0,44.0,86.0,66.0,3.0,22.0,50.0,21.0,43.0,4.0,69.0,41.0,12.0,27.0,25.0,39.0,40.0,48.0,137.0
912,0.0,1.0,2.0,16.0,6.0,3.0,32.0,11.0,10.0,124.0,21.0,45.0,139.0,240.0,39.0,311.0,22.0,70.0,23.0,14.0,18.0,36.0,13.0,15.0,29.0,25.0,28.0,187.0,190.0,49.0
961,0.0,1.0,2.0,5.0,9.0,7.0,3.0,38.0,13.0,20.0,8.0,23.0,24.0,4.0,87.0,27.0,62.0,36.0,61.0,21.0,14.0,57.0,37.0,40.0,11.0,71.0,19.0,17.0,10.0,64.0
1010,0.0,1.0,2.0,12.0,9.0,3.0,10.0,32.0,16.0,6.0,17.0,290.0,8.0,5.0,66.0,41.0,36.0,11.0,35.0,31.0,4.0,21.0,20.0,75.0,50.0,48.0,27.0,38.0,33.0,37.0
1059,0.0,1.0,2.0,65.0,6.0,3.0,123.0,9.0,22.0,12.0,28.0,15.0,23.0,31.0,53.0,8.0,11.0,5.0,10.0,32.0,34.0,19.0,16.0,50.0,40.0,14.0,13.0,39.0,37.0,233.0
1108,0.0,1.0,2.0,26.0,12.0,11.0,13.0,16.0,4.0,42.0,41.0,136.0,43.0,108.0,6.0,8.0,20.0,24.0,21.0,7.0,5.0,9.0,31.0,33.0,22.0,38.0,25.0,157.0,81.0,3.0
1157,2.0,0.0,1.0,56.0,5.0,4.0,37.0,14.0,24.0,39.0,17.0,38.0,8.0,65.0,23.0,13.0,21.0,30.0,22.0,7.0,15.0,47.0,25.0,28.0,11.0,26.0,60.0,34.0,35.0,67.0
1206,0.0,1.0,2.0,29.0,4.0,3.0,1103.0,15.0,6.0,48.0,18.0,53.0,35.0,7.0,21.0,5.0,25.0,22.0,26.0,11.0,12.0,9.0,10.0,28.0,61.0,32.0,19.0,113.0,101.0,54.0
1255,1.0,0.0,2.0,11.0,6.0,4.0,60.0,46.0,28.0,24.0,26.0,62.0,39.0,3.0,10.0,5.0,56.0,18.0,55.0,25.0,35.0,32.0,7.0,33.0,370.0,77.0,23.0,236.0,158.0,434.0
1304,0.0,1.0,2.0,5.0,3.0,11.0,103.0,17.0,74.0,7.0,34.0,107.0,38.0,10.0,52.0,22.0,13.0,21.0,12.0,32.0,4.0,9.0,14.0,61.0,29.0,19.0,66.0,30.0,56.0,51.0
1353,0.0,1.0,3.0,28.0,2.0,5.0,1760.0,10.0,9.0,38.0,23.0,71.0,41.0,13.0,37.0,15.0,19.0,11.0,18.0,14.0,8.0,7.0,26.0,34.0,35.0,27.0,20.0,72.0,77.0,127.0
1402,2.0,0.0,1.0,34.0,3.0,5.0,260.0,13.0,23.0,11.0,4.0,76.0,7.0,18.0,12.0,14.0,21.0,17.0,20.0,6.0,9.0,8.0,40.0,37.0,65.0,19.0,22.0,112.0,79.0,15.0
1451,0.0,1.0,2.0,47.0,3.0,29.0,151.0,15.0,6.0,14.0,20.0,196.0,8.0,54.0,23.0,9.0,31.0,17.0,32.0,12.0,48.0,41.0,7.0,53.0,18.0,45.0,10.0,162.0,186.0,287.0
1500,0.0,1.0,2.0,6.0,12.0,5.0,334.0,18.0,21.0,14.0,3.0,16.0,17.0,4.0,8.0,9.0,32.0,29.0,31.0,46.0,84.0,11.0,112.0,23.0,10.0,35.0,28.0,13.0,20.0,42.0
