,EGFR,C-Raf_pS338,PAI-1,ADAR1,HER2_pY1248,EGFR_pY1068,E-Cadherin,G6PD,eEF2,Paxillin,Claudin-7,MIG-6,p70S6K_pT389,Rictor_pT1135,Transglutaminase,Shc_pY317,YB-1_pS102,HER3,VHL,Tuberin_pT1462,Stathmin,PKC-alpha,Porin,Akt_pS473,P-Cadherin,Notch1,Rab25,PDK1_pS241,p62 Lck ligand,PRAS40_pT246
6,2.0,13.0,11.0,0.0,28.0,21.0,27.0,14.0,5.0,52.0,3.0,6.0,9.0,81.0,32.0,7.0,1.0,132.0,4.0,39.0,68.0,25.0,59.0,31.0,34.0,45.0,17.0,48.0,8.0,89.0
55,8.0,0.0,51.0,9.0,3.0,19.0,156.0,14.0,34.0,10.0,15.0,28.0,16.0,13.0,6.0,73.0,164.0,20.0,29.0,61.0,66.0,89.0,86.0,126.0,2.0,56.0,82.0,45.0,49.0,17.0
104,3.0,24.0,0.0,5.0,1.0,159.0,157.0,148.0,25.0,48.0,19.0,37.0,2.0,11.0,7.0,6.0,164.0,135.0,36.0,63.0,68.0,22.0,77.0,121.0,32.0,31.0,82.0,45.0,53.0,78.0
153,0.0,1.0,6.0,7.0,10.0,12.0,22.0,15.0,20.0,44.0,153.0,23.0,17.0,87.0,26.0,63.0,2.0,25.0,9.0,67.0,64.0,75.0,8.0,121.0,32.0,45.0,11.0,40.0,18.0,78.0
202,0.0,14.0,20.0,6.0,23.0,18.0,9.0,19.0,16.0,47.0,150.0,3.0,2.0,12.0,7.0,66.0,10.0,133.0,38.0,41.0,80.0,8.0,5.0,119.0,24.0,53.0,29.0,49.0,22.0,79.0
251,5.0,106.0,13.0,4.0,39.0,26.0,156.0,14.0,24.0,50.0,19.0,0.0,11.0,12.0,41.0,77.0,2.0,134.0,28.0,65.0,31.0,22.0,20.0,29.0,3.0,35.0,60.0,58.0,57.0,89.0
300,2.0,0.0,3.0,5.0,10.0,20.0,160.0,24.0,19.0,63.0,154.0,16.0,4.0,62.0,6.0,71.0,30.0,26.0,51.0,35.0,90.0,28.0,1.0,121.0,23.0,52.0,12.0,84.0,47.0,15.0
349,5.0,2.0,24.0,29.0,11.0,156.0,4.0,23.0,18.0,43.0,16.0,10.0,6.0,71.0,0.0,21.0,8.0,132.0,33.0,49.0,78.0,19.0,85.0,120.0,17.0,47.0,80.0,39.0,7.0,84.0
398,3.0,9.0,5.0,0.0,6.0,21.0,1.0,162.0,20.0,22.0,17.0,12.0,24.0,13.0,31.0,39.0,18.0,134.0,33.0,42.0,77.0,4.0,28.0,121.0,26.0,56.0,70.0,65.0,44.0,75.0
447,2.0,9.0,25.0,0.0,17.0,14.0,12.0,3.0,107.0,55.0,10.0,140.0,7.0,6.0,15.0,28.0,1.0,18.0,13.0,40.0,78.0,26.0,44.0,47.0,163.0,101.0,8.0,52.0,22.0,29.0
496,6.0,101.0,3.0,0.0,20.0,26.0,15.0,5.0,152.0,21.0,13.0,23.0,22.0,72.0,29.0,18.0,1.0,4.0,30.0,47.0,41.0,81.0,17.0,34.0,25.0,75.0,94.0,44.0,66.0,89.0
545,0.0,5.0,8.0,9.0,1.0,158.0,16.0,17.0,26.0,19.0,15.0,25.0,20.0,70.0,33.0,18.0,164.0,7.0,31.0,35.0,82.0,87.0,11.0,121.0,56.0,4.0,12.0,50.0,46.0,83.0
594,1.0,4.0,7.0,2.0,3.0,158.0,156.0,163.0,6.0,0.0,150.0,8.0,9.0,19.0,27.0,69.0,22.0,135.0,36.0,46.0,25.0,87.0,5.0,24.0,12.0,13.0,15.0,39.0,58.0,84.0
643,0.0,4.0,2.0,1.0,23.0,17.0,158.0,20.0,11.0,21.0,153.0,28.0,41.0,30.0,6.0,72.0,164.0,24.0,37.0,44.0,83.0,85.0,12.0,127.0,27.0,56.0,7.0,61.0,40.0,10.0
692,10.0,1.0,0.0,27.0,18.0,16.0,156.0,11.0,2.0,7.0,9.0,142.0,54.0,86.0,5.0,4.0,164.0,23.0,70.0,68.0,62.0,37.0,19.0,127.0,36.0,39.0,80.0,55.0,45.0,58.0
741,3.0,2.0,6.0,8.0,17.0,11.0,13.0,131.0,12.0,7.0,15.0,143.0,25.0,28.0,1.0,91.0,0.0,18.0,72.0,75.0,82.0,41.0,5.0,61.0,21.0,135.0,4.0,54.0,24.0,45.0
790,1.0,8.0,6.0,2.0,19.0,14.0,110.0,4.0,13.0,58.0,3.0,22.0,62.0,5.0,26.0,92.0,0.0,20.0,72.0,75.0,83.0,51.0,41.0,35.0,136.0,101.0,46.0,55.0,63.0,42.0
839,2.0,11.0,18.0,7.0,21.0,8.0,3.0,0.0,157.0,6.0,14.0,27.0,48.0,10.0,4.0,64.0,16.0,5.0,54.0,31.0,80.0,15.0,1.0,35.0,37.0,22.0,26.0,38.0,20.0,81.0
888,7.0,4.0,1.0,3.0,0.0,20.0,6.0,5.0,9.0,53.0,151.0,2.0,19.0,17.0,30.0,10.0,25.0,26.0,69.0,29.0,61.0,73.0,77.0,122.0,47.0,46.0,81.0,45.0,48.0,12.0
937,0.0,6.0,9.0,2.0,3.0,160.0,25.0,5.0,10.0,16.0,20.0,31.0,7.0,89.0,8.0,15.0,164.0,23.0,30.0,35.0,34.0,57.0,78.0,122.0,46.0,37.0,17.0,38.0,47.0,79.0
986,9.0,5.0,3.0,6.0,1.0,7.0,18.0,160.0,34.0,4.0,149.0,143.0,32.0,92.0,35.0,90.0,23.0,19.0,71.0,68.0,2.0,10.0,42.0,33.0,29.0,28.0,78.0,39.0,43.0,0.0
1035,2.0,5.0,3.0,0.0,29.0,20.0,34.0,146.0,158.0,18.0,19.0,26.0,15.0,86.0,1.0,75.0,164.0,37.0,69.0,27.0,61.0,57.0,7.0,122.0,33.0,55.0,8.0,45.0,14.0,77.0
1084,22.0,17.0,4.0,1.0,29.0,21.0,3.0,162.0,155.0,56.0,149.0,0.0,12.0,16.0,5.0,9.0,164.0,26.0,61.0,34.0,6.0,2.0,87.0,32.0,48.0,27.0,82.0,44.0,52.0,86.0
1133,8.0,2.0,21.0,0.0,11.0,9.0,107.0,133.0,13.0,22.0,113.0,7.0,6.0,94.0,3.0,5.0,164.0,10.0,71.0,29.0,27.0,40.0,23.0,55.0,99.0,100.0,1.0,50.0,59.0,43.0
1182,0.0,21.0,8.0,9.0,17.0,7.0,4.0,132.0,108.0,22.0,116.0,2.0,19.0,96.0,5.0,91.0,1.0,11.0,72.0,29.0,6.0,39.0,42.0,57.0,32.0,135.0,48.0,54.0,62.0,23.0
1231,1.0,2.0,21.0,0.0,4.0,32.0,156.0,147.0,157.0,14.0,150.0,5.0,3.0,20.0,29.0,11.0,164.0,133.0,24.0,61.0,68.0,80.0,25.0,7.0,48.0,33.0,78.0,38.0,39.0,75.0
1280,2.0,1.0,22.0,6.0,7.0,4.0,0.0,14.0,13.0,3.0,11.0,143.0,65.0,97.0,27.0,91.0,31.0,8.0,71.0,28.0,82.0,23.0,49.0,141.0,100.0,135.0,44.0,58.0,64.0,48.0
1329,15.0,1.0,42.0,6.0,0.0,27.0,14.0,155.0,157.0,18.0,152.0,25.0,19.0,71.0,30.0,28.0,164.0,4.0,58.0,36.0,5.0,89.0,12.0,41.0,56.0,23.0,81.0,78.0,45.0,10.0
1378,5.0,9.0,6.0,0.0,8.0,1.0,18.0,160.0,29.0,43.0,12.0,28.0,23.0,13.0,4.0,39.0,164.0,131.0,58.0,38.0,35.0,15.0,81.0,3.0,55.0,25.0,10.0,40.0,47.0,79.0
1427,2.0,10.0,1.0,7.0,0.0,158.0,15.0,162.0,156.0,18.0,151.0,4.0,21.0,68.0,6.0,61.0,164.0,133.0,62.0,31.0,33.0,14.0,83.0,121.0,53.0,54.0,13.0,59.0,43.0,29.0
1476,8.0,0.0,4.0,33.0,3.0,1.0,14.0,16.0,15.0,22.0,153.0,2.0,24.0,72.0,41.0,65.0,9.0,23.0,60.0,37.0,7.0,88.0,13.0,122.0,51.0,50.0,28.0,62.0,59.0,5.0
1525,2.0,1.0,19.0,7.0,134.0,5.0,24.0,162.0,163.0,55.0,151.0,27.0,56.0,86.0,31.0,22.0,0.0,23.0,28.0,69.0,64.0,41.0,15.0,122.0,6.0,44.0,57.0,50.0,38.0,58.0
1574,2.0,1.0,3.0,5.0,9.0,8.0,10.0,161.0,163.0,50.0,150.0,32.0,25.0,0.0,66.0,89.0,164.0,6.0,37.0,63.0,33.0,59.0,7.0,26.0,28.0,42.0,15.0,46.0,55.0,16.0
1623,1.0,2.0,0.0,121.0,4.0,10.0,31.0,146.0,157.0,21.0,20.0,25.0,49.0,87.0,30.0,18.0,164.0,13.0,11.0,68.0,33.0,56.0,77.0,123.0,53.0,46.0,80.0,41.0,50.0,19.0
1672,8.0,0.0,12.0,31.0,25.0,17.0,35.0,21.0,163.0,13.0,151.0,7.0,24.0,15.0,67.0,11.0,1.0,3.0,9.0,5.0,36.0,42.0,77.0,32.0,34.0,45.0,82.0,49.0,26.0,78.0
1721,9.0,10.0,5.0,8.0,24.0,2.0,156.0,23.0,25.0,52.0,20.0,37.0,36.0,6.0,29.0,1.0,164.0,27.0,3.0,32.0,30.0,38.0,78.0,31.0,0.0,40.0,82.0,49.0,54.0,22.0
1770,0.0,3.0,5.0,9.0,155.0,7.0,13.0,14.0,17.0,27.0,16.0,8.0,6.0,97.0,77.0,29.0,32.0,30.0,1.0,2.0,82.0,49.0,46.0,141.0,100.0,135.0,41.0,28.0,26.0,45.0
1819,4.0,1.0,0.0,6.0,28.0,20.0,7.0,15.0,157.0,47.0,152.0,19.0,12.0,85.0,66.0,25.0,164.0,29.0,30.0,5.0,61.0,56.0,77.0,120.0,45.0,26.0,80.0,40.0,24.0,21.0
1868,1.0,5.0,11.0,27.0,131.0,33.0,0.0,4.0,154.0,44.0,149.0,2.0,13.0,6.0,29.0,14.0,164.0,17.0,3.0,60.0,36.0,19.0,76.0,120.0,53.0,24.0,81.0,39.0,43.0,77.0
1917,4.0,0.0,17.0,121.0,133.0,1.0,12.0,162.0,157.0,16.0,153.0,28.0,18.0,30.0,51.0,34.0,6.0,20.0,39.0,37.0,5.0,82.0,9.0,122.0,25.0,26.0,74.0,13.0,45.0,77.0
1966,3.0,11.0,43.0,1.0,6.0,4.0,19.0,7.0,157.0,42.0,151.0,2.0,22.0,15.0,29.0,48.0,164.0,5.0,0.0,40.0,30.0,85.0,26.0,120.0,24.0,25.0,78.0,90.0,61.0,17.0
2015,5.0,4.0,20.0,30.0,137.0,2.0,0.0,27.0,1.0,39.0,17.0,8.0,47.0,11.0,6.0,31.0,3.0,131.0,35.0,44.0,87.0,24.0,85.0,122.0,57.0,58.0,29.0,41.0,49.0,84.0
2064,2.0,11.0,6.0,37.0,24.0,7.0,18.0,26.0,27.0,5.0,154.0,145.0,44.0,4.0,40.0,38.0,29.0,134.0,0.0,31.0,85.0,16.0,15.0,119.0,53.0,54.0,13.0,84.0,45.0,14.0
2113,8.0,0.0,19.0,1.0,22.0,27.0,14.0,20.0,160.0,7.0,13.0,26.0,43.0,16.0,38.0,69.0,2.0,23.0,33.0,59.0,6.0,81.0,5.0,122.0,24.0,58.0,4.0,87.0,44.0,91.0
