,OR51A2_DEL,NAALADL2_DEL,DPP6_DEL,GSTM1_DEL,UGT2B17_DEL,LRP1B_DEL,NRXN3_DEL,LILRA3_DEL,FLNA_MUT,MYO3B_MUT,SIGLEC14_DEL,GALC_DEL,HSF2BP_DEL,RNF103-CHMP3_DEL,RMND5A_DEL,FAM66A_DEL,DCAF10_DEL,CROCC_DEL,LARGE_DEL,GOLGA8DP_DEL,PAX5_DEL,TNRC6B_MUT,DST_MUT,MECOM_AMP,TDH_DEL,GSTTP2_DEL,MKRN3_MUT,TEX14_MUT,ARHGEF5_AMP,JAK2_AMP
31,0.0,16.0,2.0,4.0,5.0,11.0,32.0,7.0,61.0,18.0,256.0,30.0,6.0,15.0,14.0,9.0,289.0,468.0,29.0,8.0,10.0,55.0,44.0,48.0,25.0,137.0,185.0,240.0,534.0,75.0
80,4.0,70.0,0.0,7.0,6.0,3.0,8.0,9.0,12.0,27.0,1.0,22.0,2.0,32.0,31.0,53.0,112.0,172.0,353.0,10.0,19.0,51.0,5.0,142.0,47.0,62.0,1007.0,109.0,185.0,58.0
129,40.0,87.0,2.0,33.0,4.0,16.0,57.0,5.0,84.0,13.0,1.0,99.0,0.0,61.0,62.0,9.0,44.0,326.0,30.0,8.0,10.0,3.0,6.0,2248.0,39.0,11.0,140.0,211.0,653.0,64.0
178,6.0,7.0,9.0,27.0,0.0,12.0,14.0,19.0,230.0,47.0,54.0,25.0,1.0,52.0,51.0,4.0,207.0,95.0,10.0,8.0,53.0,67.0,32.0,66.0,26.0,3.0,226.0,657.0,160.0,124.0
227,463.0,3.0,2.0,5.0,32.0,48.0,29.0,35.0,10.0,9.0,8.0,22.0,1.0,7.0,6.0,27.0,43.0,212.0,21.0,20.0,80.0,16.0,135.0,36.0,14.0,72.0,211.0,433.0,118.0,64.0
276,6.0,39.0,1.0,0.0,22.0,9.0,12.0,7.0,69.0,83.0,15.0,61.0,3.0,17.0,16.0,203.0,32.0,23.0,108.0,5.0,135.0,14.0,102.0,28.0,43.0,26.0,145.0,188.0,17373.0,59.0
325,22.0,73.0,3.0,2.0,9.0,1.0,4.0,11.0,151.0,35.0,0.0,21.0,5.0,15.0,14.0,7.0,85.0,18.0,24.0,13.0,59.0,38.0,6.0,69.0,20.0,17.0,173.0,200.0,84.0,75.0
374,44.0,7.0,5.0,3.0,4.0,13.0,15.0,30.0,17.0,12.0,108.0,21.0,0.0,68.0,69.0,6.0,118.0,16.0,27.0,58.0,49.0,32.0,103.0,117.0,252.0,45.0,172.0,222.0,75.0,153.0
423,8.0,76.0,0.0,1.0,40.0,3.0,12.0,20.0,26.0,35.0,9.0,37.0,22.0,7.0,6.0,10.0,94.0,8621.0,13.0,111.0,15.0,38.0,2.0,110.0,31.0,17.0,143.0,235.0,117.0,136.0
472,44.0,8.0,2.0,5.0,3.0,83.0,110.0,6.0,105.0,18.0,11.0,120.0,4.0,329.0,330.0,315.0,167.0,90.0,14.0,20.0,403.0,47.0,977.0,134.0,53.0,12.0,15467.0,882.0,148.0,123.0
