, H2O2, PI3K_only, TLR, TGFB, TNFa, VEGF, Wnt, IL-1, JAK-STAT, MAPK_only, MAPK_PI3K
2195,0.0,1.0,2.0,4.0,7.0,5.0,3.0,6.0,8.0,10.0,9.0
2244,1.0,0.0,5.0,4.0,2.0,3.0,7.0,6.0,8.0,10.0,9.0
2293,0.0,1.0,2.0,4.0,6.0,3.0,9.0,7.0,8.0,5.0,10.0
2342,0.0,6.0,1.0,7.0,2.0,4.0,5.0,3.0,8.0,9.0,10.0
2391,0.0,4.0,1.0,3.0,5.0,2.0,6.0,9.0,8.0,7.0,10.0
2440,1.0,3.0,2.0,4.0,6.0,0.0,7.0,5.0,9.0,8.0,10.0
2489,1.0,0.0,3.0,2.0,4.0,6.0,5.0,7.0,8.0,10.0,9.0
2538,1.0,0.0,4.0,2.0,3.0,6.0,9.0,10.0,8.0,7.0,5.0
2587,0.0,2.0,1.0,6.0,3.0,4.0,5.0,10.0,7.0,9.0,8.0
2636,3.0,0.0,4.0,1.0,2.0,7.0,6.0,8.0,9.0,10.0,5.0
2685,1.0,0.0,4.0,2.0,8.0,3.0,9.0,10.0,6.0,5.0,7.0
2734,1.0,0.0,3.0,5.0,4.0,2.0,7.0,8.0,9.0,10.0,6.0
2783,0.0,1.0,4.0,5.0,3.0,2.0,6.0,9.0,10.0,8.0,7.0
2832,0.0,5.0,6.0,1.0,2.0,4.0,3.0,9.0,8.0,10.0,7.0
2881,1.0,0.0,2.0,3.0,5.0,4.0,8.0,10.0,9.0,7.0,6.0
2930,0.0,2.0,4.0,1.0,3.0,6.0,5.0,8.0,10.0,7.0,9.0
2979,0.0,1.0,4.0,3.0,2.0,5.0,8.0,7.0,6.0,10.0,9.0
3028,0.0,4.0,3.0,5.0,1.0,2.0,7.0,8.0,9.0,6.0,10.0
3077,0.0,1.0,4.0,5.0,3.0,2.0,6.0,9.0,7.0,8.0,10.0
3126,0.0,3.0,4.0,2.0,5.0,1.0,6.0,10.0,7.0,9.0,8.0
3175,0.0,1.0,2.0,6.0,7.0,3.0,5.0,9.0,4.0,8.0,10.0
3224,0.0,2.0,1.0,3.0,4.0,5.0,6.0,9.0,7.0,8.0,10.0
3273,0.0,1.0,3.0,4.0,2.0,5.0,6.0,8.0,7.0,10.0,9.0
3322,1.0,0.0,4.0,3.0,2.0,6.0,8.0,5.0,7.0,9.0,10.0
3371,0.0,1.0,4.0,5.0,3.0,2.0,7.0,9.0,6.0,8.0,10.0
3420,0.0,4.0,1.0,5.0,2.0,3.0,6.0,8.0,7.0,10.0,9.0
3469,0.0,3.0,2.0,6.0,4.0,1.0,5.0,7.0,8.0,10.0,9.0
3518,0.0,4.0,2.0,3.0,1.0,5.0,6.0,9.0,7.0,10.0,8.0
3567,0.0,1.0,6.0,3.0,2.0,5.0,9.0,4.0,10.0,7.0,8.0
3616,0.0,2.0,5.0,1.0,3.0,4.0,6.0,10.0,7.0,8.0,9.0
3665,0.0,1.0,3.0,4.0,2.0,7.0,5.0,8.0,9.0,10.0,6.0
3714,0.0,1.0,2.0,4.0,3.0,6.0,5.0,7.0,10.0,9.0,8.0
3763,0.0,3.0,6.0,2.0,4.0,1.0,5.0,8.0,10.0,9.0,7.0
3812,0.0,3.0,2.0,4.0,5.0,1.0,6.0,8.0,9.0,10.0,7.0
3861,0.0,1.0,6.0,4.0,8.0,2.0,5.0,10.0,9.0,7.0,3.0
3910,0.0,3.0,1.0,4.0,2.0,5.0,6.0,7.0,8.0,10.0,9.0
3959,2.0,0.0,3.0,4.0,7.0,1.0,5.0,6.0,8.0,10.0,9.0
