,Shc_pY317,RAD51,SHP-2_pY542,EGFR_pY1068,HER2_pY1248,Akt,MIG-6,B-Raf,ACC1,Syk,Smac,Rab25,NDRG1_pT346,Lck,Bim(EP1036),eEF2K,PAI-1,p21,JNK_pT183_Y185,P-Cadherin,RSK1-2-3,Paxillin,Chk2,NF2,E-Cadherin,PREX1,eEF2,S6_pS235_S236,Src,C-Raf(MP05-739)
0,0.0,2.0,7.0,1.0,6.0,38.0,12.0,3.0,32.0,5.0,9.0,4.0,42.0,45.0,144.0,13.0,18.0,19.0,124.0,17.0,26.0,25.0,83.0,108.0,37.0,22.0,52.0,152.0,55.0,131.0
49,0.0,1.0,7.0,8.0,4.0,12.0,2.0,10.0,17.0,9.0,14.0,6.0,15.0,50.0,16.0,44.0,5.0,26.0,124.0,13.0,34.0,20.0,110.0,93.0,3.0,43.0,63.0,116.0,36.0,53.0
98,0.0,1.0,4.0,2.0,3.0,8.0,29.0,5.0,13.0,6.0,20.0,11.0,21.0,18.0,23.0,69.0,121.0,98.0,99.0,7.0,35.0,49.0,14.0,131.0,26.0,39.0,71.0,43.0,65.0,96.0
147,0.0,1.0,22.0,10.0,9.0,36.0,33.0,5.0,12.0,8.0,2.0,4.0,16.0,3.0,54.0,14.0,49.0,26.0,78.0,39.0,28.0,17.0,72.0,151.0,88.0,38.0,87.0,42.0,11.0,69.0
196,0.0,6.0,2.0,1.0,7.0,5.0,29.0,10.0,4.0,3.0,14.0,13.0,24.0,15.0,16.0,86.0,20.0,77.0,71.0,21.0,17.0,94.0,11.0,39.0,12.0,8.0,82.0,70.0,28.0,105.0
245,0.0,2.0,5.0,1.0,3.0,6.0,45.0,10.0,7.0,9.0,11.0,4.0,139.0,13.0,23.0,77.0,108.0,28.0,79.0,12.0,17.0,67.0,31.0,29.0,30.0,63.0,66.0,114.0,21.0,105.0
294,0.0,1.0,5.0,3.0,6.0,40.0,13.0,2.0,22.0,39.0,8.0,10.0,24.0,11.0,9.0,48.0,33.0,35.0,61.0,14.0,82.0,63.0,29.0,65.0,15.0,134.0,53.0,90.0,12.0,133.0
343,0.0,5.0,3.0,1.0,4.0,62.0,7.0,6.0,38.0,2.0,20.0,8.0,22.0,17.0,9.0,21.0,69.0,30.0,126.0,12.0,11.0,10.0,68.0,26.0,84.0,13.0,159.0,154.0,64.0,46.0
392,0.0,2.0,4.0,6.0,14.0,36.0,1.0,5.0,93.0,20.0,57.0,7.0,65.0,9.0,28.0,3.0,22.0,38.0,127.0,19.0,8.0,23.0,48.0,87.0,12.0,81.0,108.0,137.0,34.0,13.0
441,0.0,2.0,21.0,1.0,35.0,10.0,20.0,18.0,8.0,3.0,14.0,36.0,5.0,6.0,7.0,89.0,19.0,28.0,11.0,155.0,16.0,15.0,9.0,12.0,65.0,73.0,74.0,29.0,61.0,33.0
490,0.0,1.0,3.0,5.0,4.0,2.0,7.0,45.0,40.0,27.0,73.0,6.0,25.0,42.0,17.0,15.0,10.0,12.0,80.0,16.0,39.0,11.0,9.0,26.0,8.0,37.0,44.0,28.0,19.0,14.0
539,0.0,3.0,1.0,16.0,5.0,10.0,2.0,95.0,13.0,8.0,4.0,41.0,38.0,40.0,20.0,30.0,19.0,15.0,136.0,23.0,112.0,108.0,7.0,17.0,22.0,6.0,33.0,9.0,18.0,44.0
