,STOMACH,OESOPHAGUS,LARGE_INTESTINE,OVARY,HAEMATOPOIETIC,KIDNEY,AERODIGESTIVE,BREAST,ENDOMETRIUM,SALIVARY,PROSTATE,PLEURA,BILIARY,THYROID,URINARY,PANCREAS,LIVER,SOFT_TISSUE,SKIN,NERVOUS,GANGLIA,BONE,LUNG
43,0.0,2.0,6.0,3.0,4.0,5.0,7.0,8.0,9.0,13.0,10.0,11.0,12.0,14.0,1.0,18.0,15.0,17.0,19.0,21.0,20.0,16.0,22.0
92,0.0,3.0,4.0,5.0,1.0,6.0,7.0,8.0,9.0,10.0,2.0,11.0,12.0,13.0,14.0,17.0,16.0,18.0,19.0,20.0,21.0,15.0,22.0
141,3.0,4.0,5.0,0.0,6.0,1.0,7.0,8.0,9.0,2.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,22.0,20.0,21.0
190,6.0,0.0,1.0,2.0,7.0,3.0,4.0,8.0,5.0,9.0,10.0,15.0,11.0,12.0,13.0,16.0,17.0,18.0,19.0,20.0,21.0,14.0,22.0
239,1.0,2.0,3.0,4.0,0.0,5.0,6.0,7.0,9.0,8.0,13.0,10.0,11.0,12.0,14.0,18.0,16.0,17.0,19.0,20.0,21.0,22.0,15.0
288,0.0,2.0,3.0,4.0,1.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,16.0,22.0
337,15.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,16.0,13.0,14.0,18.0,17.0,20.0,21.0,22.0,10.0,19.0,12.0
386,3.0,4.0,5.0,0.0,6.0,1.0,7.0,8.0,9.0,2.0,10.0,11.0,12.0,13.0,14.0,18.0,15.0,16.0,17.0,19.0,22.0,20.0,21.0
435,2.0,4.0,8.0,5.0,6.0,7.0,9.0,10.0,1.0,0.0,11.0,12.0,13.0,14.0,3.0,15.0,17.0,18.0,20.0,22.0,21.0,19.0,16.0
484,0.0,6.0,1.0,2.0,7.0,3.0,4.0,10.0,8.0,5.0,9.0,11.0,12.0,13.0,14.0,18.0,15.0,16.0,17.0,19.0,22.0,20.0,21.0
533,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,14.0,11.0,12.0,20.0,17.0,21.0,15.0,16.0,18.0,19.0,13.0,22.0
582,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,14.0,11.0,12.0,20.0,17.0,21.0,15.0,16.0,18.0,19.0,13.0,22.0
631,0.0,1.0,5.0,2.0,3.0,4.0,6.0,7.0,8.0,9.0,13.0,21.0,10.0,11.0,15.0,18.0,17.0,19.0,20.0,14.0,12.0,16.0,22.0
680,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,14.0,11.0,12.0,13.0,15.0,16.0,18.0,19.0,20.0,21.0,17.0,22.0
729,0.0,1.0,2.0,3.0,4.0,8.0,5.0,6.0,7.0,12.0,9.0,15.0,10.0,11.0,20.0,17.0,13.0,22.0,16.0,18.0,19.0,14.0,21.0
778,1.0,2.0,3.0,4.0,5.0,0.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,20.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
827,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,14.0,11.0,12.0,20.0,17.0,21.0,15.0,16.0,18.0,19.0,13.0,22.0
876,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,14.0,11.0,12.0,20.0,17.0,21.0,15.0,16.0,18.0,19.0,13.0,22.0
925,2.0,3.0,4.0,5.0,6.0,0.0,7.0,8.0,9.0,10.0,1.0,13.0,11.0,12.0,14.0,19.0,15.0,17.0,18.0,20.0,21.0,16.0,22.0
974,0.0,1.0,2.0,7.0,8.0,3.0,4.0,5.0,9.0,6.0,10.0,14.0,11.0,12.0,13.0,18.0,20.0,22.0,17.0,19.0,15.0,16.0,21.0
1023,11.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,12.0,10.0,15.0,13.0,14.0,17.0,16.0,21.0,18.0,22.0,19.0,20.0,0.0
1072,0.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,12.0,11.0,10.0,14.0,13.0,15.0,19.0,16.0,20.0,18.0,21.0,22.0,17.0,2.0
1121,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,8.0,11.0,10.0,13.0,15.0,16.0,12.0,14.0,18.0,19.0,20.0,21.0,22.0,17.0
1170,7.0,0.0,8.0,1.0,2.0,3.0,4.0,5.0,9.0,10.0,12.0,6.0,13.0,14.0,15.0,19.0,11.0,17.0,18.0,20.0,21.0,22.0,16.0
1219,2.0,0.0,3.0,4.0,5.0,6.0,7.0,1.0,8.0,9.0,11.0,10.0,12.0,13.0,15.0,20.0,16.0,18.0,19.0,21.0,14.0,22.0,17.0
1268,0.0,4.0,5.0,6.0,7.0,1.0,8.0,9.0,2.0,3.0,11.0,10.0,12.0,13.0,15.0,18.0,14.0,17.0,22.0,19.0,20.0,21.0,16.0
1317,5.0,0.0,6.0,1.0,2.0,7.0,8.0,3.0,9.0,10.0,4.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0,19.0,20.0,21.0,22.0,18.0
1366,0.0,7.0,8.0,9.0,10.0,1.0,2.0,11.0,4.0,3.0,13.0,5.0,15.0,14.0,16.0,12.0,17.0,21.0,22.0,18.0,19.0,20.0,6.0
1415,0.0,1.0,5.0,2.0,3.0,4.0,6.0,8.0,9.0,7.0,15.0,12.0,10.0,11.0,20.0,14.0,16.0,17.0,18.0,19.0,13.0,21.0,22.0
1464,6.0,1.0,7.0,8.0,2.0,3.0,4.0,9.0,10.0,11.0,12.0,5.0,14.0,13.0,16.0,17.0,15.0,19.0,20.0,21.0,22.0,18.0,0.0
1513,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,11.0,14.0,13.0,15.0,18.0,16.0,17.0,22.0,19.0,20.0,21.0,0.0
1562,2.0,3.0,1.0,4.0,5.0,6.0,7.0,15.0,8.0,9.0,11.0,10.0,14.0,12.0,13.0,16.0,22.0,18.0,19.0,20.0,21.0,17.0,0.0
1611,0.0,1.0,9.0,7.0,8.0,2.0,3.0,5.0,6.0,4.0,15.0,13.0,10.0,12.0,11.0,14.0,16.0,22.0,17.0,19.0,18.0,20.0,21.0
1660,0.0,1.0,7.0,8.0,9.0,2.0,3.0,4.0,5.0,6.0,10.0,11.0,12.0,13.0,14.0,18.0,16.0,22.0,17.0,19.0,20.0,15.0,21.0
1709,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,10.0,12.0,13.0,14.0,18.0,16.0,17.0,22.0,19.0,20.0,21.0,15.0
1758,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,19.0,15.0,17.0,18.0,20.0,21.0,22.0,16.0
1807,3.0,4.0,5.0,6.0,7.0,0.0,8.0,9.0,1.0,2.0,10.0,11.0,14.0,13.0,15.0,18.0,16.0,22.0,17.0,19.0,20.0,21.0,12.0
1856,2.0,3.0,0.0,4.0,5.0,6.0,7.0,10.0,8.0,9.0,1.0,11.0,12.0,13.0,20.0,17.0,14.0,15.0,16.0,18.0,19.0,21.0,22.0
1905,0.0,1.0,8.0,2.0,9.0,3.0,4.0,5.0,6.0,12.0,10.0,14.0,13.0,11.0,15.0,20.0,16.0,18.0,19.0,21.0,22.0,17.0,7.0
1954,0.0,3.0,1.0,4.0,5.0,6.0,7.0,10.0,8.0,9.0,12.0,11.0,14.0,13.0,16.0,19.0,15.0,17.0,18.0,20.0,21.0,22.0,2.0
2003,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,12.0,9.0,10.0,11.0,13.0,20.0,17.0,21.0,15.0,16.0,18.0,19.0,14.0,22.0
2052,0.0,1.0,4.0,2.0,8.0,3.0,5.0,6.0,7.0,11.0,15.0,12.0,9.0,10.0,19.0,14.0,22.0,16.0,17.0,18.0,13.0,20.0,21.0
2101,0.0,3.0,4.0,1.0,5.0,6.0,7.0,2.0,8.0,12.0,10.0,9.0,11.0,13.0,14.0,18.0,15.0,22.0,17.0,19.0,20.0,16.0,21.0
2150,12.0,0.0,1.0,3.0,4.0,7.0,2.0,5.0,6.0,13.0,8.0,9.0,10.0,11.0,20.0,18.0,14.0,16.0,17.0,19.0,21.0,15.0,22.0
2199,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,12.0,9.0,10.0,11.0,13.0,20.0,17.0,21.0,15.0,16.0,18.0,19.0,14.0,22.0
2248,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,12.0,9.0,10.0,11.0,13.0,20.0,17.0,21.0,15.0,16.0,18.0,19.0,14.0,22.0
2297,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,12.0,9.0,10.0,11.0,13.0,15.0,19.0,14.0,17.0,18.0,20.0,21.0,16.0,22.0
2346,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,12.0,9.0,10.0,11.0,13.0,20.0,17.0,21.0,15.0,16.0,18.0,19.0,14.0,22.0
2395,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,13.0,9.0,16.0,10.0,11.0,12.0,19.0,14.0,17.0,18.0,20.0,21.0,15.0,22.0
2444,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,12.0,0.0,10.0,11.0,13.0,14.0,19.0,22.0,17.0,18.0,20.0,21.0,15.0,16.0
2493,0.0,1.0,2.0,3.0,4.0,10.0,5.0,6.0,7.0,8.0,22.0,12.0,9.0,11.0,19.0,13.0,15.0,16.0,17.0,18.0,21.0,20.0,14.0
2542,5.0,0.0,7.0,1.0,6.0,11.0,8.0,4.0,3.0,2.0,16.0,14.0,9.0,12.0,10.0,13.0,17.0,18.0,19.0,20.0,15.0,21.0,22.0
2591,5.0,6.0,7.0,0.0,8.0,14.0,1.0,2.0,3.0,4.0,9.0,11.0,12.0,13.0,16.0,10.0,17.0,18.0,19.0,20.0,15.0,21.0,22.0
2640,7.0,0.0,9.0,1.0,8.0,12.0,2.0,4.0,5.0,3.0,14.0,6.0,10.0,13.0,15.0,17.0,16.0,22.0,18.0,19.0,11.0,20.0,21.0
2689,7.0,0.0,9.0,1.0,8.0,11.0,2.0,5.0,6.0,3.0,15.0,13.0,10.0,12.0,22.0,4.0,16.0,17.0,18.0,19.0,14.0,20.0,21.0
2738,0.0,1.0,2.0,3.0,4.0,10.0,5.0,6.0,7.0,8.0,22.0,12.0,9.0,11.0,19.0,13.0,15.0,16.0,17.0,18.0,21.0,20.0,14.0
2787,6.0,0.0,1.0,2.0,7.0,9.0,3.0,4.0,5.0,11.0,22.0,12.0,8.0,10.0,19.0,13.0,15.0,16.0,17.0,18.0,21.0,20.0,14.0
2836,0.0,2.0,5.0,3.0,4.0,11.0,7.0,9.0,8.0,6.0,16.0,14.0,10.0,12.0,1.0,13.0,17.0,18.0,19.0,20.0,15.0,21.0,22.0
