,STOMACH,GANGLIA,HAEMATOPOIETIC,PANCREAS,BONE,SOFT_TISSUE,LARGE_INTESTINE,PLEURA,BILIARY,THYROID,OESOPHAGUS,ENDOMETRIUM,PROSTATE,BREAST,SALIVARY,AERODIGESTIVE,SKIN,KIDNEY,OVARY,LIVER,LUNG,NERVOUS,URINARY
43,2.0,3.0,6.0,5.0,0.0,1.0,4.0,8.0,9.0,10.0,21.0,12.0,7.0,13.0,18.0,20.0,17.0,19.0,14.0,11.0,22.0,15.0,16.0
92,0.0,1.0,3.0,2.0,4.0,5.0,6.0,8.0,9.0,10.0,21.0,11.0,7.0,16.0,13.0,18.0,22.0,15.0,17.0,14.0,12.0,19.0,20.0
141,0.0,1.0,3.0,2.0,4.0,5.0,7.0,18.0,9.0,10.0,14.0,8.0,6.0,12.0,11.0,21.0,15.0,19.0,20.0,17.0,16.0,13.0,22.0
190,0.0,1.0,3.0,2.0,4.0,5.0,14.0,7.0,11.0,10.0,21.0,12.0,6.0,18.0,8.0,19.0,22.0,16.0,17.0,15.0,9.0,13.0,20.0
239,2.0,3.0,6.0,5.0,0.0,1.0,4.0,8.0,9.0,10.0,22.0,20.0,7.0,21.0,18.0,13.0,16.0,19.0,12.0,11.0,17.0,14.0,15.0
288,2.0,3.0,6.0,5.0,0.0,1.0,4.0,8.0,9.0,10.0,22.0,20.0,7.0,21.0,18.0,13.0,16.0,19.0,12.0,11.0,17.0,14.0,15.0
337,0.0,1.0,3.0,2.0,4.0,5.0,7.0,8.0,9.0,10.0,21.0,12.0,6.0,17.0,15.0,19.0,22.0,11.0,18.0,16.0,14.0,13.0,20.0
386,0.0,1.0,3.0,2.0,4.0,7.0,5.0,6.0,10.0,11.0,20.0,9.0,8.0,15.0,21.0,17.0,13.0,14.0,16.0,12.0,22.0,18.0,19.0
435,0.0,1.0,3.0,2.0,4.0,5.0,7.0,8.0,11.0,10.0,21.0,15.0,6.0,16.0,12.0,18.0,22.0,14.0,17.0,13.0,9.0,19.0,20.0
484,0.0,1.0,3.0,2.0,4.0,5.0,6.0,8.0,9.0,10.0,22.0,16.0,7.0,17.0,13.0,19.0,11.0,15.0,18.0,14.0,12.0,20.0,21.0
