,hsa-miR-130a,hsa-miR-99a,hsa-miR-222,hsa-miR-223,hsa-miR-342-3p,hsa-miR-1302,hsa-miR-34a,hsa-let-7c,hsa-miR-218,hsa-miR-135b,hsa-miR-497,hsa-miR-508-3p,hsa-miR-9,hsa-miR-214,hsa-miR-129-3p,hsa-miR-345,hsa-miR-193a-5p,hsa-miR-96,hsa-miR-483-3p,hsa-miR-548p,hsa-miR-513b,hsa-miR-545,hsa-miR-195,hsa-miR-215,hsa-miR-1252,hsa-miR-1263,hsa-miR-582-5p,hsa-miR-1469,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-22
18,1.0,3.0,0.0,6.0,2.0,80.0,10.0,4.0,5.0,7.0,100.0,25.0,38.0,35.0,8.0,67.0,27.0,321.0,99.0,18.0,16.0,155.0,21.0,11.0,12.0,32.0,153.0,93.0,72.0,103.0
67,1.0,0.0,3.0,2.0,8.0,16.0,15.0,4.0,5.0,79.0,20.0,12.0,7.0,115.0,14.0,107.0,22.0,36.0,34.0,86.0,68.0,6.0,23.0,10.0,43.0,210.0,127.0,11.0,42.0,38.0
116,3.0,0.0,2.0,1.0,5.0,20.0,12.0,8.0,6.0,14.0,61.0,37.0,4.0,27.0,13.0,59.0,50.0,44.0,22.0,408.0,141.0,29.0,19.0,21.0,62.0,107.0,43.0,11.0,55.0,262.0
165,4.0,0.0,1.0,3.0,7.0,30.0,16.0,2.0,15.0,12.0,11.0,13.0,8.0,58.0,9.0,6.0,55.0,17.0,24.0,325.0,338.0,20.0,14.0,34.0,125.0,28.0,29.0,38.0,5.0,153.0
214,0.0,11.0,2.0,1.0,8.0,30.0,6.0,20.0,14.0,4.0,9.0,7.0,10.0,544.0,5.0,109.0,189.0,277.0,27.0,318.0,323.0,17.0,85.0,50.0,13.0,247.0,45.0,21.0,12.0,107.0
263,1.0,2.0,3.0,0.0,6.0,7.0,12.0,4.0,5.0,10.0,64.0,9.0,35.0,128.0,20.0,275.0,28.0,170.0,11.0,13.0,22.0,23.0,74.0,15.0,149.0,75.0,168.0,171.0,77.0,14.0
312,0.0,4.0,3.0,1.0,8.0,15.0,2.0,9.0,10.0,5.0,20.0,29.0,6.0,324.0,11.0,18.0,17.0,54.0,12.0,228.0,80.0,26.0,116.0,7.0,40.0,239.0,25.0,95.0,13.0,255.0
361,1.0,2.0,3.0,0.0,10.0,4.0,14.0,7.0,9.0,5.0,41.0,6.0,31.0,21.0,337.0,459.0,71.0,37.0,16.0,32.0,34.0,26.0,95.0,11.0,15.0,507.0,42.0,22.0,8.0,24.0
410,2.0,6.0,3.0,4.0,5.0,64.0,1.0,9.0,8.0,0.0,20.0,10.0,36.0,46.0,11.0,49.0,176.0,189.0,14.0,161.0,32.0,94.0,65.0,13.0,7.0,29.0,28.0,12.0,23.0,59.0
459,2.0,0.0,1.0,5.0,4.0,43.0,3.0,7.0,10.0,16.0,14.0,15.0,59.0,17.0,8.0,39.0,156.0,87.0,38.0,126.0,136.0,261.0,40.0,6.0,65.0,51.0,11.0,69.0,30.0,434.0
508,3.0,0.0,10.0,7.0,6.0,35.0,1.0,2.0,100.0,4.0,41.0,34.0,103.0,26.0,37.0,325.0,13.0,11.0,8.0,25.0,22.0,343.0,85.0,21.0,5.0,14.0,32.0,321.0,48.0,93.0
557,2.0,3.0,4.0,0.0,7.0,1.0,5.0,12.0,39.0,9.0,13.0,16.0,58.0,83.0,37.0,44.0,28.0,48.0,121.0,35.0,18.0,483.0,107.0,19.0,8.0,10.0,250.0,141.0,57.0,22.0
606,2.0,4.0,1.0,0.0,6.0,8.0,3.0,11.0,12.0,7.0,5.0,46.0,70.0,50.0,91.0,73.0,21.0,38.0,9.0,39.0,82.0,25.0,20.0,10.0,19.0,23.0,43.0,527.0,27.0,44.0
655,1.0,6.0,2.0,0.0,3.0,10.0,4.0,13.0,20.0,5.0,8.0,18.0,9.0,27.0,49.0,612.0,76.0,41.0,7.0,37.0,17.0,29.0,12.0,11.0,372.0,21.0,15.0,224.0,98.0,31.0
704,0.0,3.0,2.0,1.0,8.0,13.0,11.0,20.0,5.0,17.0,6.0,15.0,93.0,177.0,21.0,215.0,38.0,34.0,24.0,9.0,19.0,55.0,64.0,10.0,4.0,12.0,18.0,112.0,275.0,98.0
753,3.0,4.0,0.0,2.0,7.0,5.0,1.0,16.0,6.0,8.0,17.0,28.0,44.0,435.0,13.0,26.0,14.0,64.0,12.0,106.0,95.0,34.0,83.0,15.0,31.0,50.0,261.0,483.0,24.0,32.0
802,1.0,4.0,3.0,0.0,23.0,5.0,2.0,6.0,10.0,7.0,79.0,8.0,60.0,99.0,24.0,64.0,26.0,39.0,43.0,243.0,27.0,34.0,405.0,16.0,25.0,20.0,19.0,207.0,69.0,35.0
851,3.0,2.0,0.0,1.0,4.0,5.0,9.0,41.0,6.0,8.0,89.0,21.0,37.0,116.0,14.0,27.0,25.0,42.0,18.0,11.0,61.0,153.0,108.0,85.0,13.0,10.0,52.0,104.0,15.0,344.0
900,3.0,2.0,4.0,0.0,1.0,5.0,89.0,12.0,21.0,6.0,7.0,9.0,13.0,68.0,10.0,15.0,33.0,57.0,8.0,11.0,18.0,61.0,76.0,170.0,16.0,40.0,132.0,39.0,25.0,312.0
949,6.0,7.0,21.0,0.0,3.0,10.0,4.0,1.0,2.0,5.0,13.0,8.0,68.0,64.0,30.0,18.0,12.0,15.0,9.0,11.0,281.0,44.0,20.0,24.0,45.0,89.0,48.0,217.0,99.0,124.0
998,6.0,5.0,11.0,4.0,1.0,2.0,0.0,30.0,8.0,10.0,51.0,3.0,355.0,7.0,31.0,21.0,23.0,26.0,88.0,38.0,36.0,14.0,44.0,34.0,29.0,427.0,16.0,41.0,199.0,450.0
1047,2.0,0.0,3.0,8.0,4.0,6.0,5.0,1.0,11.0,39.0,23.0,13.0,335.0,7.0,43.0,25.0,64.0,9.0,10.0,19.0,67.0,27.0,89.0,20.0,69.0,14.0,18.0,59.0,17.0,46.0
1096,2.0,9.0,1.0,3.0,4.0,10.0,7.0,8.0,11.0,15.0,18.0,12.0,57.0,0.0,47.0,6.0,13.0,70.0,277.0,30.0,36.0,28.0,32.0,146.0,41.0,53.0,21.0,54.0,200.0,26.0
1145,3.0,1.0,2.0,9.0,0.0,8.0,5.0,15.0,31.0,6.0,7.0,10.0,102.0,22.0,26.0,4.0,16.0,11.0,12.0,30.0,77.0,71.0,45.0,457.0,58.0,256.0,36.0,478.0,95.0,19.0
1194,5.0,4.0,10.0,8.0,2.0,3.0,0.0,1.0,152.0,127.0,25.0,11.0,262.0,9.0,52.0,13.0,108.0,14.0,6.0,80.0,35.0,12.0,163.0,21.0,7.0,23.0,234.0,37.0,64.0,73.0
1243,0.0,12.0,3.0,10.0,6.0,11.0,1.0,9.0,34.0,7.0,4.0,2.0,40.0,5.0,26.0,25.0,31.0,19.0,44.0,13.0,23.0,105.0,14.0,60.0,244.0,229.0,8.0,307.0,64.0,214.0
1292,0.0,7.0,9.0,10.0,2.0,11.0,3.0,4.0,25.0,23.0,1.0,112.0,27.0,6.0,26.0,33.0,41.0,32.0,5.0,54.0,330.0,14.0,16.0,57.0,22.0,64.0,8.0,18.0,15.0,65.0
1341,1.0,5.0,0.0,70.0,3.0,2.0,8.0,16.0,9.0,4.0,7.0,29.0,28.0,13.0,18.0,12.0,21.0,6.0,60.0,10.0,85.0,22.0,20.0,56.0,23.0,233.0,31.0,127.0,68.0,82.0
1390,7.0,0.0,3.0,10.0,2.0,4.0,22.0,1.0,42.0,5.0,8.0,15.0,19.0,11.0,21.0,16.0,23.0,146.0,18.0,25.0,13.0,12.0,17.0,155.0,14.0,24.0,140.0,115.0,30.0,80.0
1439,1.0,0.0,3.0,2.0,5.0,6.0,12.0,4.0,8.0,29.0,11.0,7.0,14.0,32.0,36.0,9.0,20.0,55.0,19.0,58.0,15.0,13.0,54.0,448.0,17.0,467.0,25.0,23.0,149.0,62.0
1488,3.0,0.0,8.0,1.0,6.0,7.0,2.0,5.0,30.0,24.0,4.0,11.0,109.0,13.0,35.0,27.0,38.0,65.0,9.0,10.0,15.0,96.0,18.0,53.0,92.0,55.0,113.0,52.0,21.0,56.0
1537,2.0,0.0,1.0,4.0,5.0,16.0,3.0,7.0,6.0,8.0,14.0,11.0,17.0,27.0,12.0,196.0,187.0,341.0,181.0,13.0,26.0,109.0,122.0,20.0,44.0,199.0,83.0,91.0,9.0,139.0
1586,4.0,2.0,6.0,5.0,3.0,1.0,0.0,13.0,11.0,12.0,71.0,8.0,78.0,17.0,99.0,169.0,31.0,77.0,84.0,22.0,37.0,80.0,29.0,59.0,147.0,16.0,7.0,268.0,9.0,74.0
1635,4.0,3.0,0.0,1.0,10.0,5.0,6.0,19.0,14.0,17.0,8.0,9.0,32.0,33.0,22.0,160.0,112.0,2.0,25.0,7.0,127.0,41.0,29.0,12.0,307.0,44.0,11.0,80.0,13.0,433.0
1684,14.0,7.0,0.0,1.0,6.0,2.0,5.0,24.0,20.0,62.0,10.0,15.0,35.0,9.0,52.0,34.0,19.0,30.0,31.0,13.0,99.0,40.0,26.0,83.0,8.0,71.0,4.0,72.0,18.0,439.0
1733,6.0,2.0,9.0,0.0,4.0,1.0,3.0,11.0,7.0,14.0,16.0,5.0,101.0,60.0,44.0,30.0,69.0,10.0,13.0,15.0,8.0,105.0,59.0,99.0,123.0,136.0,330.0,33.0,42.0,147.0
1782,2.0,0.0,5.0,3.0,8.0,15.0,1.0,14.0,10.0,9.0,7.0,12.0,37.0,11.0,33.0,19.0,35.0,32.0,13.0,6.0,16.0,71.0,92.0,28.0,159.0,98.0,4.0,76.0,25.0,376.0
1831,6.0,4.0,7.0,3.0,5.0,0.0,1.0,2.0,39.0,10.0,13.0,8.0,23.0,29.0,74.0,234.0,22.0,99.0,33.0,125.0,9.0,44.0,16.0,25.0,87.0,307.0,127.0,56.0,11.0,65.0
1880,7.0,0.0,5.0,6.0,2.0,1.0,3.0,4.0,9.0,11.0,58.0,14.0,50.0,15.0,102.0,91.0,16.0,82.0,115.0,63.0,42.0,153.0,18.0,26.0,48.0,111.0,10.0,170.0,419.0,565.0
1929,9.0,0.0,3.0,11.0,4.0,1.0,2.0,5.0,6.0,15.0,8.0,10.0,29.0,47.0,33.0,43.0,89.0,154.0,24.0,30.0,25.0,109.0,13.0,12.0,55.0,378.0,21.0,52.0,35.0,308.0
1978,2.0,1.0,0.0,6.0,4.0,7.0,8.0,3.0,9.0,12.0,5.0,99.0,29.0,16.0,27.0,14.0,425.0,342.0,30.0,39.0,72.0,38.0,228.0,35.0,25.0,117.0,11.0,76.0,164.0,176.0
2027,0.0,1.0,5.0,2.0,4.0,3.0,7.0,10.0,17.0,14.0,32.0,6.0,8.0,22.0,403.0,23.0,12.0,60.0,186.0,49.0,20.0,37.0,61.0,21.0,24.0,491.0,374.0,9.0,261.0,200.0
2076,2.0,0.0,11.0,1.0,4.0,3.0,6.0,5.0,7.0,124.0,10.0,9.0,16.0,29.0,126.0,17.0,58.0,23.0,148.0,116.0,19.0,44.0,21.0,500.0,40.0,118.0,12.0,114.0,129.0,88.0
2125,3.0,0.0,7.0,9.0,10.0,4.0,42.0,11.0,420.0,2.0,21.0,24.0,13.0,6.0,1.0,14.0,26.0,94.0,119.0,18.0,30.0,40.0,12.0,47.0,49.0,77.0,59.0,72.0,33.0,23.0
2174,0.0,1.0,9.0,12.0,3.0,5.0,2.0,14.0,10.0,7.0,16.0,13.0,41.0,4.0,47.0,6.0,168.0,264.0,128.0,19.0,15.0,107.0,48.0,21.0,221.0,344.0,20.0,152.0,262.0,448.0
2223,0.0,1.0,4.0,5.0,24.0,16.0,6.0,7.0,3.0,2.0,11.0,27.0,18.0,9.0,17.0,19.0,267.0,8.0,79.0,64.0,53.0,65.0,526.0,15.0,30.0,23.0,10.0,14.0,40.0,313.0
2272,2.0,1.0,15.0,3.0,5.0,0.0,14.0,10.0,4.0,13.0,6.0,17.0,8.0,7.0,41.0,19.0,12.0,56.0,18.0,11.0,94.0,51.0,268.0,28.0,98.0,26.0,9.0,20.0,59.0,160.0
2321,1.0,0.0,4.0,2.0,17.0,15.0,6.0,3.0,10.0,93.0,48.0,7.0,5.0,9.0,59.0,69.0,136.0,22.0,54.0,87.0,18.0,92.0,20.0,11.0,65.0,21.0,12.0,265.0,263.0,30.0
2370,0.0,9.0,2.0,1.0,8.0,5.0,21.0,32.0,3.0,44.0,4.0,6.0,57.0,14.0,11.0,70.0,105.0,97.0,16.0,7.0,26.0,74.0,53.0,17.0,20.0,255.0,30.0,96.0,86.0,299.0
2419,0.0,1.0,2.0,6.0,3.0,154.0,30.0,5.0,23.0,53.0,10.0,21.0,4.0,13.0,121.0,17.0,129.0,20.0,175.0,117.0,26.0,34.0,28.0,78.0,111.0,43.0,9.0,57.0,140.0,135.0
2468,1.0,0.0,2.0,4.0,44.0,5.0,73.0,3.0,17.0,100.0,40.0,20.0,9.0,13.0,22.0,50.0,7.0,8.0,216.0,14.0,90.0,31.0,26.0,117.0,21.0,310.0,452.0,12.0,97.0,16.0
2517,0.0,1.0,5.0,4.0,6.0,8.0,7.0,2.0,3.0,46.0,14.0,9.0,29.0,12.0,11.0,173.0,15.0,10.0,275.0,21.0,72.0,163.0,41.0,34.0,20.0,176.0,59.0,145.0,299.0,56.0
2566,2.0,0.0,3.0,4.0,10.0,1.0,21.0,6.0,7.0,12.0,72.0,24.0,17.0,11.0,15.0,25.0,53.0,8.0,73.0,27.0,26.0,14.0,89.0,493.0,59.0,30.0,183.0,205.0,479.0,5.0
2615,1.0,0.0,10.0,5.0,34.0,4.0,72.0,2.0,14.0,41.0,3.0,87.0,81.0,26.0,19.0,38.0,30.0,22.0,42.0,11.0,13.0,18.0,185.0,74.0,195.0,448.0,25.0,28.0,138.0,52.0
2664,0.0,4.0,6.0,7.0,3.0,1.0,41.0,14.0,17.0,31.0,49.0,24.0,90.0,15.0,175.0,8.0,10.0,9.0,33.0,238.0,117.0,43.0,388.0,54.0,13.0,70.0,152.0,22.0,89.0,23.0
2713,0.0,1.0,4.0,2.0,11.0,7.0,39.0,3.0,10.0,12.0,6.0,8.0,93.0,21.0,20.0,14.0,23.0,45.0,53.0,9.0,70.0,5.0,571.0,59.0,62.0,29.0,299.0,17.0,215.0,37.0
2762,0.0,1.0,9.0,13.0,4.0,3.0,6.0,2.0,131.0,26.0,24.0,7.0,190.0,12.0,210.0,164.0,25.0,18.0,67.0,304.0,516.0,32.0,65.0,120.0,90.0,33.0,11.0,31.0,183.0,8.0
2811,0.0,1.0,5.0,8.0,3.0,7.0,6.0,4.0,26.0,30.0,49.0,15.0,79.0,11.0,22.0,152.0,18.0,2.0,21.0,13.0,10.0,97.0,211.0,374.0,9.0,195.0,439.0,20.0,336.0,35.0
