,hsa-miR-130a,hsa-miR-99a,hsa-miR-222,hsa-miR-223,hsa-miR-342-3p,hsa-miR-1302,hsa-miR-34a,hsa-let-7c,hsa-miR-218,hsa-miR-135b,hsa-miR-497,hsa-miR-508-3p,hsa-miR-9,hsa-miR-214,hsa-miR-129-3p,hsa-miR-345,hsa-miR-193a-5p,hsa-miR-96,hsa-miR-483-3p,hsa-miR-548p,hsa-miR-513b,hsa-miR-545,hsa-miR-195,hsa-miR-215,hsa-miR-1252,hsa-miR-1263,hsa-miR-582-5p,hsa-miR-1469,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-22
2860,0.0,2.0,4.0,5.0,8.0,3.0,46.0,1.0,30.0,87.0,13.0,41.0,72.0,23.0,68.0,20.0,12.0,6.0,47.0,195.0,16.0,222.0,220.0,80.0,50.0,29.0,239.0,7.0,114.0,39.0
2909,0.0,5.0,2.0,10.0,1.0,3.0,4.0,6.0,23.0,80.0,109.0,27.0,99.0,39.0,70.0,17.0,7.0,281.0,13.0,31.0,253.0,16.0,411.0,68.0,246.0,9.0,21.0,338.0,167.0,312.0
2958,2.0,0.0,11.0,1.0,35.0,4.0,5.0,3.0,7.0,6.0,31.0,10.0,15.0,24.0,43.0,175.0,51.0,9.0,142.0,37.0,17.0,8.0,20.0,105.0,135.0,55.0,530.0,58.0,29.0,14.0
3007,3.0,1.0,7.0,2.0,4.0,0.0,9.0,6.0,11.0,23.0,17.0,5.0,12.0,10.0,24.0,224.0,43.0,22.0,15.0,25.0,74.0,18.0,31.0,238.0,244.0,51.0,262.0,35.0,276.0,79.0
3056,1.0,3.0,5.0,2.0,36.0,18.0,306.0,0.0,22.0,15.0,8.0,7.0,4.0,120.0,69.0,65.0,19.0,16.0,57.0,13.0,63.0,41.0,20.0,260.0,48.0,84.0,283.0,38.0,29.0,55.0
3105,6.0,0.0,12.0,1.0,4.0,3.0,7.0,2.0,22.0,9.0,5.0,20.0,11.0,223.0,28.0,32.0,339.0,17.0,50.0,170.0,37.0,26.0,21.0,124.0,10.0,8.0,401.0,55.0,13.0,178.0
3154,3.0,1.0,0.0,2.0,41.0,5.0,6.0,7.0,4.0,26.0,17.0,37.0,476.0,10.0,8.0,93.0,442.0,255.0,50.0,15.0,38.0,28.0,19.0,61.0,44.0,13.0,48.0,462.0,20.0,51.0
3203,2.0,1.0,9.0,4.0,3.0,6.0,0.0,8.0,10.0,7.0,5.0,39.0,32.0,108.0,35.0,149.0,34.0,14.0,15.0,221.0,102.0,18.0,41.0,24.0,104.0,45.0,60.0,83.0,262.0,283.0
3252,8.0,0.0,1.0,6.0,5.0,3.0,7.0,10.0,11.0,2.0,16.0,9.0,4.0,77.0,19.0,21.0,424.0,124.0,118.0,38.0,29.0,13.0,34.0,102.0,113.0,33.0,172.0,23.0,65.0,15.0
3301,0.0,1.0,4.0,13.0,5.0,9.0,7.0,3.0,2.0,14.0,6.0,21.0,12.0,92.0,8.0,221.0,177.0,22.0,220.0,67.0,44.0,150.0,20.0,58.0,328.0,11.0,72.0,398.0,434.0,88.0
3350,0.0,1.0,3.0,2.0,4.0,11.0,8.0,7.0,6.0,5.0,18.0,12.0,14.0,162.0,15.0,254.0,25.0,9.0,366.0,58.0,45.0,85.0,23.0,20.0,51.0,19.0,31.0,100.0,232.0,79.0
3399,0.0,3.0,4.0,1.0,9.0,13.0,5.0,7.0,34.0,6.0,2.0,35.0,8.0,11.0,20.0,10.0,94.0,30.0,122.0,107.0,12.0,304.0,17.0,182.0,244.0,311.0,372.0,26.0,164.0,22.0
3448,4.0,15.0,68.0,0.0,5.0,1.0,2.0,11.0,37.0,3.0,44.0,14.0,20.0,283.0,75.0,22.0,31.0,69.0,18.0,12.0,77.0,224.0,65.0,66.0,85.0,43.0,62.0,419.0,21.0,130.0
3497,2.0,1.0,0.0,5.0,6.0,11.0,4.0,9.0,21.0,25.0,12.0,7.0,15.0,86.0,3.0,276.0,191.0,100.0,22.0,20.0,55.0,119.0,261.0,28.0,70.0,10.0,419.0,125.0,30.0,38.0
3546,1.0,0.0,4.0,2.0,28.0,3.0,101.0,5.0,8.0,64.0,11.0,26.0,6.0,24.0,21.0,84.0,9.0,15.0,379.0,38.0,48.0,118.0,127.0,304.0,96.0,13.0,59.0,355.0,33.0,7.0
3595,2.0,1.0,0.0,3.0,15.0,10.0,9.0,4.0,11.0,6.0,14.0,54.0,8.0,48.0,5.0,96.0,59.0,36.0,107.0,130.0,206.0,27.0,23.0,400.0,210.0,20.0,25.0,152.0,26.0,19.0
3644,2.0,6.0,1.0,4.0,3.0,16.0,0.0,14.0,15.0,5.0,55.0,8.0,11.0,56.0,54.0,212.0,149.0,66.0,102.0,22.0,19.0,131.0,31.0,105.0,33.0,40.0,37.0,28.0,17.0,12.0
3693,2.0,1.0,9.0,6.0,7.0,5.0,0.0,11.0,3.0,4.0,12.0,34.0,10.0,28.0,18.0,31.0,20.0,16.0,62.0,14.0,188.0,35.0,22.0,551.0,96.0,13.0,26.0,45.0,236.0,111.0
3742,0.0,1.0,3.0,7.0,9.0,5.0,12.0,4.0,15.0,8.0,6.0,32.0,2.0,27.0,55.0,423.0,14.0,30.0,24.0,49.0,41.0,45.0,57.0,48.0,320.0,35.0,54.0,47.0,77.0,11.0
3791,3.0,0.0,2.0,5.0,1.0,6.0,8.0,4.0,43.0,11.0,28.0,14.0,7.0,20.0,70.0,18.0,280.0,166.0,16.0,283.0,39.0,349.0,173.0,418.0,60.0,13.0,38.0,312.0,89.0,26.0
3840,0.0,3.0,1.0,2.0,11.0,15.0,4.0,8.0,6.0,12.0,9.0,7.0,5.0,21.0,45.0,28.0,48.0,13.0,20.0,14.0,19.0,56.0,160.0,293.0,96.0,59.0,108.0,34.0,29.0,52.0
3889,0.0,5.0,1.0,2.0,7.0,13.0,14.0,15.0,435.0,4.0,108.0,18.0,6.0,27.0,16.0,76.0,171.0,3.0,25.0,8.0,74.0,22.0,26.0,487.0,75.0,63.0,90.0,28.0,10.0,11.0
3938,0.0,1.0,2.0,3.0,4.0,6.0,44.0,18.0,5.0,23.0,16.0,8.0,11.0,9.0,7.0,10.0,41.0,21.0,19.0,284.0,40.0,61.0,415.0,20.0,70.0,92.0,187.0,31.0,12.0,53.0
3987,1.0,2.0,0.0,5.0,7.0,16.0,10.0,12.0,33.0,25.0,9.0,95.0,15.0,13.0,40.0,3.0,376.0,160.0,8.0,59.0,70.0,6.0,51.0,31.0,35.0,20.0,481.0,36.0,90.0,168.0
4036,0.0,1.0,2.0,6.0,9.0,8.0,10.0,38.0,11.0,13.0,4.0,130.0,61.0,57.0,7.0,5.0,73.0,399.0,21.0,54.0,30.0,3.0,182.0,17.0,122.0,16.0,290.0,28.0,12.0,51.0
4085,0.0,2.0,1.0,5.0,7.0,3.0,6.0,11.0,8.0,34.0,9.0,26.0,22.0,10.0,15.0,12.0,37.0,4.0,25.0,40.0,36.0,17.0,14.0,28.0,41.0,32.0,236.0,58.0,56.0,288.0
4134,1.0,4.0,0.0,3.0,38.0,2.0,15.0,41.0,23.0,7.0,6.0,14.0,9.0,13.0,27.0,5.0,25.0,32.0,35.0,123.0,8.0,22.0,255.0,182.0,48.0,39.0,89.0,26.0,10.0,68.0
4183,0.0,3.0,1.0,2.0,6.0,13.0,12.0,28.0,15.0,213.0,4.0,24.0,16.0,322.0,8.0,5.0,17.0,313.0,92.0,122.0,21.0,29.0,332.0,34.0,35.0,68.0,172.0,9.0,33.0,14.0
4232,0.0,1.0,2.0,5.0,24.0,4.0,3.0,8.0,9.0,48.0,15.0,12.0,16.0,122.0,13.0,10.0,22.0,6.0,78.0,41.0,14.0,11.0,56.0,55.0,71.0,463.0,108.0,7.0,30.0,23.0
4281,2.0,3.0,0.0,1.0,12.0,7.0,21.0,11.0,5.0,30.0,4.0,16.0,6.0,14.0,8.0,18.0,25.0,199.0,45.0,84.0,22.0,34.0,66.0,61.0,10.0,210.0,94.0,20.0,74.0,127.0
4330,1.0,2.0,0.0,10.0,8.0,3.0,23.0,24.0,31.0,9.0,14.0,13.0,11.0,4.0,36.0,53.0,26.0,22.0,107.0,63.0,72.0,60.0,394.0,41.0,172.0,28.0,57.0,21.0,15.0,132.0
4379,2.0,6.0,3.0,7.0,1.0,13.0,4.0,18.0,5.0,20.0,0.0,15.0,177.0,95.0,31.0,8.0,14.0,9.0,108.0,23.0,17.0,54.0,241.0,53.0,212.0,51.0,130.0,11.0,19.0,70.0
4428,0.0,1.0,5.0,6.0,4.0,2.0,11.0,12.0,10.0,90.0,22.0,17.0,3.0,19.0,13.0,82.0,58.0,269.0,83.0,286.0,128.0,59.0,30.0,42.0,34.0,264.0,7.0,33.0,613.0,48.0
4477,8.0,1.0,0.0,3.0,6.0,4.0,2.0,5.0,66.0,10.0,22.0,46.0,7.0,11.0,12.0,28.0,79.0,87.0,37.0,424.0,350.0,75.0,13.0,25.0,23.0,612.0,57.0,296.0,9.0,38.0
4526,4.0,5.0,1.0,2.0,0.0,29.0,10.0,8.0,24.0,3.0,45.0,18.0,6.0,62.0,19.0,22.0,47.0,128.0,115.0,17.0,57.0,26.0,43.0,38.0,11.0,388.0,122.0,39.0,105.0,21.0
4575,1.0,88.0,0.0,15.0,3.0,5.0,4.0,9.0,6.0,2.0,8.0,7.0,11.0,22.0,21.0,16.0,24.0,97.0,36.0,577.0,38.0,12.0,61.0,107.0,37.0,266.0,171.0,253.0,116.0,52.0
4624,1.0,0.0,2.0,13.0,3.0,28.0,4.0,8.0,12.0,6.0,24.0,5.0,7.0,11.0,89.0,38.0,34.0,282.0,121.0,239.0,14.0,167.0,84.0,319.0,62.0,33.0,22.0,55.0,26.0,50.0
4673,0.0,4.0,3.0,5.0,8.0,45.0,2.0,19.0,1.0,27.0,22.0,47.0,6.0,12.0,10.0,7.0,23.0,171.0,40.0,83.0,60.0,73.0,9.0,11.0,56.0,20.0,123.0,25.0,158.0,26.0
4722,0.0,67.0,2.0,10.0,1.0,11.0,8.0,4.0,25.0,7.0,15.0,20.0,6.0,41.0,19.0,21.0,87.0,22.0,74.0,76.0,77.0,68.0,17.0,5.0,94.0,113.0,37.0,214.0,92.0,3.0
4771,0.0,1.0,5.0,12.0,7.0,4.0,22.0,6.0,2.0,95.0,14.0,8.0,24.0,3.0,42.0,19.0,25.0,202.0,198.0,30.0,60.0,41.0,21.0,85.0,34.0,393.0,79.0,11.0,86.0,20.0
4820,0.0,3.0,1.0,7.0,2.0,19.0,5.0,6.0,28.0,8.0,61.0,21.0,4.0,161.0,41.0,14.0,16.0,199.0,138.0,58.0,70.0,24.0,12.0,84.0,34.0,68.0,51.0,65.0,52.0,10.0
4869,3.0,8.0,1.0,7.0,0.0,2.0,6.0,14.0,41.0,13.0,4.0,37.0,5.0,9.0,76.0,61.0,38.0,90.0,46.0,82.0,77.0,100.0,12.0,99.0,159.0,57.0,73.0,87.0,11.0,24.0
