,OVARY,HAEMATOPOIETIC,SKIN,NERVOUS,LUNG,LIVER,PANCREAS,BREAST,URINARY,LARGE_INTESTINE,STOMACH,ENDOMETRIUM,OESOPHAGUS,GANGLIA,AERODIGESTIVE,PROSTATE,BONE,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,PLEURA,BILIARY
1762,3.0,4.0,8.0,20.0,2.0,0.0,1.0,5.0,7.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
1811,2.0,4.0,7.0,6.0,1.0,0.0,5.0,3.0,8.0,9.0,11.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1860,1.0,2.0,9.0,6.0,5.0,3.0,7.0,4.0,8.0,10.0,12.0,11.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,0.0,22.0
1909,3.0,2.0,8.0,9.0,1.0,0.0,5.0,4.0,7.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1958,2.0,5.0,3.0,20.0,1.0,0.0,6.0,4.0,10.0,7.0,8.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
2007,1.0,2.0,0.0,20.0,3.0,4.0,5.0,13.0,7.0,8.0,6.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
2056,4.0,5.0,3.0,9.0,1.0,6.0,2.0,8.0,7.0,10.0,11.0,21.0,0.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
2105,1.0,3.0,2.0,4.0,5.0,6.0,8.0,9.0,7.0,10.0,11.0,12.0,0.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2154,5.0,4.0,0.0,6.0,2.0,3.0,7.0,11.0,8.0,10.0,9.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2203,3.0,4.0,0.0,7.0,6.0,2.0,5.0,11.0,9.0,8.0,10.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2252,0.0,2.0,1.0,3.0,5.0,4.0,6.0,10.0,8.0,7.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2301,2.0,4.0,1.0,7.0,3.0,6.0,5.0,11.0,8.0,9.0,12.0,10.0,0.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2350,6.0,8.0,4.0,20.0,0.0,1.0,2.0,5.0,7.0,3.0,9.0,13.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
2399,2.0,1.0,0.0,3.0,5.0,4.0,7.0,9.0,6.0,10.0,8.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2448,4.0,3.0,2.0,5.0,6.0,8.0,7.0,9.0,11.0,12.0,10.0,13.0,0.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
2497,1.0,3.0,2.0,7.0,8.0,6.0,5.0,10.0,12.0,9.0,11.0,4.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,0.0,22.0
2546,1.0,2.0,3.0,4.0,8.0,0.0,6.0,5.0,9.0,10.0,11.0,7.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2595,1.0,3.0,5.0,0.0,9.0,11.0,6.0,8.0,10.0,7.0,4.0,12.0,2.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2644,0.0,1.0,3.0,5.0,6.0,8.0,9.0,7.0,4.0,10.0,12.0,11.0,13.0,14.0,15.0,16.0,2.0,17.0,18.0,19.0,20.0,21.0,22.0
2693,1.0,4.0,2.0,6.0,8.0,7.0,3.0,5.0,12.0,9.0,10.0,11.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,0.0,22.0
2742,0.0,3.0,2.0,4.0,9.0,5.0,6.0,7.0,12.0,8.0,10.0,11.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,1.0,22.0
2791,1.0,5.0,3.0,6.0,11.0,9.0,7.0,8.0,12.0,10.0,13.0,21.0,2.0,14.0,15.0,16.0,4.0,17.0,18.0,19.0,20.0,0.0,22.0
2840,1.0,3.0,4.0,5.0,9.0,7.0,8.0,6.0,13.0,10.0,11.0,12.0,2.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,0.0,22.0
2889,1.0,2.0,3.0,4.0,5.0,8.0,7.0,6.0,11.0,10.0,9.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,0.0,22.0
2938,1.0,2.0,4.0,0.0,9.0,8.0,5.0,7.0,12.0,10.0,11.0,6.0,13.0,3.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2987,1.0,3.0,4.0,20.0,7.0,8.0,5.0,6.0,12.0,10.0,9.0,11.0,13.0,2.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,0.0,22.0
3036,1.0,2.0,4.0,3.0,5.0,0.0,9.0,6.0,10.0,8.0,7.0,21.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
3085,1.0,2.0,3.0,4.0,6.0,8.0,7.0,5.0,9.0,11.0,10.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,0.0,22.0
3134,2.0,1.0,5.0,4.0,3.0,11.0,9.0,6.0,12.0,7.0,8.0,10.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,0.0,22.0
3183,1.0,2.0,6.0,4.0,5.0,10.0,9.0,7.0,11.0,8.0,20.0,21.0,12.0,3.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,0.0,22.0
3232,0.0,1.0,2.0,3.0,5.0,11.0,7.0,4.0,8.0,6.0,10.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3281,0.0,1.0,3.0,4.0,6.0,8.0,7.0,5.0,10.0,9.0,20.0,11.0,12.0,2.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
3330,2.0,5.0,4.0,0.0,1.0,6.0,8.0,3.0,10.0,7.0,9.0,21.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
3379,0.0,5.0,4.0,3.0,1.0,6.0,8.0,2.0,10.0,9.0,7.0,21.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
3428,1.0,2.0,3.0,4.0,6.0,11.0,7.0,5.0,10.0,8.0,9.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,0.0,22.0
3477,0.0,2.0,3.0,1.0,7.0,4.0,6.0,8.0,9.0,5.0,11.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3526,2.0,3.0,4.0,1.0,6.0,9.0,8.0,7.0,5.0,10.0,20.0,21.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,0.0,22.0
3575,1.0,2.0,3.0,0.0,9.0,4.0,6.0,10.0,5.0,11.0,8.0,7.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3624,1.0,3.0,5.0,2.0,9.0,6.0,8.0,11.0,7.0,12.0,10.0,21.0,13.0,14.0,15.0,16.0,4.0,17.0,18.0,19.0,20.0,0.0,22.0
3673,1.0,3.0,5.0,2.0,6.0,7.0,10.0,9.0,8.0,11.0,4.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,0.0,22.0
3722,0.0,4.0,3.0,2.0,6.0,7.0,8.0,12.0,5.0,9.0,10.0,11.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,1.0,22.0
3771,2.0,3.0,4.0,1.0,9.0,5.0,6.0,7.0,10.0,8.0,20.0,11.0,12.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,0.0,22.0
3820,1.0,3.0,5.0,2.0,10.0,8.0,6.0,9.0,7.0,11.0,20.0,12.0,13.0,14.0,15.0,16.0,4.0,21.0,17.0,18.0,19.0,0.0,22.0
3869,2.0,5.0,6.0,0.0,9.0,3.0,13.0,7.0,8.0,10.0,12.0,11.0,16.0,15.0,14.0,17.0,4.0,21.0,18.0,19.0,20.0,1.0,22.0
3918,0.0,3.0,4.0,1.0,8.0,10.0,9.0,11.0,7.0,13.0,12.0,5.0,2.0,14.0,15.0,16.0,6.0,17.0,18.0,19.0,20.0,21.0,22.0
3967,2.0,4.0,3.0,1.0,8.0,6.0,7.0,5.0,10.0,9.0,20.0,11.0,12.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,0.0,22.0
4016,2.0,3.0,5.0,1.0,6.0,8.0,7.0,4.0,10.0,12.0,11.0,9.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,0.0,22.0
4065,2.0,3.0,4.0,0.0,1.0,6.0,5.0,9.0,8.0,10.0,7.0,21.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
4114,2.0,1.0,3.0,0.0,5.0,7.0,6.0,9.0,11.0,4.0,8.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4163,1.0,5.0,4.0,0.0,2.0,6.0,3.0,7.0,11.0,9.0,8.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4212,2.0,4.0,3.0,1.0,11.0,9.0,8.0,6.0,10.0,7.0,12.0,5.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,0.0,22.0
4261,2.0,4.0,3.0,1.0,5.0,10.0,6.0,7.0,8.0,11.0,9.0,21.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,0.0,22.0
4310,3.0,9.0,8.0,0.0,5.0,7.0,2.0,6.0,11.0,4.0,1.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4359,4.0,5.0,6.0,1.0,7.0,2.0,9.0,12.0,8.0,10.0,3.0,11.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,0.0,22.0
4408,2.0,3.0,1.0,0.0,4.0,6.0,5.0,7.0,9.0,8.0,10.0,21.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
4457,1.0,4.0,2.0,3.0,6.0,0.0,7.0,12.0,11.0,8.0,9.0,10.0,13.0,5.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4506,2.0,3.0,4.0,1.0,5.0,6.0,7.0,9.0,10.0,8.0,0.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4555,1.0,2.0,3.0,4.0,6.0,5.0,8.0,7.0,0.0,10.0,11.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4604,1.0,3.0,2.0,0.0,8.0,5.0,7.0,6.0,11.0,4.0,10.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4653,2.0,3.0,5.0,4.0,7.0,6.0,8.0,10.0,11.0,9.0,12.0,1.0,13.0,0.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4702,0.0,3.0,1.0,4.0,6.0,7.0,8.0,5.0,9.0,12.0,11.0,10.0,13.0,2.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4751,2.0,4.0,3.0,1.0,0.0,8.0,7.0,6.0,11.0,9.0,10.0,21.0,12.0,5.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
4800,0.0,3.0,2.0,4.0,1.0,5.0,11.0,7.0,6.0,10.0,9.0,8.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4849,0.0,1.0,2.0,4.0,8.0,6.0,5.0,10.0,11.0,9.0,7.0,3.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4898,0.0,2.0,1.0,3.0,10.0,7.0,6.0,5.0,9.0,8.0,11.0,21.0,12.0,4.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
