,HLA-DRB6_AMP,HLA-DRB1_AMP,FBXL7_DEL,HLA-DRB5_AMP,ZBTB20_AMP,LGALS9C_DEL,SIRPB1_AMP,DUSP22_DEL,LOC100506776_DEL,HDHD1_DEL,HLA-DQB1_AMP,MSTO2P_AMP,DAP3_AMP,GSTT1_AMP,SORD_AMP,LOC391322_AMP,KIF26B_DEL,RBFOX1_DEL,ADCY8_DEL,SLC2A9_DEL,NSFP1_DEL,RABGAP1L_DEL,GSTTP2_AMP,ODF4_DEL,USP32P2_DEL,TAG_DEL,UNC13C_MUT,HERC2P2_AMP,BCAS1_AMP,LRRK1_MUT
4048,1.0,0.0,7.0,2.0,20.0,22.0,242.0,3.0,13.0,34.0,4.0,39.0,38.0,17.0,28.0,19.0,11.0,51.0,138.0,58.0,59.0,53.0,18.0,85.0,54.0,45.0,101.0,8.0,9.0,174.0
4097,1.0,5.0,0.0,4.0,68.0,12.0,8.0,2.0,21.0,24.0,39.0,14.0,15.0,78.0,6.0,77.0,17.0,36.0,52.0,34.0,42.0,50.0,79.0,148.0,57.0,11.0,16.0,7.0,9.0,38.0
4146,0.0,3.0,2.0,4.0,10.0,5.0,34.0,1.0,51.0,11.0,20.0,14.0,13.0,8.0,72.0,9.0,19.0,29.0,28.0,69.0,93.0,44.0,7.0,85.0,12.0,18.0,15.0,56.0,45.0,58.0
4195,0.0,1.0,3.0,2.0,8.0,4.0,91.0,6.0,81.0,5.0,7.0,22.0,23.0,26.0,21.0,25.0,10.0,47.0,14.0,41.0,16.0,58.0,24.0,18.0,13.0,35.0,132.0,29.0,31.0,34.0
4244,0.0,1.0,4.0,2.0,18.0,3.0,76.0,6.0,65.0,5.0,35.0,9.0,8.0,17.0,10.0,15.0,28.0,38.0,11.0,44.0,87.0,52.0,16.0,86.0,12.0,14.0,143.0,40.0,32.0,42.0
4293,0.0,1.0,7.0,2.0,20.0,6.0,12.0,9.0,13.0,11.0,22.0,23.0,24.0,3.0,18.0,5.0,26.0,47.0,27.0,34.0,180.0,84.0,4.0,125.0,10.0,8.0,37.0,39.0,16.0,30.0
4342,0.0,2.0,1.0,4.0,5.0,13.0,11.0,3.0,126.0,10.0,16.0,43.0,44.0,25.0,6.0,24.0,27.0,46.0,38.0,19.0,15.0,33.0,26.0,49.0,180.0,197.0,31.0,81.0,14.0,100.0
4391,0.0,1.0,3.0,2.0,9.0,4.0,25.0,8.0,46.0,11.0,26.0,110.0,109.0,7.0,16.0,6.0,17.0,116.0,12.0,157.0,165.0,13.0,5.0,14.0,19.0,21.0,112.0,10.0,38.0,74.0
4440,0.0,1.0,5.0,4.0,16.0,9.0,12.0,14.0,8.0,308.0,55.0,103.0,102.0,21.0,29.0,20.0,74.0,46.0,448.0,147.0,38.0,36.0,24.0,382.0,19.0,33.0,59.0,2.0,22.0,49.0
4489,0.0,1.0,7.0,3.0,2.0,4.0,6.0,17.0,5.0,56.0,8.0,24.0,23.0,9.0,34.0,10.0,39.0,37.0,62.0,104.0,15.0,84.0,13.0,431.0,12.0,14.0,19.0,11.0,36.0,35.0
4538,0.0,1.0,9.0,3.0,2.0,24.0,4.0,5.0,29.0,99.0,14.0,27.0,28.0,7.0,6.0,8.0,40.0,76.0,64.0,61.0,20.0,12.0,10.0,187.0,34.0,30.0,118.0,15.0,33.0,62.0
4587,0.0,1.0,15.0,8.0,6.0,10.0,11.0,87.0,7.0,49.0,17.0,298.0,299.0,3.0,81.0,2.0,16.0,209.0,59.0,102.0,36.0,42.0,4.0,565.0,18.0,23.0,27.0,72.0,14.0,25.0
4636,0.0,2.0,5.0,3.0,1.0,9.0,4.0,12.0,25.0,70.0,13.0,32.0,31.0,53.0,43.0,52.0,15.0,33.0,49.0,56.0,14.0,10.0,67.0,421.0,18.0,154.0,129.0,275.0,55.0,98.0
4685,1.0,0.0,8.0,4.0,3.0,16.0,99.0,13.0,12.0,41.0,7.0,23.0,24.0,53.0,88.0,54.0,10.0,31.0,289.0,68.0,2.0,21.0,76.0,456.0,42.0,116.0,32.0,15.0,458.0,139.0
4734,0.0,2.0,12.0,13.0,1.0,27.0,3.0,47.0,11.0,585.0,4.0,136.0,137.0,8.0,62.0,7.0,34.0,31.0,71.0,101.0,14.0,43.0,16.0,2566.0,65.0,23.0,15.0,18.0,48.0,32.0
4783,0.0,1.0,13.0,3.0,2.0,11.0,6.0,71.0,4.0,102.0,5.0,124.0,125.0,8.0,12.0,7.0,20.0,52.0,104.0,59.0,32.0,10.0,9.0,619.0,19.0,155.0,16.0,35.0,53.0,37.0
4832,0.0,1.0,44.0,6.0,2.0,3.0,12.0,27.0,18.0,15.0,4.0,36.0,37.0,11.0,5.0,10.0,17.0,43.0,74.0,235.0,14.0,23.0,16.0,398.0,8.0,26.0,104.0,7.0,32.0,35.0
4881,0.0,1.0,65.0,3.0,10.0,88.0,2.0,87.0,9.0,47.0,8.0,85.0,86.0,6.0,16.0,5.0,27.0,112.0,190.0,224.0,23.0,46.0,7.0,94.0,66.0,4.0,11.0,22.0,25.0,24.0
