,BARX2_DEL,TRIM49_DEL,CAMK2D_DEL,ITPR2_MUT,FAM106CP_AMP,AGMO_AMP,MLL3_MUT,TTTY22_DEL,RIMBP2_DEL,CDC73_DEL,THSD4_AMP,TP53_MUT,EPHA5_MUT,IFNA21_DEL,PCCB_DEL,FOCAD_DEL,PKHD1_MUT,FAM153A_DEL,SLC25A37_AMP,KIRREL3_DEL,LOC440970_DEL,LPA_AMP,ZNF285_AMP,NRG1-IT3_DEL,NAV3_MUT,USP32P1_AMP,TYW1_AMP,SACS_MUT,CES1_AMP,ODF3B_DEL
33,9077.0,21.0,28.0,18.0,45.0,42.0,93.0,52.0,35.0,43.0,81.0,120.0,20.0,2702.0,37.0,163.0,16509.0,108.0,59.0,8384.0,2284.0,94.0,12694.0,20240.0,85.0,100.0,17.0,15959.0,159.0,105.0
82,9079.0,20.0,14.0,16023.0,19.0,127.0,85.0,30.0,17.0,56.0,54.0,115.0,16201.0,10.0,61.0,134.0,16510.0,95.0,96.0,23.0,136.0,165.0,12756.0,20244.0,16430.0,65.0,45.0,15958.0,77.0,2280.0
131,9074.0,19.0,23.0,29.0,83.0,103.0,16598.0,48.0,45.0,47.0,66.0,76.0,133.0,1.0,123.0,173.0,16511.0,69.0,120.0,8452.0,41.0,77.0,4.0,20238.0,16410.0,56.0,12.0,15957.0,141.0,2276.0
180,9087.0,21.0,10.0,20.0,15.0,35.0,16601.0,52.0,12.0,73.0,86.0,174.0,16209.0,2647.0,63.0,40.0,5.0,396.0,89.0,0.0,2274.0,99.0,11.0,74.0,97.0,115.0,131.0,43.0,17491.0,122.0
229,9087.0,23.0,21.0,58.0,15339.0,77.0,109.0,56.0,59.0,66.0,101.0,116.0,16211.0,6.0,126.0,49.0,4.0,72.0,148.0,8468.0,88.0,151.0,38.0,24.0,16400.0,99.0,21338.0,157.0,114.0,152.0
278,9080.0,8.0,44.0,68.0,59.0,47.0,16596.0,69.0,28.0,62.0,91.0,106.0,16202.0,51.0,148.0,9166.0,16516.0,43.0,120.0,8456.0,103.0,90.0,12696.0,20241.0,16431.0,102.0,80.0,159.0,17481.0,2271.0
327,9081.0,10.0,6567.0,49.0,59.0,62.0,80.0,83.0,5246.0,41.0,70.0,140.0,13.0,27.0,74.0,9176.0,16520.0,109.0,90.0,8461.0,57.0,123.0,0.0,71.0,16393.0,15126.0,77.0,102.0,24.0,2278.0
376,9083.0,16.0,23.0,61.0,15465.0,50.0,16598.0,71.0,31.0,47.0,74.0,107.0,16203.0,15.0,101.0,51.0,16515.0,36.0,63.0,72.0,110.0,125.0,1.0,20245.0,121.0,29.0,21329.0,142.0,141.0,2275.0
425,9084.0,35.0,10.0,7.0,26.0,23.0,102.0,50.0,38.0,47.0,78.0,90.0,16204.0,84.0,41.0,40.0,16513.0,116.0,85.0,9.0,2270.0,80.0,12758.0,45.0,16412.0,29.0,31.0,15960.0,100.0,130.0
474,9090.0,12.0,18.0,15.0,130.0,94.0,22.0,55.0,30.0,60.0,88.0,87.0,16210.0,221.0,44.0,134.0,16520.0,151.0,95.0,8454.0,48.0,162.0,98.0,83.0,122.0,123.0,21392.0,41.0,17545.0,2289.0
523,16.0,72.0,6565.0,16021.0,59.0,115.0,20.0,76.0,5252.0,37.0,53.0,67.0,16202.0,2696.0,80.0,24.0,15.0,56.0,153.0,0.0,2260.0,120.0,38.0,58.0,16427.0,13119.0,17.0,15957.0,65.0,51.0
572,9079.0,11667.0,54.0,16022.0,15463.0,93.0,16619.0,80.0,5253.0,57.0,79.0,60.0,16203.0,2717.0,130.0,9174.0,16509.0,98.0,167.0,29.0,2148.0,104.0,61.0,20244.0,16428.0,69.0,21335.0,15958.0,81.0,13.0
621,27.0,11670.0,54.0,16023.0,31.0,82.0,29.0,94.0,109.0,46.0,55.0,91.0,16202.0,135.0,78.0,72.0,16509.0,35.0,97.0,8455.0,122.0,83.0,47.0,20241.0,6.0,81.0,21334.0,21.0,150.0,107.0
670,9073.0,140.0,29.0,20.0,59.0,98.0,9.0,43.0,11.0,47.0,44.0,85.0,16199.0,0.0,9932.0,9162.0,3.0,78.0,92.0,10.0,64.0,106.0,91.0,20257.0,67.0,68.0,65.0,30.0,89.0,99.0
719,33.0,28.0,35.0,16026.0,14.0,76.0,79.0,42.0,5264.0,61.0,60.0,55.0,16203.0,2709.0,72.0,9169.0,15.0,91.0,85.0,8463.0,78.0,108.0,88.0,20246.0,101.0,106.0,11.0,34.0,67.0,53.0
768,51.0,11691.0,5.0,114.0,20.0,57.0,48.0,44.0,21.0,93.0,101.0,106.0,10.0,2704.0,91.0,119.0,16519.0,13.0,39.0,1.0,74.0,64.0,34.0,20244.0,16410.0,12.0,123.0,54.0,94.0,55.0
817,64.0,11673.0,21.0,5.0,37.0,31.0,65.0,46.0,13.0,44.0,103.0,109.0,16206.0,0.0,34.0,9178.0,82.0,67.0,106.0,8398.0,58.0,108.0,163.0,20248.0,16410.0,136.0,21392.0,54.0,105.0,73.0
866,16.0,11689.0,19.0,34.0,45.0,98.0,60.0,70.0,5265.0,66.0,86.0,90.0,16207.0,2712.0,53.0,9173.0,16515.0,42.0,80.0,8459.0,129.0,113.0,77.0,4.0,31.0,84.0,117.0,15962.0,79.0,146.0
915,9.0,81.0,11.0,16023.0,26.0,136.0,48.0,53.0,50.0,80.0,117.0,65.0,16203.0,47.0,122.0,9169.0,16512.0,28.0,95.0,0.0,38.0,102.0,70.0,20245.0,110.0,62.0,21335.0,15959.0,78.0,113.0
964,47.0,20.0,110.0,16027.0,1.0,112.0,52.0,86.0,5266.0,155.0,94.0,85.0,16206.0,193.0,9943.0,9176.0,16514.0,127.0,70.0,17.0,123.0,91.0,136.0,22.0,16433.0,97.0,21352.0,64.0,60.0,121.0
1013,15.0,55.0,49.0,93.0,53.0,52.0,3.0,80.0,5272.0,67.0,85.0,100.0,16207.0,27.0,64.0,99.0,16517.0,98.0,128.0,101.0,89.0,120.0,33.0,20248.0,103.0,17119.0,57.0,34.0,117.0,158.0
1062,35.0,43.0,18.0,16027.0,50.0,138.0,16622.0,92.0,5263.0,167.0,143.0,62.0,16204.0,2698.0,114.0,48.0,3.0,96.0,63.0,11.0,102.0,80.0,12730.0,112.0,30.0,212.0,58.0,94.0,166.0,159.0
1111,14.0,37.0,41.0,16024.0,99.0,174.0,16619.0,59.0,5256.0,188.0,141.0,86.0,16204.0,181.0,62.0,25.0,3.0,155.0,76.0,8388.0,2285.0,89.0,12727.0,20246.0,18.0,142.0,44.0,61.0,75.0,80.0
1160,8.0,25.0,6.0,54.0,36.0,66.0,31.0,70.0,23.0,120.0,134.0,59.0,16220.0,122.0,42.0,3.0,16511.0,79.0,89.0,8458.0,170.0,94.0,77.0,12.0,16427.0,13119.0,44.0,60.0,130.0,47.0
1209,24.0,46.0,19.0,51.0,9.0,138.0,30.0,89.0,14.0,128.0,124.0,78.0,16227.0,74.0,9947.0,162.0,6.0,141.0,180.0,8402.0,136.0,86.0,99.0,20255.0,16436.0,67.0,28.0,15965.0,111.0,118.0
1258,9.0,11697.0,26.0,44.0,27.0,87.0,45.0,77.0,7.0,132.0,125.0,73.0,16211.0,61.0,123.0,40.0,16524.0,133.0,93.0,20.0,204.0,101.0,12765.0,70.0,16418.0,60.0,56.0,46.0,59.0,142.0
1307,36.0,11692.0,37.0,16031.0,15.0,63.0,139.0,86.0,5271.0,165.0,101.0,69.0,71.0,16.0,94.0,35.0,16518.0,22.0,88.0,0.0,149.0,141.0,12763.0,57.0,31.0,112.0,96.0,120.0,126.0,116.0
1356,10.0,99.0,15.0,25.0,20.0,87.0,16601.0,73.0,5270.0,208.0,164.0,65.0,16206.0,148.0,9945.0,9180.0,16518.0,97.0,144.0,8527.0,55.0,143.0,152.0,20249.0,16414.0,126.0,13.0,83.0,140.0,2287.0
1405,9081.0,29.0,6565.0,14.0,25.0,72.0,88.0,32.0,5257.0,47.0,58.0,87.0,16205.0,3.0,9940.0,150.0,2.0,73.0,140.0,28.0,80.0,81.0,79.0,34.0,24.0,16624.0,21335.0,7.0,17488.0,110.0
1454,4.0,21.0,19.0,16024.0,22.0,48.0,45.0,70.0,26.0,41.0,64.0,72.0,88.0,14.0,133.0,87.0,3.0,76.0,94.0,93.0,119.0,71.0,18.0,42.0,138.0,126.0,89.0,162.0,63.0,55.0
1503,9079.0,109.0,6566.0,16025.0,15463.0,175.0,50.0,5169.0,86.0,38.0,72.0,82.0,16204.0,8.0,42.0,92.0,14.0,95.0,131.0,9.0,77.0,144.0,12760.0,23.0,169.0,101.0,21334.0,88.0,17483.0,167.0
1552,16.0,11.0,58.0,16029.0,15466.0,46.0,37.0,155.0,13.0,180.0,122.0,89.0,7.0,60.0,40.0,9169.0,16526.0,95.0,101.0,8441.0,39.0,162.0,22.0,76.0,65.0,15121.0,21326.0,19.0,132.0,112.0
1601,4.0,11686.0,56.0,16.0,10.0,41.0,19.0,5167.0,5250.0,76.0,108.0,84.0,95.0,162.0,43.0,27.0,13.0,130.0,48.0,2.0,36.0,113.0,88.0,3.0,16408.0,15117.0,21332.0,15958.0,174.0,93.0
1650,4.0,0.0,38.0,16024.0,94.0,93.0,49.0,102.0,5264.0,37.0,71.0,103.0,56.0,34.0,46.0,9169.0,14.0,104.0,130.0,8456.0,2287.0,75.0,66.0,17.0,113.0,13618.0,21327.0,55.0,195.0,85.0
