,hsa-miR-142-5p,hsa-let-7e,hsa-miR-150,hsa-miR-22,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-222,hsa-miR-24,hsa-miR-99a,hsa-miR-320d,hsa-miR-140-3p,hsa-miR-129-5p,hsa-miR-21,hsa-miR-30c,hsa-miR-520c-3p,hsa-miR-375,hsa-miR-217,hsa-miR-216a,hsa-miR-1975,hsa-miR-508-5p,hsa-miR-558,hsa-let-7a,hsa-miR-550,hsa-miR-484,hsa-miR-29c,hsa-miR-1469,hsa-miR-663,hsa-miR-137,hsv1-miR-H7,hsa-miR-30a,hsa-miR-891a
19,15.0,26.0,31.0,63.0,22.0,110.0,0.0,28.0,41.0,51.0,16.0,76.0,14.0,66.0,524.0,95.0,135.0,409.0,46.0,232.0,171.0,119.0,71.0,35.0,113.0,92.0,379.0,34.0,143.0,29.0
68,64.0,57.0,8.0,11.0,78.0,40.0,1.0,38.0,70.0,27.0,13.0,391.0,31.0,560.0,6.0,23.0,131.0,423.0,523.0,29.0,49.0,98.0,74.0,420.0,12.0,340.0,457.0,121.0,56.0,21.0
117,0.0,2.0,9.0,92.0,1.0,35.0,572.0,76.0,97.0,387.0,25.0,60.0,24.0,26.0,99.0,83.0,71.0,397.0,560.0,224.0,355.0,52.0,79.0,595.0,91.0,254.0,375.0,27.0,81.0,13.0
166,27.0,11.0,18.0,44.0,532.0,2.0,0.0,53.0,125.0,1.0,61.0,89.0,38.0,32.0,6.0,144.0,65.0,408.0,561.0,10.0,363.0,75.0,107.0,573.0,21.0,307.0,15.0,29.0,73.0,270.0
215,1.0,91.0,5.0,96.0,0.0,113.0,10.0,16.0,137.0,373.0,7.0,580.0,3.0,528.0,8.0,74.0,68.0,62.0,64.0,216.0,353.0,59.0,77.0,53.0,32.0,18.0,92.0,268.0,139.0,37.0
264,57.0,16.0,7.0,82.0,40.0,80.0,0.0,18.0,72.0,587.0,79.0,1.0,23.0,522.0,3.0,54.0,109.0,472.0,609.0,239.0,51.0,67.0,45.0,52.0,12.0,198.0,586.0,34.0,127.0,129.0
313,3.0,11.0,51.0,29.0,24.0,26.0,0.0,55.0,39.0,407.0,18.0,481.0,8.0,536.0,1.0,21.0,45.0,73.0,23.0,5.0,82.0,67.0,112.0,415.0,62.0,168.0,402.0,33.0,140.0,40.0
362,540.0,0.0,28.0,57.0,551.0,14.0,2.0,29.0,11.0,10.0,435.0,121.0,35.0,560.0,1.0,46.0,88.0,487.0,523.0,21.0,20.0,103.0,51.0,33.0,79.0,254.0,459.0,27.0,80.0,55.0
411,9.0,458.0,19.0,120.0,52.0,2.0,0.0,284.0,38.0,374.0,14.0,590.0,16.0,75.0,596.0,82.0,105.0,42.0,559.0,8.0,72.0,37.0,45.0,25.0,7.0,27.0,61.0,67.0,131.0,41.0
460,43.0,9.0,11.0,100.0,551.0,3.0,0.0,64.0,28.0,16.0,85.0,5.0,116.0,560.0,12.0,44.0,36.0,20.0,520.0,15.0,75.0,103.0,95.0,421.0,82.0,45.0,459.0,310.0,412.0,81.0
509,1.0,117.0,373.0,23.0,57.0,0.0,573.0,20.0,49.0,85.0,37.0,112.0,61.0,535.0,31.0,68.0,41.0,398.0,50.0,4.0,67.0,15.0,76.0,22.0,75.0,21.0,370.0,168.0,43.0,264.0
558,0.0,98.0,372.0,41.0,596.0,10.0,26.0,29.0,7.0,42.0,34.0,8.0,62.0,539.0,40.0,592.0,14.0,408.0,101.0,6.0,39.0,110.0,83.0,573.0,377.0,345.0,382.0,178.0,57.0,272.0
607,6.0,74.0,24.0,30.0,9.0,118.0,2.0,34.0,55.0,33.0,44.0,5.0,87.0,543.0,19.0,144.0,138.0,412.0,42.0,13.0,16.0,106.0,82.0,1.0,78.0,355.0,385.0,126.0,46.0,45.0
656,2.0,8.0,29.0,43.0,5.0,46.0,12.0,92.0,40.0,91.0,60.0,62.0,70.0,81.0,16.0,589.0,116.0,405.0,21.0,25.0,112.0,147.0,85.0,56.0,372.0,34.0,376.0,90.0,596.0,53.0
705,0.0,65.0,376.0,80.0,1.0,66.0,579.0,24.0,49.0,45.0,25.0,74.0,137.0,542.0,69.0,115.0,28.0,410.0,27.0,2.0,35.0,54.0,79.0,570.0,5.0,106.0,78.0,57.0,86.0,105.0
754,0.0,41.0,11.0,48.0,532.0,5.0,584.0,16.0,64.0,28.0,25.0,145.0,100.0,8.0,105.0,10.0,111.0,70.0,78.0,42.0,34.0,130.0,49.0,576.0,98.0,57.0,380.0,127.0,32.0,250.0
803,7.0,42.0,4.0,17.0,38.0,8.0,6.0,5.0,142.0,56.0,36.0,77.0,596.0,109.0,138.0,21.0,67.0,410.0,24.0,89.0,55.0,25.0,54.0,573.0,380.0,125.0,78.0,257.0,595.0,45.0
852,1.0,21.0,9.0,65.0,4.0,28.0,25.0,63.0,26.0,12.0,39.0,613.0,33.0,103.0,96.0,586.0,43.0,410.0,70.0,24.0,365.0,69.0,58.0,0.0,382.0,46.0,386.0,276.0,52.0,114.0
901,1.0,35.0,31.0,19.0,541.0,36.0,6.0,16.0,26.0,3.0,43.0,8.0,589.0,87.0,44.0,425.0,103.0,386.0,15.0,11.0,73.0,45.0,23.0,2.0,17.0,335.0,438.0,129.0,47.0,75.0
950,2.0,12.0,6.0,58.0,87.0,1.0,43.0,4.0,13.0,47.0,31.0,0.0,65.0,104.0,117.0,38.0,55.0,64.0,556.0,37.0,360.0,68.0,17.0,27.0,10.0,105.0,376.0,80.0,66.0,239.0
999,4.0,22.0,11.0,53.0,27.0,44.0,0.0,12.0,55.0,13.0,52.0,1.0,598.0,10.0,16.0,23.0,115.0,411.0,48.0,77.0,72.0,68.0,74.0,570.0,385.0,300.0,119.0,17.0,21.0,75.0
1048,8.0,60.0,22.0,54.0,4.0,34.0,0.0,368.0,40.0,15.0,101.0,2.0,97.0,511.0,115.0,98.0,449.0,67.0,58.0,24.0,9.0,49.0,106.0,75.0,504.0,50.0,64.0,25.0,444.0,134.0
1097,10.0,107.0,18.0,37.0,28.0,49.0,1.0,60.0,77.0,393.0,122.0,0.0,52.0,548.0,97.0,88.0,96.0,41.0,504.0,205.0,370.0,66.0,133.0,86.0,12.0,38.0,35.0,260.0,99.0,145.0
1146,2.0,27.0,5.0,587.0,359.0,24.0,595.0,21.0,77.0,381.0,12.0,1.0,71.0,536.0,80.0,3.0,111.0,15.0,559.0,209.0,231.0,204.0,109.0,570.0,65.0,310.0,47.0,279.0,64.0,331.0
1195,33.0,82.0,13.0,126.0,31.0,50.0,0.0,85.0,91.0,393.0,32.0,1.0,62.0,16.0,605.0,129.0,140.0,25.0,516.0,161.0,96.0,223.0,119.0,26.0,7.0,3.0,395.0,209.0,105.0,297.0
1244,11.0,93.0,5.0,65.0,102.0,15.0,0.0,308.0,19.0,12.0,29.0,4.0,106.0,8.0,1.0,408.0,409.0,89.0,508.0,198.0,43.0,129.0,142.0,54.0,107.0,30.0,396.0,88.0,577.0,266.0
1293,16.0,53.0,378.0,93.0,48.0,22.0,0.0,263.0,41.0,5.0,74.0,2.0,598.0,11.0,14.0,29.0,157.0,73.0,562.0,7.0,47.0,202.0,108.0,8.0,10.0,137.0,30.0,121.0,597.0,114.0
1342,2.0,7.0,8.0,65.0,27.0,4.0,25.0,298.0,13.0,104.0,78.0,0.0,47.0,16.0,111.0,39.0,102.0,62.0,531.0,64.0,61.0,90.0,49.0,59.0,36.0,128.0,79.0,322.0,123.0,253.0
