,hsa-miR-296-5p,hsa-miR-105,hsa-miR-483-3p,hsa-miR-27b,hsa-miR-616,hsa-miR-892a,hsa-miR-26a,hsa-miR-744,hsa-miR-711,hsa-miR-34a,hsa-miR-192,hsa-miR-331-5p,hsa-miR-1977,hsa-miR-34c-5p,hsa-miR-579,hsa-miR-556-3p,hsa-miR-383,hsa-miR-148a,hsa-miR-550,hsa-miR-645,ebv-miR-BART20-5p,hsa-miR-323-5p,hsa-miR-924,hsa-miR-1236,hsv2-miR-H2,hsa-miR-504,kshv-miR-K12-7,hsa-miR-222,hsa-miR-761,hsv1-miR-H8
2418,10.0,3.0,1.0,0.0,4.0,16.0,7.0,15.0,28.0,6.0,39.0,86.0,9.0,50.0,32.0,27.0,17.0,35.0,8.0,57.0,11.0,20.0,34.0,399.0,12.0,23.0,40.0,70.0,36.0,18.0
2467,1.0,3.0,2.0,0.0,31.0,6.0,41.0,7.0,13.0,52.0,5.0,8.0,79.0,14.0,19.0,9.0,15.0,24.0,49.0,4.0,54.0,30.0,38.0,26.0,37.0,40.0,67.0,436.0,44.0,210.0
2516,0.0,22.0,3.0,1.0,49.0,8.0,53.0,6.0,5.0,27.0,4.0,15.0,16.0,2.0,26.0,12.0,20.0,31.0,50.0,7.0,29.0,40.0,21.0,9.0,28.0,108.0,36.0,77.0,14.0,52.0
2565,0.0,1.0,2.0,5.0,36.0,10.0,47.0,17.0,6.0,4.0,18.0,48.0,15.0,7.0,13.0,24.0,8.0,3.0,27.0,22.0,11.0,19.0,23.0,57.0,37.0,25.0,340.0,49.0,29.0,59.0
2614,0.0,2.0,3.0,4.0,19.0,14.0,48.0,6.0,5.0,491.0,7.0,18.0,21.0,10.0,64.0,16.0,9.0,15.0,31.0,13.0,25.0,54.0,17.0,26.0,52.0,44.0,62.0,35.0,53.0,41.0
2663,1.0,0.0,2.0,14.0,9.0,16.0,47.0,5.0,3.0,10.0,8.0,40.0,13.0,12.0,26.0,19.0,17.0,22.0,147.0,6.0,25.0,15.0,27.0,31.0,7.0,65.0,36.0,54.0,45.0,38.0
2712,1.0,2.0,0.0,4.0,28.0,25.0,49.0,10.0,5.0,129.0,21.0,39.0,36.0,3.0,30.0,14.0,18.0,9.0,7.0,13.0,73.0,51.0,22.0,23.0,83.0,38.0,74.0,34.0,57.0,82.0
2761,3.0,0.0,1.0,4.0,25.0,8.0,24.0,6.0,12.0,40.0,2.0,14.0,21.0,5.0,28.0,27.0,29.0,7.0,15.0,23.0,36.0,56.0,13.0,22.0,51.0,41.0,42.0,31.0,49.0,238.0
2810,1.0,2.0,3.0,0.0,23.0,9.0,86.0,4.0,16.0,6.0,41.0,27.0,10.0,12.0,29.0,13.0,26.0,11.0,48.0,8.0,14.0,111.0,17.0,40.0,49.0,28.0,32.0,21.0,52.0,57.0
2859,1.0,0.0,3.0,2.0,88.0,20.0,13.0,18.0,6.0,30.0,32.0,54.0,29.0,11.0,27.0,36.0,7.0,5.0,23.0,63.0,19.0,58.0,10.0,28.0,85.0,38.0,25.0,90.0,34.0,56.0
2908,0.0,2.0,1.0,3.0,13.0,26.0,72.0,10.0,6.0,18.0,27.0,7.0,40.0,11.0,8.0,44.0,5.0,4.0,75.0,14.0,47.0,76.0,24.0,35.0,68.0,79.0,9.0,71.0,53.0,37.0
2957,10.0,5.0,9.0,1.0,0.0,7.0,2.0,13.0,11.0,3.0,100.0,6.0,17.0,18.0,20.0,31.0,61.0,14.0,26.0,28.0,12.0,38.0,34.0,8.0,68.0,21.0,41.0,56.0,40.0,75.0
3006,4.0,0.0,58.0,2.0,20.0,6.0,10.0,8.0,7.0,28.0,18.0,9.0,21.0,3.0,49.0,12.0,16.0,37.0,52.0,5.0,11.0,14.0,30.0,1.0,43.0,24.0,94.0,33.0,102.0,27.0
3055,5.0,0.0,11.0,10.0,7.0,6.0,1.0,12.0,16.0,8.0,3.0,2.0,4.0,9.0,29.0,31.0,20.0,13.0,51.0,52.0,64.0,45.0,28.0,15.0,49.0,36.0,14.0,26.0,67.0,25.0
3104,23.0,0.0,39.0,8.0,5.0,10.0,1.0,6.0,11.0,4.0,13.0,3.0,7.0,2.0,34.0,32.0,17.0,12.0,24.0,19.0,14.0,35.0,38.0,18.0,28.0,22.0,15.0,65.0,70.0,42.0
3153,9.0,0.0,12.0,3.0,7.0,4.0,1.0,13.0,5.0,33.0,16.0,18.0,17.0,10.0,32.0,6.0,37.0,2.0,14.0,25.0,11.0,8.0,24.0,23.0,30.0,73.0,15.0,22.0,27.0,39.0
