,Bax,Annexin 1,VAV1,p21,p38_pT180_Y182,MEK1_pS217_S221,CDK1,Smac,Rab25,Transglutaminase,Cyclin_D1,MAPK_pT202_Y204,Chk1_pS345,p90RSK_pT573,Beclin,p70S6K_pT389,NF-kB-p65_pS536,Chk2,PTEN,AMPK_alpha,MSH6,PI3K-p85,AMPK_pT172,EGFR,ADAR1,PKC-alpha,INPP4B,Heregulin,SHP-2_pY542,GATA3
3,0.0,1.0,3.0,13.0,6.0,8.0,14.0,12.0,2.0,4.0,11.0,35.0,5.0,18.0,97.0,16.0,10.0,33.0,34.0,9.0,51.0,7.0,22.0,27.0,26.0,24.0,15.0,117.0,25.0,36.0
52,1.0,2.0,0.0,10.0,6.0,5.0,15.0,3.0,7.0,16.0,13.0,14.0,8.0,17.0,32.0,19.0,36.0,9.0,34.0,30.0,28.0,4.0,100.0,21.0,102.0,11.0,83.0,111.0,41.0,23.0
101,0.0,2.0,4.0,20.0,3.0,1.0,13.0,12.0,6.0,8.0,19.0,11.0,5.0,14.0,100.0,22.0,59.0,41.0,10.0,7.0,57.0,15.0,29.0,25.0,21.0,9.0,44.0,118.0,16.0,26.0
150,0.0,1.0,2.0,10.0,8.0,5.0,26.0,13.0,11.0,9.0,15.0,14.0,3.0,6.0,95.0,21.0,30.0,12.0,22.0,20.0,38.0,4.0,17.0,29.0,25.0,64.0,28.0,110.0,7.0,115.0
199,1.0,2.0,0.0,13.0,5.0,8.0,23.0,7.0,9.0,4.0,28.0,32.0,6.0,10.0,96.0,18.0,25.0,3.0,77.0,12.0,48.0,17.0,16.0,24.0,37.0,27.0,31.0,11.0,22.0,34.0
248,1.0,0.0,2.0,39.0,10.0,4.0,9.0,6.0,3.0,7.0,13.0,25.0,5.0,14.0,33.0,30.0,36.0,24.0,20.0,34.0,43.0,19.0,26.0,8.0,101.0,82.0,112.0,21.0,23.0,40.0
297,1.0,0.0,2.0,10.0,4.0,7.0,18.0,3.0,19.0,6.0,8.0,29.0,11.0,12.0,98.0,13.0,46.0,22.0,5.0,24.0,48.0,14.0,9.0,104.0,15.0,17.0,79.0,20.0,37.0,112.0
346,2.0,1.0,0.0,9.0,3.0,22.0,6.0,13.0,7.0,30.0,10.0,26.0,5.0,19.0,29.0,11.0,14.0,20.0,21.0,23.0,49.0,15.0,17.0,28.0,18.0,32.0,40.0,37.0,16.0,27.0
395,0.0,1.0,2.0,20.0,16.0,7.0,6.0,5.0,3.0,4.0,24.0,9.0,8.0,10.0,26.0,25.0,12.0,34.0,30.0,14.0,43.0,19.0,18.0,123.0,35.0,17.0,22.0,32.0,33.0,37.0
444,4.0,1.0,0.0,26.0,2.0,12.0,9.0,7.0,14.0,6.0,15.0,39.0,3.0,19.0,30.0,20.0,13.0,28.0,23.0,8.0,44.0,21.0,24.0,27.0,10.0,32.0,35.0,38.0,31.0,112.0
493,0.0,3.0,1.0,22.0,8.0,6.0,23.0,5.0,4.0,17.0,10.0,7.0,18.0,11.0,15.0,31.0,16.0,12.0,37.0,24.0,2.0,9.0,21.0,28.0,102.0,26.0,115.0,19.0,30.0,25.0
542,0.0,4.0,5.0,24.0,14.0,2.0,87.0,7.0,1.0,36.0,6.0,3.0,11.0,19.0,17.0,10.0,27.0,40.0,13.0,104.0,16.0,8.0,22.0,126.0,35.0,80.0,25.0,18.0,9.0,23.0
591,0.0,6.0,13.0,4.0,24.0,2.0,10.0,15.0,1.0,30.0,12.0,3.0,5.0,17.0,9.0,25.0,14.0,88.0,7.0,23.0,29.0,11.0,86.0,20.0,105.0,21.0,37.0,33.0,32.0,39.0
640,0.0,2.0,4.0,9.0,14.0,1.0,12.0,10.0,3.0,8.0,11.0,5.0,38.0,20.0,17.0,26.0,21.0,83.0,27.0,30.0,13.0,6.0,7.0,39.0,29.0,35.0,28.0,126.0,15.0,22.0
689,0.0,2.0,3.0,15.0,24.0,4.0,32.0,6.0,5.0,19.0,9.0,1.0,13.0,17.0,23.0,33.0,18.0,29.0,10.0,11.0,12.0,20.0,8.0,127.0,34.0,30.0,14.0,36.0,25.0,116.0
738,3.0,6.0,4.0,10.0,17.0,0.0,20.0,18.0,2.0,31.0,8.0,5.0,21.0,7.0,12.0,23.0,15.0,19.0,30.0,22.0,9.0,11.0,14.0,115.0,33.0,13.0,16.0,87.0,59.0,121.0
787,0.0,3.0,1.0,4.0,11.0,6.0,17.0,7.0,9.0,27.0,10.0,8.0,13.0,2.0,14.0,15.0,16.0,25.0,20.0,18.0,31.0,5.0,12.0,35.0,32.0,64.0,28.0,22.0,24.0,110.0
836,1.0,0.0,2.0,3.0,25.0,5.0,21.0,38.0,9.0,35.0,13.0,4.0,18.0,16.0,28.0,39.0,26.0,24.0,14.0,6.0,10.0,11.0,29.0,116.0,31.0,73.0,8.0,12.0,33.0,41.0
885,0.0,2.0,6.0,5.0,19.0,3.0,1.0,10.0,4.0,8.0,35.0,7.0,11.0,22.0,12.0,13.0,21.0,30.0,36.0,29.0,17.0,9.0,16.0,27.0,31.0,53.0,25.0,24.0,26.0,20.0
934,0.0,2.0,8.0,11.0,31.0,5.0,21.0,13.0,3.0,36.0,10.0,7.0,85.0,9.0,1.0,22.0,20.0,16.0,30.0,28.0,15.0,12.0,6.0,17.0,34.0,4.0,83.0,14.0,64.0,122.0
983,0.0,1.0,7.0,2.0,8.0,13.0,3.0,6.0,12.0,10.0,14.0,52.0,15.0,11.0,5.0,73.0,4.0,85.0,21.0,18.0,31.0,25.0,93.0,17.0,30.0,26.0,16.0,33.0,63.0,9.0
