,niacinamide,C18:0 LPC,dCMP,cotinine,serine,guanosine,N-carbamoyl-beta-alanine,glutamine,isocitrate,C16:0 LPE,1-methylnicotinamide,valerylcarnitine,serotonin,adenosine,hypoxanthine,palmitoylcarnitine,butyrylcarnitine/isobutyrylcarnitine,C22:6 LPE,2-deoxyadenosine,acetylcholine,C56:5 TAG,alpha-glycerophosphocholine,creatinine,C36:4 PC-B,GABA,C22:6 LPC,beta-alanine,C18:0 LPE,alpha-glycerophosphate,putrescine
24,3.0,0.0,26.0,10.0,2.0,9.0,5.0,15.0,11.0,12.0,17.0,4.0,47.0,22.0,8.0,1.0,29.0,14.0,23.0,19.0,35.0,18.0,21.0,16.0,48.0,28.0,44.0,20.0,6.0,50.0
73,3.0,0.0,34.0,8.0,1.0,10.0,6.0,12.0,4.0,13.0,21.0,2.0,25.0,28.0,37.0,15.0,47.0,7.0,29.0,30.0,19.0,24.0,27.0,36.0,18.0,46.0,26.0,41.0,5.0,50.0
122,5.0,1.0,36.0,3.0,9.0,0.0,12.0,13.0,16.0,14.0,15.0,4.0,8.0,24.0,19.0,6.0,10.0,11.0,17.0,28.0,22.0,29.0,26.0,21.0,50.0,27.0,25.0,7.0,2.0,59.0
171,3.0,0.0,17.0,9.0,1.0,2.0,23.0,43.0,5.0,31.0,28.0,7.0,14.0,15.0,8.0,6.0,22.0,4.0,26.0,49.0,16.0,29.0,30.0,20.0,25.0,38.0,13.0,18.0,19.0,53.0
220,9.0,0.0,14.0,11.0,1.0,5.0,13.0,8.0,10.0,6.0,28.0,2.0,45.0,22.0,7.0,4.0,12.0,3.0,17.0,20.0,35.0,19.0,21.0,26.0,47.0,32.0,31.0,30.0,36.0,58.0
269,1.0,0.0,3.0,6.0,2.0,24.0,15.0,12.0,10.0,23.0,7.0,5.0,9.0,14.0,11.0,47.0,22.0,8.0,31.0,13.0,25.0,16.0,29.0,36.0,41.0,30.0,42.0,28.0,18.0,59.0
318,2.0,0.0,12.0,9.0,1.0,3.0,7.0,14.0,6.0,15.0,19.0,8.0,18.0,17.0,13.0,4.0,20.0,11.0,5.0,22.0,41.0,23.0,24.0,29.0,35.0,27.0,26.0,21.0,36.0,60.0
367,0.0,3.0,7.0,6.0,4.0,1.0,19.0,5.0,10.0,9.0,11.0,8.0,18.0,24.0,16.0,2.0,26.0,14.0,23.0,21.0,37.0,22.0,20.0,31.0,48.0,28.0,27.0,29.0,12.0,57.0
416,3.0,0.0,35.0,1.0,9.0,2.0,12.0,5.0,7.0,8.0,18.0,4.0,25.0,26.0,6.0,11.0,17.0,10.0,27.0,23.0,20.0,22.0,30.0,37.0,19.0,24.0,28.0,15.0,16.0,57.0
465,7.0,5.0,12.0,30.0,1.0,0.0,11.0,8.0,17.0,18.0,19.0,9.0,25.0,27.0,4.0,2.0,10.0,20.0,15.0,24.0,13.0,22.0,26.0,21.0,28.0,33.0,23.0,39.0,16.0,58.0
514,3.0,0.0,1.0,2.0,35.0,6.0,13.0,25.0,7.0,5.0,31.0,28.0,12.0,15.0,16.0,27.0,29.0,24.0,14.0,18.0,43.0,4.0,26.0,22.0,44.0,20.0,40.0,9.0,30.0,51.0
563,15.0,4.0,0.0,1.0,2.0,7.0,3.0,12.0,21.0,9.0,8.0,14.0,11.0,17.0,38.0,10.0,29.0,6.0,24.0,49.0,30.0,5.0,22.0,13.0,23.0,27.0,28.0,40.0,33.0,60.0
612,18.0,2.0,1.0,0.0,9.0,3.0,7.0,5.0,4.0,10.0,52.0,11.0,39.0,8.0,17.0,16.0,28.0,19.0,14.0,25.0,29.0,6.0,24.0,20.0,23.0,30.0,27.0,12.0,13.0,26.0
661,4.0,2.0,1.0,0.0,52.0,3.0,9.0,51.0,7.0,8.0,18.0,17.0,34.0,11.0,14.0,10.0,6.0,16.0,31.0,20.0,32.0,13.0,21.0,5.0,43.0,27.0,26.0,19.0,35.0,57.0
710,2.0,0.0,1.0,3.0,47.0,7.0,4.0,48.0,5.0,10.0,12.0,9.0,17.0,8.0,35.0,13.0,26.0,18.0,11.0,27.0,19.0,6.0,23.0,36.0,21.0,24.0,25.0,46.0,14.0,55.0
759,5.0,2.0,1.0,0.0,8.0,3.0,14.0,18.0,21.0,4.0,27.0,10.0,17.0,20.0,12.0,11.0,7.0,6.0,13.0,25.0,50.0,9.0,23.0,19.0,34.0,16.0,22.0,41.0,30.0,28.0
808,11.0,2.0,8.0,0.0,16.0,5.0,4.0,3.0,9.0,7.0,14.0,43.0,37.0,22.0,10.0,23.0,49.0,6.0,13.0,30.0,20.0,1.0,28.0,15.0,36.0,32.0,41.0,17.0,18.0,55.0
857,2.0,12.0,1.0,0.0,30.0,3.0,19.0,9.0,6.0,5.0,10.0,16.0,21.0,4.0,7.0,27.0,17.0,20.0,11.0,28.0,8.0,14.0,22.0,37.0,26.0,15.0,29.0,41.0,32.0,25.0
