,niacinamide,C18:0 LPC,dCMP,cotinine,serine,guanosine,N-carbamoyl-beta-alanine,glutamine,isocitrate,C16:0 LPE,1-methylnicotinamide,valerylcarnitine,serotonin,adenosine,hypoxanthine,palmitoylcarnitine,butyrylcarnitine/isobutyrylcarnitine,C22:6 LPE,2-deoxyadenosine,acetylcholine,C56:5 TAG,alpha-glycerophosphocholine,creatinine,C36:4 PC-B,GABA,C22:6 LPC,beta-alanine,C18:0 LPE,alpha-glycerophosphate,putrescine
906,4.0,2.0,1.0,0.0,50.0,5.0,3.0,7.0,11.0,27.0,24.0,13.0,16.0,15.0,9.0,18.0,25.0,29.0,17.0,22.0,42.0,20.0,21.0,19.0,35.0,8.0,26.0,28.0,14.0,55.0
955,2.0,0.0,3.0,1.0,32.0,5.0,4.0,9.0,16.0,8.0,24.0,13.0,40.0,15.0,18.0,22.0,6.0,10.0,29.0,27.0,11.0,7.0,21.0,38.0,31.0,33.0,28.0,45.0,17.0,23.0
1004,0.0,2.0,12.0,1.0,13.0,7.0,8.0,5.0,9.0,29.0,3.0,6.0,20.0,15.0,4.0,11.0,10.0,18.0,19.0,25.0,22.0,24.0,23.0,34.0,21.0,28.0,46.0,39.0,32.0,27.0
1053,0.0,7.0,1.0,3.0,13.0,6.0,11.0,16.0,34.0,20.0,8.0,5.0,4.0,15.0,2.0,23.0,47.0,12.0,27.0,21.0,30.0,52.0,26.0,18.0,17.0,10.0,24.0,22.0,33.0,29.0
1102,1.0,2.0,4.0,3.0,14.0,7.0,6.0,5.0,27.0,36.0,10.0,0.0,13.0,9.0,15.0,30.0,8.0,33.0,26.0,23.0,19.0,29.0,25.0,45.0,24.0,11.0,38.0,34.0,48.0,42.0
1151,0.0,9.0,3.0,7.0,4.0,36.0,25.0,5.0,17.0,27.0,1.0,2.0,8.0,16.0,6.0,11.0,26.0,43.0,20.0,21.0,28.0,22.0,53.0,37.0,29.0,15.0,31.0,40.0,33.0,24.0
1200,1.0,11.0,3.0,4.0,29.0,5.0,19.0,0.0,13.0,22.0,10.0,9.0,17.0,6.0,35.0,38.0,2.0,12.0,25.0,21.0,18.0,20.0,55.0,36.0,15.0,8.0,48.0,45.0,30.0,24.0
1249,0.0,4.0,7.0,1.0,11.0,14.0,9.0,3.0,13.0,28.0,16.0,2.0,15.0,10.0,18.0,6.0,5.0,17.0,24.0,22.0,36.0,23.0,21.0,31.0,47.0,8.0,27.0,29.0,37.0,26.0
1298,0.0,5.0,3.0,1.0,7.0,15.0,8.0,12.0,25.0,44.0,9.0,2.0,16.0,4.0,11.0,29.0,13.0,19.0,26.0,30.0,35.0,31.0,49.0,33.0,18.0,6.0,34.0,20.0,24.0,21.0
1347,0.0,7.0,1.0,3.0,5.0,9.0,34.0,16.0,12.0,15.0,2.0,4.0,10.0,17.0,8.0,26.0,11.0,30.0,19.0,22.0,36.0,23.0,21.0,32.0,46.0,28.0,27.0,29.0,37.0,25.0
1396,0.0,12.0,13.0,7.0,8.0,11.0,4.0,3.0,16.0,18.0,9.0,2.0,47.0,15.0,1.0,17.0,6.0,29.0,31.0,21.0,37.0,20.0,22.0,26.0,48.0,10.0,24.0,30.0,46.0,27.0
1445,0.0,2.0,1.0,4.0,11.0,14.0,12.0,16.0,8.0,32.0,5.0,3.0,22.0,13.0,9.0,7.0,37.0,41.0,25.0,24.0,31.0,23.0,52.0,38.0,45.0,18.0,48.0,15.0,46.0,34.0
1494,4.0,2.0,37.0,12.0,9.0,1.0,10.0,5.0,35.0,0.0,19.0,6.0,33.0,8.0,13.0,3.0,21.0,25.0,14.0,18.0,31.0,51.0,17.0,27.0,54.0,16.0,23.0,24.0,34.0,30.0
1543,2.0,0.0,8.0,5.0,17.0,3.0,4.0,1.0,15.0,28.0,13.0,14.0,6.0,11.0,16.0,9.0,30.0,27.0,24.0,21.0,45.0,20.0,22.0,10.0,35.0,18.0,54.0,49.0,39.0,29.0
1592,7.0,0.0,5.0,4.0,6.0,8.0,15.0,2.0,12.0,10.0,16.0,46.0,1.0,3.0,17.0,13.0,18.0,44.0,23.0,20.0,21.0,27.0,22.0,36.0,24.0,48.0,28.0,56.0,31.0,52.0
1641,2.0,1.0,8.0,9.0,7.0,0.0,6.0,3.0,38.0,28.0,31.0,12.0,10.0,18.0,15.0,14.0,25.0,33.0,26.0,22.0,36.0,20.0,23.0,5.0,46.0,29.0,32.0,52.0,37.0,19.0
1690,7.0,0.0,12.0,1.0,46.0,11.0,6.0,5.0,2.0,3.0,8.0,45.0,4.0,17.0,10.0,13.0,49.0,37.0,19.0,57.0,14.0,21.0,27.0,35.0,25.0,15.0,28.0,56.0,31.0,26.0
1739,2.0,0.0,20.0,9.0,48.0,5.0,6.0,4.0,1.0,30.0,26.0,8.0,7.0,3.0,39.0,14.0,19.0,31.0,22.0,21.0,15.0,23.0,24.0,13.0,37.0,29.0,28.0,58.0,18.0,27.0
1788,4.0,0.0,9.0,28.0,6.0,16.0,2.0,1.0,11.0,29.0,7.0,14.0,8.0,17.0,5.0,3.0,12.0,24.0,27.0,25.0,15.0,23.0,26.0,13.0,38.0,18.0,31.0,51.0,44.0,30.0
1837,6.0,0.0,39.0,11.0,3.0,12.0,1.0,2.0,14.0,25.0,32.0,16.0,46.0,7.0,13.0,8.0,19.0,15.0,5.0,29.0,17.0,30.0,28.0,9.0,35.0,24.0,23.0,50.0,44.0,20.0
1886,4.0,0.0,11.0,1.0,15.0,6.0,3.0,2.0,13.0,10.0,30.0,14.0,22.0,8.0,17.0,7.0,27.0,16.0,20.0,25.0,18.0,62.0,49.0,36.0,21.0,23.0,24.0,54.0,31.0,19.0
1935,3.0,0.0,16.0,10.0,13.0,4.0,1.0,2.0,32.0,9.0,46.0,27.0,5.0,8.0,14.0,11.0,22.0,28.0,26.0,23.0,20.0,50.0,25.0,7.0,18.0,35.0,45.0,49.0,31.0,44.0
1984,0.0,2.0,1.0,10.0,4.0,9.0,17.0,30.0,6.0,18.0,3.0,13.0,5.0,8.0,12.0,20.0,11.0,16.0,21.0,29.0,26.0,22.0,24.0,19.0,28.0,31.0,27.0,23.0,45.0,14.0
2033,2.0,13.0,0.0,6.0,1.0,4.0,15.0,30.0,32.0,9.0,10.0,5.0,3.0,11.0,37.0,17.0,12.0,7.0,19.0,28.0,26.0,8.0,20.0,38.0,21.0,41.0,27.0,53.0,14.0,54.0
2082,1.0,4.0,3.0,2.0,10.0,48.0,19.0,17.0,11.0,0.0,7.0,5.0,9.0,8.0,40.0,15.0,18.0,26.0,14.0,22.0,25.0,21.0,24.0,16.0,30.0,46.0,20.0,49.0,12.0,28.0
2131,2.0,4.0,0.0,17.0,1.0,6.0,7.0,43.0,10.0,3.0,5.0,9.0,46.0,8.0,16.0,23.0,25.0,14.0,12.0,20.0,11.0,22.0,21.0,15.0,31.0,27.0,26.0,54.0,44.0,24.0
2180,3.0,0.0,1.0,13.0,6.0,19.0,22.0,47.0,7.0,14.0,2.0,12.0,9.0,5.0,18.0,23.0,11.0,21.0,16.0,26.0,24.0,8.0,25.0,4.0,48.0,17.0,49.0,51.0,32.0,27.0
2229,0.0,2.0,1.0,15.0,17.0,14.0,6.0,36.0,16.0,3.0,4.0,7.0,8.0,18.0,20.0,12.0,11.0,19.0,9.0,27.0,26.0,28.0,25.0,21.0,42.0,35.0,29.0,24.0,33.0,31.0
2278,2.0,3.0,1.0,20.0,6.0,8.0,4.0,18.0,21.0,9.0,10.0,5.0,0.0,7.0,11.0,31.0,22.0,14.0,16.0,17.0,29.0,26.0,27.0,23.0,28.0,32.0,30.0,53.0,24.0,46.0
2327,4.0,6.0,2.0,32.0,0.0,9.0,15.0,50.0,14.0,1.0,8.0,24.0,3.0,17.0,5.0,10.0,23.0,7.0,20.0,13.0,35.0,11.0,19.0,28.0,47.0,26.0,25.0,53.0,16.0,55.0
2376,4.0,0.0,2.0,15.0,1.0,12.0,3.0,30.0,17.0,5.0,8.0,6.0,16.0,7.0,11.0,14.0,26.0,43.0,13.0,20.0,27.0,9.0,28.0,18.0,21.0,19.0,25.0,46.0,31.0,52.0
2425,0.0,1.0,2.0,13.0,5.0,7.0,8.0,47.0,4.0,10.0,12.0,6.0,16.0,3.0,11.0,17.0,25.0,15.0,9.0,22.0,20.0,26.0,23.0,14.0,19.0,24.0,40.0,38.0,30.0,53.0
2474,3.0,0.0,12.0,4.0,2.0,29.0,1.0,33.0,9.0,7.0,20.0,14.0,15.0,16.0,5.0,18.0,13.0,8.0,26.0,47.0,27.0,22.0,24.0,21.0,23.0,32.0,49.0,11.0,28.0,42.0
2523,1.0,0.0,2.0,11.0,9.0,35.0,4.0,20.0,8.0,14.0,13.0,22.0,5.0,25.0,3.0,15.0,6.0,19.0,12.0,28.0,10.0,54.0,23.0,36.0,27.0,18.0,38.0,21.0,32.0,47.0
2572,12.0,0.0,2.0,4.0,45.0,35.0,1.0,16.0,5.0,9.0,24.0,14.0,3.0,21.0,7.0,25.0,11.0,17.0,13.0,53.0,26.0,19.0,20.0,28.0,39.0,15.0,31.0,6.0,34.0,55.0
2621,3.0,1.0,0.0,5.0,8.0,17.0,4.0,20.0,10.0,15.0,13.0,28.0,12.0,25.0,2.0,29.0,9.0,36.0,18.0,22.0,14.0,23.0,24.0,46.0,26.0,30.0,33.0,11.0,34.0,27.0
2670,3.0,0.0,2.0,5.0,43.0,7.0,1.0,6.0,15.0,11.0,23.0,24.0,12.0,21.0,4.0,25.0,16.0,42.0,9.0,50.0,17.0,52.0,26.0,14.0,19.0,27.0,47.0,33.0,37.0,51.0
2719,2.0,0.0,1.0,3.0,6.0,39.0,8.0,21.0,10.0,24.0,19.0,17.0,7.0,25.0,14.0,9.0,4.0,12.0,18.0,47.0,30.0,49.0,31.0,35.0,20.0,33.0,28.0,11.0,15.0,50.0
2768,3.0,0.0,2.0,5.0,44.0,7.0,1.0,14.0,8.0,4.0,18.0,28.0,9.0,26.0,6.0,15.0,11.0,31.0,17.0,10.0,25.0,22.0,30.0,12.0,49.0,46.0,23.0,16.0,27.0,24.0
2817,1.0,0.0,3.0,2.0,24.0,33.0,12.0,23.0,38.0,37.0,13.0,8.0,5.0,16.0,11.0,15.0,4.0,9.0,10.0,20.0,7.0,48.0,18.0,42.0,14.0,30.0,19.0,27.0,39.0,45.0
2866,3.0,0.0,9.0,1.0,12.0,18.0,2.0,16.0,8.0,43.0,25.0,45.0,4.0,15.0,5.0,24.0,6.0,36.0,27.0,23.0,11.0,29.0,28.0,7.0,10.0,39.0,22.0,14.0,32.0,54.0
2915,6.0,0.0,2.0,24.0,17.0,10.0,1.0,18.0,30.0,11.0,46.0,21.0,5.0,8.0,12.0,14.0,4.0,7.0,16.0,27.0,9.0,49.0,22.0,40.0,23.0,45.0,34.0,20.0,19.0,43.0
2964,2.0,8.0,1.0,0.0,3.0,6.0,4.0,9.0,11.0,5.0,14.0,29.0,47.0,22.0,58.0,30.0,7.0,10.0,23.0,15.0,36.0,35.0,21.0,16.0,48.0,45.0,31.0,20.0,32.0,27.0
3013,2.0,4.0,0.0,1.0,3.0,6.0,5.0,9.0,34.0,43.0,12.0,25.0,7.0,30.0,56.0,26.0,15.0,11.0,23.0,10.0,18.0,29.0,21.0,17.0,22.0,28.0,27.0,31.0,33.0,24.0
3062,2.0,8.0,1.0,0.0,3.0,17.0,4.0,7.0,13.0,26.0,10.0,32.0,15.0,19.0,38.0,22.0,16.0,28.0,5.0,9.0,35.0,18.0,20.0,29.0,46.0,25.0,24.0,27.0,45.0,31.0
3111,6.0,3.0,0.0,1.0,4.0,7.0,11.0,5.0,8.0,10.0,16.0,33.0,13.0,32.0,52.0,30.0,29.0,15.0,25.0,9.0,35.0,22.0,24.0,2.0,19.0,14.0,20.0,27.0,36.0,28.0
3160,2.0,4.0,5.0,0.0,11.0,33.0,6.0,29.0,3.0,19.0,22.0,24.0,12.0,20.0,35.0,25.0,23.0,10.0,21.0,17.0,7.0,26.0,16.0,1.0,15.0,18.0,39.0,27.0,30.0,9.0
3209,0.0,2.0,1.0,5.0,3.0,9.0,6.0,12.0,15.0,10.0,13.0,25.0,30.0,21.0,36.0,26.0,14.0,8.0,23.0,7.0,19.0,29.0,47.0,16.0,22.0,28.0,27.0,39.0,33.0,24.0
3258,0.0,5.0,2.0,1.0,15.0,8.0,6.0,7.0,12.0,26.0,13.0,9.0,30.0,22.0,52.0,16.0,20.0,4.0,17.0,3.0,18.0,23.0,29.0,45.0,24.0,40.0,28.0,21.0,33.0,25.0
3307,3.0,7.0,4.0,2.0,0.0,10.0,8.0,5.0,9.0,12.0,11.0,27.0,1.0,21.0,38.0,34.0,26.0,22.0,13.0,17.0,36.0,23.0,24.0,6.0,19.0,30.0,29.0,31.0,37.0,33.0
3356,2.0,6.0,0.0,7.0,4.0,17.0,1.0,5.0,13.0,11.0,16.0,39.0,3.0,27.0,33.0,18.0,20.0,8.0,26.0,14.0,40.0,31.0,28.0,15.0,46.0,44.0,25.0,38.0,23.0,22.0
3405,2.0,0.0,4.0,5.0,19.0,7.0,10.0,9.0,28.0,3.0,1.0,29.0,34.0,17.0,54.0,24.0,48.0,6.0,26.0,16.0,32.0,23.0,25.0,11.0,33.0,43.0,37.0,42.0,30.0,39.0
3454,12.0,4.0,1.0,2.0,0.0,3.0,15.0,10.0,18.0,39.0,6.0,8.0,5.0,9.0,36.0,19.0,13.0,44.0,20.0,17.0,26.0,23.0,21.0,35.0,28.0,25.0,27.0,46.0,32.0,48.0
3503,6.0,13.0,0.0,4.0,5.0,10.0,38.0,8.0,2.0,14.0,3.0,7.0,1.0,21.0,16.0,22.0,27.0,31.0,23.0,28.0,19.0,44.0,25.0,17.0,12.0,30.0,29.0,18.0,39.0,54.0
3552,4.0,12.0,0.0,1.0,2.0,6.0,14.0,5.0,13.0,10.0,9.0,33.0,8.0,21.0,38.0,25.0,3.0,28.0,16.0,19.0,11.0,18.0,20.0,17.0,35.0,15.0,26.0,27.0,36.0,24.0
3601,6.0,8.0,3.0,0.0,1.0,15.0,14.0,4.0,5.0,10.0,2.0,11.0,13.0,18.0,24.0,46.0,12.0,36.0,31.0,26.0,7.0,52.0,25.0,17.0,27.0,35.0,33.0,23.0,9.0,47.0
3650,4.0,16.0,3.0,1.0,0.0,2.0,9.0,30.0,11.0,8.0,6.0,12.0,5.0,19.0,35.0,10.0,26.0,7.0,20.0,14.0,21.0,18.0,27.0,36.0,22.0,17.0,25.0,37.0,13.0,52.0
3699,0.0,25.0,13.0,3.0,1.0,4.0,6.0,8.0,5.0,20.0,2.0,16.0,10.0,11.0,42.0,19.0,17.0,24.0,22.0,18.0,15.0,29.0,47.0,43.0,28.0,39.0,7.0,30.0,12.0,27.0
3748,10.0,8.0,11.0,1.0,0.0,2.0,9.0,6.0,4.0,5.0,3.0,18.0,7.0,12.0,35.0,16.0,15.0,37.0,25.0,28.0,23.0,20.0,21.0,17.0,24.0,30.0,19.0,44.0,14.0,50.0
3797,5.0,18.0,6.0,0.0,2.0,7.0,15.0,13.0,1.0,4.0,3.0,27.0,8.0,17.0,39.0,24.0,22.0,11.0,16.0,52.0,29.0,26.0,23.0,40.0,28.0,44.0,25.0,12.0,14.0,50.0
3846,1.0,13.0,2.0,0.0,3.0,5.0,11.0,10.0,9.0,8.0,7.0,24.0,6.0,14.0,16.0,21.0,15.0,36.0,12.0,18.0,19.0,27.0,23.0,34.0,20.0,26.0,17.0,44.0,30.0,49.0
3895,0.0,8.0,1.0,2.0,4.0,28.0,9.0,43.0,3.0,7.0,5.0,15.0,11.0,10.0,14.0,18.0,41.0,33.0,23.0,27.0,32.0,49.0,25.0,29.0,17.0,44.0,30.0,37.0,6.0,19.0
3944,0.0,1.0,7.0,4.0,2.0,13.0,3.0,18.0,9.0,5.0,6.0,43.0,14.0,20.0,22.0,15.0,24.0,8.0,19.0,32.0,12.0,23.0,30.0,17.0,21.0,31.0,57.0,39.0,27.0,26.0
3993,0.0,1.0,3.0,6.0,2.0,37.0,8.0,19.0,12.0,9.0,5.0,33.0,46.0,4.0,38.0,10.0,24.0,14.0,17.0,20.0,11.0,18.0,21.0,29.0,35.0,27.0,26.0,28.0,16.0,23.0
4042,2.0,5.0,1.0,8.0,0.0,9.0,16.0,29.0,10.0,6.0,3.0,24.0,23.0,4.0,14.0,17.0,26.0,37.0,12.0,22.0,21.0,11.0,25.0,34.0,19.0,42.0,57.0,38.0,30.0,46.0
4091,1.0,0.0,5.0,3.0,15.0,35.0,16.0,30.0,4.0,19.0,8.0,26.0,14.0,2.0,36.0,9.0,47.0,12.0,13.0,21.0,11.0,27.0,22.0,34.0,25.0,37.0,53.0,41.0,20.0,44.0
4140,1.0,0.0,4.0,6.0,2.0,7.0,14.0,44.0,5.0,8.0,13.0,31.0,49.0,3.0,50.0,11.0,19.0,15.0,16.0,28.0,12.0,29.0,27.0,25.0,35.0,22.0,21.0,24.0,9.0,20.0
4189,0.0,3.0,7.0,9.0,2.0,36.0,1.0,20.0,8.0,11.0,12.0,23.0,33.0,13.0,37.0,16.0,14.0,10.0,6.0,51.0,19.0,4.0,25.0,27.0,41.0,24.0,56.0,26.0,5.0,30.0
4238,1.0,0.0,13.0,6.0,2.0,40.0,3.0,8.0,17.0,28.0,4.0,32.0,36.0,10.0,43.0,21.0,14.0,5.0,12.0,20.0,15.0,22.0,23.0,16.0,35.0,29.0,52.0,26.0,7.0,30.0
4287,1.0,2.0,10.0,9.0,8.0,36.0,3.0,47.0,15.0,18.0,4.0,16.0,21.0,6.0,38.0,5.0,29.0,0.0,12.0,55.0,23.0,14.0,24.0,37.0,11.0,28.0,27.0,17.0,31.0,26.0
4336,2.0,0.0,3.0,5.0,19.0,11.0,6.0,13.0,15.0,29.0,1.0,26.0,27.0,7.0,36.0,4.0,10.0,8.0,16.0,22.0,9.0,18.0,24.0,12.0,23.0,38.0,54.0,21.0,31.0,17.0
4385,1.0,0.0,2.0,17.0,10.0,13.0,5.0,14.0,4.0,11.0,8.0,23.0,35.0,3.0,38.0,12.0,21.0,26.0,29.0,9.0,6.0,19.0,18.0,27.0,30.0,24.0,57.0,25.0,40.0,22.0
4434,18.0,1.0,0.0,3.0,6.0,4.0,2.0,9.0,10.0,16.0,14.0,20.0,39.0,5.0,37.0,28.0,11.0,7.0,19.0,25.0,22.0,24.0,30.0,15.0,8.0,26.0,49.0,21.0,13.0,53.0
4483,11.0,8.0,0.0,10.0,9.0,2.0,4.0,1.0,3.0,6.0,22.0,12.0,37.0,7.0,34.0,25.0,5.0,24.0,18.0,20.0,21.0,15.0,19.0,44.0,16.0,28.0,27.0,31.0,45.0,23.0
4532,18.0,5.0,0.0,10.0,2.0,1.0,13.0,7.0,3.0,9.0,8.0,6.0,38.0,15.0,4.0,14.0,12.0,44.0,20.0,23.0,25.0,22.0,50.0,30.0,31.0,28.0,27.0,29.0,11.0,56.0
4581,27.0,2.0,3.0,9.0,0.0,1.0,7.0,4.0,13.0,14.0,12.0,50.0,21.0,6.0,17.0,10.0,48.0,47.0,5.0,24.0,22.0,11.0,25.0,35.0,8.0,23.0,20.0,15.0,31.0,54.0
4630,3.0,1.0,17.0,4.0,8.0,11.0,0.0,6.0,2.0,16.0,10.0,19.0,38.0,7.0,9.0,18.0,14.0,32.0,5.0,31.0,36.0,13.0,29.0,39.0,15.0,34.0,45.0,33.0,21.0,22.0
4679,14.0,2.0,1.0,4.0,17.0,5.0,6.0,3.0,0.0,21.0,10.0,11.0,19.0,8.0,7.0,16.0,9.0,45.0,31.0,24.0,22.0,30.0,26.0,37.0,27.0,25.0,42.0,15.0,12.0,29.0
4728,10.0,6.0,0.0,12.0,8.0,1.0,11.0,7.0,2.0,5.0,14.0,21.0,40.0,9.0,38.0,13.0,17.0,32.0,4.0,22.0,25.0,29.0,24.0,20.0,30.0,26.0,50.0,18.0,33.0,28.0
4777,9.0,1.0,0.0,8.0,3.0,2.0,4.0,6.0,5.0,11.0,15.0,25.0,18.0,12.0,10.0,14.0,13.0,21.0,7.0,26.0,20.0,23.0,48.0,40.0,19.0,27.0,47.0,16.0,22.0,36.0
4826,2.0,1.0,5.0,9.0,6.0,0.0,15.0,4.0,10.0,7.0,17.0,20.0,52.0,8.0,14.0,3.0,27.0,51.0,13.0,22.0,44.0,23.0,24.0,26.0,35.0,30.0,29.0,31.0,11.0,57.0
4875,8.0,6.0,2.0,27.0,1.0,11.0,4.0,3.0,0.0,25.0,9.0,18.0,33.0,7.0,17.0,21.0,29.0,26.0,5.0,22.0,31.0,23.0,55.0,48.0,40.0,16.0,49.0,30.0,10.0,28.0
