,RP11-902B17.1,ABCA12,ELF3,CNRIP1,EPPK1,GALNT3,NRSN2,DLG4,TSTD1,ANO9,MACC1,DAPP1,TMC6,AC002128.5,AP1M1,DIRAS1,C2orf54,RP11-44F14.2,C17orf51,DSC2,CD99L2,COPS8,LAMA5,ARMCX1,HMGA1P4,PRSS16,TUBA1A,STXBP2,BNC2,SYDE1
11,1.0,21.0,0.0,16.0,10.0,8.0,15.0,2.0,3.0,7.0,4.0,17.0,12.0,24.0,9.0,36.0,6.0,23.0,32.0,5.0,11.0,27.0,34.0,13.0,14.0,44.0,38.0,11129.0,18586.0,43.0
60,0.0,7.0,2.0,32.0,1.0,5.0,19.0,15.0,8.0,9.0,4.0,14.0,22.0,25.0,13.0,11312.0,6.0,17.0,18.0,24.0,61.0,43.0,35.0,12.0,20562.0,23.0,33.0,21.0,20.0,40.0
109,0.0,8.0,7.0,15.0,5.0,2.0,40.0,6.0,13.0,3.0,20.0,4.0,10.0,22.0,19.0,21.0,17.0,24.0,12.0,56.0,78.0,29.0,16.0,32.0,316.0,9.0,1.0,37.0,28.0,43.0
158,0.0,25.0,6.0,19.0,8.0,1.0,15.0,16.0,11.0,17.0,14.0,7.0,3.0,27.0,13.0,29.0,9.0,21.0,23.0,32.0,18.0,49.0,82.0,2.0,20542.0,20.0,5.0,26.0,28.0,36.0
207,0.0,6.0,1.0,24.0,7.0,10.0,16.0,44.0,12.0,2.0,9.0,3.0,14.0,19.0,18.0,41.0,5.0,8.0,26.0,46.0,31.0,39.0,25.0,8860.0,23.0,47.0,35.0,136.0,30.0,36.0
256,0.0,13.0,2.0,11.0,5.0,7.0,18.0,1.0,3.0,6.0,22.0,4.0,33.0,20.0,8.0,34.0,9.0,21.0,12.0,54.0,16.0,24.0,26.0,10.0,28.0,35.0,6630.0,49.0,31.0,47.0
305,0.0,12.0,1.0,20.0,7.0,6.0,19.0,10.0,25.0,8.0,5.0,9.0,11.0,13.0,3.0,15.0,4.0,18.0,21.0,48.0,17.0,82.0,16.0,61.0,30.0,47.0,26.0,127.0,22.0,28.0
354,0.0,34.0,2.0,4.0,7.0,12.0,48.0,3.0,13.0,8.0,15.0,16.0,10475.0,18.0,22.0,21.0,5.0,19.0,23.0,42.0,6.0,9.0,35.0,1.0,25.0,49.0,17.0,171.0,27.0,52.0
403,0.0,8.0,1.0,12.0,7.0,19.0,10.0,33.0,5.0,16.0,13.0,6.0,27.0,23.0,18.0,15.0,2.0,24.0,9.0,28.0,74.0,30.0,14.0,78.0,22.0,48.0,35.0,20.0,21.0,38.0
452,0.0,10.0,3.0,27.0,2.0,7.0,49.0,11.0,4.0,8.0,21.0,16.0,12.0,26.0,20.0,13.0,1.0,15.0,22.0,9.0,6.0,31.0,14.0,83.0,30.0,5.0,39.0,1284.0,18.0,47.0
