,oxalate,GABA,niacinamide,UMP,1-methylnicotinamide,2-deoxyadenosine,C56:5 TAG,3-phosphoglycerate,alpha-glycerophosphate,C20:4 CE,C16:0 LPE,C22:6 LPC,serotonin,sarcosine,dCMP,pyroglutamic acid,C22:6 CE,PEP,C18:0 LPC,asparagine,butyrylcarnitine/isobutyrylcarnitine,C34:4 PC,pantothenate,C18:0 LPE,SDMA/ADMA,adenosine,uridine,C22:6 LPE,cytidine,leucine
25,2.0,0.0,8.0,21.0,1.0,25.0,10.0,7.0,9.0,51.0,39.0,52.0,26.0,12.0,3.0,24.0,11.0,30.0,4.0,6.0,14.0,22.0,49.0,36.0,47.0,62.0,13.0,29.0,18.0,20.0
74,3.0,2.0,6.0,10.0,4.0,8.0,0.0,7.0,46.0,41.0,5.0,20.0,37.0,1.0,9.0,23.0,25.0,39.0,34.0,54.0,21.0,49.0,12.0,35.0,26.0,36.0,42.0,16.0,52.0,13.0
123,6.0,1.0,7.0,3.0,8.0,17.0,4.0,10.0,45.0,27.0,2.0,24.0,28.0,0.0,5.0,15.0,25.0,29.0,13.0,50.0,12.0,35.0,26.0,31.0,55.0,53.0,39.0,22.0,46.0,65.0
172,1.0,0.0,11.0,8.0,6.0,19.0,5.0,22.0,20.0,29.0,17.0,13.0,10.0,2.0,3.0,41.0,23.0,4.0,12.0,26.0,27.0,36.0,28.0,37.0,7.0,38.0,48.0,9.0,31.0,30.0
221,7.0,1.0,10.0,4.0,2.0,5.0,8.0,33.0,30.0,49.0,31.0,24.0,38.0,0.0,25.0,23.0,6.0,12.0,19.0,40.0,3.0,11.0,13.0,26.0,20.0,63.0,18.0,17.0,60.0,35.0
270,6.0,4.0,12.0,0.0,43.0,5.0,2.0,18.0,13.0,22.0,10.0,15.0,32.0,16.0,1.0,35.0,20.0,17.0,24.0,37.0,23.0,9.0,41.0,30.0,27.0,11.0,28.0,26.0,29.0,25.0
319,2.0,3.0,4.0,1.0,0.0,32.0,44.0,40.0,19.0,21.0,17.0,23.0,22.0,6.0,46.0,29.0,12.0,14.0,39.0,30.0,56.0,34.0,16.0,24.0,8.0,25.0,50.0,41.0,28.0,38.0
368,6.0,0.0,14.0,4.0,5.0,12.0,28.0,34.0,20.0,57.0,2.0,41.0,7.0,3.0,35.0,10.0,16.0,13.0,24.0,37.0,18.0,53.0,15.0,11.0,25.0,44.0,33.0,9.0,49.0,1.0
417,1.0,2.0,10.0,0.0,5.0,8.0,4.0,18.0,54.0,36.0,37.0,39.0,22.0,13.0,12.0,9.0,19.0,30.0,34.0,3.0,23.0,16.0,43.0,65.0,11.0,14.0,6.0,20.0,62.0,25.0
466,7.0,0.0,29.0,4.0,3.0,8.0,5.0,24.0,41.0,26.0,2.0,32.0,18.0,1.0,16.0,27.0,21.0,23.0,13.0,9.0,15.0,28.0,35.0,25.0,36.0,10.0,56.0,22.0,44.0,42.0
515,1.0,2.0,0.0,31.0,6.0,21.0,8.0,4.0,32.0,18.0,10.0,12.0,3.0,14.0,24.0,30.0,36.0,9.0,13.0,54.0,46.0,22.0,19.0,37.0,28.0,5.0,59.0,7.0,45.0,33.0
564,4.0,6.0,9.0,21.0,19.0,27.0,2.0,7.0,23.0,8.0,3.0,17.0,15.0,5.0,30.0,1.0,37.0,53.0,11.0,45.0,42.0,20.0,62.0,26.0,48.0,0.0,57.0,18.0,43.0,32.0
613,2.0,3.0,10.0,8.0,16.0,25.0,19.0,0.0,9.0,7.0,11.0,5.0,26.0,4.0,6.0,1.0,44.0,31.0,15.0,23.0,34.0,17.0,29.0,47.0,13.0,12.0,21.0,27.0,14.0,50.0
662,0.0,8.0,7.0,1.0,23.0,13.0,9.0,4.0,30.0,17.0,6.0,3.0,36.0,26.0,15.0,12.0,24.0,2.0,52.0,65.0,18.0,11.0,58.0,63.0,10.0,40.0,33.0,29.0,19.0,5.0
711,6.0,3.0,1.0,16.0,4.0,5.0,32.0,0.0,13.0,34.0,20.0,57.0,43.0,12.0,14.0,2.0,44.0,22.0,9.0,26.0,21.0,31.0,24.0,62.0,52.0,15.0,33.0,27.0,18.0,7.0
760,2.0,18.0,3.0,36.0,34.0,17.0,7.0,10.0,31.0,9.0,1.0,6.0,16.0,0.0,32.0,12.0,29.0,5.0,23.0,28.0,4.0,26.0,57.0,49.0,35.0,15.0,55.0,11.0,22.0,45.0
809,0.0,1.0,6.0,12.0,4.0,14.0,13.0,3.0,24.0,61.0,16.0,10.0,11.0,8.0,21.0,2.0,33.0,9.0,20.0,63.0,37.0,26.0,45.0,31.0,44.0,18.0,41.0,30.0,27.0,7.0
