,oxalate,GABA,niacinamide,UMP,1-methylnicotinamide,2-deoxyadenosine,C56:5 TAG,3-phosphoglycerate,alpha-glycerophosphate,C20:4 CE,C16:0 LPE,C22:6 LPC,serotonin,sarcosine,dCMP,pyroglutamic acid,C22:6 CE,PEP,C18:0 LPC,asparagine,butyrylcarnitine/isobutyrylcarnitine,C34:4 PC,pantothenate,C18:0 LPE,SDMA/ADMA,adenosine,uridine,C22:6 LPE,cytidine,leucine
858,3.0,4.0,0.0,19.0,16.0,7.0,29.0,1.0,21.0,32.0,13.0,17.0,34.0,8.0,54.0,9.0,35.0,14.0,39.0,47.0,26.0,45.0,24.0,36.0,49.0,28.0,61.0,2.0,15.0,6.0
907,19.0,14.0,1.0,5.0,21.0,10.0,17.0,0.0,12.0,18.0,8.0,49.0,11.0,34.0,3.0,4.0,13.0,2.0,20.0,9.0,28.0,15.0,39.0,29.0,25.0,53.0,59.0,7.0,55.0,37.0
956,2.0,0.0,3.0,19.0,5.0,4.0,1.0,11.0,33.0,32.0,22.0,20.0,6.0,9.0,47.0,7.0,21.0,14.0,56.0,28.0,8.0,27.0,34.0,17.0,16.0,15.0,29.0,38.0,13.0,10.0
1005,3.0,20.0,13.0,21.0,0.0,1.0,18.0,22.0,4.0,8.0,9.0,17.0,43.0,14.0,27.0,49.0,6.0,38.0,16.0,23.0,40.0,30.0,61.0,42.0,2.0,10.0,35.0,12.0,48.0,56.0
1054,2.0,0.0,3.0,4.0,1.0,6.0,14.0,25.0,16.0,31.0,17.0,15.0,29.0,11.0,5.0,27.0,51.0,21.0,12.0,18.0,48.0,24.0,37.0,56.0,8.0,7.0,43.0,10.0,22.0,13.0
1103,5.0,1.0,3.0,2.0,32.0,4.0,0.0,56.0,9.0,25.0,10.0,33.0,7.0,6.0,28.0,44.0,15.0,12.0,24.0,20.0,39.0,37.0,40.0,21.0,31.0,11.0,19.0,8.0,26.0,14.0
1152,11.0,4.0,5.0,1.0,12.0,0.0,6.0,29.0,7.0,9.0,23.0,10.0,20.0,22.0,39.0,15.0,17.0,30.0,42.0,43.0,49.0,28.0,55.0,8.0,56.0,13.0,27.0,3.0,14.0,19.0
1201,4.0,6.0,2.0,1.0,8.0,3.0,0.0,15.0,9.0,10.0,17.0,22.0,33.0,28.0,24.0,11.0,40.0,34.0,39.0,62.0,45.0,26.0,43.0,35.0,12.0,5.0,48.0,7.0,16.0,31.0
1250,8.0,0.0,2.0,5.0,1.0,10.0,3.0,13.0,6.0,36.0,51.0,18.0,64.0,4.0,11.0,27.0,14.0,22.0,50.0,21.0,30.0,37.0,24.0,12.0,19.0,34.0,15.0,9.0,32.0,33.0
1299,23.0,2.0,15.0,3.0,4.0,41.0,7.0,0.0,17.0,18.0,38.0,13.0,11.0,33.0,1.0,43.0,35.0,5.0,16.0,39.0,10.0,8.0,24.0,9.0,28.0,63.0,26.0,20.0,19.0,12.0
1348,3.0,2.0,0.0,8.0,4.0,1.0,15.0,11.0,10.0,13.0,42.0,21.0,44.0,7.0,24.0,14.0,12.0,6.0,39.0,27.0,36.0,31.0,29.0,33.0,16.0,23.0,57.0,26.0,9.0,34.0
1397,0.0,1.0,7.0,3.0,2.0,14.0,5.0,8.0,11.0,10.0,19.0,55.0,40.0,18.0,28.0,31.0,61.0,6.0,20.0,32.0,24.0,17.0,25.0,37.0,44.0,36.0,39.0,4.0,23.0,13.0
1446,1.0,0.0,2.0,8.0,7.0,11.0,4.0,28.0,5.0,32.0,16.0,14.0,15.0,24.0,33.0,30.0,17.0,45.0,21.0,50.0,39.0,58.0,53.0,13.0,6.0,29.0,10.0,3.0,27.0,20.0
1495,0.0,2.0,1.0,5.0,6.0,3.0,8.0,15.0,9.0,7.0,28.0,45.0,10.0,23.0,66.0,12.0,20.0,27.0,11.0,4.0,19.0,25.0,37.0,17.0,29.0,34.0,56.0,43.0,40.0,14.0
1544,8.0,0.0,1.0,5.0,28.0,2.0,11.0,24.0,18.0,13.0,12.0,6.0,21.0,51.0,38.0,10.0,30.0,9.0,19.0,4.0,42.0,26.0,25.0,33.0,23.0,7.0,20.0,52.0,15.0,3.0
1593,4.0,0.0,1.0,12.0,2.0,3.0,10.0,11.0,25.0,24.0,21.0,15.0,23.0,60.0,63.0,5.0,13.0,30.0,34.0,19.0,47.0,40.0,7.0,35.0,33.0,9.0,28.0,42.0,17.0,16.0
1642,3.0,10.0,9.0,7.0,19.0,1.0,46.0,27.0,5.0,2.0,13.0,6.0,41.0,36.0,30.0,18.0,28.0,29.0,24.0,0.0,22.0,26.0,4.0,21.0,15.0,17.0,25.0,57.0,55.0,11.0
1691,6.0,1.0,2.0,19.0,0.0,3.0,7.0,27.0,13.0,4.0,54.0,14.0,5.0,12.0,25.0,11.0,20.0,44.0,9.0,10.0,30.0,24.0,8.0,23.0,17.0,35.0,29.0,38.0,43.0,15.0
1740,2.0,0.0,1.0,11.0,12.0,3.0,18.0,16.0,20.0,7.0,6.0,14.0,42.0,45.0,57.0,21.0,13.0,8.0,30.0,5.0,36.0,25.0,23.0,64.0,19.0,4.0,34.0,35.0,26.0,37.0
1789,0.0,3.0,1.0,9.0,31.0,2.0,6.0,13.0,17.0,18.0,4.0,25.0,15.0,20.0,16.0,5.0,19.0,53.0,41.0,8.0,12.0,46.0,26.0,11.0,43.0,47.0,23.0,36.0,14.0,7.0
1838,2.0,5.0,7.0,19.0,0.0,1.0,3.0,46.0,29.0,14.0,8.0,10.0,43.0,36.0,35.0,27.0,6.0,38.0,23.0,11.0,13.0,30.0,21.0,9.0,22.0,44.0,17.0,50.0,42.0,4.0
1887,8.0,0.0,1.0,10.0,3.0,2.0,15.0,27.0,23.0,7.0,14.0,4.0,9.0,62.0,20.0,18.0,6.0,5.0,11.0,32.0,54.0,60.0,21.0,36.0,33.0,44.0,13.0,24.0,30.0,12.0
1936,4.0,2.0,0.0,14.0,8.0,11.0,15.0,12.0,9.0,10.0,7.0,28.0,1.0,64.0,47.0,5.0,25.0,18.0,35.0,3.0,40.0,30.0,24.0,42.0,23.0,50.0,13.0,57.0,32.0,6.0
1985,7.0,1.0,12.0,2.0,0.0,10.0,8.0,24.0,9.0,40.0,14.0,39.0,4.0,11.0,5.0,41.0,18.0,28.0,20.0,13.0,19.0,3.0,22.0,43.0,29.0,50.0,21.0,34.0,16.0,30.0
2034,2.0,3.0,1.0,5.0,4.0,14.0,7.0,6.0,21.0,26.0,9.0,15.0,43.0,0.0,47.0,20.0,48.0,28.0,60.0,17.0,32.0,27.0,16.0,10.0,36.0,46.0,18.0,13.0,33.0,49.0
2083,3.0,0.0,4.0,2.0,1.0,13.0,9.0,6.0,5.0,21.0,17.0,38.0,16.0,45.0,10.0,51.0,7.0,20.0,65.0,40.0,32.0,12.0,28.0,18.0,58.0,53.0,14.0,25.0,36.0,30.0
2132,2.0,0.0,4.0,1.0,3.0,8.0,17.0,14.0,9.0,12.0,18.0,30.0,6.0,22.0,24.0,27.0,5.0,7.0,19.0,37.0,38.0,10.0,23.0,28.0,61.0,57.0,20.0,11.0,48.0,47.0
2181,9.0,0.0,3.0,1.0,4.0,10.0,7.0,5.0,47.0,18.0,8.0,12.0,20.0,14.0,13.0,19.0,21.0,33.0,6.0,42.0,53.0,11.0,54.0,40.0,50.0,65.0,15.0,26.0,43.0,35.0
2230,2.0,0.0,3.0,1.0,18.0,12.0,9.0,8.0,26.0,22.0,16.0,4.0,34.0,23.0,45.0,6.0,13.0,38.0,5.0,21.0,29.0,10.0,30.0,60.0,40.0,11.0,25.0,36.0,19.0,15.0
2279,5.0,0.0,4.0,1.0,2.0,9.0,14.0,6.0,19.0,18.0,3.0,40.0,28.0,13.0,12.0,34.0,7.0,36.0,21.0,41.0,25.0,10.0,16.0,27.0,35.0,54.0,39.0,17.0,22.0,44.0
2328,1.0,0.0,13.0,4.0,2.0,3.0,8.0,6.0,20.0,5.0,18.0,11.0,12.0,19.0,14.0,26.0,38.0,43.0,28.0,25.0,32.0,9.0,35.0,47.0,24.0,51.0,36.0,10.0,17.0,21.0
2377,7.0,1.0,0.0,4.0,2.0,8.0,6.0,5.0,30.0,10.0,33.0,14.0,15.0,13.0,44.0,57.0,18.0,12.0,54.0,3.0,31.0,19.0,27.0,32.0,37.0,52.0,24.0,11.0,20.0,9.0
2426,8.0,0.0,10.0,1.0,11.0,5.0,25.0,13.0,42.0,16.0,27.0,15.0,2.0,14.0,23.0,32.0,24.0,44.0,12.0,36.0,40.0,7.0,34.0,19.0,3.0,9.0,6.0,29.0,21.0,22.0
2475,7.0,1.0,0.0,11.0,4.0,15.0,28.0,24.0,9.0,39.0,6.0,48.0,10.0,44.0,8.0,30.0,61.0,3.0,43.0,5.0,33.0,35.0,25.0,14.0,27.0,20.0,19.0,45.0,13.0,36.0
2524,1.0,5.0,10.0,2.0,17.0,8.0,19.0,40.0,0.0,27.0,23.0,3.0,7.0,31.0,4.0,26.0,29.0,9.0,6.0,24.0,13.0,35.0,28.0,42.0,12.0,14.0,37.0,51.0,15.0,22.0
2573,0.0,1.0,4.0,2.0,20.0,3.0,8.0,24.0,9.0,12.0,41.0,14.0,25.0,28.0,7.0,23.0,40.0,17.0,33.0,27.0,15.0,26.0,39.0,5.0,6.0,35.0,16.0,52.0,32.0,13.0
2622,7.0,1.0,0.0,11.0,14.0,22.0,8.0,15.0,9.0,28.0,6.0,55.0,58.0,43.0,4.0,20.0,12.0,27.0,16.0,35.0,18.0,17.0,36.0,10.0,25.0,5.0,3.0,23.0,41.0,29.0
2671,1.0,8.0,19.0,2.0,21.0,3.0,7.0,25.0,5.0,13.0,16.0,54.0,0.0,6.0,9.0,12.0,57.0,22.0,18.0,4.0,17.0,33.0,39.0,11.0,35.0,29.0,46.0,26.0,63.0,47.0
2720,1.0,2.0,0.0,15.0,3.0,7.0,20.0,19.0,5.0,24.0,9.0,6.0,21.0,33.0,26.0,10.0,30.0,12.0,29.0,4.0,22.0,40.0,8.0,47.0,38.0,51.0,32.0,57.0,37.0,18.0
2769,0.0,14.0,1.0,6.0,5.0,15.0,12.0,27.0,3.0,45.0,11.0,31.0,23.0,4.0,40.0,22.0,18.0,17.0,43.0,2.0,26.0,8.0,36.0,7.0,19.0,56.0,20.0,47.0,24.0,53.0
2818,0.0,18.0,7.0,5.0,11.0,15.0,14.0,8.0,16.0,33.0,3.0,37.0,4.0,9.0,10.0,13.0,51.0,40.0,12.0,2.0,57.0,20.0,56.0,42.0,22.0,23.0,28.0,34.0,44.0,24.0
2867,1.0,8.0,0.0,6.0,3.0,2.0,7.0,11.0,4.0,13.0,26.0,20.0,16.0,66.0,12.0,18.0,19.0,23.0,32.0,5.0,45.0,38.0,43.0,22.0,24.0,44.0,30.0,29.0,28.0,48.0
2916,1.0,16.0,0.0,3.0,4.0,20.0,22.0,27.0,2.0,9.0,31.0,32.0,12.0,7.0,5.0,30.0,11.0,56.0,14.0,24.0,8.0,15.0,6.0,28.0,38.0,64.0,58.0,34.0,23.0,45.0
2965,6.0,22.0,35.0,3.0,7.0,0.0,2.0,14.0,37.0,10.0,25.0,27.0,30.0,29.0,24.0,9.0,44.0,17.0,41.0,46.0,8.0,54.0,12.0,36.0,4.0,1.0,34.0,5.0,42.0,11.0
3014,1.0,27.0,5.0,2.0,8.0,4.0,14.0,15.0,9.0,3.0,19.0,22.0,7.0,39.0,17.0,6.0,51.0,31.0,44.0,30.0,43.0,18.0,24.0,37.0,32.0,0.0,50.0,20.0,60.0,11.0
3063,9.0,23.0,19.0,4.0,0.0,1.0,20.0,10.0,2.0,8.0,26.0,5.0,6.0,64.0,29.0,37.0,15.0,54.0,35.0,53.0,24.0,49.0,11.0,21.0,39.0,3.0,31.0,13.0,14.0,36.0
3112,6.0,3.0,17.0,1.0,0.0,2.0,5.0,40.0,43.0,9.0,11.0,7.0,4.0,58.0,26.0,15.0,49.0,44.0,8.0,39.0,21.0,36.0,13.0,28.0,48.0,10.0,19.0,14.0,25.0,20.0
3161,3.0,14.0,26.0,17.0,0.0,1.0,16.0,5.0,2.0,6.0,31.0,8.0,4.0,61.0,12.0,53.0,47.0,44.0,29.0,51.0,34.0,35.0,7.0,20.0,40.0,13.0,38.0,10.0,21.0,11.0
3210,0.0,9.0,29.0,1.0,4.0,8.0,6.0,3.0,10.0,7.0,17.0,18.0,20.0,59.0,5.0,21.0,24.0,27.0,39.0,19.0,26.0,15.0,22.0,13.0,31.0,2.0,30.0,44.0,42.0,38.0
3259,12.0,5.0,25.0,2.0,0.0,4.0,11.0,13.0,9.0,14.0,10.0,6.0,8.0,49.0,17.0,7.0,35.0,20.0,18.0,23.0,32.0,52.0,63.0,21.0,26.0,1.0,39.0,3.0,24.0,27.0
3308,4.0,16.0,7.0,8.0,12.0,3.0,18.0,17.0,5.0,2.0,38.0,6.0,25.0,36.0,29.0,9.0,15.0,60.0,20.0,23.0,14.0,19.0,30.0,44.0,21.0,0.0,28.0,35.0,10.0,13.0
3357,14.0,8.0,15.0,2.0,0.0,10.0,48.0,4.0,31.0,3.0,16.0,39.0,9.0,46.0,13.0,19.0,25.0,28.0,17.0,12.0,7.0,27.0,44.0,30.0,20.0,1.0,22.0,55.0,18.0,35.0
3406,13.0,3.0,12.0,1.0,0.0,11.0,5.0,15.0,9.0,6.0,41.0,26.0,7.0,50.0,27.0,8.0,25.0,17.0,30.0,4.0,43.0,16.0,22.0,51.0,19.0,2.0,14.0,42.0,29.0,35.0
3455,1.0,15.0,0.0,3.0,10.0,62.0,5.0,21.0,12.0,8.0,16.0,13.0,17.0,7.0,37.0,6.0,23.0,20.0,11.0,2.0,29.0,19.0,9.0,4.0,22.0,34.0,50.0,38.0,41.0,30.0
3504,1.0,3.0,0.0,12.0,6.0,53.0,4.0,2.0,20.0,21.0,8.0,22.0,11.0,7.0,55.0,13.0,43.0,17.0,46.0,18.0,15.0,34.0,9.0,27.0,56.0,14.0,48.0,30.0,40.0,41.0
3553,4.0,1.0,0.0,2.0,41.0,15.0,17.0,13.0,50.0,5.0,44.0,9.0,14.0,3.0,22.0,30.0,31.0,24.0,11.0,25.0,38.0,21.0,8.0,16.0,18.0,7.0,12.0,36.0,19.0,20.0
3602,0.0,6.0,1.0,36.0,30.0,7.0,15.0,9.0,10.0,56.0,11.0,32.0,8.0,4.0,31.0,13.0,53.0,48.0,17.0,2.0,34.0,22.0,3.0,12.0,21.0,28.0,43.0,61.0,58.0,23.0
3651,0.0,8.0,2.0,7.0,12.0,51.0,26.0,6.0,17.0,37.0,14.0,3.0,15.0,5.0,11.0,20.0,25.0,47.0,28.0,1.0,4.0,9.0,42.0,21.0,29.0,13.0,31.0,43.0,22.0,50.0
3700,0.0,17.0,3.0,1.0,15.0,12.0,4.0,5.0,6.0,14.0,21.0,61.0,2.0,11.0,27.0,51.0,10.0,8.0,9.0,7.0,25.0,47.0,18.0,20.0,13.0,19.0,35.0,62.0,39.0,23.0
3749,0.0,9.0,7.0,12.0,14.0,8.0,21.0,16.0,1.0,18.0,10.0,19.0,3.0,20.0,51.0,55.0,48.0,6.0,5.0,11.0,28.0,36.0,17.0,29.0,24.0,2.0,23.0,4.0,44.0,33.0
3798,3.0,0.0,4.0,2.0,30.0,28.0,14.0,5.0,17.0,41.0,1.0,33.0,31.0,9.0,11.0,8.0,36.0,38.0,39.0,13.0,35.0,22.0,6.0,29.0,15.0,12.0,42.0,56.0,64.0,45.0
3847,0.0,18.0,2.0,4.0,8.0,23.0,12.0,14.0,6.0,10.0,58.0,9.0,22.0,32.0,19.0,35.0,30.0,7.0,15.0,11.0,26.0,20.0,5.0,46.0,3.0,1.0,49.0,41.0,13.0,65.0
3896,5.0,1.0,0.0,9.0,13.0,16.0,3.0,7.0,14.0,22.0,17.0,36.0,11.0,4.0,39.0,2.0,27.0,6.0,26.0,8.0,62.0,25.0,34.0,12.0,29.0,46.0,23.0,24.0,20.0,45.0
3945,3.0,17.0,5.0,14.0,4.0,16.0,2.0,22.0,23.0,19.0,29.0,1.0,15.0,27.0,0.0,10.0,7.0,12.0,41.0,36.0,33.0,24.0,48.0,6.0,34.0,56.0,25.0,35.0,52.0,13.0
3994,3.0,0.0,13.0,1.0,21.0,14.0,2.0,4.0,33.0,11.0,23.0,12.0,24.0,26.0,29.0,7.0,46.0,51.0,8.0,41.0,31.0,16.0,44.0,15.0,10.0,52.0,22.0,36.0,5.0,34.0
4043,0.0,19.0,2.0,5.0,3.0,4.0,8.0,23.0,28.0,35.0,24.0,9.0,6.0,51.0,7.0,18.0,13.0,26.0,10.0,15.0,37.0,16.0,43.0,1.0,46.0,30.0,11.0,17.0,14.0,27.0
4092,0.0,3.0,2.0,16.0,12.0,25.0,14.0,10.0,7.0,46.0,18.0,40.0,20.0,6.0,9.0,64.0,1.0,11.0,24.0,59.0,5.0,30.0,13.0,4.0,31.0,53.0,15.0,27.0,58.0,34.0
4141,0.0,26.0,11.0,10.0,8.0,2.0,4.0,7.0,22.0,24.0,12.0,9.0,43.0,21.0,1.0,19.0,5.0,29.0,45.0,14.0,13.0,30.0,31.0,6.0,33.0,61.0,18.0,15.0,20.0,40.0
4190,2.0,1.0,0.0,8.0,4.0,7.0,5.0,14.0,25.0,3.0,45.0,10.0,21.0,40.0,35.0,24.0,11.0,15.0,37.0,51.0,12.0,16.0,29.0,6.0,19.0,58.0,28.0,30.0,57.0,20.0
4239,1.0,12.0,5.0,0.0,7.0,3.0,2.0,8.0,20.0,13.0,16.0,35.0,48.0,19.0,18.0,4.0,15.0,54.0,26.0,27.0,24.0,34.0,25.0,11.0,21.0,62.0,28.0,56.0,44.0,9.0
4288,6.0,0.0,10.0,12.0,7.0,4.0,8.0,5.0,3.0,13.0,20.0,36.0,16.0,2.0,29.0,43.0,14.0,48.0,11.0,57.0,42.0,24.0,33.0,1.0,21.0,54.0,56.0,32.0,17.0,31.0
4337,1.0,3.0,6.0,9.0,0.0,5.0,29.0,17.0,4.0,20.0,12.0,18.0,19.0,15.0,14.0,16.0,13.0,7.0,34.0,52.0,44.0,21.0,32.0,2.0,53.0,48.0,22.0,63.0,33.0,46.0
4386,0.0,2.0,20.0,5.0,38.0,3.0,9.0,10.0,16.0,33.0,15.0,48.0,11.0,4.0,12.0,42.0,1.0,29.0,24.0,8.0,44.0,39.0,41.0,7.0,31.0,28.0,19.0,22.0,13.0,30.0
4435,5.0,0.0,19.0,3.0,11.0,10.0,31.0,17.0,1.0,13.0,8.0,7.0,46.0,24.0,4.0,50.0,14.0,27.0,59.0,25.0,2.0,44.0,53.0,54.0,37.0,6.0,15.0,51.0,9.0,39.0
4484,6.0,1.0,8.0,2.0,0.0,11.0,14.0,7.0,3.0,4.0,24.0,5.0,17.0,42.0,21.0,43.0,12.0,26.0,32.0,39.0,19.0,55.0,29.0,27.0,52.0,15.0,28.0,31.0,49.0,9.0
4533,2.0,0.0,3.0,6.0,9.0,36.0,15.0,18.0,4.0,1.0,14.0,19.0,28.0,27.0,7.0,49.0,5.0,8.0,17.0,30.0,24.0,16.0,44.0,39.0,13.0,31.0,43.0,26.0,40.0,12.0
4582,1.0,2.0,0.0,6.0,5.0,11.0,14.0,18.0,20.0,9.0,7.0,8.0,55.0,4.0,23.0,47.0,16.0,10.0,61.0,34.0,12.0,27.0,24.0,3.0,32.0,50.0,63.0,44.0,36.0,62.0
4631,0.0,7.0,3.0,18.0,1.0,4.0,28.0,19.0,2.0,14.0,21.0,9.0,48.0,37.0,15.0,36.0,23.0,10.0,30.0,6.0,13.0,38.0,11.0,44.0,27.0,45.0,53.0,32.0,50.0,66.0
4680,4.0,2.0,30.0,8.0,1.0,7.0,17.0,12.0,0.0,3.0,5.0,26.0,25.0,36.0,9.0,13.0,19.0,34.0,61.0,60.0,15.0,35.0,23.0,27.0,32.0,55.0,38.0,31.0,46.0,49.0
4729,2.0,0.0,3.0,4.0,25.0,26.0,23.0,33.0,1.0,18.0,9.0,7.0,12.0,45.0,10.0,37.0,28.0,20.0,22.0,50.0,13.0,38.0,6.0,14.0,17.0,58.0,29.0,62.0,34.0,56.0
4778,1.0,0.0,29.0,5.0,24.0,8.0,3.0,4.0,13.0,7.0,22.0,14.0,6.0,2.0,12.0,15.0,31.0,11.0,21.0,16.0,10.0,40.0,26.0,20.0,42.0,9.0,62.0,48.0,46.0,39.0
4827,0.0,1.0,5.0,6.0,3.0,24.0,10.0,14.0,9.0,7.0,8.0,2.0,30.0,40.0,4.0,37.0,28.0,31.0,38.0,13.0,19.0,53.0,18.0,46.0,48.0,33.0,21.0,34.0,42.0,22.0
4876,3.0,2.0,18.0,13.0,0.0,12.0,9.0,15.0,10.0,5.0,29.0,6.0,55.0,4.0,14.0,26.0,30.0,42.0,8.0,58.0,1.0,27.0,17.0,7.0,59.0,36.0,21.0,31.0,37.0,45.0
