,RSK1-2-3,4E-BP1_pS65,Src_pY416,4E-BP1_pT70,p21,MEK1_pS217_S221,STAT5-alpha,XBP1,Caveolin-1,Cyclin_D1,Transglutaminase,PI3K-p85,ACVRL1,CD49b,YB-1_pS102,Gab2,FRA1,Bcl-2,Bax,CD31,14-3-3_zeta,p38_MAPK,PDCD4,4E-BP1,MIG-6,4E-BP1_pT37_T46,c-Kit,Notch1,Annexin 1,PRDX1
3,0.0,2.0,5.0,3.0,6.0,7.0,8.0,9.0,4.0,30.0,58.0,18.0,15.0,12.0,10.0,119.0,17.0,14.0,1.0,33.0,16.0,26.0,38.0,22.0,32.0,31.0,13.0,11.0,103.0,20.0
52,2.0,0.0,7.0,4.0,3.0,6.0,1.0,15.0,12.0,25.0,16.0,19.0,11.0,9.0,14.0,5.0,13.0,20.0,10.0,91.0,21.0,18.0,32.0,31.0,41.0,26.0,8.0,23.0,30.0,17.0
101,2.0,3.0,1.0,5.0,0.0,8.0,4.0,14.0,6.0,24.0,26.0,20.0,19.0,22.0,15.0,11.0,7.0,10.0,12.0,31.0,13.0,27.0,34.0,106.0,37.0,16.0,18.0,28.0,9.0,25.0
150,5.0,3.0,15.0,1.0,0.0,7.0,2.0,6.0,9.0,11.0,19.0,22.0,120.0,29.0,17.0,20.0,14.0,24.0,4.0,91.0,13.0,8.0,26.0,27.0,50.0,31.0,97.0,40.0,10.0,18.0
199,4.0,0.0,7.0,1.0,2.0,3.0,5.0,6.0,11.0,10.0,19.0,20.0,24.0,18.0,15.0,22.0,8.0,14.0,9.0,35.0,13.0,21.0,33.0,27.0,47.0,25.0,28.0,16.0,17.0,32.0
248,5.0,0.0,7.0,8.0,9.0,11.0,1.0,6.0,10.0,4.0,54.0,16.0,113.0,2.0,13.0,27.0,21.0,3.0,19.0,95.0,12.0,28.0,30.0,17.0,40.0,24.0,31.0,15.0,100.0,20.0
297,5.0,2.0,8.0,6.0,1.0,0.0,3.0,7.0,9.0,21.0,58.0,18.0,22.0,10.0,32.0,20.0,14.0,11.0,4.0,35.0,24.0,12.0,36.0,25.0,51.0,27.0,26.0,23.0,28.0,17.0
346,5.0,1.0,14.0,2.0,3.0,11.0,0.0,8.0,4.0,17.0,27.0,15.0,9.0,6.0,7.0,18.0,22.0,13.0,10.0,19.0,20.0,12.0,36.0,23.0,40.0,16.0,93.0,45.0,29.0,76.0
395,4.0,1.0,11.0,3.0,6.0,5.0,9.0,2.0,7.0,14.0,32.0,8.0,33.0,10.0,21.0,13.0,15.0,18.0,0.0,26.0,12.0,22.0,31.0,102.0,37.0,101.0,20.0,30.0,17.0,25.0
444,6.0,3.0,1.0,10.0,4.0,0.0,2.0,5.0,14.0,16.0,9.0,22.0,8.0,24.0,25.0,11.0,36.0,15.0,7.0,21.0,17.0,18.0,20.0,26.0,35.0,33.0,34.0,19.0,31.0,23.0
493,0.0,1.0,12.0,8.0,18.0,2.0,25.0,4.0,7.0,9.0,3.0,5.0,11.0,14.0,6.0,10.0,27.0,17.0,16.0,26.0,96.0,13.0,34.0,22.0,30.0,95.0,100.0,20.0,19.0,49.0
542,1.0,2.0,7.0,12.0,5.0,0.0,4.0,3.0,17.0,6.0,9.0,10.0,16.0,11.0,22.0,28.0,27.0,14.0,82.0,25.0,31.0,21.0,20.0,26.0,32.0,104.0,100.0,24.0,18.0,49.0
591,6.0,0.0,28.0,2.0,12.0,1.0,9.0,19.0,7.0,5.0,4.0,3.0,15.0,11.0,16.0,31.0,21.0,13.0,10.0,30.0,92.0,8.0,53.0,24.0,26.0,14.0,107.0,18.0,29.0,52.0
640,3.0,0.0,19.0,4.0,1.0,6.0,8.0,10.0,14.0,2.0,7.0,5.0,15.0,90.0,27.0,12.0,18.0,17.0,23.0,91.0,31.0,16.0,76.0,122.0,26.0,119.0,30.0,43.0,9.0,20.0
689,1.0,3.0,8.0,5.0,16.0,4.0,24.0,0.0,6.0,2.0,12.0,7.0,13.0,31.0,10.0,9.0,11.0,14.0,15.0,90.0,20.0,32.0,75.0,23.0,25.0,28.0,22.0,45.0,19.0,64.0
738,8.0,4.0,10.0,5.0,0.0,2.0,7.0,13.0,6.0,14.0,1.0,3.0,16.0,91.0,9.0,114.0,11.0,26.0,18.0,30.0,29.0,17.0,76.0,31.0,24.0,20.0,96.0,42.0,23.0,63.0
787,0.0,1.0,6.0,9.0,18.0,5.0,10.0,2.0,11.0,8.0,4.0,7.0,3.0,33.0,85.0,20.0,29.0,17.0,34.0,23.0,111.0,13.0,30.0,110.0,14.0,109.0,35.0,27.0,16.0,77.0
836,17.0,0.0,3.0,6.0,5.0,4.0,12.0,2.0,10.0,9.0,7.0,1.0,13.0,19.0,8.0,11.0,33.0,24.0,22.0,30.0,26.0,16.0,14.0,38.0,39.0,18.0,98.0,47.0,21.0,32.0
885,2.0,1.0,6.0,14.0,11.0,8.0,29.0,18.0,15.0,4.0,12.0,0.0,5.0,24.0,9.0,37.0,7.0,3.0,23.0,89.0,16.0,20.0,22.0,123.0,19.0,25.0,96.0,17.0,95.0,28.0
934,3.0,4.0,17.0,8.0,1.0,6.0,5.0,2.0,14.0,7.0,11.0,0.0,16.0,10.0,18.0,20.0,12.0,96.0,9.0,29.0,31.0,22.0,35.0,105.0,24.0,107.0,21.0,44.0,15.0,70.0
983,0.0,1.0,6.0,13.0,2.0,8.0,5.0,24.0,4.0,19.0,16.0,12.0,11.0,36.0,30.0,7.0,3.0,23.0,10.0,14.0,110.0,22.0,77.0,109.0,15.0,9.0,28.0,46.0,103.0,62.0
1032,1.0,4.0,0.0,3.0,2.0,6.0,7.0,11.0,26.0,111.0,12.0,15.0,5.0,17.0,18.0,8.0,10.0,16.0,24.0,29.0,110.0,25.0,81.0,109.0,34.0,14.0,20.0,13.0,32.0,37.0
1081,15.0,5.0,2.0,18.0,1.0,0.0,4.0,25.0,6.0,28.0,12.0,7.0,8.0,20.0,83.0,3.0,30.0,14.0,13.0,36.0,17.0,21.0,22.0,34.0,52.0,24.0,9.0,10.0,109.0,11.0
1130,1.0,3.0,13.0,8.0,0.0,2.0,4.0,16.0,15.0,25.0,11.0,73.0,5.0,99.0,21.0,7.0,12.0,32.0,6.0,22.0,20.0,9.0,79.0,31.0,29.0,17.0,10.0,24.0,27.0,26.0
1179,1.0,6.0,0.0,10.0,3.0,2.0,13.0,25.0,9.0,14.0,22.0,16.0,5.0,23.0,4.0,8.0,20.0,94.0,12.0,21.0,109.0,11.0,32.0,108.0,18.0,29.0,80.0,15.0,101.0,7.0
1228,3.0,4.0,10.0,7.0,0.0,2.0,16.0,6.0,1.0,25.0,11.0,17.0,18.0,107.0,14.0,20.0,21.0,31.0,33.0,29.0,24.0,9.0,8.0,19.0,117.0,15.0,13.0,22.0,46.0,5.0
1277,1.0,0.0,4.0,2.0,3.0,5.0,7.0,32.0,25.0,22.0,16.0,21.0,18.0,35.0,27.0,11.0,6.0,127.0,128.0,30.0,17.0,10.0,52.0,36.0,29.0,14.0,24.0,9.0,12.0,8.0
