,Collagen_VI,PTEN,E-Cadherin,SCD1,Cyclin_D1,XBP1,Rb_pS807_S811,Rab25,VAV1,p27_pT157,Raptor,GAPDH,PI3K-p110-alpha,Chk1_pS345,HER2_pY1248,CDK1,Bax,FoxM1,MDMX_MDM4(BetIHC-00108),PEA15_pS116,EGFR_pY1068,p70S6K_pT389,c-Kit,Rb,MEK1_pS217_S221,Bap1 c-4,PKC-delta_pS664,PDCD4,PI3K-p85,p38_MAPK
1424,0.0,1.0,3.0,5.0,4.0,13.0,7.0,15.0,49.0,16.0,12.0,9.0,8.0,14.0,30.0,21.0,2.0,22.0,24.0,27.0,32.0,19.0,28.0,59.0,35.0,95.0,70.0,36.0,72.0,11.0
1473,0.0,3.0,4.0,5.0,1.0,17.0,72.0,2.0,15.0,26.0,11.0,20.0,10.0,31.0,21.0,33.0,18.0,29.0,19.0,28.0,126.0,12.0,6.0,23.0,36.0,95.0,30.0,22.0,7.0,13.0
1522,1.0,0.0,9.0,3.0,5.0,25.0,23.0,6.0,2.0,4.0,30.0,123.0,7.0,21.0,29.0,20.0,94.0,35.0,40.0,22.0,129.0,13.0,12.0,75.0,24.0,95.0,8.0,38.0,17.0,26.0
1571,0.0,1.0,8.0,5.0,2.0,14.0,6.0,3.0,7.0,9.0,26.0,15.0,11.0,83.0,17.0,18.0,19.0,119.0,35.0,38.0,122.0,25.0,10.0,28.0,21.0,96.0,33.0,27.0,13.0,46.0
1620,0.0,1.0,3.0,15.0,2.0,19.0,59.0,13.0,5.0,11.0,32.0,35.0,6.0,28.0,23.0,87.0,24.0,129.0,54.0,20.0,126.0,14.0,39.0,21.0,29.0,99.0,27.0,16.0,4.0,37.0
1669,0.0,1.0,14.0,2.0,3.0,20.0,4.0,10.0,6.0,12.0,19.0,11.0,13.0,30.0,122.0,26.0,9.0,131.0,36.0,25.0,120.0,23.0,29.0,15.0,28.0,93.0,7.0,76.0,5.0,37.0
1718,2.0,1.0,7.0,4.0,0.0,13.0,26.0,3.0,9.0,8.0,24.0,16.0,5.0,42.0,14.0,25.0,29.0,120.0,32.0,22.0,37.0,18.0,11.0,17.0,56.0,20.0,6.0,34.0,12.0,36.0
1767,0.0,1.0,10.0,2.0,7.0,22.0,8.0,6.0,4.0,12.0,18.0,11.0,13.0,30.0,3.0,9.0,17.0,39.0,31.0,14.0,40.0,28.0,5.0,20.0,32.0,100.0,21.0,55.0,15.0,44.0
1816,0.0,2.0,3.0,4.0,1.0,6.0,7.0,5.0,10.0,14.0,13.0,27.0,8.0,31.0,19.0,17.0,30.0,36.0,53.0,25.0,33.0,26.0,9.0,20.0,52.0,34.0,24.0,76.0,15.0,39.0
1865,0.0,1.0,3.0,4.0,2.0,12.0,7.0,5.0,19.0,9.0,32.0,15.0,10.0,26.0,27.0,31.0,29.0,129.0,24.0,8.0,41.0,22.0,16.0,6.0,55.0,28.0,11.0,17.0,14.0,43.0
1914,0.0,2.0,3.0,8.0,1.0,5.0,17.0,10.0,22.0,6.0,7.0,13.0,16.0,29.0,116.0,25.0,15.0,124.0,30.0,77.0,132.0,19.0,4.0,14.0,32.0,18.0,11.0,43.0,21.0,45.0
1963,4.0,0.0,20.0,1.0,3.0,2.0,19.0,29.0,11.0,14.0,12.0,6.0,15.0,9.0,112.0,13.0,35.0,8.0,28.0,7.0,36.0,48.0,18.0,33.0,25.0,106.0,5.0,21.0,16.0,43.0
2012,7.0,2.0,4.0,8.0,1.0,0.0,13.0,6.0,17.0,16.0,5.0,12.0,10.0,3.0,123.0,11.0,21.0,9.0,34.0,50.0,120.0,47.0,15.0,22.0,18.0,19.0,29.0,27.0,76.0,46.0
2061,2.0,3.0,6.0,0.0,4.0,1.0,13.0,27.0,7.0,11.0,14.0,10.0,32.0,16.0,127.0,26.0,5.0,9.0,25.0,22.0,121.0,45.0,20.0,35.0,8.0,93.0,19.0,21.0,15.0,47.0
2110,2.0,0.0,17.0,3.0,1.0,8.0,20.0,14.0,9.0,6.0,19.0,18.0,4.0,22.0,129.0,15.0,27.0,29.0,35.0,7.0,121.0,40.0,10.0,16.0,12.0,93.0,26.0,32.0,13.0,47.0
2159,1.0,0.0,2.0,11.0,5.0,10.0,18.0,20.0,12.0,6.0,19.0,7.0,8.0,26.0,119.0,17.0,14.0,22.0,31.0,21.0,30.0,23.0,87.0,70.0,24.0,95.0,25.0,52.0,27.0,37.0
2208,3.0,0.0,8.0,9.0,1.0,5.0,2.0,27.0,10.0,6.0,14.0,18.0,4.0,13.0,34.0,12.0,24.0,17.0,28.0,21.0,22.0,35.0,19.0,23.0,7.0,94.0,16.0,74.0,69.0,32.0
2257,2.0,0.0,3.0,5.0,1.0,7.0,15.0,35.0,6.0,8.0,11.0,116.0,21.0,4.0,36.0,28.0,31.0,26.0,53.0,16.0,124.0,40.0,9.0,38.0,33.0,22.0,10.0,79.0,12.0,27.0
2306,2.0,0.0,18.0,1.0,5.0,8.0,14.0,24.0,4.0,7.0,3.0,13.0,6.0,10.0,37.0,28.0,93.0,20.0,34.0,17.0,32.0,39.0,85.0,66.0,22.0,95.0,35.0,76.0,33.0,11.0
2355,0.0,2.0,11.0,1.0,4.0,3.0,9.0,22.0,21.0,8.0,57.0,15.0,7.0,5.0,16.0,18.0,93.0,25.0,47.0,72.0,12.0,52.0,26.0,56.0,20.0,94.0,14.0,6.0,29.0,17.0
2404,4.0,2.0,21.0,1.0,0.0,30.0,19.0,16.0,3.0,9.0,15.0,117.0,29.0,8.0,82.0,5.0,13.0,17.0,18.0,22.0,113.0,24.0,83.0,64.0,7.0,90.0,20.0,74.0,73.0,14.0
2453,1.0,0.0,4.0,9.0,2.0,12.0,10.0,3.0,18.0,11.0,6.0,114.0,5.0,33.0,24.0,25.0,8.0,27.0,22.0,16.0,14.0,31.0,13.0,55.0,32.0,96.0,19.0,74.0,7.0,38.0
2502,0.0,1.0,5.0,3.0,2.0,7.0,26.0,10.0,51.0,21.0,4.0,24.0,16.0,15.0,19.0,13.0,6.0,9.0,11.0,28.0,22.0,27.0,88.0,68.0,44.0,12.0,49.0,48.0,20.0,38.0
2551,0.0,2.0,12.0,27.0,1.0,6.0,8.0,7.0,20.0,47.0,5.0,120.0,3.0,9.0,15.0,17.0,4.0,21.0,26.0,77.0,19.0,11.0,109.0,29.0,43.0,95.0,74.0,16.0,76.0,31.0
2600,0.0,3.0,8.0,2.0,12.0,10.0,15.0,6.0,33.0,5.0,9.0,13.0,7.0,30.0,28.0,21.0,4.0,20.0,11.0,19.0,22.0,25.0,91.0,37.0,29.0,34.0,78.0,36.0,14.0,40.0
2649,0.0,1.0,12.0,4.0,5.0,30.0,9.0,2.0,57.0,16.0,6.0,19.0,3.0,23.0,7.0,8.0,24.0,15.0,38.0,13.0,18.0,37.0,34.0,31.0,26.0,29.0,78.0,22.0,17.0,43.0
2698,0.0,2.0,15.0,3.0,6.0,11.0,16.0,7.0,12.0,21.0,1.0,29.0,9.0,18.0,10.0,32.0,8.0,20.0,19.0,13.0,4.0,17.0,90.0,70.0,31.0,112.0,51.0,80.0,28.0,40.0
2747,0.0,1.0,8.0,2.0,4.0,5.0,10.0,3.0,23.0,41.0,9.0,117.0,16.0,20.0,13.0,25.0,7.0,6.0,15.0,75.0,12.0,14.0,19.0,67.0,37.0,93.0,74.0,49.0,29.0,40.0
2796,0.0,1.0,9.0,3.0,2.0,16.0,6.0,8.0,52.0,29.0,4.0,12.0,5.0,83.0,18.0,20.0,14.0,7.0,22.0,25.0,15.0,10.0,21.0,69.0,35.0,28.0,50.0,31.0,24.0,46.0
2845,0.0,1.0,2.0,9.0,3.0,5.0,7.0,6.0,52.0,10.0,4.0,16.0,15.0,17.0,14.0,80.0,8.0,11.0,25.0,20.0,18.0,24.0,27.0,28.0,30.0,22.0,12.0,19.0,49.0,43.0
2894,1.0,0.0,2.0,10.0,3.0,13.0,32.0,7.0,18.0,21.0,6.0,123.0,19.0,30.0,16.0,12.0,4.0,15.0,51.0,75.0,8.0,23.0,28.0,79.0,49.0,31.0,69.0,57.0,73.0,20.0
2943,0.0,3.0,1.0,2.0,15.0,8.0,9.0,69.0,25.0,4.0,27.0,21.0,17.0,12.0,7.0,11.0,28.0,31.0,20.0,32.0,117.0,5.0,19.0,10.0,40.0,16.0,26.0,75.0,24.0,45.0
2992,0.0,2.0,1.0,3.0,10.0,28.0,24.0,64.0,9.0,7.0,20.0,6.0,31.0,22.0,27.0,14.0,30.0,109.0,32.0,13.0,110.0,23.0,25.0,26.0,46.0,16.0,75.0,72.0,18.0,29.0
3041,0.0,2.0,5.0,1.0,3.0,8.0,20.0,59.0,10.0,4.0,17.0,14.0,31.0,81.0,16.0,18.0,9.0,116.0,32.0,22.0,35.0,7.0,30.0,21.0,13.0,93.0,27.0,74.0,23.0,39.0
3090,0.0,1.0,2.0,3.0,13.0,5.0,10.0,9.0,12.0,7.0,35.0,14.0,21.0,31.0,11.0,6.0,110.0,123.0,53.0,41.0,28.0,77.0,17.0,16.0,15.0,20.0,34.0,70.0,37.0,60.0
3139,0.0,2.0,6.0,1.0,3.0,16.0,20.0,66.0,13.0,7.0,12.0,10.0,28.0,23.0,4.0,18.0,22.0,115.0,26.0,30.0,15.0,27.0,83.0,17.0,29.0,9.0,71.0,49.0,48.0,38.0
3188,0.0,1.0,3.0,7.0,4.0,24.0,23.0,30.0,17.0,2.0,65.0,18.0,35.0,12.0,22.0,26.0,14.0,34.0,9.0,33.0,117.0,11.0,19.0,28.0,5.0,13.0,15.0,68.0,37.0,59.0
3237,0.0,3.0,1.0,2.0,7.0,13.0,23.0,10.0,8.0,9.0,19.0,4.0,30.0,5.0,6.0,17.0,15.0,115.0,22.0,63.0,116.0,69.0,26.0,20.0,27.0,18.0,59.0,65.0,62.0,51.0
3286,0.0,1.0,3.0,2.0,8.0,10.0,24.0,14.0,6.0,4.0,9.0,5.0,23.0,22.0,15.0,30.0,28.0,115.0,18.0,74.0,102.0,25.0,29.0,20.0,21.0,7.0,72.0,33.0,27.0,47.0
3335,0.0,1.0,2.0,11.0,6.0,5.0,7.0,45.0,23.0,4.0,35.0,3.0,16.0,28.0,24.0,15.0,26.0,126.0,22.0,70.0,134.0,17.0,25.0,10.0,27.0,18.0,31.0,74.0,66.0,37.0
3384,0.0,1.0,6.0,7.0,10.0,18.0,8.0,2.0,24.0,3.0,11.0,4.0,49.0,12.0,19.0,23.0,27.0,25.0,39.0,77.0,117.0,13.0,21.0,17.0,43.0,94.0,15.0,16.0,76.0,29.0
3433,0.0,1.0,9.0,3.0,12.0,14.0,2.0,7.0,4.0,8.0,10.0,34.0,26.0,21.0,18.0,13.0,33.0,6.0,19.0,11.0,5.0,35.0,88.0,30.0,22.0,28.0,66.0,79.0,78.0,40.0
3482,0.0,1.0,3.0,21.0,5.0,7.0,2.0,9.0,17.0,14.0,16.0,34.0,12.0,28.0,11.0,8.0,20.0,13.0,23.0,29.0,6.0,45.0,27.0,67.0,36.0,31.0,74.0,63.0,76.0,30.0
3531,0.0,3.0,5.0,7.0,9.0,4.0,1.0,11.0,12.0,24.0,27.0,114.0,8.0,83.0,19.0,18.0,93.0,21.0,28.0,29.0,14.0,34.0,6.0,2.0,25.0,94.0,75.0,48.0,77.0,39.0
3580,2.0,0.0,1.0,66.0,5.0,13.0,3.0,6.0,4.0,10.0,24.0,117.0,8.0,83.0,15.0,7.0,20.0,18.0,21.0,17.0,9.0,11.0,34.0,27.0,14.0,94.0,77.0,38.0,51.0,12.0
3629,0.0,2.0,1.0,6.0,13.0,11.0,3.0,10.0,4.0,16.0,7.0,113.0,5.0,23.0,9.0,12.0,27.0,22.0,19.0,73.0,8.0,34.0,18.0,57.0,32.0,28.0,68.0,77.0,69.0,39.0
3678,0.0,1.0,2.0,5.0,4.0,8.0,13.0,14.0,3.0,23.0,11.0,119.0,20.0,21.0,12.0,26.0,92.0,25.0,42.0,74.0,6.0,15.0,9.0,57.0,45.0,93.0,70.0,78.0,73.0,40.0
3727,1.0,0.0,6.0,2.0,12.0,8.0,4.0,5.0,10.0,7.0,18.0,118.0,11.0,27.0,15.0,19.0,21.0,13.0,32.0,16.0,9.0,43.0,31.0,26.0,25.0,94.0,78.0,28.0,53.0,14.0
3776,0.0,5.0,1.0,2.0,32.0,3.0,7.0,18.0,15.0,14.0,22.0,116.0,12.0,17.0,4.0,6.0,16.0,10.0,8.0,21.0,9.0,77.0,25.0,19.0,34.0,93.0,63.0,72.0,65.0,28.0
3825,6.0,5.0,7.0,2.0,11.0,4.0,0.0,8.0,10.0,23.0,15.0,122.0,3.0,17.0,12.0,18.0,25.0,14.0,21.0,72.0,1.0,13.0,27.0,58.0,44.0,90.0,68.0,52.0,70.0,34.0
3874,1.0,2.0,6.0,7.0,5.0,4.0,3.0,0.0,13.0,14.0,9.0,32.0,20.0,23.0,18.0,10.0,29.0,11.0,17.0,26.0,24.0,48.0,85.0,21.0,31.0,28.0,49.0,30.0,74.0,8.0
3923,12.0,0.0,1.0,64.0,9.0,3.0,2.0,8.0,4.0,46.0,14.0,119.0,5.0,6.0,11.0,7.0,18.0,21.0,16.0,48.0,24.0,23.0,13.0,15.0,38.0,93.0,74.0,28.0,25.0,45.0
3972,2.0,1.0,0.0,5.0,9.0,3.0,7.0,12.0,4.0,8.0,20.0,119.0,16.0,10.0,17.0,81.0,14.0,21.0,6.0,32.0,15.0,43.0,30.0,29.0,39.0,26.0,27.0,76.0,74.0,36.0
4021,6.0,0.0,1.0,2.0,9.0,4.0,3.0,10.0,17.0,7.0,5.0,112.0,15.0,11.0,14.0,21.0,20.0,22.0,18.0,26.0,37.0,39.0,29.0,69.0,35.0,8.0,76.0,24.0,36.0,41.0
4070,4.0,0.0,5.0,1.0,22.0,2.0,3.0,10.0,17.0,15.0,20.0,8.0,11.0,6.0,13.0,23.0,16.0,12.0,9.0,28.0,113.0,25.0,85.0,14.0,43.0,94.0,34.0,30.0,49.0,47.0
4119,1.0,2.0,0.0,3.0,4.0,6.0,13.0,20.0,16.0,8.0,24.0,118.0,7.0,9.0,5.0,12.0,11.0,123.0,25.0,32.0,10.0,75.0,18.0,22.0,43.0,91.0,31.0,15.0,27.0,38.0
4168,1.0,0.0,2.0,13.0,5.0,3.0,4.0,9.0,11.0,10.0,7.0,113.0,19.0,6.0,8.0,15.0,17.0,28.0,16.0,63.0,14.0,71.0,108.0,26.0,41.0,91.0,27.0,12.0,29.0,74.0
4217,5.0,0.0,1.0,30.0,2.0,3.0,4.0,26.0,32.0,9.0,8.0,112.0,23.0,10.0,6.0,37.0,13.0,19.0,17.0,31.0,11.0,7.0,25.0,27.0,53.0,12.0,20.0,15.0,70.0,18.0
4266,1.0,6.0,0.0,10.0,3.0,4.0,2.0,5.0,12.0,11.0,30.0,28.0,17.0,7.0,16.0,19.0,15.0,21.0,13.0,26.0,9.0,40.0,22.0,20.0,24.0,97.0,76.0,14.0,33.0,29.0
4315,0.0,1.0,2.0,11.0,5.0,3.0,4.0,6.0,9.0,14.0,15.0,21.0,22.0,10.0,19.0,80.0,30.0,129.0,20.0,74.0,13.0,17.0,86.0,8.0,44.0,12.0,28.0,18.0,16.0,43.0
4364,7.0,1.0,0.0,3.0,10.0,4.0,14.0,28.0,25.0,44.0,20.0,24.0,19.0,6.0,29.0,26.0,9.0,13.0,5.0,47.0,122.0,2.0,18.0,67.0,39.0,94.0,75.0,11.0,12.0,15.0
4413,1.0,0.0,2.0,17.0,6.0,13.0,7.0,5.0,49.0,11.0,14.0,3.0,24.0,9.0,25.0,18.0,12.0,8.0,4.0,47.0,122.0,10.0,20.0,67.0,16.0,94.0,15.0,29.0,76.0,22.0
4462,1.0,0.0,3.0,15.0,5.0,2.0,4.0,22.0,51.0,10.0,32.0,7.0,31.0,24.0,20.0,17.0,23.0,11.0,9.0,26.0,121.0,14.0,16.0,67.0,6.0,93.0,21.0,18.0,27.0,12.0
4511,1.0,0.0,2.0,9.0,27.0,8.0,5.0,16.0,4.0,28.0,70.0,3.0,17.0,15.0,18.0,12.0,7.0,20.0,10.0,13.0,14.0,22.0,30.0,6.0,11.0,97.0,23.0,32.0,26.0,44.0
4560,1.0,0.0,2.0,5.0,12.0,6.0,3.0,20.0,14.0,22.0,24.0,10.0,48.0,11.0,23.0,17.0,18.0,9.0,8.0,16.0,19.0,13.0,25.0,21.0,7.0,95.0,4.0,35.0,28.0,29.0
4609,1.0,0.0,5.0,14.0,34.0,25.0,2.0,12.0,33.0,21.0,26.0,7.0,27.0,17.0,23.0,13.0,15.0,3.0,18.0,11.0,32.0,8.0,16.0,59.0,4.0,94.0,6.0,9.0,70.0,10.0
4658,1.0,0.0,3.0,4.0,6.0,11.0,7.0,9.0,22.0,18.0,10.0,24.0,16.0,2.0,25.0,28.0,95.0,14.0,12.0,17.0,121.0,8.0,19.0,21.0,20.0,27.0,75.0,5.0,76.0,13.0
4707,1.0,0.0,6.0,7.0,14.0,11.0,13.0,2.0,51.0,23.0,10.0,3.0,31.0,15.0,16.0,28.0,20.0,8.0,5.0,9.0,24.0,29.0,30.0,21.0,4.0,93.0,12.0,19.0,48.0,22.0
4756,1.0,0.0,4.0,5.0,14.0,10.0,17.0,23.0,43.0,7.0,53.0,2.0,67.0,13.0,25.0,9.0,12.0,16.0,8.0,21.0,113.0,15.0,24.0,55.0,3.0,78.0,11.0,6.0,66.0,18.0
4805,1.0,0.0,3.0,2.0,13.0,10.0,8.0,28.0,53.0,14.0,71.0,4.0,19.0,12.0,5.0,15.0,94.0,125.0,33.0,20.0,29.0,35.0,6.0,22.0,7.0,95.0,9.0,17.0,31.0,18.0
4854,1.0,0.0,2.0,10.0,15.0,3.0,6.0,19.0,9.0,7.0,16.0,5.0,31.0,11.0,17.0,26.0,20.0,14.0,18.0,25.0,115.0,8.0,85.0,29.0,13.0,95.0,4.0,28.0,63.0,12.0
