,Collagen_VI,PTEN,E-Cadherin,SCD1,Cyclin_D1,XBP1,Rb_pS807_S811,Rab25,VAV1,p27_pT157,Raptor,GAPDH,PI3K-p110-alpha,Chk1_pS345,HER2_pY1248,CDK1,Bax,FoxM1,MDMX_MDM4(BetIHC-00108),PEA15_pS116,EGFR_pY1068,p70S6K_pT389,c-Kit,Rb,MEK1_pS217_S221,Bap1 c-4,PKC-delta_pS664,PDCD4,PI3K-p85,p38_MAPK
3,0.0,2.0,1.0,5.0,6.0,4.0,7.0,11.0,3.0,9.0,8.0,10.0,49.0,96.0,12.0,27.0,23.0,28.0,14.0,15.0,24.0,45.0,22.0,19.0,18.0,13.0,76.0,37.0,78.0,42.0
52,1.0,22.0,3.0,2.0,5.0,14.0,0.0,11.0,4.0,18.0,31.0,10.0,35.0,8.0,6.0,9.0,26.0,25.0,16.0,24.0,32.0,33.0,13.0,7.0,46.0,12.0,23.0,41.0,30.0,50.0
101,0.0,4.0,2.0,7.0,1.0,6.0,3.0,9.0,5.0,10.0,25.0,22.0,46.0,109.0,120.0,14.0,16.0,17.0,27.0,12.0,21.0,31.0,87.0,15.0,19.0,8.0,73.0,29.0,75.0,44.0
150,3.0,6.0,0.0,1.0,4.0,7.0,5.0,12.0,2.0,9.0,22.0,8.0,74.0,13.0,20.0,108.0,92.0,15.0,21.0,18.0,19.0,30.0,109.0,10.0,40.0,17.0,28.0,62.0,73.0,46.0
199,4.0,3.0,2.0,12.0,0.0,7.0,6.0,1.0,5.0,29.0,15.0,19.0,77.0,23.0,124.0,28.0,110.0,18.0,8.0,13.0,119.0,17.0,112.0,21.0,16.0,9.0,75.0,78.0,76.0,36.0
248,0.0,6.0,5.0,2.0,3.0,9.0,8.0,16.0,1.0,24.0,7.0,13.0,62.0,112.0,26.0,23.0,28.0,14.0,11.0,19.0,22.0,18.0,86.0,12.0,38.0,10.0,78.0,30.0,48.0,43.0
297,0.0,2.0,4.0,1.0,15.0,18.0,16.0,3.0,13.0,14.0,24.0,9.0,79.0,35.0,27.0,20.0,111.0,23.0,12.0,6.0,126.0,21.0,32.0,8.0,28.0,7.0,26.0,38.0,51.0,45.0
346,0.0,2.0,5.0,7.0,4.0,8.0,18.0,1.0,3.0,10.0,12.0,6.0,17.0,13.0,118.0,84.0,27.0,126.0,36.0,20.0,24.0,42.0,11.0,19.0,14.0,9.0,15.0,38.0,53.0,48.0
395,0.0,6.0,2.0,1.0,8.0,10.0,3.0,7.0,5.0,15.0,14.0,9.0,76.0,23.0,115.0,16.0,93.0,124.0,28.0,4.0,22.0,36.0,86.0,20.0,46.0,17.0,74.0,37.0,75.0,41.0
444,0.0,2.0,5.0,12.0,3.0,53.0,4.0,7.0,1.0,26.0,13.0,15.0,52.0,31.0,125.0,25.0,9.0,18.0,20.0,32.0,119.0,34.0,6.0,11.0,22.0,30.0,23.0,37.0,77.0,47.0
493,0.0,1.0,3.0,7.0,2.0,17.0,20.0,6.0,4.0,5.0,9.0,38.0,29.0,39.0,16.0,82.0,12.0,117.0,11.0,32.0,8.0,41.0,14.0,25.0,19.0,18.0,26.0,23.0,31.0,44.0
542,0.0,1.0,2.0,67.0,3.0,15.0,24.0,7.0,22.0,6.0,4.0,19.0,74.0,31.0,25.0,82.0,16.0,12.0,49.0,23.0,5.0,20.0,89.0,37.0,29.0,18.0,21.0,76.0,28.0,44.0
591,1.0,4.0,0.0,3.0,2.0,5.0,17.0,22.0,7.0,9.0,23.0,29.0,63.0,18.0,30.0,19.0,25.0,12.0,20.0,16.0,15.0,32.0,21.0,27.0,39.0,24.0,11.0,38.0,50.0,46.0
640,0.0,1.0,3.0,7.0,9.0,2.0,28.0,10.0,23.0,8.0,18.0,11.0,34.0,17.0,16.0,81.0,15.0,29.0,12.0,21.0,4.0,33.0,88.0,69.0,44.0,30.0,32.0,77.0,26.0,31.0
689,2.0,0.0,1.0,9.0,3.0,25.0,7.0,8.0,13.0,18.0,6.0,5.0,10.0,12.0,113.0,11.0,22.0,17.0,4.0,78.0,29.0,19.0,24.0,23.0,15.0,21.0,26.0,79.0,77.0,43.0
738,0.0,1.0,4.0,20.0,2.0,14.0,19.0,8.0,5.0,9.0,3.0,6.0,25.0,32.0,34.0,28.0,21.0,31.0,35.0,12.0,10.0,46.0,17.0,27.0,23.0,18.0,11.0,39.0,33.0,37.0
787,0.0,2.0,1.0,11.0,8.0,26.0,12.0,22.0,9.0,5.0,6.0,3.0,25.0,24.0,13.0,111.0,97.0,10.0,40.0,15.0,4.0,19.0,33.0,69.0,48.0,27.0,53.0,54.0,20.0,51.0
836,0.0,2.0,4.0,6.0,1.0,10.0,23.0,8.0,7.0,13.0,9.0,3.0,76.0,109.0,25.0,108.0,31.0,5.0,29.0,18.0,17.0,33.0,88.0,27.0,47.0,12.0,73.0,32.0,75.0,24.0
885,0.0,2.0,1.0,5.0,3.0,8.0,68.0,10.0,13.0,17.0,30.0,22.0,31.0,14.0,6.0,15.0,32.0,20.0,16.0,12.0,9.0,21.0,11.0,69.0,40.0,95.0,76.0,26.0,49.0,29.0
934,0.0,1.0,2.0,23.0,3.0,18.0,5.0,4.0,10.0,7.0,9.0,6.0,50.0,83.0,30.0,26.0,97.0,16.0,8.0,20.0,12.0,21.0,90.0,19.0,17.0,15.0,76.0,33.0,78.0,37.0
983,1.0,0.0,3.0,7.0,2.0,13.0,19.0,4.0,16.0,8.0,23.0,22.0,6.0,29.0,17.0,93.0,11.0,111.0,39.0,25.0,9.0,38.0,86.0,27.0,41.0,15.0,48.0,20.0,12.0,21.0
1032,0.0,3.0,1.0,4.0,2.0,7.0,11.0,36.0,5.0,50.0,14.0,26.0,22.0,30.0,31.0,28.0,6.0,27.0,17.0,19.0,10.0,8.0,91.0,20.0,12.0,97.0,77.0,25.0,23.0,21.0
1081,0.0,2.0,1.0,3.0,5.0,6.0,16.0,9.0,12.0,25.0,19.0,15.0,7.0,8.0,123.0,11.0,4.0,13.0,17.0,14.0,27.0,36.0,85.0,67.0,37.0,91.0,72.0,62.0,74.0,23.0
1130,0.0,1.0,4.0,5.0,2.0,6.0,17.0,9.0,8.0,14.0,10.0,20.0,22.0,7.0,25.0,83.0,3.0,15.0,21.0,24.0,12.0,34.0,90.0,58.0,26.0,16.0,31.0,74.0,67.0,18.0
1179,0.0,2.0,1.0,8.0,6.0,5.0,21.0,28.0,4.0,29.0,9.0,15.0,10.0,13.0,27.0,82.0,3.0,119.0,39.0,12.0,11.0,41.0,89.0,32.0,17.0,30.0,74.0,35.0,31.0,7.0
1228,0.0,5.0,1.0,2.0,11.0,6.0,4.0,8.0,7.0,25.0,16.0,12.0,9.0,10.0,120.0,80.0,3.0,112.0,14.0,75.0,17.0,22.0,86.0,18.0,19.0,26.0,73.0,30.0,13.0,40.0
1277,0.0,2.0,1.0,8.0,3.0,15.0,16.0,68.0,7.0,17.0,65.0,4.0,22.0,13.0,5.0,23.0,9.0,19.0,25.0,31.0,6.0,34.0,107.0,33.0,32.0,26.0,74.0,18.0,76.0,10.0
1326,0.0,2.0,1.0,3.0,6.0,4.0,12.0,27.0,7.0,36.0,15.0,13.0,10.0,8.0,17.0,85.0,5.0,119.0,14.0,73.0,9.0,28.0,20.0,57.0,45.0,95.0,70.0,29.0,25.0,24.0
1375,0.0,4.0,1.0,2.0,9.0,7.0,12.0,11.0,10.0,17.0,13.0,14.0,6.0,15.0,28.0,125.0,3.0,29.0,43.0,21.0,24.0,60.0,122.0,57.0,23.0,25.0,51.0,19.0,53.0,5.0
