,ENDOMETRIUM,HAEMATOPOIETIC,LUNG,BREAST,LARGE_INTESTINE,SKIN,NERVOUS,OVARY,OESOPHAGUS,PANCREAS,SOFT_TISSUE,LIVER,STOMACH,BONE,GANGLIA,URINARY,THYROID,AERODIGESTIVE,PROSTATE,PLEURA,KIDNEY,SALIVARY,BILIARY
48,9.0,5.0,0.0,6.0,13.0,2.0,3.0,19.0,4.0,11.0,7.0,14.0,8.0,1.0,15.0,10.0,12.0,16.0,17.0,21.0,18.0,20.0,22.0
97,2.0,9.0,0.0,15.0,1.0,5.0,7.0,6.0,4.0,11.0,3.0,12.0,8.0,13.0,17.0,14.0,10.0,16.0,18.0,20.0,19.0,21.0,22.0
146,3.0,0.0,6.0,10.0,4.0,8.0,13.0,2.0,7.0,1.0,11.0,12.0,15.0,5.0,16.0,14.0,9.0,20.0,17.0,18.0,19.0,21.0,22.0
195,1.0,6.0,13.0,8.0,10.0,9.0,5.0,15.0,0.0,7.0,2.0,14.0,3.0,11.0,19.0,4.0,16.0,12.0,20.0,18.0,17.0,21.0,22.0
244,12.0,9.0,14.0,7.0,5.0,2.0,1.0,10.0,11.0,8.0,6.0,4.0,0.0,3.0,15.0,19.0,13.0,16.0,17.0,20.0,18.0,21.0,22.0
293,3.0,6.0,11.0,2.0,0.0,1.0,4.0,5.0,7.0,12.0,9.0,10.0,15.0,8.0,17.0,14.0,19.0,16.0,18.0,20.0,13.0,21.0,22.0
342,14.0,0.0,2.0,1.0,3.0,15.0,11.0,7.0,9.0,6.0,5.0,4.0,13.0,12.0,16.0,8.0,10.0,20.0,17.0,18.0,19.0,21.0,22.0
391,2.0,9.0,1.0,6.0,0.0,7.0,11.0,10.0,8.0,14.0,5.0,4.0,12.0,3.0,16.0,13.0,18.0,15.0,17.0,20.0,19.0,21.0,22.0
440,12.0,5.0,13.0,11.0,7.0,1.0,4.0,0.0,8.0,6.0,16.0,9.0,2.0,10.0,20.0,3.0,14.0,17.0,18.0,19.0,15.0,21.0,22.0
489,2.0,9.0,0.0,1.0,3.0,6.0,12.0,7.0,5.0,10.0,4.0,13.0,15.0,14.0,16.0,8.0,11.0,20.0,17.0,18.0,19.0,21.0,22.0
538,15.0,1.0,16.0,0.0,3.0,2.0,11.0,7.0,9.0,6.0,5.0,13.0,14.0,4.0,12.0,8.0,10.0,20.0,17.0,18.0,19.0,21.0,22.0
587,3.0,12.0,1.0,20.0,2.0,6.0,8.0,7.0,13.0,11.0,5.0,4.0,0.0,14.0,15.0,9.0,10.0,17.0,18.0,19.0,16.0,21.0,22.0
636,2.0,12.0,17.0,5.0,15.0,1.0,8.0,7.0,10.0,6.0,4.0,0.0,9.0,3.0,13.0,14.0,11.0,20.0,16.0,18.0,19.0,21.0,22.0
685,1.0,9.0,0.0,16.0,18.0,12.0,7.0,6.0,4.0,17.0,5.0,3.0,8.0,2.0,15.0,14.0,11.0,13.0,19.0,20.0,10.0,21.0,22.0
734,14.0,7.0,17.0,1.0,0.0,5.0,9.0,8.0,12.0,2.0,6.0,4.0,10.0,13.0,3.0,15.0,18.0,11.0,19.0,21.0,16.0,20.0,22.0
783,10.0,0.0,12.0,6.0,11.0,2.0,13.0,4.0,1.0,16.0,15.0,9.0,3.0,7.0,8.0,14.0,5.0,20.0,17.0,18.0,19.0,21.0,22.0
832,3.0,2.0,9.0,10.0,4.0,0.0,1.0,5.0,12.0,16.0,15.0,7.0,14.0,6.0,8.0,13.0,11.0,20.0,17.0,18.0,19.0,21.0,22.0
881,1.0,12.0,0.0,7.0,2.0,16.0,13.0,10.0,9.0,8.0,6.0,4.0,11.0,3.0,5.0,14.0,15.0,20.0,17.0,18.0,19.0,21.0,22.0
930,2.0,15.0,1.0,0.0,14.0,6.0,8.0,7.0,5.0,4.0,12.0,3.0,10.0,13.0,17.0,9.0,11.0,16.0,18.0,20.0,19.0,21.0,22.0
979,3.0,0.0,2.0,7.0,5.0,8.0,9.0,11.0,1.0,15.0,6.0,12.0,10.0,4.0,14.0,13.0,18.0,16.0,17.0,20.0,19.0,21.0,22.0
1028,1.0,8.0,0.0,5.0,2.0,7.0,9.0,12.0,6.0,11.0,4.0,13.0,10.0,14.0,3.0,15.0,19.0,20.0,17.0,18.0,16.0,21.0,22.0
1077,2.0,0.0,1.0,6.0,5.0,7.0,8.0,13.0,11.0,10.0,12.0,4.0,9.0,3.0,15.0,14.0,18.0,16.0,17.0,20.0,19.0,21.0,22.0
1126,0.0,8.0,16.0,6.0,2.0,1.0,9.0,12.0,10.0,7.0,5.0,3.0,15.0,13.0,4.0,14.0,19.0,20.0,17.0,18.0,11.0,21.0,22.0
1175,2.0,7.0,1.0,4.0,14.0,6.0,8.0,11.0,5.0,16.0,12.0,0.0,10.0,13.0,3.0,9.0,19.0,20.0,17.0,18.0,15.0,21.0,22.0
1224,15.0,0.0,19.0,2.0,4.0,5.0,7.0,10.0,11.0,16.0,1.0,12.0,8.0,3.0,6.0,13.0,9.0,17.0,20.0,14.0,18.0,21.0,22.0
1273,2.0,13.0,1.0,6.0,15.0,7.0,8.0,14.0,0.0,12.0,5.0,4.0,10.0,3.0,11.0,9.0,21.0,16.0,17.0,19.0,18.0,20.0,22.0
1322,14.0,8.0,17.0,2.0,5.0,3.0,12.0,11.0,9.0,7.0,10.0,1.0,0.0,4.0,6.0,19.0,18.0,20.0,16.0,13.0,15.0,21.0,22.0
1371,2.0,9.0,15.0,7.0,5.0,1.0,0.0,13.0,12.0,8.0,6.0,4.0,14.0,3.0,11.0,10.0,18.0,16.0,17.0,20.0,19.0,21.0,22.0
1420,11.0,1.0,0.0,3.0,13.0,7.0,6.0,12.0,2.0,15.0,8.0,9.0,4.0,10.0,14.0,5.0,17.0,20.0,16.0,19.0,18.0,21.0,22.0
1469,14.0,1.0,2.0,6.0,13.0,7.0,0.0,12.0,8.0,15.0,5.0,4.0,10.0,3.0,11.0,9.0,18.0,16.0,17.0,21.0,19.0,20.0,22.0
1518,2.0,7.0,0.0,1.0,3.0,6.0,9.0,8.0,16.0,12.0,5.0,4.0,10.0,14.0,13.0,15.0,11.0,17.0,18.0,20.0,19.0,21.0,22.0
1567,10.0,0.0,12.0,11.0,7.0,6.0,3.0,4.0,14.0,9.0,17.0,8.0,2.0,1.0,5.0,13.0,18.0,15.0,16.0,20.0,19.0,21.0,22.0
1616,10.0,5.0,11.0,2.0,6.0,1.0,4.0,14.0,13.0,0.0,8.0,16.0,15.0,7.0,9.0,3.0,12.0,17.0,18.0,20.0,19.0,21.0,22.0
1665,2.0,5.0,11.0,7.0,1.0,0.0,3.0,4.0,12.0,16.0,8.0,9.0,14.0,10.0,15.0,13.0,6.0,20.0,17.0,18.0,19.0,21.0,22.0
1714,0.0,5.0,12.0,7.0,11.0,15.0,4.0,1.0,6.0,2.0,8.0,10.0,3.0,18.0,9.0,13.0,14.0,16.0,17.0,20.0,19.0,21.0,22.0
1763,14.0,9.0,5.0,12.0,4.0,18.0,7.0,6.0,15.0,0.0,2.0,1.0,8.0,3.0,10.0,13.0,11.0,16.0,17.0,20.0,19.0,21.0,22.0
1812,10.0,1.0,11.0,7.0,6.0,16.0,14.0,4.0,5.0,2.0,8.0,15.0,0.0,9.0,12.0,3.0,13.0,20.0,17.0,18.0,19.0,21.0,22.0
1861,2.0,7.0,19.0,0.0,6.0,4.0,9.0,8.0,5.0,16.0,1.0,11.0,15.0,12.0,3.0,14.0,20.0,10.0,18.0,13.0,17.0,21.0,22.0
1910,13.0,5.0,14.0,7.0,8.0,15.0,3.0,4.0,9.0,6.0,0.0,10.0,1.0,11.0,19.0,2.0,16.0,12.0,20.0,18.0,17.0,21.0,22.0
1959,13.0,7.0,15.0,5.0,4.0,0.0,9.0,8.0,10.0,6.0,2.0,3.0,1.0,12.0,14.0,18.0,11.0,16.0,17.0,19.0,21.0,20.0,22.0
2008,11.0,0.0,2.0,7.0,1.0,12.0,5.0,6.0,8.0,9.0,13.0,15.0,3.0,10.0,17.0,4.0,21.0,16.0,18.0,19.0,14.0,20.0,22.0
2057,10.0,1.0,2.0,7.0,8.0,14.0,5.0,0.0,9.0,6.0,13.0,17.0,3.0,16.0,19.0,4.0,18.0,11.0,20.0,12.0,15.0,21.0,22.0
2106,3.0,1.0,2.0,11.0,0.0,5.0,6.0,8.0,4.0,9.0,12.0,14.0,16.0,15.0,13.0,7.0,19.0,20.0,17.0,18.0,10.0,21.0,22.0
2155,4.0,0.0,9.0,10.0,18.0,6.0,3.0,15.0,5.0,2.0,12.0,8.0,1.0,7.0,17.0,16.0,20.0,13.0,19.0,11.0,14.0,21.0,22.0
2204,9.0,6.0,2.0,3.0,8.0,11.0,4.0,5.0,0.0,1.0,12.0,16.0,15.0,7.0,13.0,20.0,19.0,17.0,18.0,10.0,14.0,21.0,22.0
2253,11.0,5.0,12.0,7.0,9.0,15.0,1.0,4.0,6.0,2.0,14.0,10.0,0.0,8.0,13.0,3.0,18.0,16.0,17.0,20.0,19.0,21.0,22.0
2302,9.0,2.0,0.0,10.0,6.0,13.0,12.0,1.0,4.0,8.0,14.0,7.0,3.0,17.0,5.0,11.0,18.0,15.0,16.0,20.0,19.0,21.0,22.0
2351,10.0,1.0,12.0,11.0,7.0,6.0,3.0,4.0,2.0,20.0,14.0,8.0,0.0,9.0,5.0,19.0,18.0,15.0,16.0,17.0,13.0,21.0,22.0
2400,9.0,0.0,12.0,8.0,10.0,15.0,4.0,5.0,6.0,1.0,13.0,11.0,2.0,14.0,7.0,3.0,18.0,16.0,17.0,20.0,19.0,21.0,22.0
2449,10.0,1.0,0.0,14.0,7.0,6.0,5.0,11.0,2.0,9.0,17.0,8.0,3.0,13.0,12.0,4.0,18.0,15.0,16.0,20.0,19.0,21.0,22.0
2498,2.0,11.0,1.0,5.0,3.0,6.0,8.0,7.0,0.0,20.0,13.0,4.0,10.0,15.0,14.0,9.0,12.0,16.0,17.0,18.0,19.0,21.0,22.0
2547,2.0,7.0,16.0,5.0,3.0,1.0,8.0,14.0,10.0,6.0,12.0,0.0,9.0,4.0,13.0,15.0,11.0,20.0,17.0,18.0,19.0,21.0,22.0
2596,2.0,8.0,15.0,6.0,5.0,1.0,9.0,13.0,0.0,7.0,12.0,4.0,14.0,3.0,11.0,10.0,18.0,16.0,17.0,20.0,19.0,21.0,22.0
2645,9.0,0.0,1.0,3.0,7.0,6.0,2.0,5.0,12.0,8.0,11.0,15.0,4.0,10.0,16.0,14.0,13.0,19.0,20.0,17.0,18.0,21.0,22.0
2694,1.0,7.0,6.0,5.0,3.0,0.0,13.0,8.0,10.0,11.0,4.0,14.0,9.0,2.0,12.0,15.0,18.0,16.0,17.0,20.0,19.0,21.0,22.0
2743,1.0,8.0,17.0,5.0,3.0,0.0,10.0,9.0,13.0,7.0,18.0,14.0,12.0,2.0,4.0,11.0,6.0,15.0,16.0,20.0,19.0,21.0,22.0
2792,3.0,7.0,11.0,1.0,10.0,15.0,5.0,6.0,0.0,2.0,18.0,9.0,13.0,8.0,14.0,4.0,12.0,16.0,17.0,20.0,19.0,21.0,22.0
2841,3.0,9.0,2.0,6.0,0.0,7.0,1.0,10.0,8.0,11.0,5.0,4.0,13.0,18.0,15.0,12.0,14.0,16.0,17.0,20.0,19.0,21.0,22.0
2890,2.0,0.0,1.0,6.0,5.0,7.0,10.0,9.0,8.0,11.0,12.0,4.0,14.0,3.0,15.0,13.0,18.0,16.0,17.0,20.0,19.0,21.0,22.0
2939,2.0,0.0,1.0,8.0,6.0,11.0,4.0,5.0,13.0,16.0,15.0,9.0,14.0,7.0,10.0,3.0,12.0,20.0,17.0,18.0,19.0,21.0,22.0
2988,20.0,0.0,9.0,3.0,13.0,5.0,4.0,1.0,2.0,8.0,6.0,7.0,10.0,14.0,12.0,11.0,18.0,15.0,16.0,17.0,19.0,21.0,22.0
3037,1.0,7.0,0.0,5.0,2.0,6.0,9.0,8.0,11.0,16.0,4.0,14.0,15.0,3.0,13.0,10.0,12.0,20.0,17.0,18.0,19.0,21.0,22.0
3086,1.0,10.0,0.0,13.0,4.0,6.0,8.0,7.0,5.0,11.0,18.0,3.0,9.0,2.0,14.0,15.0,12.0,16.0,17.0,20.0,19.0,21.0,22.0
3135,4.0,0.0,1.0,3.0,8.0,11.0,14.0,17.0,7.0,2.0,9.0,6.0,10.0,5.0,12.0,15.0,13.0,19.0,20.0,18.0,16.0,21.0,22.0
3184,3.0,0.0,11.0,1.0,14.0,12.0,4.0,5.0,6.0,15.0,8.0,10.0,2.0,9.0,7.0,13.0,18.0,16.0,17.0,20.0,19.0,21.0,22.0
3233,14.0,0.0,1.0,8.0,10.0,6.0,2.0,3.0,9.0,13.0,11.0,12.0,4.0,7.0,5.0,19.0,17.0,15.0,16.0,20.0,18.0,21.0,22.0
3282,10.0,0.0,1.0,11.0,13.0,6.0,3.0,4.0,5.0,20.0,7.0,8.0,2.0,9.0,14.0,12.0,18.0,15.0,16.0,17.0,19.0,21.0,22.0
3331,3.0,0.0,1.0,6.0,13.0,15.0,2.0,10.0,9.0,7.0,5.0,4.0,8.0,18.0,11.0,12.0,14.0,16.0,17.0,20.0,19.0,21.0,22.0
3380,10.0,1.0,2.0,7.0,3.0,11.0,4.0,0.0,5.0,16.0,15.0,8.0,14.0,6.0,9.0,13.0,12.0,20.0,17.0,18.0,19.0,21.0,22.0
3429,1.0,11.0,0.0,5.0,13.0,14.0,8.0,12.0,10.0,7.0,4.0,2.0,19.0,3.0,16.0,9.0,6.0,15.0,17.0,20.0,18.0,21.0,22.0
3478,7.0,5.0,12.0,8.0,10.0,16.0,3.0,4.0,6.0,0.0,9.0,11.0,1.0,15.0,13.0,2.0,14.0,20.0,17.0,18.0,19.0,21.0,22.0
3527,1.0,12.0,16.0,6.0,2.0,0.0,9.0,14.0,8.0,7.0,5.0,4.0,11.0,3.0,13.0,10.0,15.0,20.0,17.0,18.0,19.0,21.0,22.0
3576,2.0,12.0,1.0,6.0,13.0,16.0,9.0,8.0,15.0,7.0,5.0,3.0,0.0,18.0,4.0,10.0,19.0,14.0,17.0,20.0,11.0,21.0,22.0
3625,3.0,4.0,18.0,2.0,5.0,11.0,6.0,8.0,0.0,17.0,1.0,13.0,7.0,14.0,15.0,16.0,10.0,12.0,19.0,20.0,9.0,21.0,22.0
3674,14.0,5.0,11.0,10.0,1.0,7.0,0.0,12.0,4.0,2.0,8.0,9.0,3.0,17.0,6.0,19.0,13.0,15.0,16.0,20.0,18.0,21.0,22.0
3723,11.0,1.0,12.0,7.0,9.0,15.0,0.0,5.0,6.0,2.0,8.0,10.0,3.0,14.0,13.0,4.0,18.0,16.0,17.0,20.0,19.0,21.0,22.0
