,Akt_pS473,VHL,Caspase-7_cleavedD198,A-Raf_pS299,RAD51,Bcl-2,GATA3,Raptor,HER2,FOXO3a,Bax,Akt,4E-BP1,ACC1,p21,YAP_pS127,Chk1,PKC-alpha,JNK_pT183_Y185,Src_pY416,HER3,Stathmin,Acetyl-a-Tubulin (Lys40),MSH6,Porin,Lck,Heregulin,Notch1,NDRG1_pT346,PRDX1
5,3.0,9.0,24.0,36.0,26.0,85.0,12.0,0.0,42.0,6.0,84.0,20.0,27.0,106.0,45.0,31.0,33.0,93.0,10.0,21.0,67.0,22.0,64.0,52.0,153.0,66.0,56.0,54.0,29.0,14.0
54,7.0,3.0,24.0,46.0,18.0,132.0,32.0,147.0,133.0,134.0,29.0,22.0,19.0,10.0,145.0,1.0,48.0,157.0,2.0,16.0,23.0,33.0,38.0,25.0,53.0,62.0,44.0,27.0,21.0,35.0
103,9.0,15.0,17.0,6.0,30.0,102.0,42.0,124.0,14.0,20.0,50.0,56.0,29.0,12.0,153.0,0.0,16.0,22.0,164.0,7.0,51.0,19.0,34.0,45.0,144.0,25.0,40.0,18.0,11.0,108.0
152,5.0,9.0,42.0,13.0,43.0,86.0,26.0,7.0,137.0,66.0,21.0,0.0,4.0,18.0,30.0,96.0,51.0,16.0,56.0,46.0,134.0,2.0,23.0,67.0,148.0,19.0,60.0,22.0,32.0,10.0
201,11.0,25.0,17.0,27.0,30.0,49.0,45.0,1.0,2.0,64.0,54.0,33.0,58.0,129.0,8.0,26.0,90.0,48.0,5.0,108.0,71.0,114.0,35.0,20.0,156.0,62.0,24.0,99.0,34.0,4.0
250,8.0,103.0,25.0,26.0,29.0,160.0,49.0,136.0,0.0,114.0,67.0,94.0,11.0,79.0,39.0,133.0,71.0,24.0,40.0,44.0,36.0,48.0,43.0,10.0,80.0,55.0,52.0,20.0,54.0,32.0
299,4.0,20.0,21.0,56.0,22.0,36.0,59.0,133.0,28.0,0.0,81.0,35.0,30.0,18.0,23.0,116.0,51.0,29.0,5.0,46.0,61.0,88.0,78.0,47.0,159.0,62.0,77.0,13.0,6.0,7.0
348,8.0,26.0,11.0,13.0,29.0,21.0,58.0,10.0,144.0,0.0,32.0,30.0,47.0,68.0,41.0,4.0,19.0,102.0,27.0,99.0,65.0,75.0,44.0,51.0,97.0,73.0,53.0,23.0,40.0,43.0
397,9.0,19.0,23.0,35.0,31.0,18.0,25.0,0.0,37.0,85.0,30.0,15.0,51.0,65.0,1.0,2.0,50.0,12.0,33.0,21.0,22.0,44.0,27.0,36.0,156.0,42.0,34.0,41.0,131.0,71.0
446,9.0,19.0,12.0,37.0,31.0,36.0,23.0,134.0,47.0,139.0,62.0,17.0,131.0,41.0,105.0,3.0,22.0,52.0,80.0,119.0,72.0,29.0,46.0,27.0,42.0,39.0,26.0,38.0,15.0,155.0
495,7.0,34.0,30.0,22.0,28.0,103.0,21.0,3.0,23.0,139.0,36.0,14.0,62.0,2.0,13.0,53.0,32.0,20.0,51.0,131.0,63.0,27.0,72.0,55.0,25.0,59.0,70.0,144.0,142.0,160.0
544,9.0,12.0,61.0,16.0,26.0,1.0,27.0,13.0,84.0,4.0,60.0,87.0,18.0,95.0,15.0,5.0,50.0,33.0,45.0,44.0,47.0,24.0,42.0,29.0,7.0,107.0,43.0,40.0,49.0,22.0
593,5.0,16.0,14.0,29.0,28.0,162.0,36.0,1.0,27.0,39.0,23.0,17.0,24.0,0.0,12.0,11.0,59.0,30.0,8.0,80.0,54.0,74.0,3.0,42.0,18.0,92.0,53.0,69.0,136.0,4.0
642,5.0,21.0,70.0,20.0,9.0,75.0,34.0,7.0,0.0,2.0,46.0,14.0,3.0,22.0,26.0,17.0,31.0,32.0,123.0,93.0,107.0,85.0,15.0,47.0,37.0,13.0,42.0,53.0,74.0,112.0
691,7.0,19.0,35.0,12.0,11.0,32.0,21.0,1.0,18.0,127.0,64.0,37.0,41.0,14.0,5.0,106.0,27.0,44.0,9.0,60.0,82.0,81.0,75.0,43.0,23.0,155.0,52.0,151.0,66.0,107.0
740,8.0,26.0,42.0,48.0,37.0,19.0,22.0,3.0,7.0,6.0,21.0,4.0,69.0,40.0,29.0,123.0,11.0,45.0,164.0,38.0,103.0,72.0,43.0,50.0,24.0,44.0,76.0,28.0,39.0,67.0
789,8.0,38.0,45.0,31.0,36.0,91.0,20.0,0.0,100.0,9.0,63.0,25.0,50.0,27.0,3.0,84.0,43.0,44.0,24.0,101.0,19.0,14.0,57.0,7.0,40.0,54.0,61.0,6.0,160.0,104.0
838,10.0,28.0,63.0,54.0,35.0,160.0,26.0,0.0,43.0,56.0,29.0,5.0,22.0,120.0,1.0,61.0,111.0,27.0,13.0,75.0,103.0,77.0,70.0,90.0,4.0,30.0,64.0,47.0,154.0,155.0
887,3.0,21.0,64.0,11.0,10.0,4.0,13.0,9.0,28.0,139.0,39.0,16.0,35.0,60.0,0.0,59.0,58.0,25.0,73.0,6.0,20.0,52.0,42.0,34.0,32.0,56.0,29.0,89.0,55.0,66.0
936,9.0,37.0,85.0,64.0,48.0,157.0,22.0,17.0,62.0,25.0,100.0,50.0,58.0,161.0,26.0,40.0,11.0,16.0,95.0,42.0,51.0,110.0,52.0,67.0,98.0,116.0,76.0,44.0,24.0,18.0
985,13.0,61.0,16.0,25.0,80.0,149.0,38.0,50.0,21.0,60.0,98.0,30.0,135.0,10.0,59.0,2.0,36.0,19.0,9.0,24.0,56.0,49.0,52.0,31.0,11.0,71.0,28.0,105.0,159.0,18.0
1034,8.0,83.0,18.0,13.0,37.0,122.0,38.0,39.0,132.0,152.0,20.0,47.0,26.0,7.0,59.0,1.0,56.0,14.0,55.0,53.0,36.0,57.0,40.0,58.0,64.0,42.0,164.0,6.0,112.0,4.0
1083,5.0,131.0,16.0,21.0,35.0,139.0,22.0,160.0,156.0,118.0,3.0,87.0,37.0,20.0,162.0,9.0,12.0,41.0,75.0,98.0,93.0,46.0,26.0,38.0,78.0,33.0,72.0,109.0,143.0,15.0
1132,4.0,91.0,12.0,6.0,26.0,43.0,21.0,62.0,27.0,110.0,107.0,112.0,10.0,18.0,102.0,2.0,77.0,28.0,41.0,73.0,47.0,30.0,32.0,153.0,5.0,20.0,23.0,87.0,162.0,40.0
1181,6.0,22.0,33.0,30.0,66.0,5.0,64.0,134.0,39.0,16.0,11.0,34.0,23.0,3.0,10.0,46.0,81.0,21.0,20.0,125.0,104.0,60.0,26.0,27.0,14.0,79.0,31.0,0.0,133.0,105.0
1230,4.0,98.0,15.0,25.0,44.0,42.0,85.0,158.0,23.0,13.0,39.0,26.0,31.0,38.0,99.0,134.0,80.0,53.0,52.0,63.0,50.0,36.0,11.0,27.0,14.0,46.0,34.0,55.0,73.0,5.0
1279,3.0,2.0,16.0,7.0,43.0,36.0,35.0,20.0,129.0,133.0,59.0,41.0,26.0,64.0,45.0,1.0,74.0,8.0,31.0,18.0,108.0,46.0,30.0,53.0,101.0,9.0,52.0,158.0,90.0,37.0
1328,4.0,132.0,21.0,6.0,15.0,0.0,12.0,25.0,108.0,123.0,2.0,50.0,114.0,103.0,146.0,134.0,53.0,96.0,48.0,68.0,30.0,54.0,59.0,57.0,60.0,37.0,17.0,45.0,52.0,3.0
1377,3.0,47.0,10.0,24.0,59.0,49.0,29.0,162.0,97.0,17.0,52.0,28.0,31.0,51.0,78.0,130.0,35.0,20.0,37.0,131.0,73.0,30.0,77.0,48.0,155.0,39.0,53.0,25.0,118.0,12.0
1426,7.0,49.0,13.0,34.0,15.0,8.0,54.0,89.0,56.0,24.0,2.0,72.0,28.0,18.0,57.0,6.0,99.0,20.0,17.0,63.0,92.0,53.0,36.0,37.0,35.0,66.0,50.0,77.0,87.0,33.0
1475,6.0,7.0,11.0,84.0,33.0,89.0,39.0,105.0,8.0,24.0,5.0,23.0,4.0,115.0,164.0,41.0,103.0,122.0,36.0,108.0,46.0,59.0,45.0,58.0,82.0,19.0,40.0,163.0,50.0,48.0
1524,6.0,35.0,17.0,130.0,18.0,20.0,31.0,106.0,13.0,26.0,0.0,49.0,42.0,10.0,145.0,134.0,2.0,52.0,50.0,19.0,44.0,64.0,28.0,68.0,39.0,43.0,62.0,8.0,155.0,153.0
1573,6.0,30.0,16.0,0.0,7.0,1.0,28.0,5.0,8.0,62.0,3.0,60.0,32.0,116.0,38.0,133.0,68.0,86.0,14.0,18.0,13.0,33.0,53.0,147.0,85.0,65.0,42.0,98.0,31.0,27.0
1622,7.0,18.0,24.0,22.0,10.0,100.0,26.0,101.0,3.0,33.0,2.0,95.0,120.0,23.0,8.0,112.0,31.0,16.0,53.0,4.0,38.0,60.0,34.0,28.0,54.0,43.0,58.0,141.0,13.0,69.0
1671,9.0,16.0,15.0,79.0,24.0,66.0,31.0,2.0,5.0,21.0,40.0,85.0,99.0,91.0,4.0,116.0,102.0,17.0,6.0,30.0,44.0,65.0,121.0,67.0,26.0,74.0,78.0,141.0,0.0,132.0
1720,8.0,54.0,49.0,15.0,13.0,114.0,16.0,133.0,19.0,22.0,66.0,79.0,3.0,119.0,26.0,34.0,39.0,60.0,40.0,129.0,135.0,36.0,56.0,67.0,89.0,48.0,64.0,6.0,45.0,57.0
1769,10.0,2.0,27.0,127.0,9.0,123.0,19.0,3.0,6.0,29.0,117.0,71.0,63.0,13.0,31.0,133.0,89.0,41.0,49.0,1.0,65.0,47.0,74.0,25.0,84.0,58.0,35.0,76.0,15.0,153.0
1818,7.0,23.0,11.0,24.0,14.0,157.0,26.0,3.0,12.0,51.0,16.0,41.0,43.0,135.0,69.0,133.0,39.0,34.0,65.0,8.0,72.0,44.0,30.0,45.0,61.0,52.0,58.0,42.0,145.0,32.0
1867,14.0,18.0,16.0,36.0,23.0,29.0,22.0,5.0,7.0,141.0,50.0,0.0,34.0,48.0,8.0,89.0,4.0,52.0,60.0,11.0,62.0,57.0,20.0,6.0,69.0,43.0,47.0,82.0,9.0,31.0
