,ENPP1,NRSN2,CD99L2,TENC1,GPR3,TUBA1A,MAP3K12,DAPP1,HSPB8,TMC6,C17orf51,PRSS16,HOXC6,MAP3K8,CNRIP1,CPE,HCFC2,SLC38A6,IKBIP,KRT16,RAB30,TRIM3,MON2,NFASC,DSC2,EFR3B,IGFBP5,RP11-140A10.3,C1orf86,KLK10
11,0.0,48.0,1.0,20.0,6.0,2.0,5.0,25.0,4.0,11854.0,26.0,18.0,77.0,434.0,16928.0,332.0,181.0,3237.0,212.0,210.0,66.0,104.0,24.0,190.0,320.0,286.0,35.0,19723.0,42.0,600.0
60,1.0,7.0,4.0,9.0,3.0,2.0,8.0,19.0,75.0,534.0,16.0,32.0,35.0,1690.0,45.0,14480.0,7023.0,3262.0,34.0,112.0,26.0,71.0,6548.0,306.0,537.0,154.0,13784.0,19656.0,17.0,8279.0
109,1.0,3.0,0.0,17.0,10.0,2.0,6.0,43.0,5.0,25.0,21.0,86.0,4.0,245.0,506.0,45.0,455.0,3154.0,220.0,27.0,94.0,5965.0,216.0,9.0,8318.0,16887.0,33.0,11.0,153.0,911.0
158,1.0,11.0,0.0,19.0,17.0,6.0,44.0,73.0,252.0,11996.0,49.0,475.0,352.0,104.0,24.0,29.0,1007.0,6462.0,434.0,94.0,51.0,461.0,5.0,347.0,12252.0,16938.0,22.0,232.0,2999.0,8438.0
207,1.0,5.0,0.0,30.0,20.0,2.0,4.0,23.0,16.0,11867.0,36.0,65.0,9.0,78.0,3.0,12.0,341.0,3215.0,71.0,124.0,22.0,19774.0,154.0,18.0,12240.0,159.0,6.0,294.0,16124.0,8318.0
256,1.0,2.0,0.0,5.0,16493.0,3.0,8.0,27.0,29.0,156.0,17.0,10.0,113.0,84.0,22.0,6.0,9.0,6528.0,79.0,25.0,77.0,81.0,148.0,277.0,7.0,16889.0,37.0,40.0,100.0,161.0
305,0.0,6.0,4.0,8.0,11.0,3.0,1.0,20.0,6905.0,43.0,22.0,7.0,13.0,12.0,18.0,30.0,123.0,3662.0,228.0,39.0,70.0,5368.0,156.0,103.0,12232.0,299.0,1165.0,19663.0,80.0,217.0
354,2.0,46.0,0.0,6.0,64.0,1.0,4.0,37.0,199.0,72.0,7.0,156.0,125.0,33.0,2372.0,62.0,58.0,6354.0,161.0,145.0,118.0,12514.0,151.0,185.0,2833.0,16912.0,13823.0,124.0,35.0,8443.0
403,3.0,2.0,0.0,4.0,11.0,1.0,42.0,31.0,6.0,18.0,5.0,343.0,137.0,74.0,50.0,737.0,89.0,377.0,129.0,165.0,126.0,67.0,26.0,211.0,29.0,16925.0,306.0,161.0,16117.0,436.0
452,2.0,1.0,0.0,304.0,13.0,3.0,6.0,47.0,90.0,11807.0,121.0,21195.0,39.0,84.0,9.0,324.0,267.0,44.0,70.0,261.0,197.0,4131.0,79.0,164.0,12200.0,16899.0,31.0,5.0,185.0,8371.0
501,3.0,2.0,0.0,7.0,16472.0,6.0,17.0,1.0,54.0,200.0,57.0,4.0,194.0,44.0,131.0,1250.0,6246.0,139.0,48.0,168.0,239.0,5790.0,7251.0,219.0,14.0,40.0,13841.0,10.0,16101.0,29.0
550,0.0,1.0,4.0,6.0,16471.0,124.0,3.0,25.0,81.0,11974.0,9825.0,45.0,83.0,90.0,146.0,2.0,479.0,59.0,2544.0,109.0,159.0,41.0,85.0,61.0,7.0,365.0,20.0,18.0,16111.0,70.0
599,0.0,3.0,1.0,10.0,16498.0,99.0,5.0,61.0,19.0,39.0,436.0,23.0,93.0,31.0,156.0,6.0,465.0,259.0,193.0,317.0,223.0,771.0,94.0,9.0,30.0,16793.0,88.0,91.0,16122.0,79.0
648,49.0,0.0,1.0,24.0,16492.0,13.0,313.0,12.0,56.0,11396.0,12048.0,41.0,31.0,18.0,17174.0,194.0,7343.0,385.0,6974.0,20.0,195.0,2.0,83.0,7.0,3.0,370.0,17.0,8.0,2260.0,93.0
697,0.0,2.0,1.0,32.0,10.0,4.0,13.0,43.0,6955.0,11860.0,56.0,25.0,90.0,45.0,105.0,5.0,151.0,237.0,7114.0,132.0,227.0,166.0,6607.0,17388.0,246.0,251.0,13793.0,12.0,2301.0,212.0
746,0.0,3.0,1.0,5.0,4.0,6.0,11.0,32.0,20.0,404.0,9796.0,13.0,5696.0,14.0,188.0,2.0,5334.0,116.0,179.0,147.0,6533.0,17.0,237.0,17376.0,221.0,62.0,13790.0,19681.0,84.0,98.0
795,0.0,1.0,3.0,5086.0,34.0,33.0,131.0,5.0,16.0,4.0,58.0,7.0,80.0,2.0,103.0,8.0,2602.0,119.0,50.0,15.0,3963.0,19769.0,2596.0,13.0,14.0,698.0,13803.0,95.0,1894.0,37.0
844,24.0,0.0,5.0,17.0,16520.0,125.0,159.0,62.0,1.0,1014.0,199.0,175.0,153.0,129.0,9.0,4.0,51.0,3672.0,7090.0,177.0,4791.0,183.0,6531.0,17407.0,18.0,613.0,13.0,314.0,16134.0,3.0
893,2.0,1.0,0.0,17.0,379.0,5.0,3.0,35.0,54.0,8837.0,1446.0,57.0,144.0,49.0,61.0,171.0,174.0,254.0,151.0,11842.0,5482.0,119.0,218.0,17393.0,4.0,16926.0,21.0,55.0,16120.0,164.0
942,549.0,0.0,1.0,2.0,16464.0,120.0,265.0,65.0,102.0,2735.0,9833.0,94.0,669.0,95.0,17163.0,19.0,274.0,111.0,289.0,332.0,4624.0,1096.0,2024.0,17366.0,4.0,1760.0,158.0,67.0,16089.0,148.0
991,0.0,3.0,11.0,5.0,11445.0,6312.0,583.0,4.0,90.0,47.0,65.0,35.0,6.0,10.0,7.0,231.0,39.0,40.0,5337.0,218.0,1270.0,61.0,42.0,16212.0,17.0,125.0,21.0,19728.0,9956.0,178.0
1040,0.0,5.0,21.0,17.0,11.0,9.0,20.0,53.0,6.0,8.0,9862.0,24.0,129.0,36.0,88.0,172.0,27.0,187.0,68.0,18.0,70.0,113.0,32.0,119.0,211.0,462.0,13795.0,19721.0,16109.0,124.0
1089,1.0,2.0,11.0,8.0,6.0,3.0,4.0,7.0,34.0,20.0,31.0,27.0,12.0,24.0,123.0,0.0,241.0,345.0,167.0,89.0,74.0,186.0,102.0,15.0,45.0,98.0,16.0,19690.0,16105.0,14.0
1138,5.0,2.0,8.0,3.0,48.0,12.0,16.0,23.0,24.0,6.0,79.0,10.0,97.0,245.0,37.0,1.0,9.0,298.0,90.0,111.0,4708.0,240.0,6577.0,143.0,12219.0,202.0,271.0,181.0,15.0,20.0
