,MRGPRX1_DEL,ZNF705G_AMP,HLA-H_DEL,FAM21A_DEL,PTCH1_AMP,SIRPB1_AMP,HLA-DRB6_AMP,HLA-DRB1_AMP,LOC100506776_DEL,ADAM3A_DEL,PCCB_DEL,ADAM5_DEL,RBFOX1_DEL,FMN2_AMP,HLA-DRB5_AMP,EP300_MUT,LPA_AMP,USP32P1_AMP,MIR548AI_DEL,CES1P1_DEL,KIAA1217_DEL,OR2T27_DEL,OCM2_AMP,OR51A2_DEL,CCDC144A_AMP,FAM106CP_AMP,FBXL7_DEL,MST1P9_AMP,TPTE_DEL,TAG_DEL
913,0.0,1.0,12.0,15.0,4.0,34.0,3.0,6.0,14.0,8.0,13.0,9.0,5.0,2.0,11.0,234.0,16.0,25.0,60.0,7.0,43.0,23.0,24.0,67.0,32.0,33.0,30.0,20.0,78.0,76.0
962,2.0,4.0,1.0,11.0,0.0,210.0,13.0,10.0,30.0,6.0,12.0,5.0,3.0,8.0,9.0,24.0,31.0,15.0,7.0,53.0,108.0,33.0,18.0,107.0,28.0,29.0,52.0,32.0,19.0,14.0
1011,0.0,10.0,33.0,14.0,22.0,1.0,8.0,9.0,7.0,5.0,23.0,4.0,20.0,2.0,40.0,62.0,47.0,24.0,428.0,28.0,3.0,138.0,36.0,6.0,35.0,34.0,32.0,17.0,26.0,263.0
1060,1.0,6.0,2.0,5.0,35.0,0.0,17.0,13.0,15.0,21.0,14.0,29.0,16.0,12.0,69.0,96.0,7.0,9.0,4.0,43.0,3.0,59.0,32.0,57.0,10.0,8.0,11.0,22.0,18.0,23.0
1109,0.0,4.0,15.0,6.0,39.0,3.0,45.0,25.0,12.0,10.0,8.0,7.0,1.0,2.0,12310.0,14.0,9.0,50.0,63.0,44.0,5.0,356.0,18.0,17.0,95.0,94.0,23.0,49.0,52.0,56.0
1158,0.0,3.0,2.0,7.0,117.0,4.0,13.0,12.0,1.0,17.0,9.0,15.0,5.0,23.0,35.0,32.0,6.0,70.0,105.0,53.0,29.0,27.0,20.0,8.0,137.0,138.0,18.0,25.0,54.0,89.0
1207,0.0,20.0,5.0,3.0,25.0,1.0,34.0,27.0,7.0,21.0,6.0,22.0,9.0,35.0,99.0,77.0,31.0,50.0,18.0,51.0,24.0,46.0,26.0,2.0,79.0,78.0,10.0,768.0,12.0,80.0
1256,1.0,10.0,3.0,14.0,16.0,7.0,11.0,9.0,4.0,6.0,15.0,8.0,0.0,22.0,25.0,74.0,2.0,33.0,89.0,67.0,12.0,73.0,30.0,5.0,49.0,48.0,27.0,24.0,18.0,13.0
1305,0.0,9.0,1.0,15.0,6.0,3.0,22.0,21.0,33.0,10.0,24.0,11.0,8.0,18.0,420.0,28.0,4.0,45.0,49.0,1131.0,25.0,42.0,17.0,2.0,90.0,89.0,13.0,23.0,29.0,39.0
1354,0.0,2.0,4.0,1.0,16.0,3.0,19.0,17.0,9.0,168.0,13.0,150.0,10.0,11.0,85.0,65.0,12.0,25.0,26.0,92.0,5.0,95.0,14.0,8.0,34.0,33.0,38.0,54.0,15.0,68.0
1403,0.0,1.0,85.0,3.0,23.0,18.0,13.0,7.0,17.0,8.0,49.0,6.0,2.0,11.0,79.0,5.0,4.0,56.0,55.0,42.0,22.0,149.0,24.0,10.0,91.0,92.0,25.0,52.0,29.0,33.0
1452,0.0,8.0,19.0,3.0,12.0,2.0,7.0,4.0,14.0,5.0,10.0,6.0,1.0,56.0,13.0,18.0,9.0,384.0,37.0,113.0,15.0,82.0,53.0,164.0,1253.0,1252.0,130.0,22.0,17.0,162.0
1501,0.0,10.0,2.0,9.0,1.0,160.0,3.0,6.0,5.0,171.0,13.0,133.0,8.0,778.0,4.0,11.0,83.0,244.0,7.0,120.0,29.0,14.0,24.0,257.0,689.0,688.0,135.0,460.0,15.0,12.0
1550,0.0,6.0,10.0,1.0,12.0,15.0,7.0,5.0,8.0,3.0,14.0,4.0,13.0,114.0,11.0,20.0,37.0,24.0,29.0,47.0,2.0,27.0,31.0,71.0,43.0,42.0,36.0,32.0,18.0,33.0
1599,9.0,7.0,5.0,0.0,1.0,11.0,2.0,4.0,8.0,55.0,6.0,51.0,25.0,873.0,3.0,26.0,39.0,380.0,76.0,48.0,15.0,30.0,29.0,65.0,381.0,382.0,95.0,12.0,27.0,312.0
1648,1.0,11.0,6.0,0.0,3.0,36.0,2.0,5.0,10.0,17.0,16.0,18.0,9.0,81.0,4.0,13.0,57.0,64.0,273.0,7.0,25.0,14.0,23.0,121.0,123.0,122.0,95.0,35.0,21.0,8.0
1697,12.0,6.0,0.0,3.0,1.0,11.0,2.0,7.0,25.0,13.0,30.0,10.0,23.0,32.0,4.0,9.0,258.0,236.0,21.0,48.0,38.0,29.0,33.0,20.0,698.0,699.0,16.0,36.0,1429.0,14.0
1746,12.0,55.0,13.0,0.0,1.0,9.0,2.0,8.0,42.0,5.0,18.0,4.0,38.0,20.0,6.0,34.0,14152.0,46.0,31.0,43.0,3.0,15.0,24.0,68.0,92.0,93.0,21.0,28.0,10.0,16.0
1795,16.0,10.0,3.0,4.0,1.0,14.0,0.0,2.0,7.0,39.0,27.0,31.0,56.0,187.0,5.0,12.0,36.0,283.0,24.0,20.0,73.0,26.0,23.0,6.0,558.0,557.0,84.0,347.0,11.0,8.0
1844,1.0,5.0,15.0,2.0,0.0,64.0,3.0,7.0,6.0,14.0,17.0,12.0,9.0,42.0,10.0,11.0,250.0,82.0,31.0,34.0,22.0,122.0,20.0,19.0,190.0,191.0,27.0,44.0,28.0,4.0
1893,1.0,68.0,20.0,0.0,16.0,39.0,6.0,7.0,5.0,53.0,8.0,56.0,60.0,2.0,4.0,15.0,492.0,384.0,29.0,44.0,3.0,159.0,35.0,30.0,947.0,948.0,17.0,9.0,14.0,74.0
1942,13.0,4.0,19.0,0.0,5.0,200.0,1.0,2.0,24.0,11.0,15.0,9.0,94.0,14.0,3.0,7.0,20.0,212.0,10.0,16.0,12.0,125.0,32.0,18.0,527.0,526.0,105.0,25.0,17.0,22.0
1991,0.0,2.0,7.0,16.0,1.0,28.0,8.0,6.0,21.0,13.0,30.0,12.0,25.0,3.0,20.0,17.0,10.0,9.0,35.0,156.0,24.0,29.0,15.0,11.0,19.0,18.0,4.0,61.0,139.0,26.0
2040,0.0,1.0,9.0,29.0,5.0,3.0,4.0,2.0,20.0,13.0,136.0,15.0,22.0,12.0,17.0,23.0,8.0,11.0,1121.0,72.0,28.0,16.0,38.0,32.0,18.0,19.0,82.0,42.0,74.0,10.0
2089,5.0,2.0,1.0,12.0,3.0,0.0,13.0,8.0,14.0,37.0,52.0,35.0,29.0,21.0,28.0,11.0,157.0,4.0,43.0,85.0,34.0,15.0,22.0,10.0,6.0,7.0,20.0,19.0,168.0,25.0
2138,2.0,6.0,3.0,29.0,4.0,7.0,24.0,18.0,23.0,1.0,60.0,0.0,25.0,72.0,59.0,10.0,8.0,13.0,141.0,22.0,5.0,11.0,20.0,16.0,15.0,14.0,26.0,27.0,101.0,17.0
2187,1.0,2.0,0.0,16.0,21.0,9.0,23.0,12.0,3.0,29.0,42.0,27.0,35.0,45.0,6.0,17.0,100.0,5.0,93.0,38.0,14.0,13.0,11.0,68.0,20.0,19.0,18.0,34.0,7835.0,30.0
2236,0.0,12.0,8.0,7.0,2.0,29.0,15.0,17.0,58.0,6.0,36.0,5.0,68.0,28.0,23.0,78.0,19.0,1.0,339.0,634.0,13.0,21.0,32.0,25.0,3.0,4.0,11.0,20.0,182.0,9.0
2285,5.0,8.0,21.0,0.0,9.0,37.0,4.0,1.0,15.0,35.0,38.0,28.0,25.0,93.0,2.0,31.0,33.0,7.0,428.0,136.0,3.0,17.0,26.0,29.0,11.0,10.0,13.0,19.0,147.0,40.0
2334,0.0,1.0,14.0,5.0,11.0,13.0,3.0,2.0,29.0,7.0,60.0,6.0,35.0,59.0,16.0,20.0,18.0,4.0,64.0,32.0,8.0,15.0,19.0,49.0,9.0,10.0,21.0,28.0,47.0,12.0
2383,4.0,9.0,35.0,2.0,12.0,0.0,7.0,3.0,22.0,6.0,93.0,5.0,25.0,65.0,8.0,18.0,13.0,11.0,1760.0,36.0,1.0,21.0,19.0,48.0,14.0,15.0,24.0,61.0,33.0,10.0
2432,1.0,4.0,0.0,5.0,7.0,70.0,13.0,18.0,19.0,32.0,37.0,39.0,67.0,22.0,38.0,49.0,21.0,11.0,24.0,131.0,3.0,9.0,15.0,6.0,16.0,17.0,28.0,95.0,58.0,2.0
2481,8.0,6.0,40.0,1.0,0.0,62.0,17.0,18.0,5.0,10.0,103.0,14.0,7.0,4.0,19.0,25.0,34.0,21.0,13.0,66.0,9.0,26.0,24.0,12.0,28.0,29.0,11.0,69.0,2.0,60.0
2530,8.0,6.0,12.0,13.0,7.0,35.0,1.0,2.0,34.0,15.0,27.0,16.0,17.0,9.0,3.0,38.0,11.0,0.0,49.0,24.0,10.0,36.0,31.0,29.0,5.0,4.0,95.0,140.0,18.0,106.0
2579,3.0,9.0,10.0,4.0,7.0,12.0,1.0,2.0,6.0,16.0,13.0,17.0,19.0,20.0,0.0,11.0,8.0,82.0,14.0,18.0,5.0,21.0,29.0,62.0,160.0,159.0,70.0,238.0,37.0,343.0
2628,6.0,1.0,7.0,0.0,3.0,13.0,12.0,11.0,4.0,24.0,8.0,29.0,10.0,18.0,2.0,9.0,54.0,20.0,16.0,45.0,26.0,28.0,49.0,25.0,33.0,32.0,47.0,76.0,84.0,10270.0
2677,1.0,5.0,12.0,2.0,6.0,20.0,0.0,4.0,9.0,14.0,18.0,13.0,11.0,3.0,7.0,8.0,16.0,23.0,10.0,36.0,31.0,41.0,32.0,28.0,33.0,34.0,43.0,264.0,15.0,40.0
2726,4.0,5.0,24.0,0.0,1.0,16.0,3.0,2.0,12.0,25.0,11.0,28.0,17.0,14.0,6.0,8.0,15.0,9.0,13.0,51.0,33.0,22.0,41.0,7.0,20.0,19.0,21.0,182.0,10.0,262.0
2775,0.0,5.0,16.0,3.0,1.0,11.0,8.0,10.0,4.0,19.0,24.0,17.0,13.0,2.0,7.0,6.0,34.0,26.0,9.0,91.0,52.0,25.0,29.0,12.0,32.0,31.0,101.0,517.0,14.0,242.0
2824,0.0,2.0,8.0,1.0,5.0,50.0,41.0,29.0,4.0,17.0,23.0,18.0,16.0,28.0,24.0,9.0,6.0,33.0,10.0,21.0,11.0,3.0,37.0,7.0,32.0,34.0,79.0,26.0,15.0,59.0
2873,1.0,4.0,18.0,5.0,0.0,33.0,13.0,19.0,3.0,9.0,44.0,11.0,2.0,47.0,17.0,10.0,31.0,20.0,7.0,16.0,8.0,37.0,25.0,77.0,28.0,29.0,32.0,835.0,15.0,30.0
2922,0.0,14.0,5.0,18.0,6.0,50.0,8.0,7.0,3.0,1.0,19.0,2.0,11.0,13.0,20.0,9.0,4.0,31.0,24.0,17.0,15.0,28.0,21.0,30.0,47.0,48.0,38.0,57.0,43.0,448.0
2971,10.0,2.0,1.0,11.0,6.0,8.0,3.0,13.0,15.0,14.0,200.0,9.0,5.0,18.0,30.0,12.0,44.0,25.0,56.0,0.0,43.0,26.0,19.0,49.0,38.0,39.0,27.0,21.0,69.0,7.0
3020,17.0,1.0,0.0,5.0,2.0,6.0,19.0,20.0,11.0,99.0,36.0,70.0,3.0,27.0,23.0,4.0,32.0,15.0,7.0,12.0,1285.0,43.0,21.0,31.0,25.0,24.0,86.0,22.0,35.0,10.0
3069,20.0,0.0,3.0,32.0,8.0,9.0,11.0,10.0,5.0,22.0,171.0,21.0,1.0,6.0,39.0,4.0,43.0,7.0,91.0,26.0,23.0,40.0,19.0,404.0,14.0,15.0,24.0,12.0,1214.0,2.0
3118,13.0,1.0,2.0,3.0,4.0,0.0,10.0,11.0,9.0,8.0,49.0,6.0,5.0,28.0,16.0,7.0,51.0,26.0,40.0,17.0,69.0,55.0,52.0,101.0,39.0,38.0,289.0,23.0,45.0,12.0
3167,11.0,9.0,0.0,6.0,20.0,3.0,2.0,1.0,17.0,15.0,52.0,13.0,5.0,14.0,8.0,12.0,23.0,22.0,16.0,10.0,25.0,19.0,29.0,144.0,28.0,27.0,320.0,21.0,39.0,7.0
3216,33.0,6.0,0.0,7.0,3.0,1.0,28.0,40.0,5.0,23.0,81.0,21.0,19.0,12.0,59.0,4.0,60.0,11.0,15.0,2.0,80.0,13.0,26.0,108.0,9.0,10.0,25.0,14.0,83.0,8.0
3265,21.0,0.0,3.0,4.0,12.0,2.0,32.0,33.0,7.0,37.0,59.0,34.0,10.0,42.0,205.0,1.0,6.0,41.0,11.0,14.0,28.0,770.0,18.0,16.0,66.0,65.0,120.0,17.0,71.0,8.0
3314,14.0,4.0,0.0,7.0,5.0,49.0,2.0,1.0,9.0,175.0,54.0,152.0,18.0,13.0,3.0,10.0,92.0,17.0,38.0,25.0,6.0,36.0,30.0,129.0,21.0,22.0,12.0,45.0,99.0,8.0
3363,14.0,2.0,0.0,1.0,3.0,7.0,5.0,6.0,9.0,19.0,47.0,23.0,11.0,13.0,55.0,4.0,10.0,16.0,8.0,12.0,25.0,76.0,26.0,122.0,28.0,27.0,176.0,20.0,38.0,54.0
3412,43.0,0.0,1.0,18.0,21.0,30.0,10.0,6.0,14.0,7.0,106.0,5.0,16.0,51.0,12.0,8.0,189.0,2.0,17.0,9.0,99.0,26.0,22.0,1620.0,3.0,4.0,34.0,11.0,62.0,13.0
3461,1.0,5.0,0.0,39.0,3.0,10.0,6.0,12.0,309.0,83.0,8.0,63.0,14.0,25.0,7.0,23.0,4.0,9.0,2.0,18.0,100.0,13.0,30.0,54.0,16.0,17.0,116.0,68.0,15.0,36.0
3510,0.0,4.0,1.0,3.0,13.0,6.0,22.0,21.0,35.0,24.0,15.0,20.0,9.0,36.0,71.0,14.0,7.0,10.0,2.0,5.0,11.0,12.0,33.0,64.0,16.0,17.0,364.0,38.0,32.0,23.0
3559,2.0,4.0,0.0,14.0,9.0,1.0,22.0,67.0,15.0,36.0,3.0,29.0,27.0,6.0,11.0,62.0,42.0,5.0,65.0,7.0,28.0,16.0,31.0,24.0,13.0,12.0,79.0,90.0,10.0,151.0
3608,6.0,5.0,0.0,3.0,2.0,1.0,31.0,66.0,37.0,41.0,17.0,33.0,20.0,10.0,215.0,26.0,4.0,16.0,9.0,23.0,11.0,30.0,62.0,8.0,14.0,15.0,758.0,35.0,7.0,38.0
3657,1.0,6.0,0.0,5.0,12.0,2.0,45.0,108.0,24.0,30.0,9.0,22.0,8.0,7.0,743.0,159.0,3.0,18.0,10.0,4.0,40.0,38.0,19.0,11.0,37.0,36.0,166.0,48.0,31.0,21.0
3706,1.0,3.0,5.0,11.0,15.0,4.0,12.0,17.0,150.0,20.0,6.0,16.0,7.0,14.0,22.0,21.0,9.0,43.0,0.0,2.0,230.0,59.0,33.0,44.0,68.0,69.0,6346.0,13.0,10.0,291.0
3755,3.0,0.0,5.0,11.0,8.0,1.0,12.0,17.0,31.0,10.0,27.0,9.0,15.0,83.0,23.0,14.0,16.0,13.0,6.0,2.0,18.0,25.0,24.0,44.0,19.0,20.0,179.0,188.0,7.0,64.0
3804,2.0,6.0,0.0,13.0,17.0,1.0,5.0,10.0,76.0,23.0,20.0,18.0,16.0,21.0,7.0,32.0,11.0,19.0,3.0,8.0,37.0,15.0,47.0,12.0,25.0,24.0,205.0,329.0,14.0,36.0
3853,0.0,7.0,8.0,15.0,4.0,5.0,11.0,29.0,49.0,20.0,6.0,16.0,17.0,1.0,22.0,19.0,9.0,24.0,3.0,2.0,13.0,47.0,40.0,34.0,46.0,45.0,286.0,43.0,42.0,57.0
3902,0.0,4.0,1.0,13.0,5.0,2.0,22.0,26.0,47.0,19.0,11.0,20.0,8.0,30.0,28.0,43.0,3.0,9.0,6.0,21.0,38.0,27.0,46.0,53.0,16.0,17.0,68.0,15.0,39.0,14.0
3951,11.0,1.0,0.0,6.0,9.0,43.0,13.0,17.0,3.0,4.0,18.0,5.0,32.0,19.0,20.0,74.0,51.0,26.0,60.0,21.0,116.0,2.0,27.0,42.0,38.0,39.0,16.0,14.0,7.0,8.0
4000,7.0,6.0,1.0,17.0,4.0,59.0,0.0,2.0,10.0,18.0,43.0,22.0,19.0,30.0,3.0,111.0,11.0,16.0,42.0,36.0,39.0,5.0,29.0,28.0,24.0,23.0,15.0,13.0,26.0,31.0
4049,2.0,9.0,8.0,5.0,6.0,25.0,19.0,32.0,29.0,0.0,17.0,1.0,23.0,39.0,11.0,10.0,49.0,21.0,56.0,4.0,18.0,3.0,12.0,55.0,42.0,41.0,7.0,16.0,13.0,34.0
4098,0.0,16.0,34.0,10.0,13.0,26.0,4.0,17.0,2.0,8.0,18.0,11.0,9.0,24.0,7.0,5.0,12.0,111.0,69.0,29.0,30.0,1.0,28.0,36.0,215.0,214.0,19.0,3.0,6.0,22.0
4147,8.0,1.0,56.0,4.0,11.0,0.0,17.0,13.0,5.0,2.0,20.0,3.0,9.0,27.0,12.0,7.0,127.0,16.0,545.0,15.0,14.0,6.0,23.0,21.0,33.0,32.0,30.0,22.0,18.0,34.0
4196,0.0,18.0,51.0,1.0,66.0,13.0,30.0,45.0,34.0,2.0,7.0,4.0,6.0,37.0,5.0,27.0,40.0,10.0,129.0,19.0,12.0,3.0,36.0,32.0,14.0,15.0,31.0,11.0,16.0,185.0
4245,5.0,4.0,8.0,6.0,21.0,3.0,24.0,16.0,11.0,1.0,7.0,2.0,44.0,9.0,23.0,41.0,109.0,22.0,12.0,13.0,96.0,0.0,31.0,93.0,36.0,35.0,17.0,14.0,60.0,27.0
4294,1.0,19.0,0.0,4.0,26.0,5.0,14.0,20.0,17.0,29.0,8.0,38.0,41.0,16.0,22.0,13.0,2.0,106.0,28.0,24.0,119.0,6.0,42.0,76.0,244.0,243.0,43.0,31.0,15.0,7.0
4343,0.0,8.0,1.0,3.0,31.0,11.0,4.0,7.0,19.0,10.0,12.0,13.0,5.0,6.0,2.0,39.0,9.0,18.0,66.0,38.0,24.0,14.0,51.0,28.0,23.0,22.0,20.0,40.0,16.0,15.0
4392,0.0,8.0,6.0,3.0,7.0,36.0,39.0,94.0,5.0,1.0,10.0,2.0,24.0,9.0,31.0,19.0,13.0,18.0,296.0,20.0,11.0,4.0,28.0,74.0,17.0,16.0,46.0,83.0,30.0,12.0
4441,8.0,5.0,10.0,2.0,11.0,0.0,9.0,16.0,13.0,12.0,24.0,15.0,7.0,1.0,88.0,17.0,38.0,14.0,106.0,23.0,6.0,161.0,43.0,22.0,20.0,19.0,18.0,41.0,1254.0,191.0
4490,4.0,6.0,0.0,14.0,2.0,8.0,20.0,21.0,63.0,9.0,7.0,13.0,77.0,16.0,19.0,34.0,51.0,3.0,17.0,132.0,15.0,69.0,54.0,18.0,10.0,11.0,23.0,45.0,253.0,213.0
4539,4.0,2.0,1.0,24.0,9.0,42.0,12.0,23.0,6.0,7.0,18.0,8.0,17.0,0.0,160.0,16.0,129.0,28.0,5.0,279.0,35.0,40.0,80.0,19.0,29.0,30.0,34.0,68.0,1846.0,1099.0
4588,11.0,8.0,7.0,10.0,6.0,9.0,1.0,4.0,29.0,3.0,5.0,2.0,15.0,19.0,33.0,24.0,46.0,26.0,0.0,21.0,20.0,59.0,58.0,13.0,49.0,48.0,31.0,43.0,7971.0,547.0
4637,0.0,2.0,8.0,1.0,18.0,5.0,46.0,24.0,3.0,12.0,11.0,17.0,4.0,6.0,320.0,27.0,32.0,38.0,10.0,43.0,34.0,82.0,30.0,33.0,62.0,63.0,7.0,74.0,1222.0,503.0
4686,9.0,4.0,14.0,17.0,5.0,0.0,11.0,19.0,39.0,1.0,12.0,2.0,7.0,3.0,35.0,18.0,10.0,21.0,30.0,15.0,41.0,25.0,28.0,20.0,36.0,37.0,40.0,27.0,193.0,303.0
4735,3.0,12.0,0.0,2.0,6.0,8.0,14.0,13.0,57.0,9.0,50.0,10.0,20.0,11.0,129.0,32.0,37.0,24.0,16.0,137.0,59.0,25.0,30.0,1.0,39.0,40.0,27.0,265.0,532.0,38.0
4784,5.0,0.0,2.0,4.0,7.0,1.0,10.0,12.0,17.0,36.0,11.0,44.0,24.0,3.0,108.0,9.0,20.0,16.0,15.0,29.0,26.0,158.0,34.0,8.0,22.0,21.0,19.0,16883.0,563.0,961.0
4833,0.0,19.0,2.0,6.0,5.0,1.0,9.0,11.0,31.0,3.0,15.0,4.0,97.0,12.0,38.0,43.0,29.0,14.0,24.0,50.0,36.0,277.0,33.0,7.0,17.0,16.0,13.0,166.0,370.0,610.0
4882,1.0,23.0,2.0,4.0,7.0,6.0,103.0,112.0,9.0,10.0,5.0,12.0,17.0,0.0,1418.0,19.0,260.0,21.0,3.0,43.0,37.0,472.0,40.0,8.0,31.0,32.0,15.0,27.0,978.0,66.0
