,MRGPRX1_DEL,ZNF705G_AMP,HLA-H_DEL,FAM21A_DEL,PTCH1_AMP,SIRPB1_AMP,HLA-DRB6_AMP,HLA-DRB1_AMP,LOC100506776_DEL,ADAM3A_DEL,PCCB_DEL,ADAM5_DEL,RBFOX1_DEL,FMN2_AMP,HLA-DRB5_AMP,EP300_MUT,LPA_AMP,USP32P1_AMP,MIR548AI_DEL,CES1P1_DEL,KIAA1217_DEL,OR2T27_DEL,OCM2_AMP,OR51A2_DEL,CCDC144A_AMP,FAM106CP_AMP,FBXL7_DEL,MST1P9_AMP,TPTE_DEL,TAG_DEL
31,0.0,16.0,23.0,2.0,1.0,253.0,3.0,6.0,34.0,172.0,11.0,130.0,8.0,78.0,17.0,38.0,10.0,25.0,12.0,40.0,19.0,114.0,21.0,18.0,30.0,31.0,29.0,15.0,50.0,44.0
80,1.0,40.0,35.0,8.0,6.0,4.0,3.0,5.0,48.0,78.0,7.0,77.0,20.0,36.0,2.0,18.0,110.0,10.0,11.0,0.0,88.0,22.0,39.0,122.0,14.0,15.0,9.0,28.0,127.0,12.0
129,0.0,9.0,1.0,12.0,4.0,6.0,11.0,20.0,2.0,98.0,8.0,101.0,31.0,23.0,21.0,17.0,27.0,44.0,13.0,3.0,19.0,22.0,24.0,5.0,72.0,73.0,14.0,112.0,183.0,46.0
178,0.0,6.0,17.0,16.0,3.0,9.0,52.0,66.0,1.0,43.0,4.0,40.0,11.0,7.0,41.0,42.0,78.0,10.0,2.0,28.0,92.0,8.0,30.0,5.0,18.0,19.0,29.0,48.0,20.0,284.0
227,0.0,8.0,124.0,16.0,4.0,56.0,2.0,3.0,10.0,20.0,12.0,19.0,15.0,1.0,72.0,5.0,21.0,14.0,30.0,9.0,23.0,79.0,18.0,51.0,27.0,26.0,6.0,25.0,122.0,43.0
276,0.0,9.0,24.0,6.0,2.0,7.0,10.0,11.0,16.0,59.0,5.0,51.0,12.0,23.0,40.0,3.0,44.0,20.0,31.0,38.0,13.0,8.0,19.0,18.0,30.0,29.0,1.0,115.0,33.0,172.0
325,0.0,25.0,112.0,9.0,2.0,198.0,7.0,20.0,63.0,14.0,5.0,15.0,1.0,6.0,17.0,35.0,10.0,23.0,122.0,4.0,46.0,3.0,18.0,8.0,38.0,39.0,53.0,30.0,52.0,141.0
374,1.0,22.0,13.0,4.0,0.0,42.0,5.0,9.0,39.0,38.0,2.0,33.0,21.0,80.0,14.0,16.0,3.0,6.0,28.0,11.0,10.0,12.0,46.0,30.0,8.0,7.0,18.0,77.0,56.0,137.0
423,0.0,15.0,19.0,2.0,12.0,28.0,13.0,8.0,47.0,36.0,14.0,34.0,18.0,10.0,6.0,11.0,33.0,22.0,1.0,4.0,31.0,9.0,20.0,83.0,27.0,26.0,16.0,17.0,250.0,86.0
472,0.0,1.0,25.0,8.0,6.0,84.0,5.0,3.0,12.0,52.0,11.0,53.0,13.0,28.0,2.0,4.0,10.0,24.0,7.0,18.0,102.0,21.0,29.0,138.0,38.0,37.0,43.0,46.0,36.0,75.0
521,3.0,5.0,0.0,8.0,2.0,9.0,15.0,11.0,7.0,6.0,12.0,4.0,14.0,10.0,18.0,32.0,19.0,21.0,1.0,23.0,34.0,39.0,48.0,165.0,20.0,22.0,43.0,13.0,64.0,194.0
570,1.0,2.0,0.0,6.0,4.0,30.0,10.0,7.0,9.0,20.0,14.0,19.0,13.0,28.0,26.0,64.0,15.0,16.0,3.0,8.0,33.0,25.0,32.0,149.0,24.0,23.0,352.0,5.0,11.0,48.0
619,10.0,2.0,3.0,11.0,1.0,0.0,9.0,7.0,5.0,8.0,14.0,6.0,43.0,4.0,15.0,39.0,13.0,29.0,21.0,45.0,36.0,40.0,24.0,94.0,38.0,37.0,82.0,18.0,12.0,16.0
668,8.0,5.0,1.0,6.0,2.0,23.0,4.0,3.0,15.0,17.0,13.0,16.0,9.0,7.0,0.0,25.0,20.0,80.0,19.0,30.0,14.0,35.0,136.0,65.0,153.0,154.0,104.0,10.0,38.0,26.0
717,1.0,0.0,4.0,12.0,2.0,23.0,7.0,5.0,11.0,14.0,16.0,13.0,37.0,24.0,8.0,25.0,6.0,101.0,10.0,3.0,22.0,30.0,26.0,143.0,166.0,167.0,1480.0,21.0,15.0,20.0
766,2.0,4.0,0.0,50.0,5.0,1.0,8.0,3.0,12.0,20.0,11.0,21.0,18.0,6.0,15.0,44.0,7.0,28.0,9.0,13.0,738.0,34.0,27.0,16.0,39.0,38.0,1279.0,43.0,46.0,23.0
815,1.0,5.0,10.0,28.0,4.0,40.0,2.0,0.0,20.0,13.0,7.0,17.0,16.0,9.0,6.0,39.0,3.0,11.0,12.0,8.0,65.0,18.0,32.0,33.0,15.0,14.0,1170.0,75.0,21.0,19.0
864,7.0,15.0,4.0,5.0,9.0,10.0,2.0,3.0,13.0,1.0,11.0,0.0,18.0,14.0,6.0,31.0,30.0,19.0,26.0,8.0,27.0,20.0,24.0,10328.0,23.0,22.0,45.0,16.0,34.0,17.0
