,hsa-miR-199b-5p,hsa-miR-22,hsa-miR-142-5p,hsa-miR-1910,hsa-miR-378,hsa-miR-31,hsa-let-7c,hsa-miR-99a,hsa-miR-193b,hsa-miR-200a,hsa-miR-1302,hsa-miR-548a-3p,hsa-miR-96,hsa-miR-499-3p,hsa-miR-600,hsa-miR-219-2-3p,hsa-miR-541,hsa-miR-210,ebv-miR-BART19-5p,hsa-miR-219-5p,hsa-miR-149,hsa-miR-567,hsa-miR-589,hsa-miR-1256,hsa-miR-28-5p,hsa-miR-140-3p,hcmv-miR-US5-1,hsa-miR-873,hcmv-miR-UL148D,hsa-miR-937
19,40.0,8.0,147.0,34.0,601.0,598.0,463.0,69.0,68.0,119.0,25.0,232.0,45.0,51.0,17.0,593.0,141.0,87.0,137.0,19.0,0.0,249.0,208.0,140.0,152.0,13.0,83.0,37.0,334.0,91.0
68,28.0,20.0,154.0,41.0,2.0,570.0,64.0,31.0,24.0,83.0,473.0,124.0,26.0,89.0,43.0,97.0,5.0,50.0,49.0,104.0,17.0,12.0,105.0,148.0,134.0,396.0,101.0,112.0,66.0,99.0
117,20.0,10.0,576.0,22.0,18.0,502.0,6.0,151.0,14.0,158.0,91.0,56.0,86.0,85.0,13.0,127.0,21.0,473.0,141.0,177.0,36.0,553.0,103.0,43.0,468.0,159.0,95.0,39.0,59.0,406.0
166,35.0,66.0,459.0,22.0,57.0,149.0,32.0,167.0,80.0,97.0,46.0,550.0,37.0,69.0,41.0,95.0,554.0,404.0,88.0,87.0,7.0,215.0,107.0,40.0,437.0,102.0,134.0,70.0,170.0,358.0
215,14.0,37.0,471.0,16.0,5.0,427.0,18.0,34.0,66.0,486.0,432.0,54.0,57.0,79.0,94.0,84.0,554.0,445.0,99.0,64.0,56.0,92.0,46.0,83.0,107.0,90.0,28.0,25.0,270.0,362.0
264,25.0,21.0,116.0,426.0,0.0,598.0,23.0,81.0,87.0,74.0,53.0,597.0,52.0,56.0,146.0,72.0,59.0,115.0,118.0,164.0,6.0,60.0,93.0,468.0,580.0,111.0,152.0,43.0,279.0,79.0
313,18.0,155.0,0.0,66.0,38.0,405.0,19.0,12.0,20.0,94.0,394.0,24.0,374.0,117.0,245.0,87.0,133.0,61.0,110.0,31.0,22.0,50.0,226.0,241.0,96.0,74.0,56.0,40.0,10.0,129.0
362,45.0,23.0,491.0,401.0,4.0,585.0,161.0,66.0,7.0,384.0,87.0,67.0,77.0,11.0,15.0,63.0,76.0,82.0,132.0,99.0,17.0,222.0,235.0,147.0,167.0,32.0,163.0,37.0,280.0,313.0
411,71.0,1.0,157.0,118.0,628.0,9.0,176.0,322.0,41.0,40.0,180.0,551.0,323.0,17.0,32.0,388.0,555.0,90.0,121.0,22.0,474.0,219.0,64.0,167.0,162.0,100.0,125.0,27.0,277.0,29.0
460,30.0,5.0,553.0,452.0,577.0,436.0,101.0,105.0,28.0,58.0,53.0,554.0,42.0,78.0,16.0,411.0,159.0,99.0,118.0,47.0,8.0,34.0,116.0,57.0,104.0,470.0,126.0,0.0,274.0,92.0
