,FRA1,HER3,CD49b,MEK1_pS217_S221,Bax,E-Cadherin,CDK1,Gab2,Transglutaminase,YB-1_pS102,Annexin 1,Src_pY527,Shc_pY317,Src_pY416,XBP1,PDCD4,Notch1,p21,VAV1,Cyclin_E1,PKC-pan_BetaII_pS660,TIGAR,14-3-3_zeta,STAT5-alpha,Src,alpha-Catenin,Raptor,Syk,ACVRL1,HSP70
3,0.0,11.0,16.0,3.0,1.0,8.0,5.0,12.0,7.0,4.0,83.0,9.0,71.0,2.0,10.0,19.0,14.0,13.0,23.0,6.0,24.0,18.0,27.0,26.0,15.0,20.0,35.0,21.0,28.0,30.0
52,0.0,3.0,15.0,7.0,1.0,5.0,9.0,2.0,10.0,4.0,14.0,16.0,31.0,13.0,8.0,22.0,17.0,11.0,72.0,18.0,28.0,21.0,19.0,54.0,6.0,20.0,24.0,29.0,30.0,25.0
101,0.0,1.0,12.0,14.0,2.0,4.0,5.0,3.0,10.0,11.0,18.0,7.0,26.0,13.0,22.0,9.0,6.0,8.0,17.0,21.0,30.0,28.0,25.0,29.0,16.0,19.0,24.0,15.0,31.0,56.0
150,0.0,3.0,11.0,5.0,1.0,19.0,15.0,17.0,14.0,2.0,18.0,23.0,27.0,4.0,25.0,16.0,12.0,7.0,28.0,9.0,26.0,20.0,10.0,30.0,6.0,8.0,38.0,21.0,32.0,69.0
199,0.0,1.0,14.0,6.0,2.0,9.0,24.0,31.0,12.0,11.0,28.0,3.0,22.0,5.0,20.0,10.0,19.0,4.0,42.0,17.0,18.0,73.0,15.0,8.0,13.0,26.0,16.0,7.0,33.0,29.0
248,0.0,1.0,15.0,6.0,3.0,17.0,5.0,2.0,4.0,7.0,26.0,9.0,23.0,11.0,18.0,13.0,10.0,14.0,8.0,19.0,20.0,21.0,28.0,32.0,12.0,24.0,16.0,27.0,108.0,77.0
297,0.0,5.0,2.0,9.0,1.0,8.0,10.0,15.0,14.0,3.0,4.0,18.0,60.0,13.0,29.0,22.0,6.0,11.0,16.0,12.0,20.0,30.0,23.0,25.0,7.0,24.0,28.0,17.0,108.0,91.0
346,0.0,2.0,5.0,10.0,3.0,8.0,9.0,13.0,6.0,11.0,35.0,12.0,23.0,7.0,25.0,19.0,14.0,4.0,21.0,1.0,15.0,28.0,27.0,22.0,32.0,20.0,18.0,16.0,37.0,80.0
395,1.0,0.0,7.0,4.0,2.0,12.0,10.0,14.0,13.0,3.0,29.0,6.0,68.0,21.0,9.0,22.0,5.0,8.0,15.0,11.0,28.0,17.0,32.0,23.0,20.0,19.0,25.0,18.0,31.0,34.0
444,1.0,3.0,0.0,7.0,2.0,6.0,5.0,8.0,11.0,4.0,20.0,10.0,38.0,15.0,14.0,13.0,28.0,9.0,17.0,12.0,19.0,29.0,27.0,18.0,23.0,22.0,33.0,26.0,24.0,39.0
493,0.0,3.0,1.0,11.0,10.0,18.0,6.0,8.0,22.0,20.0,15.0,2.0,4.0,9.0,7.0,16.0,34.0,12.0,14.0,13.0,5.0,35.0,21.0,23.0,29.0,24.0,40.0,37.0,26.0,19.0
542,0.0,11.0,1.0,2.0,7.0,19.0,8.0,6.0,4.0,27.0,9.0,13.0,16.0,5.0,10.0,17.0,23.0,26.0,14.0,3.0,15.0,29.0,18.0,21.0,22.0,84.0,25.0,20.0,31.0,12.0
591,2.0,1.0,0.0,5.0,3.0,19.0,4.0,6.0,18.0,10.0,15.0,11.0,9.0,7.0,22.0,16.0,12.0,25.0,13.0,14.0,8.0,21.0,17.0,32.0,20.0,114.0,27.0,35.0,110.0,23.0
640,0.0,5.0,2.0,1.0,17.0,15.0,10.0,4.0,9.0,11.0,30.0,14.0,3.0,16.0,20.0,7.0,28.0,12.0,19.0,8.0,6.0,18.0,27.0,37.0,112.0,26.0,58.0,22.0,121.0,21.0
