,NERVOUS,BONE,HAEMATOPOIETIC,OESOPHAGUS,LARGE_INTESTINE,PANCREAS,LUNG,BREAST,SKIN,LIVER,ENDOMETRIUM,STOMACH,OVARY,URINARY,GANGLIA,AERODIGESTIVE,PROSTATE,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,PLEURA,BILIARY
47,2.0,1.0,3.0,0.0,8.0,7.0,6.0,4.0,9.0,5.0,12.0,10.0,13.0,11.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
96,1.0,16.0,2.0,0.0,4.0,3.0,10.0,5.0,9.0,8.0,6.0,7.0,11.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
145,1.0,0.0,2.0,13.0,4.0,3.0,9.0,5.0,8.0,7.0,11.0,6.0,10.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
194,0.0,1.0,5.0,2.0,4.0,3.0,9.0,10.0,11.0,6.0,8.0,20.0,12.0,7.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
243,0.0,15.0,2.0,1.0,8.0,3.0,7.0,4.0,6.0,11.0,5.0,20.0,10.0,9.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
292,1.0,0.0,5.0,11.0,3.0,2.0,7.0,8.0,10.0,4.0,9.0,20.0,6.0,19.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,21.0,22.0
341,3.0,2.0,6.0,1.0,5.0,4.0,10.0,9.0,11.0,7.0,8.0,0.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
390,3.0,1.0,2.0,0.0,5.0,4.0,12.0,9.0,8.0,10.0,7.0,11.0,13.0,6.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
439,1.0,0.0,3.0,2.0,5.0,4.0,7.0,10.0,8.0,11.0,6.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
488,3.0,2.0,4.0,0.0,7.0,5.0,9.0,11.0,6.0,1.0,8.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
537,2.0,1.0,5.0,13.0,4.0,3.0,6.0,10.0,12.0,11.0,9.0,20.0,8.0,7.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,0.0,22.0
586,0.0,21.0,1.0,13.0,2.0,3.0,11.0,4.0,9.0,7.0,10.0,5.0,12.0,8.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,6.0,22.0
635,1.0,0.0,3.0,13.0,4.0,2.0,10.0,8.0,5.0,12.0,9.0,7.0,6.0,11.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
684,1.0,0.0,2.0,15.0,13.0,3.0,11.0,10.0,12.0,8.0,6.0,5.0,4.0,9.0,14.0,16.0,17.0,21.0,18.0,19.0,20.0,7.0,22.0
733,0.0,1.0,2.0,13.0,4.0,3.0,8.0,12.0,7.0,10.0,11.0,6.0,5.0,9.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
782,0.0,21.0,1.0,13.0,8.0,2.0,10.0,4.0,12.0,5.0,11.0,7.0,3.0,9.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,6.0,22.0
831,3.0,2.0,4.0,13.0,1.0,5.0,10.0,11.0,9.0,12.0,21.0,0.0,8.0,7.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,6.0,22.0
880,1.0,0.0,2.0,13.0,7.0,3.0,8.0,12.0,4.0,10.0,11.0,6.0,9.0,20.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,5.0,22.0
929,3.0,2.0,4.0,13.0,1.0,5.0,9.0,7.0,12.0,11.0,10.0,0.0,8.0,20.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,6.0,22.0
978,1.0,0.0,3.0,11.0,2.0,4.0,5.0,7.0,6.0,8.0,9.0,20.0,10.0,19.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,21.0,22.0
1027,3.0,1.0,6.0,5.0,2.0,4.0,8.0,12.0,11.0,13.0,21.0,7.0,10.0,9.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,0.0,22.0
1076,0.0,1.0,2.0,3.0,5.0,4.0,6.0,8.0,12.0,11.0,9.0,20.0,10.0,19.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,7.0,22.0
1125,2.0,1.0,6.0,0.0,5.0,3.0,8.0,9.0,11.0,10.0,13.0,4.0,7.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1174,2.0,0.0,3.0,1.0,4.0,6.0,5.0,9.0,11.0,7.0,21.0,8.0,10.0,20.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,15.0,22.0
1223,0.0,15.0,2.0,1.0,3.0,4.0,7.0,10.0,11.0,5.0,8.0,6.0,9.0,20.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
1272,3.0,2.0,4.0,1.0,6.0,5.0,10.0,7.0,11.0,9.0,21.0,20.0,12.0,8.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,0.0,22.0
1321,0.0,4.0,5.0,14.0,8.0,6.0,11.0,9.0,10.0,13.0,2.0,20.0,12.0,3.0,1.0,15.0,16.0,21.0,17.0,18.0,19.0,7.0,22.0
1370,1.0,0.0,3.0,14.0,4.0,2.0,13.0,10.0,7.0,12.0,8.0,5.0,11.0,9.0,16.0,15.0,17.0,21.0,18.0,19.0,20.0,6.0,22.0
1419,0.0,21.0,1.0,13.0,5.0,2.0,6.0,9.0,7.0,11.0,10.0,4.0,12.0,8.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,3.0,22.0
1468,3.0,0.0,4.0,2.0,15.0,10.0,11.0,12.0,9.0,7.0,14.0,8.0,5.0,13.0,1.0,16.0,17.0,21.0,18.0,19.0,20.0,6.0,22.0
1517,2.0,1.0,3.0,0.0,6.0,4.0,7.0,8.0,9.0,10.0,11.0,12.0,5.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1566,1.0,0.0,8.0,2.0,3.0,4.0,11.0,10.0,7.0,12.0,9.0,20.0,5.0,6.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
1615,3.0,2.0,4.0,1.0,6.0,5.0,14.0,8.0,12.0,9.0,7.0,0.0,10.0,11.0,15.0,16.0,17.0,21.0,18.0,19.0,20.0,13.0,22.0
1664,1.0,2.0,3.0,14.0,6.0,9.0,4.0,11.0,5.0,13.0,8.0,10.0,7.0,12.0,0.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1713,1.0,21.0,2.0,0.0,3.0,4.0,9.0,12.0,10.0,11.0,5.0,20.0,8.0,6.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,7.0,22.0
1762,3.0,1.0,6.0,2.0,4.0,5.0,8.0,14.0,9.0,11.0,12.0,10.0,13.0,0.0,15.0,16.0,17.0,21.0,18.0,19.0,20.0,7.0,22.0
1811,2.0,0.0,4.0,1.0,3.0,6.0,9.0,13.0,7.0,8.0,12.0,10.0,5.0,20.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,11.0,22.0
1860,1.0,2.0,5.0,13.0,8.0,4.0,3.0,12.0,9.0,11.0,7.0,20.0,6.0,19.0,0.0,14.0,15.0,21.0,16.0,17.0,18.0,10.0,22.0
1909,2.0,15.0,3.0,1.0,12.0,7.0,4.0,8.0,5.0,6.0,10.0,9.0,11.0,20.0,0.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
1958,1.0,0.0,4.0,13.0,2.0,3.0,5.0,12.0,8.0,10.0,11.0,7.0,6.0,9.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2007,3.0,2.0,4.0,0.0,7.0,5.0,10.0,9.0,6.0,8.0,12.0,11.0,14.0,13.0,15.0,16.0,17.0,21.0,18.0,19.0,20.0,1.0,22.0
2056,2.0,0.0,3.0,14.0,5.0,4.0,11.0,8.0,7.0,9.0,6.0,10.0,12.0,13.0,1.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2105,3.0,0.0,4.0,14.0,5.0,6.0,10.0,7.0,11.0,13.0,12.0,1.0,8.0,20.0,2.0,15.0,16.0,21.0,17.0,18.0,19.0,9.0,22.0
2154,0.0,21.0,2.0,14.0,3.0,6.0,4.0,5.0,12.0,7.0,9.0,10.0,11.0,13.0,1.0,15.0,16.0,17.0,18.0,19.0,20.0,8.0,22.0
2203,2.0,1.0,3.0,13.0,4.0,5.0,8.0,11.0,7.0,6.0,10.0,20.0,12.0,9.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,0.0,22.0
2252,0.0,3.0,4.0,1.0,5.0,6.0,11.0,12.0,10.0,8.0,9.0,7.0,13.0,14.0,2.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2301,1.0,21.0,4.0,14.0,3.0,2.0,5.0,13.0,7.0,10.0,6.0,9.0,12.0,8.0,0.0,15.0,16.0,17.0,18.0,19.0,20.0,11.0,22.0
2350,1.0,21.0,3.0,0.0,5.0,2.0,12.0,11.0,10.0,4.0,8.0,7.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,6.0,22.0
2399,2.0,21.0,3.0,0.0,8.0,13.0,4.0,7.0,12.0,6.0,5.0,11.0,14.0,10.0,1.0,15.0,16.0,17.0,18.0,19.0,20.0,9.0,22.0
2448,2.0,0.0,3.0,14.0,4.0,5.0,12.0,13.0,11.0,8.0,6.0,20.0,10.0,9.0,1.0,15.0,16.0,21.0,17.0,18.0,19.0,7.0,22.0
2497,0.0,15.0,2.0,1.0,6.0,3.0,11.0,5.0,7.0,4.0,9.0,20.0,10.0,8.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
2546,1.0,0.0,4.0,2.0,5.0,3.0,9.0,7.0,6.0,12.0,11.0,20.0,10.0,8.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
