,alpha-glycerophosphate,pantothenate,C34:2 DAG,phosphocreatine,niacinamide,serine,DHAP/glyceraldehyde 3P,putrescine,C16:0 LPE,valerylcarnitine,adenosine,oxalate,uracil,5-HIAA,C56:5 TAG,cystathionine,uridine,beta-alanine,creatine,alpha-glycerophosphocholine,PEP,urate,cotinine,taurodeoxycholate,acetylcholine,UMP,isocitrate,alpha-hydroxybutyrate,creatinine,butyrylcarnitine/isobutyrylcarnitine
22,1.0,3.0,0.0,5.0,7.0,4.0,2.0,10.0,8.0,16.0,12.0,40.0,11.0,19.0,6.0,21.0,23.0,26.0,31.0,24.0,30.0,43.0,22.0,34.0,37.0,17.0,15.0,14.0,20.0,9.0
71,3.0,0.0,1.0,5.0,2.0,4.0,6.0,12.0,28.0,23.0,16.0,15.0,26.0,21.0,10.0,19.0,24.0,7.0,14.0,11.0,37.0,44.0,22.0,29.0,25.0,18.0,9.0,8.0,17.0,20.0
120,0.0,4.0,5.0,3.0,2.0,1.0,11.0,10.0,27.0,7.0,9.0,17.0,13.0,21.0,20.0,28.0,23.0,12.0,24.0,8.0,40.0,45.0,26.0,22.0,33.0,16.0,15.0,6.0,31.0,29.0
169,0.0,4.0,12.0,1.0,2.0,5.0,8.0,13.0,6.0,38.0,3.0,14.0,7.0,30.0,11.0,9.0,20.0,16.0,29.0,10.0,19.0,26.0,37.0,23.0,34.0,18.0,32.0,21.0,25.0,31.0
218,2.0,3.0,4.0,5.0,0.0,1.0,6.0,13.0,21.0,17.0,24.0,14.0,9.0,12.0,15.0,27.0,11.0,20.0,29.0,7.0,22.0,36.0,26.0,16.0,39.0,19.0,33.0,8.0,37.0,32.0
267,0.0,2.0,1.0,3.0,4.0,6.0,8.0,29.0,11.0,14.0,19.0,22.0,7.0,18.0,5.0,15.0,16.0,37.0,9.0,12.0,27.0,23.0,32.0,17.0,13.0,20.0,25.0,10.0,30.0,34.0
316,0.0,2.0,1.0,16.0,3.0,8.0,6.0,12.0,22.0,9.0,14.0,32.0,17.0,4.0,10.0,15.0,21.0,11.0,31.0,5.0,30.0,36.0,20.0,25.0,37.0,27.0,18.0,13.0,28.0,23.0
365,0.0,3.0,2.0,4.0,1.0,5.0,6.0,17.0,25.0,7.0,15.0,12.0,13.0,22.0,9.0,11.0,21.0,10.0,16.0,8.0,34.0,28.0,36.0,18.0,45.0,27.0,24.0,20.0,14.0,35.0
414,5.0,0.0,6.0,1.0,2.0,4.0,8.0,21.0,14.0,34.0,10.0,13.0,18.0,31.0,7.0,20.0,22.0,16.0,12.0,3.0,19.0,46.0,9.0,11.0,29.0,32.0,52.0,33.0,30.0,24.0
463,0.0,10.0,1.0,5.0,2.0,7.0,16.0,21.0,12.0,13.0,11.0,23.0,17.0,3.0,6.0,15.0,24.0,19.0,22.0,4.0,33.0,38.0,8.0,20.0,42.0,37.0,14.0,9.0,47.0,29.0
512,0.0,1.0,2.0,3.0,5.0,10.0,11.0,16.0,7.0,6.0,8.0,32.0,4.0,14.0,24.0,21.0,30.0,12.0,17.0,31.0,26.0,29.0,36.0,20.0,23.0,42.0,40.0,13.0,35.0,15.0
561,0.0,3.0,1.0,5.0,2.0,24.0,6.0,28.0,4.0,7.0,11.0,10.0,14.0,17.0,33.0,22.0,27.0,15.0,9.0,29.0,19.0,21.0,32.0,25.0,8.0,23.0,47.0,35.0,34.0,12.0
610,0.0,5.0,1.0,2.0,3.0,19.0,12.0,32.0,6.0,4.0,9.0,13.0,29.0,20.0,17.0,25.0,24.0,18.0,8.0,21.0,14.0,16.0,27.0,26.0,7.0,33.0,45.0,40.0,23.0,22.0
659,0.0,3.0,2.0,5.0,1.0,12.0,8.0,31.0,4.0,7.0,34.0,13.0,9.0,30.0,21.0,18.0,26.0,11.0,6.0,24.0,20.0,29.0,19.0,16.0,14.0,17.0,45.0,33.0,25.0,22.0
708,0.0,7.0,2.0,6.0,1.0,16.0,11.0,34.0,8.0,5.0,37.0,12.0,9.0,15.0,31.0,13.0,14.0,4.0,22.0,19.0,23.0,27.0,24.0,10.0,21.0,25.0,3.0,20.0,32.0,30.0
757,1.0,9.0,2.0,0.0,5.0,12.0,10.0,21.0,3.0,4.0,23.0,7.0,8.0,19.0,28.0,6.0,14.0,16.0,13.0,22.0,11.0,30.0,26.0,15.0,20.0,31.0,44.0,25.0,32.0,24.0
806,0.0,3.0,5.0,1.0,2.0,8.0,4.0,16.0,12.0,7.0,15.0,6.0,11.0,14.0,27.0,13.0,18.0,19.0,25.0,20.0,9.0,36.0,22.0,17.0,33.0,23.0,43.0,28.0,32.0,29.0
