,hsa-miR-142-5p,hsa-let-7e,hsa-miR-216a,hsa-miR-24,hsa-miR-222,hsa-miR-21,hsa-miR-22,hsa-miR-31,hsa-miR-574-5p,hsa-miR-92a,hsa-miR-130a,hsa-miR-150,hsa-let-7i,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-766,hsa-miR-30a,hsa-miR-663,hsa-let-7a,hsa-miR-320d,hsa-miR-224,hsa-miR-10a,hsa-miR-223,hsa-miR-151-3p,hsa-miR-218,hsa-miR-508-5p,hsa-miR-137,hsa-miR-219-2-3p,kshv-miR-K12-4-3p,hsa-miR-193a-5p,hsa-miR-210
1145,0.0,1.0,35.0,3.0,2.0,4.0,15.0,10.0,33.0,45.0,16.0,7.0,12.0,27.0,6.0,8.0,46.0,44.0,19.0,40.0,5.0,32.0,57.0,26.0,11.0,38.0,53.0,17.0,39.0,9.0
1194,0.0,1.0,11.0,3.0,2.0,4.0,9.0,22.0,6.0,17.0,20.0,7.0,10.0,33.0,21.0,5.0,50.0,76.0,25.0,8.0,13.0,34.0,41.0,88.0,19.0,125.0,26.0,12.0,39.0,18.0
1243,1.0,0.0,9.0,3.0,4.0,2.0,5.0,44.0,7.0,14.0,46.0,10.0,11.0,17.0,16.0,66.0,33.0,43.0,13.0,8.0,56.0,91.0,20.0,45.0,31.0,48.0,38.0,319.0,88.0,6.0
1292,0.0,1.0,5.0,2.0,3.0,4.0,7.0,57.0,11.0,19.0,15.0,32.0,6.0,10.0,37.0,31.0,42.0,22.0,35.0,16.0,12.0,104.0,127.0,49.0,132.0,27.0,9.0,47.0,75.0,61.0
1341,1.0,0.0,5.0,4.0,2.0,3.0,7.0,6.0,20.0,33.0,56.0,52.0,10.0,39.0,41.0,128.0,13.0,18.0,23.0,12.0,8.0,187.0,21.0,24.0,17.0,68.0,43.0,63.0,31.0,26.0
1390,0.0,1.0,21.0,4.0,3.0,2.0,5.0,14.0,13.0,17.0,196.0,25.0,15.0,35.0,42.0,12.0,9.0,8.0,31.0,18.0,6.0,75.0,41.0,16.0,7.0,11.0,10.0,30.0,29.0,36.0
1439,0.0,1.0,11.0,4.0,2.0,3.0,12.0,6.0,5.0,9.0,99.0,13.0,10.0,17.0,23.0,7.0,29.0,35.0,109.0,46.0,14.0,145.0,79.0,33.0,15.0,18.0,26.0,59.0,21.0,27.0
1488,1.0,0.0,2.0,3.0,4.0,8.0,13.0,10.0,5.0,20.0,19.0,23.0,6.0,14.0,66.0,18.0,165.0,24.0,41.0,80.0,12.0,22.0,15.0,11.0,9.0,45.0,21.0,100.0,68.0,37.0
1537,0.0,1.0,4.0,2.0,3.0,5.0,13.0,6.0,8.0,12.0,19.0,11.0,7.0,9.0,17.0,62.0,34.0,50.0,35.0,33.0,32.0,93.0,10.0,76.0,24.0,60.0,61.0,200.0,73.0,51.0
1586,0.0,1.0,2.0,5.0,10.0,3.0,4.0,6.0,11.0,8.0,14.0,17.0,7.0,16.0,18.0,35.0,28.0,44.0,22.0,48.0,24.0,27.0,21.0,19.0,32.0,138.0,12.0,39.0,33.0,13.0
1635,0.0,1.0,2.0,10.0,6.0,3.0,4.0,83.0,5.0,9.0,22.0,13.0,12.0,7.0,27.0,18.0,44.0,17.0,61.0,41.0,46.0,25.0,8.0,68.0,28.0,119.0,19.0,155.0,15.0,31.0
1684,1.0,0.0,2.0,32.0,3.0,12.0,17.0,52.0,5.0,11.0,6.0,50.0,4.0,14.0,24.0,7.0,29.0,13.0,15.0,77.0,25.0,33.0,26.0,8.0,42.0,97.0,289.0,63.0,72.0,23.0
1733,1.0,0.0,2.0,6.0,4.0,21.0,5.0,3.0,10.0,14.0,175.0,8.0,9.0,7.0,26.0,33.0,40.0,12.0,15.0,13.0,24.0,46.0,22.0,11.0,20.0,28.0,53.0,212.0,55.0,36.0
1782,1.0,0.0,2.0,4.0,3.0,20.0,8.0,55.0,6.0,5.0,27.0,23.0,10.0,14.0,34.0,29.0,41.0,31.0,49.0,108.0,177.0,16.0,50.0,19.0,37.0,12.0,40.0,230.0,51.0,13.0
1831,0.0,1.0,3.0,2.0,4.0,9.0,15.0,13.0,11.0,16.0,25.0,12.0,6.0,8.0,20.0,87.0,302.0,24.0,41.0,112.0,18.0,17.0,27.0,5.0,55.0,62.0,26.0,54.0,7.0,22.0
1880,1.0,0.0,6.0,2.0,5.0,12.0,4.0,28.0,7.0,9.0,3.0,13.0,67.0,8.0,15.0,86.0,82.0,27.0,16.0,272.0,23.0,10.0,14.0,32.0,19.0,153.0,26.0,171.0,139.0,30.0
1929,0.0,1.0,7.0,3.0,2.0,5.0,4.0,16.0,20.0,10.0,37.0,22.0,6.0,13.0,78.0,17.0,87.0,11.0,14.0,47.0,18.0,15.0,24.0,60.0,176.0,182.0,8.0,67.0,30.0,40.0
1978,0.0,1.0,6.0,7.0,3.0,8.0,9.0,2.0,21.0,10.0,12.0,36.0,4.0,5.0,13.0,27.0,88.0,59.0,14.0,39.0,33.0,32.0,40.0,35.0,48.0,51.0,22.0,42.0,24.0,11.0
2027,1.0,0.0,2.0,5.0,4.0,12.0,3.0,7.0,14.0,20.0,83.0,11.0,8.0,9.0,33.0,22.0,44.0,21.0,13.0,52.0,57.0,241.0,72.0,19.0,6.0,24.0,30.0,18.0,28.0,84.0
2076,1.0,0.0,2.0,5.0,3.0,4.0,7.0,13.0,17.0,11.0,8.0,33.0,23.0,24.0,19.0,221.0,16.0,10.0,27.0,14.0,43.0,15.0,187.0,39.0,18.0,29.0,25.0,30.0,53.0,42.0
2125,0.0,1.0,3.0,5.0,7.0,4.0,32.0,2.0,145.0,18.0,40.0,16.0,19.0,10.0,24.0,58.0,22.0,6.0,11.0,21.0,20.0,13.0,59.0,8.0,12.0,17.0,28.0,44.0,39.0,42.0
2174,0.0,1.0,4.0,5.0,2.0,3.0,31.0,6.0,26.0,9.0,42.0,10.0,7.0,12.0,15.0,37.0,52.0,21.0,24.0,65.0,11.0,8.0,53.0,19.0,82.0,18.0,16.0,33.0,56.0,116.0
2223,0.0,1.0,3.0,2.0,4.0,10.0,11.0,5.0,13.0,7.0,31.0,27.0,26.0,8.0,21.0,18.0,29.0,6.0,48.0,15.0,19.0,51.0,69.0,20.0,79.0,12.0,24.0,22.0,36.0,28.0
2272,0.0,1.0,3.0,8.0,4.0,9.0,5.0,2.0,21.0,12.0,18.0,24.0,11.0,55.0,7.0,65.0,22.0,13.0,49.0,15.0,39.0,6.0,46.0,23.0,29.0,31.0,27.0,19.0,20.0,30.0
2321,1.0,0.0,6.0,8.0,2.0,7.0,4.0,9.0,11.0,38.0,17.0,13.0,313.0,12.0,73.0,40.0,16.0,28.0,3.0,53.0,47.0,10.0,108.0,27.0,169.0,51.0,22.0,20.0,52.0,166.0
2370,1.0,0.0,5.0,6.0,4.0,2.0,7.0,8.0,26.0,42.0,9.0,14.0,17.0,41.0,37.0,3.0,31.0,12.0,10.0,62.0,81.0,15.0,167.0,29.0,156.0,11.0,35.0,13.0,38.0,153.0
2419,0.0,1.0,2.0,7.0,4.0,5.0,9.0,6.0,19.0,15.0,59.0,36.0,13.0,34.0,24.0,11.0,8.0,14.0,30.0,370.0,18.0,26.0,123.0,117.0,25.0,172.0,17.0,23.0,3.0,67.0
2468,0.0,2.0,1.0,5.0,10.0,4.0,3.0,8.0,11.0,18.0,9.0,13.0,23.0,26.0,7.0,6.0,14.0,21.0,34.0,12.0,49.0,47.0,24.0,15.0,19.0,31.0,37.0,53.0,76.0,41.0
2517,0.0,1.0,3.0,6.0,9.0,2.0,4.0,18.0,10.0,17.0,5.0,20.0,11.0,14.0,8.0,7.0,21.0,27.0,31.0,22.0,35.0,32.0,29.0,19.0,13.0,12.0,67.0,63.0,49.0,25.0
2566,1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,24.0,9.0,21.0,13.0,15.0,17.0,8.0,25.0,12.0,14.0,47.0,18.0,52.0,114.0,38.0,16.0,22.0,20.0,33.0,29.0,42.0,32.0
2615,1.0,0.0,8.0,2.0,11.0,3.0,7.0,4.0,12.0,24.0,14.0,15.0,13.0,21.0,5.0,6.0,33.0,20.0,78.0,22.0,68.0,60.0,50.0,10.0,28.0,19.0,37.0,26.0,17.0,44.0
2664,1.0,0.0,2.0,3.0,4.0,8.0,6.0,5.0,11.0,12.0,9.0,51.0,14.0,24.0,18.0,7.0,42.0,20.0,134.0,10.0,22.0,56.0,45.0,16.0,13.0,95.0,132.0,33.0,28.0,381.0
2713,0.0,1.0,3.0,5.0,4.0,6.0,2.0,7.0,12.0,11.0,8.0,17.0,18.0,19.0,15.0,38.0,13.0,56.0,70.0,9.0,23.0,34.0,28.0,22.0,24.0,50.0,27.0,36.0,129.0,21.0
2762,1.0,0.0,6.0,4.0,5.0,3.0,2.0,7.0,16.0,60.0,12.0,14.0,8.0,22.0,11.0,9.0,15.0,20.0,68.0,10.0,30.0,23.0,27.0,46.0,17.0,63.0,34.0,24.0,54.0,48.0
2811,1.0,0.0,3.0,4.0,6.0,2.0,5.0,19.0,13.0,159.0,11.0,9.0,21.0,18.0,12.0,8.0,10.0,17.0,28.0,26.0,25.0,182.0,16.0,24.0,14.0,15.0,37.0,95.0,32.0,45.0
2860,1.0,0.0,3.0,4.0,9.0,5.0,2.0,8.0,17.0,12.0,10.0,136.0,11.0,13.0,6.0,7.0,21.0,16.0,36.0,15.0,31.0,23.0,26.0,67.0,18.0,50.0,14.0,28.0,56.0,51.0
2909,0.0,1.0,4.0,9.0,6.0,3.0,5.0,14.0,11.0,21.0,2.0,22.0,7.0,54.0,8.0,10.0,13.0,136.0,160.0,16.0,32.0,101.0,15.0,12.0,18.0,17.0,28.0,26.0,38.0,447.0
2958,0.0,1.0,5.0,6.0,4.0,3.0,2.0,7.0,11.0,8.0,21.0,23.0,90.0,37.0,10.0,58.0,38.0,86.0,53.0,17.0,62.0,15.0,41.0,35.0,48.0,14.0,13.0,34.0,9.0,61.0
3007,0.0,1.0,4.0,3.0,7.0,5.0,2.0,17.0,9.0,10.0,56.0,53.0,93.0,27.0,15.0,57.0,26.0,152.0,22.0,68.0,31.0,12.0,13.0,37.0,78.0,6.0,47.0,33.0,11.0,46.0
3056,0.0,1.0,2.0,5.0,9.0,3.0,6.0,8.0,7.0,13.0,19.0,12.0,92.0,16.0,15.0,4.0,23.0,71.0,26.0,28.0,11.0,21.0,17.0,75.0,24.0,14.0,18.0,45.0,10.0,37.0
3105,0.0,1.0,2.0,7.0,5.0,4.0,3.0,8.0,11.0,6.0,17.0,44.0,10.0,22.0,14.0,19.0,12.0,537.0,36.0,109.0,13.0,28.0,20.0,27.0,55.0,16.0,50.0,85.0,9.0,117.0
3154,0.0,1.0,3.0,6.0,5.0,4.0,2.0,9.0,21.0,7.0,14.0,13.0,27.0,35.0,23.0,20.0,15.0,153.0,18.0,33.0,8.0,10.0,16.0,84.0,36.0,17.0,28.0,26.0,11.0,63.0
3203,0.0,1.0,6.0,7.0,8.0,3.0,2.0,10.0,4.0,5.0,22.0,14.0,49.0,23.0,13.0,9.0,18.0,236.0,21.0,28.0,39.0,16.0,11.0,51.0,87.0,40.0,15.0,41.0,12.0,278.0
3252,0.0,1.0,3.0,5.0,10.0,7.0,4.0,2.0,6.0,13.0,8.0,20.0,231.0,64.0,9.0,49.0,30.0,73.0,29.0,34.0,18.0,19.0,23.0,57.0,45.0,25.0,42.0,47.0,11.0,27.0
3301,1.0,0.0,2.0,8.0,9.0,4.0,3.0,14.0,6.0,13.0,10.0,12.0,16.0,54.0,15.0,34.0,25.0,134.0,40.0,73.0,19.0,31.0,11.0,46.0,78.0,18.0,20.0,169.0,5.0,22.0
3350,1.0,0.0,2.0,5.0,7.0,4.0,6.0,20.0,10.0,12.0,16.0,8.0,23.0,45.0,26.0,148.0,19.0,32.0,38.0,24.0,51.0,29.0,43.0,33.0,69.0,13.0,274.0,57.0,3.0,75.0
3399,0.0,1.0,2.0,9.0,3.0,6.0,5.0,28.0,4.0,8.0,31.0,7.0,13.0,73.0,14.0,15.0,12.0,524.0,19.0,67.0,22.0,36.0,16.0,49.0,20.0,39.0,38.0,21.0,10.0,163.0
3448,1.0,0.0,5.0,2.0,8.0,6.0,7.0,11.0,3.0,4.0,25.0,21.0,328.0,13.0,16.0,19.0,17.0,15.0,14.0,70.0,64.0,26.0,20.0,61.0,54.0,10.0,49.0,12.0,23.0,66.0
3497,0.0,1.0,6.0,3.0,2.0,5.0,15.0,7.0,12.0,4.0,49.0,10.0,40.0,14.0,27.0,17.0,13.0,11.0,29.0,8.0,46.0,31.0,35.0,155.0,34.0,19.0,39.0,128.0,38.0,16.0
3546,1.0,0.0,2.0,4.0,3.0,6.0,9.0,21.0,7.0,19.0,10.0,8.0,47.0,11.0,29.0,103.0,18.0,112.0,25.0,15.0,28.0,65.0,40.0,42.0,38.0,48.0,87.0,63.0,92.0,30.0
3595,0.0,1.0,5.0,2.0,4.0,13.0,8.0,7.0,16.0,6.0,3.0,14.0,496.0,47.0,15.0,17.0,9.0,50.0,32.0,260.0,48.0,23.0,10.0,90.0,24.0,11.0,64.0,19.0,37.0,63.0
3644,0.0,1.0,8.0,2.0,3.0,6.0,4.0,15.0,9.0,5.0,23.0,18.0,33.0,7.0,16.0,46.0,12.0,50.0,10.0,13.0,44.0,19.0,115.0,83.0,74.0,28.0,64.0,17.0,36.0,22.0
3693,1.0,0.0,3.0,2.0,4.0,5.0,10.0,18.0,13.0,7.0,58.0,11.0,55.0,16.0,6.0,31.0,21.0,51.0,37.0,50.0,20.0,44.0,65.0,69.0,17.0,42.0,455.0,60.0,26.0,52.0
3742,0.0,1.0,5.0,2.0,3.0,4.0,21.0,16.0,18.0,20.0,14.0,17.0,70.0,7.0,6.0,64.0,11.0,39.0,81.0,55.0,284.0,25.0,15.0,142.0,19.0,13.0,22.0,30.0,8.0,156.0
3791,0.0,1.0,2.0,4.0,3.0,5.0,7.0,6.0,21.0,13.0,14.0,36.0,39.0,34.0,15.0,45.0,23.0,10.0,93.0,22.0,27.0,64.0,44.0,37.0,38.0,8.0,47.0,33.0,18.0,266.0
3840,0.0,1.0,11.0,3.0,2.0,6.0,192.0,4.0,10.0,24.0,36.0,13.0,9.0,7.0,5.0,30.0,23.0,8.0,81.0,17.0,21.0,37.0,16.0,89.0,41.0,22.0,39.0,57.0,177.0,27.0
3889,0.0,1.0,11.0,2.0,3.0,4.0,16.0,5.0,7.0,21.0,29.0,10.0,150.0,56.0,6.0,17.0,8.0,133.0,97.0,26.0,92.0,13.0,31.0,35.0,20.0,33.0,84.0,12.0,68.0,9.0
3938,1.0,0.0,5.0,2.0,8.0,4.0,18.0,3.0,10.0,20.0,7.0,14.0,46.0,38.0,6.0,35.0,26.0,32.0,9.0,117.0,87.0,11.0,222.0,22.0,36.0,151.0,93.0,40.0,72.0,48.0
3987,1.0,0.0,4.0,11.0,7.0,3.0,2.0,17.0,16.0,5.0,8.0,10.0,39.0,28.0,70.0,21.0,12.0,13.0,18.0,218.0,25.0,23.0,62.0,109.0,42.0,98.0,32.0,14.0,102.0,40.0
4036,0.0,1.0,3.0,2.0,5.0,8.0,6.0,12.0,10.0,7.0,9.0,18.0,68.0,19.0,11.0,13.0,4.0,52.0,15.0,179.0,36.0,20.0,23.0,238.0,16.0,28.0,32.0,58.0,256.0,21.0
4085,0.0,1.0,5.0,7.0,13.0,4.0,3.0,31.0,6.0,2.0,8.0,11.0,18.0,82.0,16.0,48.0,9.0,38.0,24.0,22.0,105.0,10.0,19.0,15.0,27.0,207.0,63.0,32.0,71.0,34.0
4134,1.0,0.0,4.0,5.0,3.0,2.0,7.0,6.0,29.0,14.0,10.0,8.0,17.0,9.0,22.0,16.0,28.0,19.0,11.0,145.0,60.0,25.0,51.0,12.0,27.0,65.0,44.0,21.0,374.0,18.0
4183,1.0,0.0,3.0,4.0,2.0,5.0,6.0,18.0,15.0,26.0,14.0,7.0,101.0,11.0,8.0,19.0,29.0,28.0,10.0,84.0,31.0,9.0,36.0,12.0,91.0,30.0,51.0,137.0,58.0,44.0
4232,0.0,1.0,9.0,3.0,7.0,2.0,6.0,22.0,13.0,12.0,16.0,5.0,14.0,10.0,15.0,182.0,54.0,281.0,20.0,76.0,17.0,8.0,30.0,108.0,93.0,33.0,84.0,18.0,378.0,35.0
4281,1.0,0.0,8.0,3.0,10.0,7.0,2.0,5.0,6.0,14.0,11.0,21.0,17.0,79.0,9.0,26.0,24.0,51.0,4.0,68.0,18.0,31.0,16.0,276.0,39.0,69.0,27.0,101.0,82.0,42.0
4330,1.0,0.0,5.0,6.0,3.0,4.0,2.0,7.0,14.0,8.0,20.0,15.0,25.0,33.0,16.0,11.0,10.0,60.0,13.0,47.0,70.0,12.0,116.0,137.0,117.0,365.0,59.0,34.0,58.0,28.0
4379,1.0,0.0,2.0,13.0,5.0,6.0,3.0,36.0,7.0,32.0,8.0,19.0,26.0,39.0,4.0,15.0,14.0,17.0,12.0,29.0,38.0,37.0,21.0,20.0,79.0,91.0,80.0,107.0,69.0,34.0
4428,1.0,0.0,23.0,5.0,2.0,3.0,9.0,10.0,4.0,11.0,19.0,14.0,16.0,15.0,36.0,13.0,22.0,7.0,6.0,26.0,76.0,25.0,20.0,12.0,8.0,65.0,18.0,164.0,45.0,21.0
4477,0.0,1.0,3.0,4.0,2.0,6.0,8.0,7.0,12.0,5.0,15.0,26.0,24.0,13.0,37.0,9.0,36.0,10.0,46.0,28.0,18.0,39.0,35.0,14.0,19.0,21.0,44.0,32.0,16.0,17.0
4526,1.0,0.0,6.0,8.0,11.0,3.0,2.0,17.0,5.0,7.0,16.0,15.0,9.0,34.0,22.0,14.0,46.0,26.0,41.0,28.0,23.0,21.0,39.0,13.0,4.0,29.0,27.0,103.0,33.0,24.0
4575,0.0,1.0,219.0,3.0,2.0,8.0,6.0,10.0,7.0,9.0,4.0,30.0,23.0,5.0,37.0,22.0,24.0,19.0,55.0,16.0,11.0,121.0,29.0,213.0,18.0,131.0,33.0,68.0,32.0,20.0
4624,0.0,1.0,13.0,9.0,2.0,6.0,4.0,10.0,7.0,3.0,12.0,5.0,49.0,30.0,8.0,46.0,21.0,17.0,20.0,66.0,34.0,28.0,26.0,77.0,16.0,15.0,105.0,95.0,11.0,35.0
4673,0.0,1.0,5.0,8.0,2.0,3.0,4.0,13.0,6.0,12.0,19.0,16.0,9.0,10.0,28.0,7.0,50.0,46.0,11.0,59.0,35.0,34.0,125.0,23.0,15.0,37.0,20.0,185.0,17.0,14.0
4722,0.0,1.0,3.0,7.0,2.0,6.0,12.0,4.0,11.0,5.0,16.0,20.0,30.0,19.0,13.0,34.0,10.0,18.0,8.0,69.0,17.0,79.0,47.0,27.0,14.0,33.0,40.0,39.0,22.0,45.0
4771,0.0,1.0,5.0,3.0,2.0,7.0,4.0,8.0,6.0,10.0,32.0,11.0,9.0,14.0,27.0,25.0,54.0,18.0,17.0,205.0,36.0,46.0,41.0,34.0,20.0,29.0,42.0,24.0,86.0,57.0
4820,0.0,1.0,8.0,9.0,3.0,6.0,4.0,5.0,2.0,12.0,45.0,17.0,31.0,11.0,20.0,15.0,43.0,14.0,19.0,40.0,21.0,10.0,37.0,49.0,18.0,7.0,30.0,136.0,16.0,25.0
4869,0.0,1.0,8.0,5.0,3.0,2.0,4.0,15.0,10.0,7.0,19.0,41.0,12.0,6.0,32.0,27.0,14.0,13.0,11.0,36.0,23.0,46.0,57.0,38.0,52.0,22.0,33.0,24.0,26.0,25.0
