, TNFa, H2O2, MAPK_only, VEGF, JAK-STAT, IL-1, TGFB, MAPK_PI3K, TLR, PI3K_only, Wnt
2685,0.0,4.0,2.0,6.0,3.0,1.0,7.0,5.0,8.0,10.0,9.0
2734,1.0,0.0,2.0,3.0,5.0,6.0,9.0,4.0,8.0,10.0,7.0
2783,0.0,2.0,3.0,5.0,4.0,1.0,7.0,6.0,9.0,8.0,10.0
2832,0.0,5.0,1.0,4.0,7.0,2.0,8.0,3.0,10.0,6.0,9.0
2881,0.0,1.0,3.0,4.0,2.0,5.0,8.0,7.0,9.0,6.0,10.0
2930,1.0,0.0,2.0,4.0,7.0,6.0,5.0,3.0,8.0,10.0,9.0
2979,0.0,6.0,1.0,2.0,5.0,3.0,4.0,8.0,7.0,10.0,9.0
3028,0.0,1.0,7.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,9.0
3077,0.0,3.0,4.0,1.0,2.0,6.0,5.0,8.0,7.0,10.0,9.0
3126,0.0,2.0,9.0,3.0,1.0,8.0,6.0,10.0,5.0,4.0,7.0
3175,0.0,5.0,3.0,1.0,2.0,6.0,4.0,10.0,8.0,9.0,7.0
3224,0.0,3.0,1.0,5.0,2.0,4.0,10.0,8.0,7.0,6.0,9.0
3273,0.0,4.0,3.0,2.0,1.0,9.0,5.0,10.0,8.0,6.0,7.0
3322,1.0,0.0,5.0,3.0,4.0,6.0,2.0,9.0,10.0,7.0,8.0
3371,0.0,1.0,7.0,5.0,3.0,6.0,2.0,10.0,8.0,9.0,4.0
3420,0.0,2.0,5.0,3.0,1.0,4.0,9.0,8.0,7.0,6.0,10.0
3469,1.0,0.0,5.0,6.0,2.0,8.0,4.0,10.0,9.0,7.0,3.0
3518,0.0,1.0,3.0,5.0,2.0,6.0,10.0,9.0,7.0,4.0,8.0
3567,1.0,0.0,3.0,5.0,2.0,4.0,6.0,9.0,8.0,7.0,10.0
3616,0.0,1.0,2.0,6.0,8.0,3.0,5.0,7.0,10.0,9.0,4.0
3665,0.0,1.0,3.0,8.0,2.0,5.0,4.0,9.0,7.0,10.0,6.0
3714,0.0,4.0,2.0,6.0,1.0,3.0,5.0,8.0,9.0,10.0,7.0
3763,1.0,0.0,4.0,3.0,7.0,2.0,6.0,5.0,10.0,8.0,9.0
3812,0.0,1.0,6.0,2.0,5.0,3.0,4.0,10.0,9.0,7.0,8.0
3861,2.0,0.0,5.0,3.0,7.0,1.0,10.0,4.0,6.0,8.0,9.0
3910,0.0,1.0,5.0,3.0,7.0,2.0,4.0,8.0,10.0,6.0,9.0
3959,0.0,1.0,6.0,2.0,3.0,4.0,10.0,5.0,9.0,7.0,8.0
4008,0.0,1.0,3.0,4.0,6.0,7.0,10.0,9.0,2.0,8.0,5.0
4057,1.0,0.0,2.0,6.0,4.0,5.0,10.0,7.0,9.0,8.0,3.0
4106,0.0,2.0,1.0,3.0,8.0,4.0,7.0,5.0,9.0,10.0,6.0
4155,0.0,2.0,3.0,1.0,5.0,4.0,8.0,7.0,9.0,6.0,10.0
4204,0.0,3.0,4.0,2.0,1.0,6.0,10.0,5.0,7.0,9.0,8.0
4253,0.0,1.0,3.0,2.0,8.0,5.0,9.0,7.0,4.0,10.0,6.0
4302,1.0,0.0,2.0,5.0,9.0,3.0,7.0,6.0,10.0,8.0,4.0
4351,1.0,0.0,6.0,2.0,5.0,8.0,7.0,4.0,9.0,10.0,3.0
4400,0.0,2.0,3.0,1.0,6.0,4.0,10.0,5.0,9.0,7.0,8.0
4449,3.0,4.0,0.0,7.0,2.0,5.0,8.0,10.0,6.0,1.0,9.0
4498,0.0,2.0,4.0,1.0,3.0,9.0,6.0,8.0,7.0,5.0,10.0
4547,1.0,2.0,4.0,5.0,7.0,8.0,3.0,9.0,10.0,0.0,6.0
4596,2.0,0.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,3.0,8.0
4645,0.0,3.0,5.0,1.0,2.0,8.0,10.0,9.0,7.0,4.0,6.0
4694,0.0,5.0,6.0,3.0,2.0,8.0,9.0,10.0,4.0,1.0,7.0
4743,0.0,2.0,5.0,6.0,1.0,8.0,4.0,10.0,9.0,3.0,7.0
4792,2.0,0.0,3.0,1.0,4.0,5.0,7.0,8.0,10.0,6.0,9.0
4841,0.0,8.0,1.0,7.0,4.0,5.0,2.0,10.0,6.0,3.0,9.0
4890,1.0,0.0,3.0,6.0,2.0,5.0,7.0,8.0,10.0,4.0,9.0
