,BRAF_MUT,BRAF.V600E_MUT,TTN_MUT,KRAS_MUT,KRAS.G12_13_MUT,BRAF.MC_MUT,GOLGA8A_DEL,SIRPB1_AMP,HLA-DQB1_DEL,KIAA1217_DEL,FAM35B_DEL,SORD_AMP,LINC00221_DEL,FFAR3_DEL,UNC13C_MUT,CFHR3_AMP,LOC728377_AMP,OR2A7_AMP,WRN_MUT,MIR1233-2_DEL,NRAS_MUT,FAM21A_DEL,MIR1233-1_DEL,ARHGEF5_AMP,UBE2Q2P3_AMP,UBE2Q2P2_AMP,ATG10_DEL,USP17L4_AMP,ZNF423_MUT,DOCK10_AMP
29,0.0,5.0,1.0,3.0,2.0,9.0,4.0,29.0,7.0,10.0,37.0,6.0,11.0,42.0,8.0,127.0,25.0,26.0,12.0,17.0,54.0,38.0,16.0,21.0,78.0,77.0,94.0,19.0,36.0,70.0
78,0.0,6.0,1.0,4.0,5.0,19.0,2.0,274.0,3.0,166.0,16.0,24.0,10.0,29.0,13.0,14.0,27.0,26.0,17.0,11.0,9.0,206.0,12.0,8.0,39.0,40.0,529.0,90.0,20.0,22.0
127,0.0,2.0,1.0,3.0,4.0,5.0,6.0,25.0,24.0,140.0,28.0,85.0,18.0,19.0,15.0,175.0,10.0,9.0,17.0,23.0,32.0,58.0,22.0,20.0,7.0,8.0,14.0,30.0,41.0,49.0
176,0.0,2.0,8.0,3.0,6.0,13.0,1.0,207.0,291.0,186.0,21.0,103.0,71.0,343.0,9.0,20.0,5.0,4.0,351.0,22.0,33.0,35.0,23.0,30.0,12.0,11.0,31.0,88.0,197.0,10.0
225,1.0,3.0,0.0,6.0,5.0,7.0,11.0,8.0,28.0,42.0,4.0,47.0,14.0,10.0,16.0,2.0,99.0,100.0,17.0,24.0,60.0,186.0,23.0,43.0,26.0,25.0,20.0,41.0,64.0,27.0
274,0.0,2.0,4.0,1.0,3.0,5.0,19.0,25.0,23.0,67.0,13.0,119.0,17.0,20.0,6.0,16.0,30.0,31.0,21.0,78.0,57.0,34.0,77.0,28.0,8.0,7.0,42.0,79.0,40.0,38.0
323,0.0,2.0,1.0,3.0,4.0,5.0,6.0,40.0,7.0,37.0,29.0,45.0,10.0,143.0,14.0,30.0,129.0,130.0,23.0,33.0,47.0,72.0,32.0,67.0,9.0,8.0,24.0,35.0,22.0,48.0
372,0.0,1.0,2.0,3.0,4.0,5.0,6.0,23.0,8.0,22.0,7.0,91.0,13.0,34.0,9.0,10.0,16.0,15.0,14.0,48.0,46.0,54.0,49.0,32.0,18.0,17.0,55.0,63.0,40.0,30.0
421,0.0,1.0,5.0,3.0,2.0,6.0,15.0,4.0,29.0,34.0,116.0,656.0,82.0,103.0,7.0,36.0,157.0,156.0,149.0,44.0,134.0,14.0,43.0,248.0,9.0,10.0,59.0,35.0,21.0,40.0
470,0.0,1.0,2.0,4.0,3.0,5.0,9.0,142.0,276.0,49.0,74.0,86.0,6.0,72.0,7.0,50.0,26.0,27.0,15.0,93.0,29.0,8.0,92.0,25.0,19.0,20.0,16.0,90.0,12.0,14.0
