,hsa-miR-507,hsa-miR-130a,hsa-miR-210,hsa-miR-96,hsa-miR-151-3p,hsa-miR-22,ebv-miR-BART19-5p,hsa-miR-605,hsa-miR-1978,hsa-miR-574-5p,hsa-miR-483-3p,hsa-miR-149,hsa-miR-24,hsa-miR-150,hsa-miR-323-5p,hsa-miR-486-3p,hsa-miR-611,hsa-miR-545,hsa-miR-663,hsa-miR-1302,hsa-miR-142-5p,hsa-miR-449c,hsa-let-7a,hsa-miR-196a,hsa-miR-30a,hsa-miR-520c-3p,hsa-miR-193a-5p,hsa-miR-324-5p,hsa-miR-21,hsa-miR-2117
1092,28.0,0.0,13.0,4.0,30.0,8.0,2.0,18.0,6.0,9.0,208.0,370.0,101.0,11.0,385.0,25.0,57.0,280.0,43.0,438.0,84.0,130.0,19.0,367.0,3.0,49.0,126.0,440.0,40.0,99.0
1141,48.0,0.0,86.0,3.0,125.0,9.0,14.0,8.0,16.0,4.0,70.0,6.0,13.0,5.0,53.0,44.0,50.0,93.0,306.0,67.0,261.0,7.0,98.0,429.0,2.0,71.0,163.0,122.0,32.0,60.0
1190,3.0,2.0,0.0,122.0,16.0,53.0,5.0,96.0,12.0,15.0,6.0,1.0,276.0,9.0,620.0,364.0,73.0,138.0,260.0,136.0,27.0,86.0,92.0,46.0,31.0,20.0,500.0,58.0,43.0,211.0
1239,21.0,31.0,1.0,4.0,201.0,3.0,0.0,17.0,560.0,10.0,59.0,34.0,24.0,12.0,69.0,18.0,30.0,2.0,108.0,627.0,20.0,14.0,58.0,269.0,50.0,55.0,54.0,28.0,27.0,89.0
1288,19.0,0.0,6.0,46.0,9.0,34.0,4.0,65.0,32.0,17.0,337.0,3.0,16.0,442.0,239.0,569.0,18.0,279.0,407.0,132.0,10.0,67.0,366.0,13.0,256.0,514.0,123.0,71.0,54.0,163.0
1337,69.0,3.0,0.0,33.0,57.0,20.0,8.0,150.0,10.0,16.0,101.0,11.0,564.0,56.0,431.0,59.0,2.0,23.0,92.0,159.0,42.0,53.0,186.0,267.0,75.0,66.0,111.0,140.0,201.0,467.0
1386,12.0,1.0,2.0,189.0,14.0,79.0,0.0,60.0,5.0,18.0,4.0,28.0,102.0,259.0,557.0,13.0,19.0,3.0,416.0,514.0,271.0,8.0,258.0,34.0,57.0,58.0,37.0,208.0,330.0,619.0
1435,71.0,0.0,6.0,65.0,30.0,54.0,3.0,125.0,8.0,178.0,4.0,76.0,257.0,455.0,530.0,113.0,56.0,16.0,185.0,19.0,139.0,10.0,48.0,122.0,37.0,264.0,11.0,386.0,350.0,215.0
1484,316.0,32.0,10.0,4.0,19.0,0.0,17.0,12.0,163.0,2.0,16.0,5.0,1.0,35.0,3.0,6.0,42.0,8.0,45.0,9.0,18.0,21.0,34.0,539.0,27.0,629.0,51.0,99.0,406.0,37.0
1533,5.0,9.0,1.0,11.0,3.0,85.0,4.0,0.0,70.0,7.0,22.0,53.0,6.0,18.0,14.0,401.0,28.0,198.0,106.0,110.0,42.0,2.0,10.0,338.0,29.0,270.0,23.0,8.0,566.0,289.0
1582,25.0,7.0,5.0,3.0,13.0,29.0,30.0,0.0,32.0,59.0,116.0,2.0,1.0,66.0,154.0,115.0,71.0,243.0,19.0,92.0,87.0,58.0,9.0,215.0,76.0,50.0,69.0,15.0,33.0,45.0
1631,3.0,18.0,2.0,1.0,4.0,24.0,6.0,59.0,12.0,214.0,78.0,35.0,8.0,345.0,292.0,30.0,27.0,60.0,9.0,0.0,128.0,7.0,10.0,97.0,17.0,77.0,466.0,13.0,23.0,66.0
1680,0.0,170.0,4.0,1.0,2.0,274.0,8.0,33.0,73.0,230.0,13.0,12.0,10.0,31.0,381.0,3.0,424.0,28.0,173.0,11.0,394.0,20.0,47.0,21.0,14.0,16.0,268.0,89.0,6.0,167.0
1729,3.0,13.0,9.0,2.0,1.0,12.0,18.0,91.0,317.0,105.0,5.0,34.0,4.0,101.0,141.0,7.0,377.0,43.0,51.0,0.0,149.0,6.0,420.0,137.0,47.0,45.0,19.0,17.0,32.0,60.0
1778,4.0,21.0,26.0,7.0,2.0,8.0,1.0,345.0,12.0,17.0,9.0,88.0,19.0,3.0,0.0,149.0,483.0,49.0,328.0,18.0,112.0,5.0,381.0,356.0,20.0,40.0,41.0,30.0,111.0,99.0
1827,4.0,5.0,251.0,12.0,0.0,561.0,2.0,199.0,3.0,480.0,7.0,1.0,11.0,49.0,42.0,52.0,27.0,23.0,261.0,34.0,200.0,8.0,21.0,185.0,6.0,48.0,17.0,213.0,118.0,312.0
1876,15.0,19.0,10.0,131.0,0.0,12.0,20.0,8.0,9.0,51.0,3.0,58.0,7.0,59.0,617.0,200.0,189.0,6.0,150.0,1.0,21.0,11.0,197.0,29.0,13.0,72.0,413.0,37.0,253.0,240.0
1925,1.0,17.0,8.0,2.0,7.0,115.0,3.0,67.0,23.0,29.0,20.0,0.0,13.0,615.0,5.0,25.0,358.0,59.0,38.0,4.0,170.0,9.0,422.0,11.0,12.0,37.0,24.0,44.0,22.0,132.0
1974,12.0,137.0,3.0,5.0,7.0,0.0,10.0,91.0,29.0,32.0,2.0,11.0,220.0,326.0,65.0,261.0,527.0,71.0,114.0,34.0,15.0,6.0,497.0,122.0,176.0,58.0,35.0,258.0,174.0,47.0
2023,2.0,10.0,35.0,240.0,6.0,1.0,11.0,25.0,210.0,8.0,188.0,55.0,63.0,22.0,0.0,12.0,180.0,162.0,51.0,168.0,346.0,4.0,399.0,19.0,416.0,227.0,40.0,44.0,160.0,281.0
2072,327.0,0.0,393.0,7.0,3.0,15.0,9.0,161.0,56.0,16.0,6.0,10.0,178.0,13.0,2.0,288.0,138.0,238.0,14.0,86.0,5.0,4.0,119.0,72.0,50.0,148.0,208.0,11.0,118.0,365.0
2121,73.0,0.0,233.0,189.0,2.0,24.0,1.0,13.0,409.0,25.0,5.0,36.0,15.0,19.0,14.0,27.0,159.0,410.0,106.0,121.0,4.0,55.0,518.0,6.0,146.0,57.0,23.0,21.0,110.0,200.0
2170,17.0,24.0,18.0,38.0,11.0,1.0,6.0,12.0,301.0,5.0,31.0,2.0,45.0,361.0,0.0,82.0,22.0,475.0,120.0,269.0,8.0,51.0,184.0,41.0,534.0,222.0,63.0,116.0,518.0,103.0
2219,17.0,40.0,14.0,69.0,11.0,3.0,0.0,26.0,110.0,5.0,34.0,7.0,380.0,21.0,20.0,2.0,50.0,70.0,44.0,102.0,15.0,160.0,268.0,6.0,75.0,376.0,189.0,369.0,520.0,114.0
2268,3.0,2.0,61.0,49.0,0.0,5.0,21.0,13.0,84.0,6.0,8.0,12.0,42.0,79.0,1.0,38.0,51.0,19.0,54.0,25.0,7.0,30.0,94.0,40.0,9.0,20.0,93.0,80.0,82.0,63.0
2317,12.0,0.0,7.0,131.0,3.0,18.0,135.0,54.0,69.0,4.0,1.0,14.0,8.0,10.0,79.0,210.0,187.0,82.0,105.0,15.0,6.0,246.0,287.0,9.0,572.0,23.0,24.0,167.0,78.0,33.0
2366,19.0,0.0,1.0,45.0,2.0,4.0,102.0,402.0,100.0,5.0,10.0,50.0,93.0,39.0,63.0,249.0,31.0,7.0,255.0,18.0,11.0,91.0,234.0,13.0,406.0,59.0,9.0,119.0,57.0,76.0
2415,38.0,0.0,13.0,54.0,3.0,6.0,442.0,2.0,23.0,4.0,20.0,59.0,196.0,70.0,99.0,96.0,150.0,15.0,33.0,24.0,10.0,510.0,441.0,7.0,470.0,87.0,84.0,114.0,212.0,439.0
2464,1.0,64.0,0.0,10.0,25.0,33.0,177.0,2.0,4.0,27.0,52.0,26.0,23.0,12.0,73.0,69.0,167.0,206.0,534.0,9.0,86.0,291.0,395.0,13.0,245.0,116.0,305.0,18.0,92.0,188.0
2513,4.0,6.0,0.0,37.0,14.0,5.0,261.0,2.0,1.0,3.0,577.0,43.0,23.0,8.0,7.0,422.0,74.0,258.0,35.0,46.0,47.0,445.0,50.0,365.0,215.0,79.0,416.0,322.0,341.0,100.0
2562,4.0,9.0,0.0,15.0,55.0,49.0,30.0,7.0,2.0,12.0,117.0,120.0,153.0,6.0,14.0,25.0,10.0,58.0,60.0,56.0,308.0,13.0,42.0,1.0,189.0,174.0,16.0,111.0,374.0,180.0
2611,0.0,31.0,1.0,6.0,3.0,46.0,13.0,2.0,4.0,5.0,48.0,33.0,110.0,60.0,8.0,102.0,41.0,43.0,28.0,91.0,178.0,68.0,231.0,507.0,125.0,288.0,246.0,302.0,159.0,20.0
2660,0.0,15.0,1.0,11.0,335.0,18.0,26.0,23.0,4.0,22.0,149.0,14.0,48.0,8.0,5.0,46.0,43.0,3.0,159.0,185.0,63.0,410.0,10.0,20.0,176.0,323.0,67.0,85.0,28.0,218.0
2709,3.0,19.0,0.0,9.0,224.0,204.0,6.0,1.0,28.0,5.0,72.0,286.0,34.0,39.0,305.0,117.0,2.0,154.0,87.0,101.0,92.0,239.0,64.0,63.0,489.0,609.0,27.0,508.0,55.0,52.0
2758,23.0,2.0,8.0,0.0,113.0,234.0,21.0,5.0,3.0,66.0,33.0,138.0,102.0,42.0,1.0,29.0,37.0,12.0,219.0,72.0,109.0,622.0,82.0,7.0,84.0,482.0,120.0,625.0,26.0,4.0
2807,0.0,3.0,42.0,1.0,6.0,7.0,84.0,75.0,37.0,83.0,17.0,9.0,18.0,5.0,2.0,36.0,13.0,26.0,94.0,67.0,12.0,164.0,293.0,15.0,152.0,45.0,21.0,413.0,86.0,256.0
2856,11.0,1.0,6.0,0.0,5.0,7.0,370.0,197.0,4.0,147.0,3.0,207.0,100.0,2.0,93.0,173.0,8.0,215.0,40.0,25.0,10.0,99.0,29.0,48.0,107.0,166.0,330.0,482.0,13.0,68.0
2905,10.0,20.0,5.0,1.0,3.0,23.0,65.0,15.0,4.0,24.0,33.0,190.0,78.0,6.0,0.0,64.0,116.0,26.0,60.0,28.0,31.0,217.0,194.0,462.0,92.0,2.0,584.0,162.0,40.0,17.0
2954,27.0,6.0,54.0,5.0,0.0,7.0,200.0,13.0,11.0,2.0,78.0,38.0,3.0,37.0,415.0,46.0,67.0,4.0,10.0,203.0,26.0,73.0,500.0,132.0,99.0,206.0,354.0,18.0,25.0,1.0
3003,14.0,4.0,314.0,8.0,32.0,2.0,18.0,1.0,11.0,9.0,102.0,52.0,3.0,7.0,64.0,31.0,38.0,5.0,0.0,23.0,233.0,359.0,399.0,272.0,30.0,568.0,254.0,88.0,407.0,16.0
3052,103.0,5.0,55.0,0.0,1.0,4.0,6.0,3.0,28.0,16.0,49.0,97.0,17.0,19.0,265.0,37.0,134.0,2.0,7.0,11.0,311.0,70.0,53.0,573.0,15.0,50.0,185.0,14.0,46.0,192.0
3101,4.0,2.0,45.0,0.0,17.0,16.0,262.0,119.0,3.0,21.0,14.0,12.0,381.0,35.0,311.0,5.0,345.0,10.0,58.0,6.0,373.0,298.0,173.0,374.0,169.0,231.0,605.0,287.0,290.0,43.0
3150,6.0,2.0,1.0,4.0,20.0,12.0,24.0,5.0,0.0,16.0,27.0,70.0,35.0,11.0,21.0,66.0,8.0,56.0,22.0,38.0,65.0,3.0,17.0,197.0,33.0,18.0,143.0,47.0,28.0,14.0
3199,25.0,7.0,2.0,0.0,14.0,243.0,545.0,21.0,1.0,34.0,10.0,451.0,577.0,11.0,42.0,124.0,235.0,3.0,154.0,32.0,420.0,123.0,43.0,116.0,9.0,51.0,147.0,55.0,78.0,5.0
3248,0.0,1.0,2.0,8.0,17.0,46.0,5.0,274.0,4.0,38.0,33.0,11.0,305.0,6.0,167.0,29.0,16.0,26.0,12.0,19.0,592.0,40.0,9.0,50.0,81.0,51.0,49.0,28.0,23.0,67.0
3297,3.0,17.0,1.0,60.0,20.0,46.0,226.0,23.0,0.0,87.0,9.0,24.0,13.0,96.0,14.0,150.0,27.0,7.0,4.0,5.0,74.0,6.0,35.0,67.0,95.0,284.0,497.0,8.0,439.0,136.0
3346,8.0,7.0,4.0,6.0,23.0,40.0,55.0,12.0,0.0,18.0,89.0,10.0,65.0,11.0,2.0,354.0,76.0,136.0,38.0,5.0,308.0,33.0,62.0,52.0,14.0,31.0,51.0,64.0,627.0,132.0
3395,4.0,2.0,0.0,7.0,1.0,77.0,61.0,26.0,5.0,40.0,11.0,280.0,191.0,76.0,39.0,50.0,3.0,15.0,53.0,9.0,100.0,17.0,88.0,182.0,14.0,148.0,229.0,110.0,46.0,152.0
3444,1.0,462.0,2.0,88.0,67.0,19.0,33.0,9.0,4.0,178.0,28.0,202.0,54.0,15.0,24.0,11.0,31.0,18.0,26.0,311.0,8.0,193.0,117.0,208.0,16.0,63.0,455.0,221.0,97.0,30.0
3493,15.0,38.0,1.0,28.0,10.0,4.0,146.0,0.0,16.0,58.0,66.0,12.0,54.0,19.0,6.0,11.0,321.0,2.0,48.0,32.0,24.0,171.0,127.0,192.0,222.0,20.0,529.0,116.0,97.0,5.0
3542,17.0,39.0,13.0,8.0,2.0,9.0,42.0,0.0,34.0,5.0,75.0,264.0,357.0,11.0,4.0,101.0,29.0,49.0,83.0,20.0,73.0,199.0,7.0,244.0,22.0,14.0,428.0,216.0,30.0,1.0
3591,14.0,71.0,27.0,8.0,5.0,7.0,46.0,1.0,17.0,0.0,10.0,41.0,351.0,79.0,21.0,267.0,32.0,2.0,346.0,34.0,13.0,51.0,218.0,489.0,16.0,29.0,308.0,33.0,58.0,11.0
3640,15.0,67.0,7.0,23.0,0.0,53.0,19.0,1.0,96.0,11.0,5.0,137.0,302.0,45.0,12.0,238.0,46.0,2.0,66.0,78.0,189.0,144.0,61.0,49.0,47.0,10.0,450.0,79.0,521.0,14.0
3689,82.0,2.0,6.0,87.0,0.0,4.0,25.0,8.0,31.0,3.0,99.0,32.0,13.0,37.0,94.0,344.0,559.0,65.0,7.0,190.0,5.0,312.0,147.0,305.0,194.0,12.0,409.0,608.0,46.0,14.0
3738,161.0,3.0,55.0,0.0,2.0,6.0,9.0,24.0,1.0,51.0,36.0,5.0,72.0,297.0,16.0,112.0,403.0,65.0,35.0,440.0,369.0,342.0,44.0,73.0,295.0,4.0,446.0,81.0,372.0,37.0
3787,7.0,2.0,83.0,11.0,0.0,5.0,16.0,1.0,15.0,19.0,73.0,25.0,271.0,102.0,90.0,12.0,359.0,48.0,106.0,49.0,130.0,103.0,45.0,503.0,21.0,14.0,29.0,129.0,30.0,6.0
3836,28.0,5.0,12.0,4.0,6.0,32.0,161.0,1.0,2.0,92.0,8.0,434.0,103.0,44.0,0.0,288.0,237.0,22.0,69.0,245.0,325.0,181.0,130.0,30.0,64.0,360.0,314.0,17.0,43.0,54.0
3885,9.0,1.0,156.0,0.0,6.0,12.0,106.0,4.0,3.0,223.0,273.0,36.0,208.0,53.0,30.0,217.0,501.0,2.0,400.0,157.0,57.0,196.0,283.0,198.0,32.0,5.0,424.0,11.0,75.0,179.0
3934,3.0,2.0,1.0,129.0,4.0,12.0,31.0,13.0,72.0,128.0,116.0,10.0,53.0,234.0,274.0,89.0,25.0,61.0,393.0,7.0,558.0,125.0,5.0,157.0,217.0,15.0,67.0,24.0,118.0,95.0
3983,3.0,0.0,9.0,490.0,2.0,7.0,20.0,61.0,44.0,493.0,10.0,4.0,8.0,36.0,82.0,34.0,132.0,42.0,30.0,104.0,32.0,222.0,6.0,66.0,394.0,129.0,133.0,1.0,97.0,330.0
4032,1.0,23.0,4.0,133.0,0.0,40.0,434.0,72.0,73.0,519.0,21.0,20.0,298.0,93.0,34.0,41.0,50.0,96.0,270.0,2.0,8.0,12.0,7.0,15.0,139.0,172.0,81.0,38.0,59.0,176.0
4081,23.0,7.0,0.0,349.0,41.0,4.0,169.0,36.0,149.0,141.0,192.0,2.0,92.0,67.0,59.0,585.0,491.0,71.0,186.0,13.0,32.0,111.0,1.0,69.0,15.0,416.0,87.0,19.0,31.0,8.0
4130,3.0,11.0,2.0,426.0,0.0,1.0,41.0,50.0,62.0,75.0,5.0,15.0,14.0,37.0,92.0,182.0,521.0,334.0,33.0,12.0,8.0,9.0,4.0,84.0,32.0,275.0,6.0,22.0,7.0,55.0
4179,5.0,34.0,0.0,45.0,10.0,12.0,47.0,238.0,15.0,8.0,32.0,28.0,104.0,71.0,13.0,297.0,150.0,179.0,31.0,2.0,14.0,1.0,3.0,137.0,74.0,63.0,16.0,44.0,18.0,85.0
4228,2.0,6.0,14.0,32.0,0.0,17.0,11.0,15.0,1.0,79.0,12.0,49.0,88.0,23.0,19.0,233.0,35.0,153.0,5.0,42.0,73.0,27.0,31.0,289.0,46.0,87.0,13.0,148.0,45.0,4.0
4277,9.0,33.0,3.0,23.0,0.0,7.0,112.0,5.0,257.0,126.0,1.0,392.0,53.0,151.0,71.0,118.0,41.0,352.0,11.0,2.0,32.0,24.0,12.0,14.0,132.0,141.0,46.0,283.0,20.0,28.0
4326,8.0,2.0,5.0,427.0,0.0,1.0,175.0,72.0,136.0,14.0,187.0,57.0,11.0,34.0,504.0,47.0,98.0,198.0,43.0,3.0,17.0,7.0,16.0,21.0,241.0,595.0,27.0,121.0,69.0,277.0
4375,70.0,3.0,4.0,7.0,2.0,0.0,199.0,93.0,77.0,87.0,219.0,30.0,552.0,13.0,207.0,21.0,23.0,39.0,66.0,78.0,10.0,227.0,8.0,138.0,49.0,580.0,12.0,519.0,71.0,264.0
4424,2.0,178.0,0.0,20.0,217.0,395.0,1.0,3.0,154.0,7.0,136.0,98.0,8.0,13.0,356.0,12.0,312.0,354.0,29.0,94.0,15.0,272.0,386.0,25.0,165.0,236.0,4.0,228.0,70.0,46.0
4473,13.0,136.0,6.0,11.0,235.0,129.0,5.0,32.0,14.0,41.0,19.0,217.0,9.0,67.0,15.0,50.0,455.0,358.0,0.0,556.0,42.0,223.0,472.0,106.0,151.0,8.0,1.0,12.0,36.0,62.0
4522,3.0,12.0,465.0,2.0,0.0,24.0,219.0,5.0,1.0,216.0,98.0,8.0,439.0,123.0,77.0,45.0,46.0,374.0,27.0,25.0,14.0,185.0,26.0,40.0,96.0,33.0,6.0,30.0,580.0,52.0
4571,6.0,41.0,3.0,17.0,55.0,174.0,15.0,20.0,135.0,56.0,27.0,0.0,45.0,52.0,4.0,5.0,263.0,119.0,21.0,94.0,40.0,96.0,474.0,292.0,93.0,32.0,26.0,12.0,367.0,61.0
4620,0.0,2.0,127.0,15.0,17.0,48.0,29.0,1.0,20.0,52.0,40.0,11.0,36.0,89.0,8.0,42.0,43.0,19.0,3.0,329.0,132.0,13.0,536.0,34.0,16.0,53.0,22.0,4.0,489.0,196.0
4669,3.0,8.0,25.0,4.0,26.0,105.0,7.0,1.0,22.0,32.0,2.0,15.0,93.0,121.0,88.0,0.0,576.0,107.0,66.0,224.0,544.0,18.0,396.0,70.0,5.0,78.0,9.0,34.0,132.0,319.0
4718,2.0,7.0,16.0,104.0,5.0,12.0,33.0,17.0,68.0,20.0,25.0,1.0,44.0,13.0,46.0,8.0,40.0,600.0,203.0,18.0,72.0,10.0,430.0,58.0,22.0,381.0,38.0,4.0,54.0,259.0
4767,0.0,33.0,26.0,25.0,1.0,18.0,5.0,51.0,93.0,24.0,342.0,8.0,19.0,29.0,50.0,119.0,21.0,598.0,41.0,27.0,3.0,11.0,13.0,42.0,12.0,105.0,4.0,137.0,60.0,310.0
4816,1.0,4.0,33.0,6.0,13.0,15.0,7.0,56.0,11.0,124.0,5.0,122.0,165.0,73.0,40.0,0.0,44.0,179.0,204.0,30.0,119.0,2.0,67.0,298.0,10.0,616.0,272.0,31.0,266.0,57.0
4865,2.0,6.0,40.0,155.0,65.0,20.0,8.0,211.0,78.0,16.0,26.0,35.0,86.0,176.0,12.0,22.0,167.0,264.0,1.0,55.0,404.0,0.0,131.0,53.0,4.0,109.0,59.0,81.0,47.0,38.0
