,MIR744_DEL,FAM84B_AMP,CDRT4_DEL,FAM66D_DEL,MYH4_DEL,PRODH_DEL,LOC100133267_DEL,LOC727677_AMP,COX10_DEL,GRM5_DEL,USP17L7_DEL,TMEM88_DEL,BMPR2_AMP,FAM64A_DEL,MAP2K4_DEL,FAM18B2-CDRT4_DEL,TEKT3_DEL,PPFIBP1_AMP,FAM86B1_DEL,SPRR2G_AMP,DERL1_AMP,ZNF705D_DEL,OR4N2_DEL,CDRT7_DEL,LOC284344_DEL,OR4K5_DEL,NRXN3_DEL,METTL20_AMP,PGLYRP3_AMP,PRR5-ARHGAP8_DEL
32,19.0,10.0,1.0,12.0,31.0,13.0,42.0,7.0,69.0,4.0,16.0,8.0,309.0,35.0,79.0,43.0,121.0,66.0,0.0,52.0,54.0,883.0,171.0,23.0,57.0,88.0,3.0,781.0,5.0,303.0
81,7.0,29.0,1.0,129.0,13.0,78.0,14.0,35.0,100.0,983.0,90.0,2.0,21822.0,27.0,82.0,46.0,45.0,68.0,11.0,31.0,5.0,415.0,490.0,22.0,1100.0,43.0,20.0,642.0,3.0,1268.0
130,16.0,8.0,37.0,69.0,29.0,93.0,27.0,4.0,130.0,9.0,18.0,25.0,948.0,43.0,32.0,132.0,31.0,226.0,10.0,35.0,6.0,82.0,498.0,34.0,1.0,17.0,12.0,610.0,1290.0,12742.0
179,9.0,204.0,21.0,226.0,16.0,2.0,18800.0,1.0,24.0,14.0,62.0,4.0,859.0,44.0,10.0,19085.0,146.0,108.0,5.0,66.0,63.0,57.0,3891.0,119.0,29.0,241.0,15.0,2107.0,12.0,10686.0
228,129.0,2.0,8.0,25.0,50.0,15.0,3.0,4.0,28.0,1.0,30.0,45.0,363.0,56.0,114.0,51.0,152.0,113.0,22.0,5.0,0.0,67.0,335.0,174.0,336.0,800.0,86.0,321.0,12.0,643.0
277,18.0,0.0,31.0,112.0,14.0,1.0,150.0,7.0,262.0,8.0,106.0,22.0,83.0,208.0,6.0,151.0,45.0,23432.0,43.0,808.0,612.0,127.0,159.0,67.0,4.0,2.0,301.0,14386.0,18066.0,1015.0
326,27.0,5.0,32.0,118.0,2.0,11.0,61.0,41.0,16.0,4.0,694.0,15.0,21838.0,222.0,73.0,160.0,161.0,171.0,19.0,38.0,164.0,1069.0,12.0,1772.0,962.0,9.0,340.0,289.0,373.0,2672.0
375,79.0,0.0,17.0,1.0,14.0,38.0,58.0,3.0,74.0,2.0,27.0,51.0,15.0,29.0,2120.0,22.0,68.0,92.0,53.0,246.0,65.0,110.0,107.0,57.0,94.0,41.0,127.0,551.0,43.0,10686.0
424,21.0,4.0,2.0,42.0,63.0,12.0,293.0,3.0,75.0,87.0,20.0,39.0,21853.0,192.0,146.0,112.0,172.0,23405.0,1.0,109.0,6.0,202.0,51.0,55.0,757.0,70.0,7.0,14321.0,19.0,12726.0
473,112.0,1.0,17.0,33.0,29.0,84.0,4.0,5.0,8.0,312.0,15.0,7.0,1136.0,62.0,98.0,76.0,113.0,455.0,0.0,414.0,134.0,11.0,99.0,57.0,85.0,83.0,56.0,17405.0,123.0,12295.0
