,HAEMATOPOIETIC,NERVOUS,SKIN,LUNG,PANCREAS,BREAST,OVARY,SOFT_TISSUE,GANGLIA,URINARY,STOMACH,BONE,LIVER,LARGE_INTESTINE,OESOPHAGUS,KIDNEY,ENDOMETRIUM,PLEURA,PROSTATE,THYROID,AERODIGESTIVE,SALIVARY,BILIARY
48,2.0,8.0,7.0,16.0,0.0,5.0,10.0,4.0,6.0,1.0,15.0,13.0,12.0,11.0,9.0,19.0,3.0,14.0,17.0,18.0,21.0,20.0,22.0
97,0.0,4.0,7.0,2.0,9.0,10.0,5.0,17.0,1.0,11.0,3.0,14.0,8.0,13.0,12.0,6.0,15.0,19.0,16.0,18.0,20.0,21.0,22.0
146,0.0,4.0,8.0,1.0,11.0,12.0,18.0,13.0,7.0,3.0,2.0,10.0,14.0,9.0,5.0,6.0,15.0,19.0,16.0,17.0,20.0,21.0,22.0
195,11.0,8.0,4.0,0.0,1.0,2.0,7.0,16.0,18.0,9.0,10.0,13.0,3.0,6.0,12.0,5.0,15.0,14.0,19.0,17.0,21.0,20.0,22.0
244,9.0,6.0,10.0,5.0,0.0,11.0,1.0,12.0,3.0,7.0,8.0,15.0,14.0,13.0,4.0,19.0,2.0,16.0,17.0,18.0,21.0,20.0,22.0
293,0.0,1.0,7.0,2.0,16.0,5.0,10.0,4.0,3.0,8.0,9.0,12.0,11.0,14.0,6.0,15.0,18.0,13.0,17.0,19.0,21.0,20.0,22.0
342,0.0,1.0,3.0,16.0,6.0,2.0,7.0,5.0,10.0,8.0,14.0,12.0,11.0,13.0,9.0,15.0,4.0,18.0,17.0,19.0,21.0,20.0,22.0
391,0.0,4.0,1.0,18.0,6.0,11.0,5.0,7.0,8.0,3.0,2.0,10.0,9.0,13.0,14.0,15.0,12.0,16.0,17.0,19.0,21.0,20.0,22.0
440,0.0,8.0,6.0,1.0,11.0,5.0,7.0,4.0,3.0,9.0,10.0,13.0,12.0,2.0,16.0,15.0,14.0,18.0,17.0,19.0,21.0,20.0,22.0
489,0.0,5.0,12.0,2.0,1.0,3.0,14.0,13.0,8.0,4.0,15.0,16.0,9.0,17.0,7.0,6.0,10.0,11.0,18.0,19.0,21.0,20.0,22.0
538,12.0,1.0,3.0,16.0,7.0,6.0,19.0,11.0,2.0,9.0,13.0,4.0,5.0,0.0,8.0,10.0,14.0,18.0,17.0,15.0,21.0,20.0,22.0
587,4.0,3.0,15.0,13.0,0.0,6.0,18.0,14.0,5.0,2.0,1.0,7.0,19.0,10.0,9.0,17.0,11.0,12.0,8.0,16.0,20.0,21.0,22.0
636,7.0,9.0,11.0,6.0,0.0,12.0,8.0,4.0,5.0,14.0,10.0,2.0,13.0,3.0,15.0,19.0,1.0,20.0,17.0,18.0,16.0,21.0,22.0
685,0.0,13.0,6.0,10.0,1.0,3.0,4.0,7.0,5.0,12.0,11.0,9.0,17.0,8.0,14.0,19.0,2.0,20.0,16.0,18.0,15.0,21.0,22.0
734,0.0,9.0,7.0,1.0,11.0,6.0,12.0,5.0,15.0,14.0,10.0,3.0,13.0,4.0,8.0,19.0,2.0,20.0,17.0,18.0,16.0,21.0,22.0
783,1.0,10.0,7.0,2.0,0.0,17.0,9.0,8.0,14.0,11.0,12.0,4.0,13.0,6.0,5.0,15.0,3.0,16.0,20.0,19.0,18.0,21.0,22.0
832,8.0,0.0,7.0,2.0,15.0,1.0,12.0,5.0,6.0,9.0,10.0,3.0,13.0,4.0,11.0,18.0,14.0,19.0,17.0,21.0,16.0,20.0,22.0
881,5.0,0.0,6.0,16.0,2.0,11.0,4.0,7.0,1.0,3.0,19.0,9.0,8.0,13.0,12.0,18.0,10.0,20.0,14.0,17.0,15.0,21.0,22.0
930,8.0,1.0,7.0,15.0,0.0,12.0,13.0,5.0,6.0,9.0,10.0,2.0,3.0,4.0,11.0,19.0,14.0,21.0,17.0,18.0,16.0,20.0,22.0
979,13.0,9.0,0.0,16.0,7.0,6.0,8.0,5.0,14.0,15.0,10.0,3.0,4.0,2.0,11.0,12.0,1.0,18.0,17.0,19.0,20.0,21.0,22.0
1028,9.0,7.0,5.0,1.0,10.0,13.0,6.0,18.0,14.0,8.0,0.0,2.0,3.0,4.0,12.0,11.0,16.0,15.0,17.0,19.0,20.0,21.0,22.0
1077,4.0,2.0,18.0,13.0,1.0,6.0,3.0,7.0,16.0,14.0,0.0,10.0,9.0,8.0,5.0,15.0,11.0,12.0,17.0,19.0,20.0,21.0,22.0
1126,8.0,1.0,15.0,7.0,0.0,6.0,12.0,5.0,4.0,9.0,10.0,13.0,3.0,2.0,14.0,11.0,20.0,18.0,17.0,19.0,16.0,21.0,22.0
1175,7.0,12.0,6.0,17.0,5.0,15.0,11.0,4.0,3.0,8.0,9.0,1.0,2.0,0.0,10.0,16.0,14.0,13.0,18.0,19.0,20.0,21.0,22.0
1224,7.0,1.0,6.0,2.0,10.0,20.0,11.0,4.0,0.0,8.0,9.0,3.0,12.0,13.0,5.0,15.0,14.0,18.0,17.0,19.0,16.0,21.0,22.0
1273,5.0,3.0,16.0,12.0,0.0,13.0,4.0,8.0,7.0,1.0,2.0,10.0,15.0,9.0,14.0,18.0,6.0,11.0,17.0,21.0,19.0,20.0,22.0
