,Caspase-7_cleavedD198,Lck,Chk1,IRS1,Rb,PDK1_pS241,Paxillin,NDRG1_pT346,Porin,Bim(EP1036),Beclin,MSH6,ADAR1,Fibronectin,4E-BP1,A-Raf_pS299,4E-BP1_pT37_T46,Acetyl-a-Tubulin (Lys40),PEA15,YAP_pS127,AMPK_pT172,PAI-1,PDK1,PDCD4,Stathmin,p70S6K_pT389,PI3K-p110-alpha,PI3K-p85,p90RSK_pT359_S363,PEA15_pS116
6,103.0,0.0,99.0,4.0,3.0,37.0,43.0,14.0,5.0,109.0,11.0,28.0,2.0,30.0,25.0,124.0,27.0,1.0,18.0,74.0,35.0,44.0,57.0,19.0,62.0,47.0,38.0,10.0,46.0,39.0
55,1.0,22.0,126.0,9.0,13.0,34.0,27.0,30.0,0.0,8.0,93.0,4.0,3.0,158.0,112.0,5.0,114.0,23.0,32.0,70.0,122.0,40.0,36.0,53.0,2.0,43.0,33.0,26.0,42.0,35.0
104,28.0,8.0,128.0,135.0,22.0,11.0,37.0,0.0,9.0,101.0,96.0,143.0,126.0,25.0,3.0,115.0,113.0,30.0,40.0,61.0,123.0,57.0,20.0,42.0,4.0,46.0,41.0,58.0,45.0,43.0
153,7.0,8.0,109.0,138.0,23.0,37.0,12.0,11.0,22.0,98.0,24.0,13.0,1.0,158.0,113.0,10.0,30.0,119.0,42.0,60.0,34.0,45.0,36.0,43.0,2.0,5.0,40.0,21.0,49.0,39.0
202,1.0,139.0,128.0,26.0,80.0,18.0,20.0,28.0,8.0,97.0,93.0,33.0,0.0,156.0,17.0,114.0,9.0,117.0,16.0,12.0,6.0,53.0,19.0,50.0,34.0,49.0,44.0,42.0,54.0,45.0
251,1.0,141.0,3.0,20.0,75.0,16.0,18.0,22.0,9.0,102.0,96.0,23.0,0.0,24.0,34.0,2.0,115.0,30.0,40.0,57.0,123.0,43.0,15.0,36.0,79.0,38.0,91.0,14.0,7.0,59.0
300,6.0,19.0,15.0,17.0,26.0,24.0,42.0,20.0,8.0,22.0,25.0,1.0,0.0,158.0,112.0,33.0,114.0,30.0,60.0,58.0,31.0,41.0,12.0,43.0,2.0,39.0,62.0,88.0,45.0,75.0
349,7.0,23.0,29.0,22.0,11.0,48.0,44.0,1.0,88.0,5.0,30.0,2.0,0.0,163.0,40.0,34.0,114.0,118.0,54.0,60.0,37.0,19.0,47.0,18.0,36.0,50.0,92.0,66.0,46.0,64.0
398,5.0,28.0,129.0,138.0,84.0,45.0,11.0,2.0,83.0,100.0,97.0,0.0,4.0,17.0,8.0,9.0,115.0,118.0,56.0,36.0,123.0,52.0,24.0,50.0,70.0,18.0,39.0,42.0,55.0,43.0
447,2.0,37.0,8.0,136.0,22.0,1.0,3.0,93.0,6.0,20.0,108.0,24.0,7.0,4.0,40.0,0.0,115.0,120.0,42.0,30.0,122.0,46.0,58.0,19.0,38.0,12.0,41.0,44.0,48.0,11.0
496,1.0,5.0,29.0,23.0,6.0,7.0,21.0,2.0,17.0,28.0,39.0,26.0,31.0,19.0,114.0,33.0,4.0,120.0,20.0,61.0,124.0,22.0,48.0,49.0,79.0,62.0,45.0,46.0,47.0,41.0
545,10.0,0.0,12.0,9.0,15.0,31.0,4.0,29.0,2.0,3.0,99.0,93.0,34.0,159.0,113.0,115.0,36.0,119.0,20.0,33.0,124.0,5.0,21.0,23.0,6.0,41.0,89.0,88.0,25.0,64.0
594,3.0,8.0,7.0,30.0,1.0,9.0,12.0,6.0,20.0,101.0,5.0,143.0,34.0,4.0,19.0,2.0,114.0,23.0,37.0,14.0,123.0,13.0,17.0,53.0,61.0,43.0,39.0,36.0,42.0,38.0
643,0.0,9.0,129.0,145.0,17.0,4.0,16.0,1.0,20.0,100.0,23.0,33.0,30.0,3.0,114.0,6.0,35.0,120.0,40.0,29.0,36.0,47.0,43.0,55.0,63.0,50.0,42.0,56.0,49.0,41.0
692,17.0,6.0,146.0,29.0,84.0,1.0,42.0,81.0,4.0,7.0,99.0,2.0,123.0,22.0,114.0,118.0,116.0,121.0,12.0,72.0,33.0,16.0,39.0,55.0,60.0,45.0,40.0,44.0,15.0,38.0
741,5.0,139.0,8.0,10.0,3.0,0.0,44.0,13.0,20.0,103.0,9.0,17.0,126.0,26.0,34.0,116.0,114.0,29.0,19.0,30.0,36.0,39.0,42.0,40.0,7.0,16.0,90.0,12.0,37.0,43.0
790,2.0,4.0,13.0,22.0,14.0,7.0,41.0,25.0,91.0,10.0,24.0,0.0,26.0,158.0,34.0,29.0,1.0,119.0,39.0,35.0,123.0,42.0,47.0,40.0,5.0,63.0,49.0,93.0,62.0,46.0
