,hsa-miR-24,hsa-miR-663,hsa-miR-148a,bkv-miR-B1-5p,hsa-miR-449b,hsa-miR-658,hsa-miR-155,hsa-miR-10a,hsa-miR-130a,hsa-miR-581,hsa-miR-584,hsa-miR-586,hsa-miR-583,hsa-miR-582-5p,hsa-miR-588,hsa-miR-587,hsa-miR-582-3p,hsa-miR-574-5p,hsa-miR-589,hsa-miR-579,hsa-miR-578,hsa-miR-577,hsa-miR-580,hsa-miR-576-5p,hsa-miR-576-3p,hsa-miR-590-3p,hsa-miR-626,hsa-miR-625,hsa-miR-627,hsa-miR-591
1147,35.0,6.0,364.0,16.0,537.0,312.0,8.0,431.0,11.0,29.0,53.0,54.0,52.0,51.0,57.0,55.0,50.0,76.0,62.0,47.0,59.0,60.0,48.0,69.0,61.0,104.0,276.0,275.0,277.0,98.0
1196,31.0,6.0,22.0,2.0,0.0,29.0,390.0,34.0,28.0,57.0,50.0,48.0,52.0,49.0,53.0,54.0,69.0,67.0,72.0,60.0,61.0,64.0,58.0,65.0,66.0,98.0,62.0,59.0,63.0,96.0
1245,593.0,3.0,340.0,198.0,13.0,11.0,23.0,430.0,28.0,9.0,18.0,48.0,50.0,52.0,44.0,47.0,53.0,51.0,43.0,49.0,58.0,55.0,56.0,35.0,54.0,46.0,73.0,72.0,74.0,96.0
1294,5.0,6.0,3.0,197.0,518.0,251.0,7.0,433.0,360.0,50.0,52.0,51.0,54.0,45.0,48.0,49.0,53.0,131.0,16.0,46.0,41.0,40.0,47.0,42.0,92.0,56.0,71.0,70.0,72.0,44.0
1343,0.0,22.0,32.0,8.0,538.0,6.0,5.0,34.0,26.0,53.0,49.0,48.0,50.0,51.0,59.0,47.0,52.0,95.0,43.0,55.0,30.0,56.0,54.0,57.0,58.0,44.0,66.0,67.0,65.0,60.0
1392,2.0,3.0,10.0,13.0,4.0,5.0,386.0,429.0,354.0,60.0,55.0,58.0,51.0,62.0,52.0,53.0,61.0,101.0,50.0,57.0,56.0,54.0,59.0,63.0,92.0,45.0,81.0,74.0,75.0,48.0
1441,1.0,256.0,339.0,0.0,541.0,19.0,387.0,6.0,25.0,52.0,48.0,47.0,11.0,50.0,45.0,58.0,51.0,43.0,20.0,55.0,56.0,57.0,53.0,46.0,49.0,41.0,69.0,31.0,40.0,42.0
1490,29.0,28.0,19.0,11.0,540.0,2.0,33.0,45.0,7.0,71.0,66.0,65.0,36.0,68.0,63.0,64.0,70.0,3.0,62.0,76.0,107.0,108.0,72.0,144.0,145.0,61.0,82.0,83.0,81.0,35.0
1539,0.0,12.0,11.0,10.0,13.0,9.0,7.0,433.0,30.0,60.0,45.0,61.0,57.0,46.0,58.0,59.0,63.0,51.0,64.0,62.0,52.0,56.0,55.0,54.0,53.0,50.0,78.0,77.0,79.0,47.0
1588,4.0,13.0,0.0,28.0,10.0,9.0,392.0,2.0,36.0,60.0,56.0,53.0,57.0,51.0,47.0,64.0,62.0,50.0,25.0,58.0,55.0,54.0,59.0,52.0,63.0,48.0,68.0,69.0,67.0,90.0
1637,593.0,6.0,0.0,25.0,540.0,252.0,388.0,42.0,355.0,24.0,46.0,45.0,23.0,47.0,95.0,66.0,48.0,31.0,9.0,50.0,26.0,51.0,49.0,54.0,56.0,87.0,64.0,37.0,53.0,84.0
1686,1.0,25.0,31.0,202.0,0.0,23.0,387.0,43.0,356.0,60.0,64.0,74.0,63.0,62.0,69.0,68.0,61.0,150.0,71.0,108.0,168.0,34.0,77.0,146.0,147.0,72.0,83.0,84.0,82.0,59.0
1735,9.0,8.0,338.0,4.0,539.0,256.0,386.0,36.0,2.0,46.0,56.0,59.0,55.0,62.0,57.0,60.0,63.0,0.0,53.0,61.0,54.0,47.0,58.0,32.0,49.0,52.0,37.0,74.0,75.0,50.0
1784,1.0,12.0,24.0,26.0,2.0,4.0,390.0,31.0,11.0,27.0,44.0,46.0,47.0,49.0,67.0,55.0,50.0,62.0,97.0,56.0,57.0,59.0,66.0,60.0,61.0,69.0,53.0,54.0,58.0,95.0
1833,6.0,8.0,345.0,12.0,5.0,258.0,393.0,30.0,358.0,61.0,51.0,52.0,64.0,59.0,65.0,63.0,60.0,54.0,91.0,62.0,43.0,58.0,55.0,57.0,56.0,67.0,68.0,69.0,175.0,86.0
1882,4.0,1.0,16.0,197.0,539.0,253.0,389.0,33.0,359.0,51.0,58.0,56.0,43.0,57.0,53.0,54.0,55.0,133.0,52.0,46.0,44.0,47.0,59.0,45.0,94.0,50.0,37.0,28.0,67.0,49.0
1931,2.0,1.0,19.0,4.0,539.0,256.0,389.0,431.0,355.0,20.0,52.0,51.0,53.0,54.0,48.0,50.0,56.0,27.0,47.0,62.0,63.0,64.0,67.0,57.0,55.0,46.0,58.0,66.0,60.0,59.0
1980,0.0,14.0,343.0,202.0,1.0,2.0,10.0,33.0,356.0,7.0,63.0,52.0,53.0,54.0,50.0,51.0,55.0,25.0,62.0,57.0,58.0,59.0,56.0,60.0,61.0,45.0,75.0,74.0,76.0,48.0
2029,0.0,257.0,19.0,4.0,31.0,37.0,387.0,429.0,356.0,43.0,45.0,50.0,46.0,51.0,93.0,96.0,44.0,62.0,92.0,53.0,55.0,58.0,65.0,59.0,60.0,91.0,57.0,56.0,61.0,88.0
2078,1.0,12.0,14.0,5.0,10.0,6.0,393.0,433.0,0.0,59.0,56.0,52.0,61.0,53.0,48.0,20.0,51.0,47.0,24.0,57.0,55.0,54.0,58.0,60.0,50.0,49.0,74.0,73.0,75.0,26.0
