,SYT17,SRPX,AF241725.6,IL16,RSPH1,CHST15,GDE1,AEBP1,DAAM1,VPS33B,TMCC1,EXD2,KCND2,TSC22D2,CNFN,BCL2A1,RP11-458D21.1,CLCN4,PITX1,ST8SIA4,FA2H,ELF3,HIST1H2BK,RP11-575H3.1,FLI1,ABLIM1,SIX2,CD46,LA16c-380H5.5,FAM86DP
2265,106.0,32.0,38.0,1500.0,533.0,9.0,10593.0,12.0,130.0,1.0,14853.0,34.0,157.0,2.0,1742.0,4160.0,15897.0,160.0,51.0,383.0,235.0,258.0,2050.0,17.0,5417.0,627.0,793.0,194.0,64.0,12912.0
2314,20.0,9.0,38.0,5.0,128.0,42.0,25.0,40.0,24.0,14.0,14729.0,49.0,45.0,1140.0,545.0,140.0,170.0,6.0,330.0,389.0,10141.0,17394.0,26.0,195.0,204.0,1.0,16744.0,116.0,216.0,388.0
2363,4.0,2.0,14.0,1126.0,8615.0,134.0,11.0,189.0,440.0,1294.0,53.0,7239.0,6.0,660.0,12442.0,5.0,5571.0,1113.0,39.0,292.0,611.0,558.0,306.0,287.0,6779.0,224.0,28.0,21068.0,5134.0,2343.0
2412,4291.0,3.0,24.0,110.0,526.0,19696.0,25.0,23.0,4.0,288.0,33.0,7.0,83.0,14820.0,8047.0,238.0,293.0,35.0,21969.0,21920.0,11037.0,17410.0,21186.0,189.0,6443.0,57.0,16608.0,426.0,884.0,13111.0
2461,51.0,1251.0,406.0,292.0,20.0,182.0,84.0,80.0,3426.0,0.0,14743.0,361.0,300.0,7.0,2213.0,2.0,137.0,8.0,228.0,159.0,453.0,124.0,660.0,205.0,437.0,66.0,93.0,83.0,25.0,497.0
2510,84.0,710.0,14.0,69.0,441.0,89.0,1.0,189.0,3.0,760.0,31.0,256.0,107.0,526.0,71.0,178.0,999.0,536.0,85.0,100.0,11016.0,207.0,323.0,16988.0,307.0,952.0,2.0,185.0,11.0,467.0
2559,30.0,692.0,4.0,1.0,212.0,3.0,3117.0,23.0,108.0,15.0,28.0,17.0,218.0,0.0,7959.0,2284.0,542.0,134.0,316.0,137.0,11005.0,280.0,244.0,643.0,1217.0,19977.0,130.0,480.0,16.0,13135.0
2608,4.0,645.0,24.0,9.0,213.0,19.0,2.0,80.0,0.0,26.0,20.0,3099.0,127.0,3.0,62.0,103.0,159.0,1.0,87.0,282.0,314.0,71.0,21233.0,266.0,205.0,19985.0,5.0,77.0,166.0,111.0
2657,3995.0,8679.0,12.0,34.0,25.0,35.0,0.0,11.0,36.0,1819.0,9.0,2072.0,1.0,594.0,7953.0,354.0,389.0,30.0,6.0,214.0,11046.0,414.0,21242.0,88.0,883.0,1652.0,27.0,293.0,112.0,711.0
2706,3846.0,1144.0,103.0,4.0,163.0,12.0,122.0,125.0,315.0,3459.0,6.0,20.0,190.0,5.0,81.0,154.0,127.0,806.0,398.0,94.0,213.0,1.0,307.0,348.0,80.0,19978.0,138.0,87.0,349.0,13126.0
2755,43.0,239.0,37.0,81.0,282.0,104.0,0.0,32.0,12.0,836.0,1575.0,323.0,157.0,211.0,17.0,4608.0,864.0,9636.0,203.0,23.0,11018.0,196.0,2.0,1118.0,142.0,141.0,24.0,40.0,216.0,12890.0
2804,4.0,8671.0,1.0,6.0,141.0,12.0,5.0,3.0,258.0,7.0,340.0,245.0,23.0,44.0,66.0,134.0,15896.0,131.0,205.0,32.0,640.0,226.0,200.0,244.0,140.0,19991.0,0.0,270.0,47.0,481.0
2853,75.0,12122.0,10.0,448.0,568.0,193.0,8.0,61.0,13.0,10985.0,14806.0,48.0,78.0,227.0,9091.0,384.0,342.0,14.0,230.0,102.0,10424.0,340.0,29.0,629.0,27.0,1608.0,220.0,261.0,626.0,1451.0
2902,96.0,456.0,1.0,14.0,186.0,59.0,133.0,22061.0,381.0,445.0,14702.0,4583.0,213.0,11.0,51.0,1506.0,218.0,341.0,27.0,22.0,1590.0,46.0,238.0,506.0,5490.0,28.0,0.0,83.0,310.0,288.0
2951,0.0,1.0,102.0,24.0,121.0,1363.0,74.0,68.0,80.0,92.0,78.0,119.0,138.0,57.0,8.0,21.0,15891.0,7.0,474.0,382.0,40.0,17365.0,109.0,282.0,298.0,19916.0,16724.0,98.0,276.0,108.0
3000,48.0,19.0,2370.0,576.0,2.0,10.0,0.0,58.0,31.0,423.0,1.0,43.0,81.0,22.0,175.0,70.0,135.0,1486.0,114.0,3.0,153.0,399.0,207.0,200.0,73.0,75.0,426.0,16296.0,241.0,13792.0
3049,42.0,0.0,346.0,507.0,8.0,5.0,1.0,2.0,21.0,1240.0,190.0,150.0,75.0,24.0,92.0,87.0,102.0,11.0,4.0,184.0,239.0,402.0,27.0,123.0,20.0,750.0,16749.0,266.0,202.0,59.0
3098,12.0,11.0,467.0,596.0,48.0,164.0,3.0,91.0,73.0,175.0,13.0,59.0,21.0,149.0,146.0,18.0,112.0,1406.0,638.0,420.0,50.0,362.0,353.0,387.0,133.0,679.0,328.0,62.0,193.0,257.0
3147,0.0,48.0,57.0,39.0,120.0,172.0,1.0,147.0,3.0,220.0,10.0,30.0,61.0,14618.0,25.0,16.0,45.0,9583.0,2696.0,118.0,94.0,269.0,21228.0,191.0,418.0,355.0,33.0,74.0,145.0,27.0
3196,8.0,5.0,448.0,538.0,30.0,109.0,324.0,44.0,4.0,232.0,0.0,48.0,133.0,12.0,131.0,77.0,318.0,213.0,299.0,74.0,156.0,2952.0,57.0,126.0,343.0,16.0,16734.0,321.0,198.0,148.0
3245,5.0,28.0,9.0,372.0,0.0,8.0,3.0,124.0,166.0,308.0,658.0,54.0,22473.0,392.0,114.0,88.0,175.0,4213.0,241.0,74.0,167.0,1323.0,21249.0,1.0,47.0,19974.0,16.0,17849.0,862.0,199.0
3294,3.0,71.0,39.0,380.0,119.0,19940.0,19.0,169.0,91.0,3680.0,117.0,7.0,228.0,2.0,1.0,168.0,118.0,52.0,21975.0,160.0,58.0,17371.0,5.0,109.0,334.0,1251.0,10.0,11.0,539.0,210.0
3343,19.0,4.0,627.0,209.0,30.0,80.0,0.0,183.0,100.0,347.0,32.0,48.0,97.0,196.0,8.0,94.0,44.0,376.0,71.0,21468.0,86.0,21.0,13.0,206.0,130.0,74.0,24.0,17855.0,293.0,357.0
