,BRAF_MUT,KRAS.G12_13_MUT,KRAS_MUT,BRAF.V600E_MUT,BRAF.MC_MUT,NRAS_MUT,PAXIP1_MUT,OR2T11_AMP,KANK1_AMP,FAM153C_AMP,MAST2_MUT,FRMPD2P1_AMP,GSTM1_DEL,TNK2_MUT,ZDHHC11_AMP,ATP13A5_MUT,OR2T10_AMP,FAM74A2_DEL,MITF_AMP,MIR548AI_DEL,RASA3_AMP,OR51A4_DEL,MIR4635_AMP,ALPK2_MUT,INHBA_MUT,PRKCE_DEL,ANKS1B_DEL,UNC13C_MUT,LOC284344_DEL,TP53_MUT
1110,0.0,3.0,1.0,2.0,5.0,22.0,4.0,12.0,796.0,29.0,11.0,43.0,7.0,123.0,112.0,63.0,20.0,46.0,96.0,2477.0,2282.0,3133.0,24.0,98.0,13.0,19.0,225.0,315.0,1131.0,54.0
1159,0.0,1.0,3.0,2.0,4.0,16.0,8.0,6.0,25.0,608.0,973.0,29.0,51.0,14.0,70.0,5.0,102.0,1257.0,2174.0,3039.0,18.0,24.0,3445.0,1308.0,45.0,13041.0,1549.0,447.0,3394.0,200.0
1208,0.0,1.0,2.0,3.0,5.0,6.0,12.0,95.0,29.0,31.0,42.0,419.0,11.0,96.0,111.0,15.0,55.0,53.0,14364.0,30.0,216.0,5453.0,20323.0,54.0,10.0,23.0,85.0,189.0,572.0,49.0
1257,0.0,1.0,3.0,2.0,5.0,11.0,53.0,112.0,52.0,15.0,96.0,6.0,16.0,201.0,27.0,19.0,140.0,36.0,45.0,57.0,150.0,2487.0,532.0,194.0,23.0,2332.0,1006.0,3526.0,2062.0,335.0
1306,0.0,3.0,1.0,2.0,6.0,4.0,12.0,16.0,131.0,9.0,301.0,5.0,324.0,7.0,23003.0,10.0,19.0,67.0,115.0,37.0,22.0,81.0,41.0,182.0,97.0,29.0,32.0,847.0,1286.0,36.0
1355,0.0,2.0,1.0,4.0,5.0,11.0,18.0,739.0,41.0,7.0,8.0,3.0,16.0,6.0,22949.0,907.0,706.0,62.0,151.0,20883.0,237.0,3685.0,105.0,114.0,21.0,108.0,675.0,23.0,6895.0,19.0
1404,0.0,1.0,2.0,3.0,6.0,5.0,4.0,108.0,16.0,10.0,1180.0,17.0,21.0,13.0,142.0,143.0,57.0,140.0,211.0,20910.0,3105.0,24.0,2241.0,36.0,38.0,12719.0,12548.0,16582.0,3173.0,32.0
1453,0.0,2.0,4.0,6.0,5.0,12.0,13.0,8.0,127.0,9.0,9201.0,3.0,173.0,276.0,265.0,7.0,10.0,258.0,147.0,30.0,226.0,1138.0,212.0,2831.0,14.0,11326.0,11187.0,3525.0,6840.0,47.0
1502,0.0,1.0,2.0,5.0,12.0,3.0,9.0,542.0,46.0,6.0,4.0,209.0,149.0,346.0,190.0,67.0,175.0,38.0,23.0,1125.0,107.0,2104.0,62.0,309.0,14.0,2059.0,402.0,272.0,22.0,1792.0
1551,1.0,2.0,0.0,3.0,6.0,16.0,17.0,18478.0,356.0,15.0,9.0,1327.0,10.0,1958.0,13.0,118.0,1517.0,273.0,8.0,3665.0,1535.0,1408.0,16059.0,1423.0,1493.0,303.0,12489.0,58.0,24.0,202.0
