,ETV4,GPR35,APLP1,DUSP6,TUBA1A,ZNF793,MAGEE1,NPAS2,PPP1R3F,MBP,SPRY2,VPS37B,FOXQ1,TMEM132A,C15orf59,PRSS3,CABLES2,CASP4,GPR137,CLSTN2,MC5R,THAP8,ARHGAP18,SYNC,SOGA1,MYLK2,MTA3,TMEM33,ERO1L,S100A6
501,1.0,6.0,4.0,2.0,9.0,16.0,31.0,10.0,27.0,3.0,0.0,14.0,221.0,8.0,36.0,22.0,18.0,77.0,38.0,147.0,145.0,19.0,46.0,51.0,87.0,85.0,20.0,80.0,115.0,111.0
550,0.0,3.0,4.0,1.0,115.0,17.0,22.0,18.0,21.0,11.0,93.0,5.0,12.0,43.0,29.0,87.0,45.0,71.0,9.0,41.0,12412.0,131.0,14.0,62.0,183.0,83.0,269.0,65.0,24.0,137.0
599,0.0,3.0,1.0,13.0,361.0,134.0,16.0,469.0,23.0,52.0,10.0,6.0,36.0,67.0,9.0,76.0,2.0,179.0,20.0,733.0,12402.0,64.0,25.0,73.0,33.0,80.0,26.0,207.0,95.0,5.0
648,0.0,3.0,8.0,17.0,21.0,10.0,30.0,19.0,36.0,49.0,13.0,14.0,509.0,52.0,6.0,5.0,20.0,35.0,24.0,225.0,1.0,55.0,23.0,141.0,38.0,80.0,79.0,12.0,33.0,84.0
697,0.0,1.0,4.0,7.0,119.0,130.0,11.0,26.0,304.0,70.0,6.0,2.0,868.0,51.0,3.0,47.0,58.0,33.0,56.0,77.0,128.0,7894.0,57.0,22.0,46.0,13.0,190.0,8.0,1408.0,18.0
746,0.0,6.0,2.0,5.0,283.0,10.0,9.0,1.0,31.0,29.0,8.0,98.0,20781.0,25.0,21.0,52.0,36.0,27.0,40.0,28.0,2361.0,48.0,32.0,60.0,12.0,69.0,238.0,81.0,39.0,19.0
795,0.0,3.0,1.0,2.0,17.0,8.0,7.0,34.0,5.0,10.0,6.0,16.0,110.0,44.0,27.0,66.0,72.0,19.0,33.0,14514.0,81.0,75.0,49.0,16514.0,31.0,39.0,268.0,2577.0,4.0,68.0
844,2.0,3.0,1.0,7.0,5032.0,14.0,4.0,37.0,39.0,34.0,20.0,27.0,8.0,50.0,10.0,9.0,25.0,57.0,47.0,0.0,12375.0,93.0,84.0,51.0,22.0,56.0,11.0,160.0,46.0,418.0
893,0.0,1.0,10.0,59.0,227.0,16.0,2.0,4.0,29.0,36.0,852.0,67.0,19.0,81.0,24.0,28.0,7.0,48.0,37.0,14795.0,49.0,103.0,32.0,16536.0,159.0,61.0,125.0,58.0,85.0,158.0
942,0.0,10.0,11.0,6.0,309.0,15.0,4.0,9.0,28.0,48.0,1.0,32.0,405.0,34.0,7.0,3.0,25.0,47.0,14.0,282.0,67.0,75.0,18.0,36.0,39.0,17.0,151.0,31.0,239.0,200.0
991,1.0,6.0,12.0,102.0,13.0,11.0,3.0,15889.0,0.0,26.0,36.0,66.0,18.0,53.0,45.0,134.0,94.0,64.0,15.0,2524.0,52.0,55.0,32.0,21.0,33.0,8608.0,40.0,12909.0,92.0,50.0
1040,2.0,5.0,3.0,15.0,12.0,22.0,0.0,34.0,11.0,24.0,58.0,17.0,1.0,55.0,76.0,6.0,28.0,48.0,13.0,14750.0,106.0,32.0,23254.0,8.0,71.0,45.0,29.0,73.0,68.0,21.0
1089,0.0,3.0,13.0,8.0,7.0,5.0,1.0,88.0,16.0,14.0,101.0,6014.0,6.0,29.0,47.0,166.0,40.0,54.0,63.0,557.0,67.0,115.0,23263.0,50.0,22.0,49.0,46.0,31.0,85.0,2.0
1138,9.0,6.0,5.0,4.0,7.0,186.0,2.0,17036.0,1.0,43.0,30.0,13.0,0.0,41.0,49.0,74.0,60.0,34.0,108.0,66.0,1713.0,63.0,23255.0,20.0,73.0,26.0,24.0,1136.0,64.0,12.0
1187,0.0,1.0,2.0,14.0,124.0,18.0,4.0,16962.0,3.0,22.0,164.0,2328.0,13.0,34.0,32.0,50.0,52.0,938.0,43.0,14739.0,118.0,145.0,23244.0,19.0,16.0,41.0,98.0,87.0,101.0,9.0
1236,0.0,7.0,4.0,3.0,5.0,1.0,2.0,1022.0,8.0,36.0,14.0,10.0,9.0,45.0,63.0,115.0,109.0,24.0,5569.0,14538.0,16.0,79.0,23264.0,47.0,1659.0,86.0,58.0,108.0,3365.0,21.0
1285,0.0,5.0,8.0,7.0,6.0,4.0,1.0,60.0,2.0,50.0,111.0,27.0,3.0,18.0,42.0,907.0,71.0,49.0,20.0,14762.0,132.0,34.0,23263.0,21.0,6965.0,169.0,37.0,51.0,1093.0,19.0
1334,0.0,6.0,4.0,1.0,2.0,12.0,3.0,17021.0,71.0,25.0,14.0,88.0,5.0,42.0,18.0,58.0,37.0,54.0,10.0,56.0,122.0,93.0,23258.0,8.0,69.0,50.0,74.0,13960.0,2965.0,11.0
1383,0.0,5.0,13.0,1.0,8.0,7849.0,2.0,130.0,3.0,19.0,31.0,60.0,6.0,82.0,46.0,163.0,29.0,42.0,58.0,79.0,100.0,76.0,15.0,51.0,73.0,36.0,222.0,17.0,61.0,89.0
1432,0.0,5.0,7.0,1.0,4.0,9.0,2.0,16967.0,6.0,21.0,66.0,159.0,11.0,8.0,30.0,61.0,45.0,75.0,14.0,52.0,174.0,48.0,23252.0,25.0,55.0,46.0,82.0,42.0,155.0,90.0
1481,0.0,3.0,11.0,1.0,8.0,80.0,4.0,5.0,2.0,10.0,30.0,83.0,7.0,68.0,34.0,43.0,18.0,44.0,29.0,14798.0,12394.0,71.0,31.0,84.0,22.0,87.0,39.0,93.0,53.0,24.0
1530,0.0,6.0,4.0,3.0,22.0,113.0,2.0,19.0,36.0,26.0,5.0,25.0,9.0,42.0,8.0,83.0,93.0,14.0,207.0,56.0,7.0,12.0,30.0,16527.0,10.0,11.0,475.0,14025.0,31.0,369.0
1579,0.0,4.0,21.0,17.0,5.0,13.0,6.0,2.0,24.0,41.0,74.0,25.0,1.0,33.0,89.0,47.0,207.0,1013.0,4600.0,110.0,12352.0,20.0,10.0,16535.0,22.0,7013.0,16691.0,102.0,78.0,48.0
1628,0.0,7.0,2.0,11.0,5.0,21.0,18.0,1.0,17.0,27.0,23.0,55.0,16.0,35.0,67.0,3.0,38.0,112.0,28.0,14764.0,12379.0,140.0,23233.0,16531.0,93.0,84.0,16638.0,14061.0,29.0,15557.0
1677,0.0,2.0,5.0,7.0,6.0,1.0,8.0,13.0,26.0,37.0,24.0,85.0,10.0,9.0,41.0,38.0,79.0,21.0,53.0,55.0,142.0,47.0,23237.0,16544.0,4.0,28.0,16578.0,14051.0,49.0,15558.0
1726,0.0,5.0,18.0,1.0,44.0,4.0,15.0,8.0,9.0,2.0,10.0,19.0,11.0,49.0,182.0,74.0,29.0,88.0,2794.0,57.0,7.0,203.0,37.0,67.0,38.0,28.0,16691.0,21.0,101.0,130.0
1775,0.0,2.0,12.0,1.0,8.0,3.0,9.0,17044.0,194.0,10.0,58.0,6.0,11.0,14.0,190.0,33.0,61.0,807.0,28.0,262.0,329.0,100.0,43.0,60.0,44.0,7070.0,16695.0,62.0,237.0,78.0
1824,0.0,2.0,6.0,5.0,17.0,3.0,11.0,14.0,22.0,43.0,1.0,4.0,207.0,36.0,89.0,140.0,147.0,73.0,3917.0,30.0,10.0,59.0,7.0,11106.0,80.0,65.0,16840.0,49.0,60.0,23009.0
1873,0.0,2.0,4.0,5.0,23.0,12.0,7.0,1.0,6.0,3.0,13.0,11.0,14.0,48.0,100.0,31.0,151.0,4387.0,21.0,14753.0,85.0,163.0,8.0,71.0,77.0,36.0,16677.0,25.0,114.0,17.0
1922,0.0,13.0,3.0,4.0,97.0,21.0,16.0,20.0,18.0,1.0,7.0,42.0,32.0,69.0,31.0,115.0,61.0,67.0,15.0,1852.0,12352.0,202.0,5.0,712.0,96.0,25.0,16672.0,47.0,66.0,15598.0
1971,0.0,2.0,4.0,1.0,6.0,42.0,51.0,7.0,2140.0,8.0,33.0,96.0,89.0,38.0,57.0,68.0,104.0,35.0,1284.0,1779.0,20.0,23.0,32.0,16509.0,7026.0,95.0,50.0,12.0,17.0,198.0
2020,0.0,1.0,28.0,2.0,4.0,440.0,25.0,5.0,56.0,3.0,7.0,40.0,104.0,38.0,35.0,55.0,8.0,72.0,23.0,29.0,76.0,49.0,63.0,27.0,36.0,79.0,192.0,14040.0,2839.0,6.0
2069,0.0,1.0,29.0,30.0,2.0,129.0,76.0,226.0,261.0,12.0,64.0,19.0,17.0,33.0,4.0,154.0,77.0,23.0,5329.0,49.0,84.0,8.0,907.0,67.0,68.0,105.0,85.0,42.0,100.0,7.0
2118,2.0,0.0,18.0,40.0,10.0,6.0,1.0,9.0,46.0,19.0,36.0,17.0,682.0,11.0,16.0,58.0,54.0,52.0,91.0,323.0,7.0,5.0,27.0,76.0,77.0,84.0,55.0,88.0,114.0,68.0
2167,1.0,0.0,14.0,110.0,9.0,127.0,12.0,15.0,184.0,11.0,18.0,50.0,6.0,32.0,19.0,36.0,79.0,52.0,2989.0,14764.0,43.0,4.0,45.0,84.0,44.0,3.0,17.0,10.0,185.0,63.0
2216,6.0,2.0,5.0,10.0,0.0,17.0,1.0,710.0,20.0,3.0,4.0,8.0,98.0,35.0,80.0,39.0,60.0,50.0,5781.0,76.0,7.0,33.0,32.0,43.0,84.0,58.0,49.0,737.0,153.0,81.0
2265,0.0,2.0,4.0,3.0,13.0,16.0,80.0,65.0,17.0,5.0,31.0,26.0,22.0,50.0,41.0,1.0,62.0,72.0,3045.0,14765.0,6.0,20.0,51.0,53.0,101.0,37.0,30.0,14043.0,23.0,45.0
2314,0.0,1.0,8.0,184.0,3.0,18.0,28.0,6.0,25.0,2.0,32.0,11.0,48.0,24.0,51.0,44.0,67.0,74.0,5571.0,43.0,5.0,49.0,23250.0,12.0,7089.0,77.0,65.0,10.0,86.0,39.0
2363,3.0,1.0,24.0,93.0,4.0,45.0,46.0,51.0,40.0,0.0,37.0,8.0,15.0,19.0,58.0,2.0,33.0,13.0,5117.0,449.0,5.0,11.0,26.0,56.0,143.0,151.0,16.0,39.0,233.0,142.0
2412,3.0,1.0,12.0,74.0,4.0,168.0,158.0,7.0,26.0,0.0,23.0,34.0,20688.0,11.0,2.0,6.0,139.0,55.0,67.0,14758.0,63.0,5.0,21.0,14.0,6982.0,88.0,115.0,16.0,156.0,246.0
2461,0.0,5.0,9.0,10.0,4.0,128.0,1.0,52.0,154.0,65.0,28.0,2.0,59.0,12.0,11.0,18564.0,21.0,3.0,553.0,102.0,7.0,84.0,38.0,1544.0,18.0,67.0,201.0,25.0,74.0,15569.0
2510,0.0,1.0,3.0,2.0,8.0,9.0,38.0,18.0,4.0,31.0,19.0,66.0,127.0,17.0,57.0,18266.0,34.0,40.0,45.0,71.0,64.0,56.0,27.0,16536.0,99.0,174.0,32.0,25.0,373.0,15538.0
2559,0.0,3.0,8.0,67.0,23.0,20.0,39.0,4.0,32.0,30.0,13.0,11.0,20790.0,7.0,15.0,18316.0,22.0,78.0,44.0,75.0,19.0,143.0,6.0,16505.0,54.0,33.0,210.0,294.0,168.0,53.0
2608,0.0,3.0,4.0,1.0,11.0,244.0,33.0,6.0,13.0,24.0,37.0,55.0,20820.0,16.0,46.0,18311.0,2.0,51.0,15.0,64.0,39.0,116.0,23260.0,16534.0,48.0,73.0,117.0,2454.0,5950.0,15554.0
2657,0.0,2.0,3.0,36.0,8.0,20.0,27.0,1.0,4.0,54.0,6.0,9.0,119.0,10.0,19.0,163.0,32.0,56.0,47.0,7.0,100.0,49.0,1688.0,16541.0,23.0,74.0,16635.0,17.0,151.0,15548.0
2706,0.0,1.0,8.0,13.0,3.0,19.0,18.0,12.0,6.0,17.0,32.0,36.0,52.0,15.0,42.0,253.0,11.0,4.0,234.0,26.0,5.0,76.0,40.0,266.0,10.0,47.0,88.0,2.0,121.0,1398.0
2755,0.0,1.0,13.0,89.0,3.0,8.0,29.0,20.0,6.0,50.0,37.0,43.0,4.0,7.0,11.0,316.0,22.0,69.0,10.0,21.0,90.0,52.0,23267.0,16519.0,36.0,63.0,131.0,13967.0,2683.0,84.0
2804,0.0,6.0,17.0,47.0,9.0,15.0,5.0,8.0,1.0,57.0,21.0,38.0,78.0,3.0,10.0,7.0,22.0,43.0,6440.0,16.0,4.0,89.0,27.0,106.0,126.0,70.0,79.0,39.0,94.0,49.0
2853,0.0,1.0,8.0,94.0,11.0,13.0,25.0,12.0,9.0,26.0,36.0,75.0,20817.0,2.0,28.0,284.0,17.0,44.0,52.0,108.0,20.0,66.0,56.0,16495.0,22.0,81.0,183.0,49.0,93.0,15505.0
2902,0.0,3.0,13.0,58.0,125.0,38.0,14.0,16.0,28.0,27.0,75.0,17.0,590.0,4.0,2.0,18253.0,81.0,47.0,11.0,106.0,128.0,7843.0,23248.0,16482.0,101.0,63.0,42.0,40.0,86.0,713.0
2951,0.0,10.0,2.0,5.0,9.0,75.0,16.0,13.0,1.0,30.0,65.0,27.0,111.0,54.0,86.0,81.0,76.0,24.0,26.0,98.0,35.0,130.0,23245.0,31.0,50.0,49.0,59.0,141.0,77.0,7.0
3000,0.0,9.0,1.0,7.0,14.0,66.0,33.0,2.0,37.0,3.0,42.0,35.0,17.0,27.0,36.0,40.0,86.0,29.0,5570.0,19.0,8.0,104.0,23234.0,16521.0,83.0,51.0,67.0,6.0,18.0,174.0
3049,0.0,1.0,4.0,2.0,21.0,97.0,43.0,26.0,15.0,19.0,8.0,42.0,6.0,50.0,71.0,5.0,12.0,11.0,100.0,54.0,40.0,65.0,23354.0,16511.0,75.0,41.0,147.0,13960.0,47.0,52.0
3098,0.0,6.0,4.0,7.0,33.0,79.0,8.0,5.0,2.0,12.0,16.0,65.0,20676.0,25.0,45.0,1.0,41.0,15.0,5004.0,14745.0,17.0,77.0,23232.0,16524.0,6995.0,234.0,166.0,76.0,31.0,64.0
3147,0.0,1.0,2.0,191.0,27.0,63.0,28.0,14.0,22.0,15.0,17.0,23.0,45.0,4.0,3411.0,9.0,31.0,16.0,5548.0,14771.0,3.0,71.0,34.0,1564.0,6992.0,142.0,1861.0,69.0,92.0,126.0
3196,4.0,8.0,2.0,11.0,147.0,97.0,0.0,156.0,7.0,29.0,59.0,45.0,92.0,36.0,39.0,18320.0,68.0,71.0,2968.0,74.0,10.0,26.0,23267.0,16540.0,86.0,145.0,27.0,55.0,138.0,33.0
3245,0.0,5.0,4.0,25.0,12.0,70.0,50.0,33.0,26.0,6.0,47.0,135.0,91.0,57.0,84.0,121.0,31.0,106.0,447.0,37.0,10.0,75.0,54.0,16519.0,73.0,29.0,172.0,118.0,68.0,39.0
3294,0.0,1.0,3.0,9.0,40.0,8.0,5.0,14.0,78.0,19.0,23.0,15.0,353.0,33.0,780.0,72.0,73.0,53.0,43.0,14766.0,82.0,155.0,7.0,16528.0,71.0,48.0,171.0,13970.0,89.0,215.0
3343,0.0,7.0,4.0,5.0,14.0,15.0,37.0,27.0,11.0,1.0,2.0,1131.0,18.0,60.0,3.0,21.0,99.0,47.0,80.0,13.0,53.0,74.0,1135.0,30.0,83.0,79.0,104.0,85.0,3296.0,12.0
3392,0.0,10.0,5.0,1.0,28.0,3.0,55.0,4.0,31.0,27.0,15.0,45.0,20779.0,87.0,158.0,19.0,79.0,116.0,2.0,6.0,123.0,48.0,72.0,16518.0,17.0,80.0,16670.0,13963.0,128.0,626.0
3441,0.0,2.0,17.0,4.0,1.0,27.0,22.0,6.0,3.0,39.0,223.0,10.0,15.0,12.0,41.0,13.0,226.0,55.0,33.0,72.0,64.0,84.0,50.0,16515.0,86.0,96.0,14.0,14023.0,3346.0,5.0
3490,0.0,7.0,2.0,1.0,8.0,5.0,17.0,4.0,3.0,23.0,46.0,24.0,6.0,12.0,4272.0,9.0,63.0,84.0,45.0,29.0,98.0,67.0,23370.0,10.0,88.0,105.0,89.0,73.0,151.0,184.0
3539,0.0,5.0,11.0,6.0,4.0,17.0,39.0,52.0,12.0,2.0,70.0,44.0,20688.0,7.0,1944.0,58.0,96.0,89.0,33.0,16.0,101.0,94.0,23233.0,986.0,59.0,81.0,182.0,169.0,60.0,15508.0
3588,0.0,1.0,13.0,26.0,2.0,16.0,30.0,24.0,28.0,6.0,31.0,129.0,8.0,10.0,54.0,18.0,65.0,46.0,6364.0,43.0,5.0,40.0,42.0,310.0,22.0,89.0,78.0,642.0,74.0,120.0
3637,0.0,3.0,1.0,65.0,7.0,12.0,15.0,109.0,39.0,4.0,6.0,26.0,114.0,2.0,3992.0,19.0,119.0,20.0,330.0,14.0,10.0,124.0,2476.0,82.0,61.0,137.0,18.0,67.0,24.0,13.0
3686,1.0,0.0,4.0,30.0,2.0,5.0,36.0,37.0,7.0,13.0,26.0,120.0,52.0,3.0,4409.0,40.0,103.0,88.0,18.0,27.0,8.0,437.0,6.0,38.0,73.0,99.0,16.0,64.0,32.0,28.0
3735,0.0,3.0,25.0,74.0,7.0,23.0,20.0,48.0,35.0,16.0,1.0,5.0,4.0,6.0,2.0,9.0,11.0,51.0,5683.0,26.0,8.0,62.0,19.0,277.0,85.0,69.0,21.0,14026.0,56.0,15553.0
3784,0.0,1.0,7.0,93.0,3.0,186.0,4.0,15.0,25.0,26.0,40.0,31.0,48.0,22.0,19.0,2.0,56.0,41.0,59.0,85.0,46.0,65.0,23367.0,16496.0,57.0,72.0,51.0,49.0,1712.0,17.0
3833,0.0,4.0,2.0,1.0,6.0,45.0,71.0,91.0,24.0,26.0,100.0,93.0,112.0,29.0,3354.0,3.0,46.0,89.0,39.0,403.0,117.0,19.0,23258.0,16490.0,140.0,167.0,115.0,14031.0,5.0,198.0
3882,0.0,5.0,11.0,53.0,4.0,210.0,22.0,79.0,25.0,1.0,21.0,43.0,37.0,9.0,114.0,24.0,63.0,17.0,70.0,16.0,109.0,41.0,48.0,16455.0,90.0,31.0,108.0,58.0,76.0,15522.0
3931,0.0,2.0,7.0,33.0,14.0,10.0,45.0,21.0,31.0,8.0,109.0,30.0,19.0,48.0,39.0,18325.0,102.0,78.0,5.0,56.0,57.0,36.0,11.0,20.0,7016.0,7159.0,46.0,586.0,95.0,267.0
3980,0.0,8.0,18.0,4.0,17.0,16.0,3.0,20.0,52.0,54.0,14.0,5.0,53.0,23.0,82.0,107.0,15.0,31.0,163.0,13.0,6.0,113.0,104.0,24.0,25.0,74.0,36.0,83.0,61.0,202.0
4029,0.0,1.0,14.0,65.0,7.0,10.0,32.0,223.0,41.0,31.0,178.0,16.0,6.0,58.0,3.0,25.0,73.0,24.0,3630.0,33.0,2.0,17.0,38.0,16521.0,35.0,110.0,30.0,51.0,6152.0,15516.0
4078,0.0,6.0,16.0,77.0,3.0,13.0,4.0,2.0,7.0,11.0,20.0,10.0,32.0,52.0,34.0,18316.0,23.0,39.0,71.0,289.0,139.0,104.0,62.0,16524.0,1744.0,244.0,25.0,13970.0,2935.0,15534.0
4127,0.0,6.0,13.0,56.0,95.0,12.0,1.0,7.0,4.0,62.0,77.0,43.0,20687.0,60.0,49.0,5.0,88.0,83.0,14.0,32.0,15.0,99.0,10.0,69.0,7008.0,107.0,48.0,75.0,11.0,212.0
4176,0.0,11.0,1.0,13.0,20.0,4.0,38.0,23.0,8.0,46.0,59.0,6.0,339.0,69.0,3.0,15.0,12.0,21.0,157.0,31.0,17.0,96.0,23249.0,66.0,93.0,82.0,9.0,129.0,86.0,174.0
4225,0.0,7.0,23.0,76.0,6.0,18.0,13.0,3.0,35.0,46.0,51.0,20.0,83.0,70.0,38.0,14.0,52.0,41.0,6071.0,1.0,4.0,11.0,40.0,16527.0,9128.0,55.0,16563.0,81.0,45.0,15544.0
4274,0.0,4.0,6.0,137.0,9.0,10.0,45.0,64.0,17.0,102.0,242.0,1.0,11.0,63.0,46.0,92.0,42.0,197.0,3164.0,152.0,5.0,68.0,313.0,61.0,93.0,85.0,60.0,100.0,51.0,441.0
4323,0.0,2.0,21.0,9.0,160.0,3.0,35.0,6.0,49.0,22.0,299.0,23.0,78.0,93.0,13.0,291.0,156.0,159.0,5613.0,14.0,7.0,17.0,102.0,11.0,7131.0,41.0,76.0,63.0,144.0,253.0
4372,0.0,6.0,9.0,2.0,14.0,19.0,46.0,5.0,3.0,43.0,35.0,27.0,15.0,94.0,50.0,10.0,67.0,72.0,18.0,124.0,153.0,12.0,23290.0,32.0,11.0,97.0,79.0,54.0,198.0,189.0
4421,0.0,1.0,9.0,18.0,71.0,7785.0,44.0,11.0,59.0,5.0,22.0,2.0,17.0,61.0,29.0,40.0,33.0,136.0,24.0,45.0,12315.0,30.0,23373.0,76.0,170.0,27.0,15.0,79.0,20.0,10.0
4470,5.0,4.0,3.0,0.0,19.0,12.0,13.0,26.0,2.0,14.0,66.0,28.0,32.0,1367.0,53.0,74.0,9.0,65.0,35.0,22.0,127.0,42.0,998.0,52.0,6994.0,18.0,41.0,14007.0,17.0,39.0
4519,0.0,9.0,6.0,1.0,14.0,21.0,64.0,107.0,3.0,7.0,12.0,33.0,20790.0,104.0,106.0,4.0,54.0,61.0,77.0,257.0,102.0,44.0,23366.0,20.0,31.0,98.0,49.0,13997.0,57.0,52.0
4568,0.0,5.0,9.0,106.0,53.0,150.0,75.0,74.0,6.0,34.0,4.0,15.0,252.0,19.0,39.0,72.0,16.0,77.0,38.0,13.0,87.0,23.0,522.0,68.0,6944.0,82.0,36.0,22.0,55.0,10.0
4617,1.0,9.0,12.0,7.0,21.0,13.0,60.0,3.0,11.0,8.0,0.0,98.0,49.0,27.0,62.0,28.0,14.0,94.0,55.0,6.0,270.0,40.0,23238.0,17.0,22.0,185.0,16.0,14006.0,5.0,42.0
4666,0.0,45.0,3.0,20.0,178.0,7782.0,74.0,18.0,2.0,28.0,34.0,389.0,90.0,67.0,6.0,43.0,49.0,69.0,21.0,37.0,12289.0,41.0,122.0,26.0,234.0,46.0,11.0,13934.0,38.0,7.0
4715,1.0,3.0,0.0,2.0,23.0,100.0,17.0,15.0,4.0,40.0,70.0,5.0,11.0,46.0,7.0,85.0,41.0,56.0,8.0,25.0,282.0,50.0,683.0,22.0,43.0,55.0,32.0,640.0,51.0,45.0
4764,0.0,3.0,4.0,7.0,10.0,7882.0,38.0,6.0,1.0,30.0,39.0,425.0,154.0,254.0,54.0,51.0,46.0,5392.0,72.0,43.0,2374.0,5.0,58.0,16.0,7122.0,96.0,8.0,9.0,17.0,18.0
4813,0.0,13.0,7.0,10.0,203.0,19.0,1.0,20.0,6.0,31.0,3.0,41.0,14.0,25.0,114.0,16.0,2.0,6074.0,42.0,37.0,12333.0,66.0,23229.0,34.0,190.0,53.0,27.0,18.0,54.0,9.0
4862,1.0,38.0,2.0,0.0,128.0,20.0,59.0,17.0,10.0,21.0,9.0,4850.0,6.0,110.0,11.0,18288.0,41.0,22.0,34.0,278.0,2051.0,64.0,23250.0,56.0,93.0,23.0,33.0,43.0,44.0,14.0
