,ETV4,GPR35,APLP1,DUSP6,TUBA1A,ZNF793,MAGEE1,NPAS2,PPP1R3F,MBP,SPRY2,VPS37B,FOXQ1,TMEM132A,C15orf59,PRSS3,CABLES2,CASP4,GPR137,CLSTN2,MC5R,THAP8,ARHGAP18,SYNC,SOGA1,MYLK2,MTA3,TMEM33,ERO1L,S100A6
11,0.0,4.0,1.0,3.0,5.0,8.0,28.0,199.0,651.0,6.0,73.0,680.0,7.0,13.0,46.0,14.0,85.0,80.0,45.0,64.0,2.0,88.0,25.0,16498.0,35.0,58.0,102.0,42.0,78.0,15519.0
60,0.0,5.0,3.0,25.0,21.0,13.0,34.0,39.0,56.0,9.0,7.0,240.0,12.0,18.0,22.0,60.0,4.0,127.0,437.0,1.0,2.0,70.0,23354.0,78.0,131.0,132.0,16677.0,49.0,147.0,1702.0
109,0.0,1.0,2.0,4.0,241.0,23.0,8.0,16.0,8531.0,14.0,5.0,103.0,10.0,41.0,51.0,15.0,97.0,61.0,5621.0,3.0,11.0,12.0,40.0,2094.0,24.0,59.0,16681.0,146.0,62.0,15554.0
158,0.0,9.0,4.0,6.0,86.0,14.0,25.0,1.0,29.0,24.0,10.0,688.0,2.0,30.0,51.0,7.0,60.0,53.0,3196.0,23.0,3.0,34.0,621.0,87.0,78.0,54.0,18.0,20.0,49.0,127.0
207,0.0,10.0,4.0,6.0,135.0,5.0,9.0,20.0,479.0,17.0,1.0,29.0,54.0,18.0,115.0,49.0,37.0,7.0,44.0,23.0,2.0,13.0,12.0,80.0,40.0,217.0,16644.0,97.0,6826.0,167.0
256,0.0,7.0,23.0,1.0,5589.0,8.0,16.0,49.0,548.0,3.0,24.0,34.0,11.0,15.0,17.0,5.0,125.0,70.0,2732.0,584.0,4.0,67.0,23372.0,114.0,55.0,95.0,29.0,100.0,69.0,322.0
305,1.0,8.0,3.0,46.0,154.0,15.0,48.0,2.0,4425.0,30.0,0.0,4.0,39.0,16.0,45.0,18325.0,141.0,25.0,5928.0,14.0,5.0,59.0,9.0,71.0,106.0,8655.0,11.0,49.0,179.0,64.0
354,0.0,6.0,2.0,13.0,14.0,8.0,5.0,53.0,348.0,19.0,4.0,6632.0,82.0,25.0,10.0,23.0,105.0,124.0,12.0,3.0,58.0,54.0,23275.0,35.0,16.0,205.0,129.0,14967.0,6213.0,44.0
403,0.0,4.0,2.0,13.0,164.0,21.0,1.0,53.0,74.0,44.0,62.0,6531.0,3.0,15.0,10.0,102.0,79.0,16.0,802.0,11.0,5.0,19.0,23237.0,29.0,28.0,212.0,20.0,126.0,118.0,133.0
452,0.0,9.0,2.0,58.0,17.0,13.0,7.0,49.0,8.0,39.0,5.0,41.0,15.0,19.0,59.0,45.0,76.0,26.0,1008.0,37.0,3.0,12.0,1179.0,25.0,16.0,30.0,130.0,18.0,82.0,152.0
