,PTPN13,DDB2,EDA2R,NDN,CITED4,CFH,PHLDA3,FAM101A,SNX18P16,FOXJ1,EMB,TRIM22,LINC00942,TGFA,BHLHE41,EVC2,ZMAT3,FDXR,ST6GALNAC5,PCDHB17,TUSC3,ANKRD19P,PRR16,HIST2H2BB,COL12A1,LINC01021,RASSF9,TLE4,PCDHB6,TMCC3
8,8.0,6.0,67.0,5.0,0.0,27.0,18.0,20.0,13.0,3.0,2.0,10.0,31.0,17.0,42.0,2077.0,22.0,15.0,19.0,29.0,106.0,98.0,25.0,150.0,23.0,36.0,28.0,58.0,78.0,43.0
57,2.0,3.0,186.0,6.0,0.0,9.0,51.0,168.0,26.0,17.0,8.0,11.0,76.0,81.0,16.0,810.0,41.0,13.0,1.0,19.0,576.0,37.0,181.0,45.0,20.0,195.0,33.0,5.0,210.0,59.0
106,1.0,5.0,2.0,0.0,12.0,15.0,3.0,7.0,19.0,35.0,150.0,45.0,59.0,27.0,4.0,595.0,46.0,9.0,380.0,23.0,430.0,344.0,317.0,11.0,48.0,18.0,16.0,29.0,75.0,10.0
155,5.0,4.0,144.0,21.0,0.0,6.0,17.0,85.0,9.0,2.0,53.0,14.0,15.0,7.0,3.0,157.0,158.0,75.0,44.0,73.0,769.0,707.0,35.0,18.0,26.0,74.0,10.0,216.0,142.0,229.0
204,2.0,14.0,63.0,0.0,1.0,17.0,39.0,25.0,3.0,32.0,18.0,26.0,29.0,12.0,24.0,308.0,56.0,19.0,99.0,6.0,547.0,882.0,44.0,1058.0,22.0,28.0,98.0,11.0,76.0,16.0
253,2.0,11.0,95.0,27.0,7.0,47.0,3.0,19.0,5.0,23.0,12.0,56.0,0.0,17.0,30.0,996.0,35.0,39.0,28.0,25.0,275.0,143.0,42.0,71.0,26.0,269.0,10.0,1.0,16.0,133.0
302,13.0,42.0,132.0,0.0,47.0,6.0,36.0,27.0,16.0,18.0,8.0,17.0,3.0,68.0,12.0,279.0,26.0,52.0,60.0,258.0,149.0,325.0,35.0,38.0,287.0,146.0,1.0,4.0,567.0,30.0
351,3.0,10.0,321.0,4.0,0.0,34.0,106.0,28.0,15.0,14.0,1.0,6.0,77.0,39.0,21.0,832.0,41.0,490.0,16.0,8.0,3550.0,253.0,112.0,137.0,7.0,87.0,17.0,175.0,29.0,59.0
400,10.0,5.0,59.0,1.0,0.0,11.0,16.0,7.0,55.0,14.0,13.0,31.0,151.0,98.0,6.0,1461.0,588.0,77.0,3.0,106.0,531.0,185.0,29.0,9.0,50.0,91.0,4.0,108.0,163.0,18.0
449,10.0,12.0,99.0,4.0,0.0,46.0,66.0,1.0,18.0,25.0,5.0,27.0,3.0,13.0,81.0,224.0,38.0,100.0,9.0,21.0,1110.0,465.0,307.0,92.0,6.0,175.0,8.0,77.0,39.0,74.0
498,0.0,3.0,25.0,142.0,2.0,6.0,30.0,5.0,31.0,9.0,675.0,11.0,1.0,15.0,18.0,4.0,55.0,35.0,14.0,8.0,45.0,28.0,27.0,43.0,21.0,118.0,95.0,10.0,13.0,49.0
547,1.0,10.0,0.0,31.0,30.0,9.0,3.0,4.0,8.0,11.0,81.0,6.0,2.0,18.0,5.0,14.0,12.0,7.0,32.0,27.0,24.0,25.0,110.0,121.0,103.0,160.0,117.0,17.0,40.0,46.0
596,1.0,9.0,0.0,2041.0,7.0,26.0,18.0,5.0,24.0,4.0,184.0,73.0,10.0,22.0,13.0,12.0,11.0,2.0,106.0,8.0,23.0,6.0,21.0,45.0,51.0,62.0,91.0,3.0,20.0,32.0
