,SOFT_TISSUE,LIVER,KIDNEY,LARGE_INTESTINE,OVARY,OESOPHAGUS,AERODIGESTIVE,STOMACH,GANGLIA,NERVOUS,HAEMATOPOIETIC,LUNG,URINARY,ENDOMETRIUM,BREAST,PANCREAS,SKIN,BONE,PROSTATE,THYROID,PLEURA,SALIVARY,BILIARY
42,1.0,0.0,7.0,6.0,2.0,5.0,10.0,12.0,3.0,18.0,4.0,9.0,11.0,15.0,13.0,14.0,16.0,8.0,19.0,20.0,17.0,21.0,22.0
91,0.0,3.0,1.0,2.0,4.0,6.0,8.0,16.0,10.0,11.0,7.0,13.0,9.0,12.0,15.0,14.0,5.0,17.0,19.0,20.0,18.0,21.0,22.0
140,1.0,4.0,0.0,5.0,7.0,2.0,16.0,12.0,6.0,14.0,3.0,8.0,13.0,18.0,9.0,10.0,11.0,15.0,20.0,17.0,19.0,21.0,22.0
189,4.0,0.0,2.0,10.0,6.0,1.0,8.0,13.0,7.0,19.0,5.0,9.0,3.0,12.0,16.0,11.0,15.0,14.0,20.0,17.0,18.0,21.0,22.0
238,0.0,2.0,1.0,7.0,5.0,4.0,8.0,9.0,6.0,14.0,3.0,11.0,19.0,16.0,15.0,13.0,12.0,10.0,20.0,18.0,17.0,21.0,22.0
287,1.0,0.0,5.0,3.0,2.0,4.0,6.0,8.0,15.0,11.0,10.0,7.0,9.0,14.0,16.0,12.0,13.0,17.0,20.0,18.0,19.0,21.0,22.0
336,1.0,2.0,8.0,5.0,0.0,10.0,7.0,13.0,6.0,9.0,3.0,14.0,11.0,4.0,15.0,12.0,16.0,17.0,20.0,19.0,18.0,21.0,22.0
385,5.0,0.0,1.0,4.0,2.0,3.0,19.0,6.0,10.0,14.0,7.0,8.0,11.0,12.0,16.0,13.0,9.0,15.0,20.0,18.0,17.0,21.0,22.0
434,3.0,1.0,2.0,13.0,4.0,5.0,10.0,8.0,6.0,12.0,0.0,7.0,9.0,11.0,16.0,14.0,18.0,17.0,20.0,19.0,15.0,21.0,22.0
483,0.0,4.0,1.0,10.0,2.0,6.0,9.0,3.0,5.0,8.0,13.0,14.0,12.0,11.0,16.0,7.0,15.0,17.0,19.0,18.0,21.0,20.0,22.0
532,3.0,2.0,5.0,13.0,6.0,0.0,1.0,7.0,11.0,4.0,8.0,15.0,20.0,12.0,14.0,9.0,17.0,10.0,18.0,16.0,19.0,21.0,22.0
581,1.0,4.0,6.0,14.0,3.0,0.0,7.0,12.0,15.0,2.0,13.0,11.0,10.0,9.0,5.0,8.0,17.0,16.0,19.0,18.0,20.0,21.0,22.0
630,4.0,0.0,1.0,11.0,3.0,7.0,5.0,10.0,6.0,8.0,15.0,13.0,14.0,2.0,12.0,9.0,16.0,17.0,18.0,20.0,19.0,21.0,22.0
679,1.0,3.0,6.0,14.0,0.0,2.0,4.0,10.0,5.0,8.0,13.0,12.0,9.0,11.0,7.0,16.0,15.0,18.0,19.0,17.0,21.0,20.0,22.0
728,1.0,2.0,0.0,12.0,3.0,6.0,5.0,11.0,8.0,4.0,7.0,9.0,14.0,10.0,13.0,15.0,16.0,18.0,19.0,20.0,17.0,21.0,22.0
777,0.0,5.0,4.0,9.0,2.0,1.0,3.0,12.0,6.0,7.0,14.0,11.0,10.0,15.0,13.0,8.0,16.0,17.0,19.0,18.0,20.0,21.0,22.0
826,2.0,1.0,4.0,13.0,6.0,3.0,5.0,16.0,10.0,0.0,14.0,9.0,11.0,15.0,7.0,12.0,8.0,18.0,20.0,19.0,17.0,21.0,22.0
875,2.0,0.0,3.0,13.0,8.0,6.0,11.0,5.0,7.0,1.0,10.0,4.0,14.0,12.0,16.0,15.0,9.0,17.0,20.0,18.0,19.0,21.0,22.0
924,2.0,9.0,1.0,12.0,0.0,7.0,3.0,15.0,6.0,5.0,11.0,13.0,4.0,19.0,8.0,10.0,14.0,16.0,20.0,18.0,17.0,21.0,22.0
973,4.0,2.0,11.0,14.0,0.0,7.0,8.0,3.0,1.0,6.0,5.0,16.0,10.0,12.0,13.0,15.0,9.0,17.0,18.0,21.0,19.0,20.0,22.0
