,hsa-miR-148a,hsa-miR-541,hsa-miR-766,hsa-miR-1977,hsa-miR-744,kshv-miR-K12-8,hsa-miR-630,hsa-miR-27b,bkv-miR-B1-3p+jcv-miR-J1-3p,hsa-miR-659,hsa-miR-99a,hsa-miR-769-3p,hsa-miR-93,hsa-miR-223,hsa-miR-147,hsa-miR-142-5p,hsa-miR-581,hsa-miR-1538,hsa-miR-892a,hsa-miR-380,hsv1-miR-H8,ebv-miR-BART15,hsa-miR-2115,hsa-miR-708,hsa-miR-301b,hsa-miR-615-3p,hsa-miR-423-5p,hsa-miR-497,hsa-miR-125a-3p,hsa-miR-508-5p
16,0.0,1.0,13.0,4.0,10.0,25.0,2.0,14.0,30.0,7.0,29.0,3.0,12.0,21.0,5.0,20.0,87.0,27.0,9.0,16.0,24.0,32.0,11.0,40.0,53.0,49.0,15.0,102.0,134.0,85.0
65,3.0,2.0,5.0,13.0,4.0,0.0,8.0,1.0,10.0,14.0,7.0,20.0,58.0,6.0,12.0,83.0,43.0,11.0,34.0,47.0,15.0,35.0,107.0,36.0,25.0,73.0,23.0,71.0,21.0,88.0
114,0.0,1.0,11.0,10.0,14.0,7.0,8.0,2.0,59.0,4.0,67.0,34.0,6.0,19.0,12.0,13.0,131.0,27.0,124.0,44.0,17.0,3.0,16.0,72.0,46.0,55.0,81.0,48.0,35.0,58.0
163,1.0,0.0,9.0,3.0,17.0,24.0,4.0,2.0,77.0,27.0,23.0,6.0,20.0,5.0,8.0,45.0,72.0,66.0,12.0,165.0,18.0,14.0,21.0,26.0,43.0,74.0,71.0,68.0,70.0,28.0
212,1.0,0.0,8.0,28.0,4.0,3.0,2.0,7.0,63.0,12.0,23.0,9.0,5.0,6.0,18.0,51.0,45.0,16.0,17.0,25.0,10.0,36.0,15.0,41.0,37.0,34.0,24.0,48.0,61.0,32.0
261,3.0,0.0,2.0,6.0,13.0,28.0,9.0,1.0,126.0,12.0,78.0,5.0,38.0,39.0,8.0,27.0,48.0,22.0,24.0,54.0,14.0,4.0,36.0,50.0,18.0,10.0,17.0,79.0,170.0,85.0
310,1.0,0.0,9.0,7.0,12.0,13.0,4.0,17.0,43.0,2.0,10.0,6.0,36.0,3.0,18.0,31.0,46.0,32.0,65.0,15.0,21.0,11.0,42.0,34.0,20.0,48.0,167.0,28.0,206.0,45.0
359,2.0,0.0,6.0,4.0,7.0,19.0,3.0,22.0,16.0,12.0,5.0,1.0,9.0,11.0,14.0,26.0,17.0,31.0,8.0,75.0,13.0,39.0,38.0,67.0,49.0,90.0,20.0,54.0,143.0,37.0
408,2.0,0.0,12.0,10.0,40.0,21.0,1.0,3.0,22.0,5.0,8.0,4.0,33.0,6.0,18.0,14.0,98.0,23.0,61.0,32.0,28.0,9.0,99.0,15.0,16.0,72.0,29.0,31.0,113.0,46.0
457,0.0,2.0,10.0,33.0,3.0,34.0,4.0,1.0,24.0,5.0,11.0,8.0,14.0,30.0,17.0,49.0,26.0,46.0,7.0,69.0,13.0,9.0,6.0,50.0,44.0,65.0,27.0,19.0,45.0,62.0
506,1.0,0.0,8.0,4.0,6.0,49.0,2.0,3.0,5.0,9.0,12.0,11.0,47.0,50.0,59.0,37.0,13.0,100.0,10.0,25.0,35.0,34.0,130.0,26.0,56.0,41.0,85.0,55.0,17.0,24.0
555,0.0,5.0,8.0,6.0,1.0,16.0,9.0,7.0,3.0,11.0,52.0,33.0,45.0,25.0,53.0,41.0,15.0,101.0,14.0,4.0,35.0,10.0,13.0,22.0,59.0,19.0,24.0,103.0,30.0,26.0
604,0.0,2.0,13.0,16.0,1.0,22.0,4.0,7.0,18.0,42.0,31.0,39.0,15.0,41.0,8.0,10.0,44.0,27.0,3.0,12.0,59.0,11.0,50.0,32.0,65.0,6.0,20.0,38.0,9.0,19.0
653,1.0,2.0,17.0,8.0,4.0,10.0,25.0,0.0,6.0,11.0,3.0,9.0,19.0,58.0,15.0,20.0,12.0,106.0,35.0,14.0,33.0,72.0,93.0,30.0,79.0,27.0,38.0,73.0,52.0,7.0
702,0.0,1.0,17.0,12.0,4.0,7.0,2.0,40.0,28.0,22.0,13.0,3.0,19.0,24.0,41.0,18.0,9.0,76.0,45.0,10.0,26.0,11.0,20.0,21.0,142.0,15.0,88.0,96.0,138.0,6.0
751,0.0,1.0,6.0,2.0,7.0,10.0,5.0,3.0,14.0,31.0,34.0,8.0,16.0,96.0,17.0,24.0,22.0,42.0,13.0,15.0,41.0,70.0,4.0,47.0,131.0,40.0,65.0,109.0,11.0,25.0
800,1.0,0.0,15.0,2.0,6.0,28.0,9.0,17.0,5.0,3.0,16.0,37.0,19.0,51.0,4.0,21.0,8.0,77.0,13.0,7.0,30.0,24.0,12.0,36.0,42.0,48.0,73.0,69.0,14.0,10.0
849,0.0,1.0,4.0,8.0,2.0,7.0,12.0,3.0,5.0,27.0,35.0,23.0,26.0,18.0,37.0,6.0,9.0,161.0,28.0,58.0,40.0,36.0,98.0,52.0,21.0,65.0,56.0,64.0,14.0,29.0
898,1.0,0.0,12.0,9.0,3.0,49.0,7.0,2.0,6.0,10.0,8.0,17.0,23.0,47.0,27.0,4.0,93.0,71.0,50.0,59.0,32.0,68.0,16.0,34.0,65.0,14.0,18.0,22.0,25.0,11.0
947,0.0,1.0,27.0,2.0,25.0,4.0,6.0,7.0,19.0,3.0,30.0,92.0,15.0,86.0,21.0,46.0,13.0,111.0,8.0,5.0,49.0,59.0,117.0,50.0,37.0,18.0,38.0,132.0,16.0,26.0
996,1.0,10.0,8.0,2.0,14.0,0.0,12.0,40.0,35.0,15.0,4.0,11.0,7.0,9.0,30.0,6.0,47.0,20.0,21.0,3.0,27.0,29.0,16.0,102.0,13.0,25.0,76.0,33.0,5.0,43.0
1045,1.0,61.0,9.0,28.0,0.0,7.0,6.0,8.0,34.0,38.0,10.0,46.0,13.0,4.0,14.0,5.0,16.0,3.0,27.0,43.0,63.0,12.0,92.0,72.0,20.0,11.0,47.0,2.0,37.0,15.0
1094,10.0,1.0,7.0,4.0,0.0,2.0,8.0,13.0,16.0,30.0,32.0,3.0,17.0,9.0,6.0,14.0,23.0,26.0,69.0,12.0,15.0,31.0,40.0,104.0,22.0,18.0,27.0,5.0,37.0,35.0
1143,0.0,5.0,11.0,2.0,1.0,3.0,7.0,16.0,24.0,13.0,22.0,6.0,26.0,4.0,10.0,14.0,15.0,8.0,25.0,17.0,20.0,12.0,18.0,80.0,29.0,47.0,85.0,23.0,61.0,44.0
1192,1.0,4.0,8.0,6.0,3.0,5.0,7.0,62.0,18.0,21.0,39.0,10.0,2.0,49.0,12.0,0.0,48.0,19.0,38.0,11.0,28.0,20.0,9.0,63.0,37.0,23.0,75.0,15.0,84.0,25.0
1241,6.0,18.0,5.0,3.0,20.0,0.0,15.0,150.0,16.0,23.0,2.0,9.0,19.0,1.0,7.0,4.0,38.0,74.0,49.0,22.0,13.0,25.0,39.0,102.0,27.0,75.0,165.0,12.0,17.0,35.0
1290,0.0,1.0,5.0,7.0,2.0,17.0,3.0,114.0,35.0,40.0,9.0,4.0,16.0,11.0,6.0,10.0,13.0,22.0,81.0,23.0,47.0,12.0,36.0,86.0,82.0,8.0,69.0,15.0,43.0,30.0
1339,4.0,7.0,14.0,6.0,0.0,12.0,1.0,70.0,20.0,25.0,60.0,41.0,9.0,2.0,31.0,15.0,45.0,27.0,10.0,13.0,18.0,11.0,35.0,81.0,32.0,91.0,131.0,3.0,5.0,19.0
1388,0.0,6.0,7.0,4.0,2.0,1.0,3.0,19.0,25.0,30.0,22.0,17.0,10.0,11.0,8.0,28.0,68.0,5.0,65.0,18.0,43.0,42.0,23.0,32.0,12.0,37.0,69.0,9.0,13.0,21.0
1437,0.0,26.0,10.0,3.0,1.0,5.0,8.0,132.0,9.0,20.0,15.0,22.0,21.0,16.0,7.0,2.0,11.0,6.0,44.0,36.0,51.0,31.0,34.0,65.0,13.0,47.0,52.0,4.0,12.0,48.0
1486,3.0,2.0,8.0,11.0,1.0,5.0,0.0,31.0,44.0,9.0,60.0,38.0,26.0,13.0,12.0,25.0,7.0,48.0,54.0,32.0,93.0,4.0,6.0,16.0,28.0,57.0,23.0,61.0,115.0,41.0
1535,1.0,0.0,23.0,3.0,7.0,15.0,4.0,2.0,6.0,5.0,11.0,10.0,109.0,9.0,13.0,38.0,12.0,57.0,78.0,30.0,36.0,21.0,33.0,24.0,32.0,104.0,29.0,44.0,98.0,34.0
1584,0.0,1.0,18.0,3.0,5.0,24.0,4.0,36.0,17.0,2.0,7.0,16.0,21.0,19.0,41.0,64.0,6.0,9.0,29.0,10.0,72.0,8.0,14.0,32.0,109.0,224.0,38.0,47.0,39.0,90.0
1633,3.0,0.0,7.0,22.0,1.0,25.0,5.0,14.0,13.0,4.0,2.0,26.0,21.0,17.0,18.0,95.0,8.0,10.0,20.0,49.0,83.0,6.0,41.0,15.0,34.0,82.0,11.0,40.0,187.0,23.0
1682,1.0,0.0,7.0,31.0,15.0,10.0,11.0,203.0,2.0,35.0,9.0,3.0,12.0,96.0,6.0,27.0,17.0,59.0,22.0,38.0,34.0,5.0,51.0,26.0,28.0,23.0,47.0,62.0,95.0,29.0
1731,16.0,2.0,7.0,31.0,17.0,6.0,1.0,5.0,15.0,32.0,0.0,4.0,62.0,9.0,18.0,48.0,11.0,28.0,126.0,27.0,56.0,42.0,69.0,12.0,22.0,127.0,13.0,41.0,63.0,24.0
1780,0.0,1.0,10.0,3.0,7.0,14.0,2.0,77.0,6.0,46.0,5.0,18.0,37.0,15.0,13.0,66.0,11.0,106.0,75.0,8.0,39.0,4.0,22.0,90.0,17.0,102.0,94.0,26.0,44.0,47.0
1829,3.0,0.0,5.0,8.0,1.0,17.0,6.0,46.0,7.0,9.0,2.0,4.0,32.0,75.0,44.0,59.0,27.0,35.0,85.0,13.0,63.0,19.0,69.0,24.0,38.0,42.0,47.0,113.0,147.0,30.0
1878,0.0,1.0,2.0,4.0,15.0,12.0,3.0,9.0,7.0,17.0,19.0,11.0,42.0,68.0,14.0,24.0,10.0,16.0,29.0,25.0,104.0,8.0,32.0,82.0,37.0,39.0,36.0,105.0,56.0,35.0
1927,1.0,0.0,9.0,24.0,4.0,73.0,6.0,2.0,19.0,18.0,8.0,7.0,88.0,38.0,27.0,33.0,17.0,44.0,85.0,20.0,56.0,10.0,37.0,12.0,45.0,5.0,23.0,14.0,121.0,89.0
1976,0.0,1.0,8.0,28.0,7.0,49.0,11.0,2.0,9.0,16.0,4.0,6.0,15.0,109.0,33.0,22.0,3.0,10.0,13.0,145.0,31.0,60.0,26.0,25.0,18.0,53.0,30.0,39.0,77.0,27.0
2025,2.0,0.0,1.0,7.0,6.0,19.0,33.0,5.0,36.0,66.0,4.0,14.0,16.0,78.0,8.0,27.0,22.0,9.0,54.0,11.0,31.0,90.0,76.0,35.0,51.0,17.0,64.0,86.0,32.0,49.0
2074,1.0,0.0,4.0,6.0,162.0,15.0,18.0,2.0,12.0,8.0,5.0,60.0,9.0,79.0,3.0,17.0,26.0,39.0,33.0,21.0,19.0,31.0,70.0,22.0,23.0,24.0,62.0,54.0,28.0,73.0
2123,0.0,1.0,6.0,7.0,70.0,8.0,29.0,17.0,26.0,42.0,4.0,32.0,3.0,14.0,2.0,5.0,9.0,27.0,23.0,28.0,15.0,48.0,49.0,34.0,108.0,21.0,94.0,16.0,121.0,30.0
2172,0.0,1.0,6.0,12.0,7.0,5.0,16.0,2.0,10.0,9.0,30.0,24.0,8.0,81.0,4.0,62.0,23.0,13.0,14.0,45.0,35.0,36.0,60.0,15.0,25.0,19.0,67.0,34.0,21.0,28.0
2221,0.0,1.0,2.0,12.0,178.0,10.0,18.0,6.0,28.0,47.0,39.0,7.0,3.0,105.0,13.0,9.0,4.0,31.0,15.0,16.0,52.0,41.0,79.0,57.0,21.0,51.0,75.0,44.0,20.0,30.0
2270,0.0,1.0,2.0,34.0,85.0,22.0,4.0,15.0,10.0,13.0,45.0,5.0,7.0,72.0,26.0,37.0,48.0,38.0,8.0,49.0,6.0,105.0,53.0,23.0,19.0,24.0,43.0,12.0,114.0,54.0
2319,0.0,2.0,1.0,6.0,17.0,7.0,30.0,4.0,5.0,18.0,37.0,35.0,16.0,62.0,3.0,13.0,10.0,36.0,12.0,15.0,42.0,31.0,55.0,9.0,11.0,40.0,44.0,38.0,49.0,65.0
2368,0.0,1.0,8.0,16.0,103.0,6.0,5.0,49.0,7.0,31.0,13.0,21.0,3.0,29.0,2.0,18.0,12.0,22.0,36.0,59.0,38.0,27.0,19.0,14.0,33.0,9.0,28.0,25.0,39.0,37.0
2417,2.0,1.0,0.0,3.0,33.0,4.0,5.0,11.0,24.0,28.0,44.0,32.0,19.0,6.0,7.0,13.0,9.0,36.0,8.0,101.0,53.0,83.0,18.0,12.0,21.0,35.0,14.0,84.0,20.0,29.0
2466,0.0,3.0,4.0,18.0,21.0,2.0,14.0,7.0,12.0,27.0,6.0,16.0,48.0,1.0,20.0,72.0,37.0,5.0,19.0,94.0,35.0,9.0,25.0,29.0,15.0,131.0,8.0,69.0,17.0,28.0
2515,0.0,3.0,7.0,2.0,10.0,15.0,1.0,20.0,49.0,75.0,37.0,24.0,27.0,4.0,18.0,14.0,98.0,9.0,8.0,6.0,61.0,11.0,40.0,35.0,45.0,19.0,16.0,54.0,13.0,17.0
2564,0.0,3.0,1.0,4.0,68.0,28.0,10.0,21.0,11.0,5.0,54.0,16.0,13.0,22.0,29.0,32.0,25.0,12.0,18.0,20.0,49.0,38.0,2.0,108.0,53.0,98.0,8.0,31.0,15.0,84.0
2613,0.0,1.0,7.0,12.0,14.0,35.0,21.0,2.0,45.0,15.0,71.0,23.0,16.0,9.0,55.0,17.0,229.0,22.0,6.0,34.0,82.0,5.0,8.0,54.0,30.0,156.0,41.0,10.0,18.0,50.0
2662,0.0,3.0,4.0,14.0,10.0,27.0,7.0,12.0,5.0,29.0,32.0,8.0,28.0,15.0,18.0,81.0,67.0,9.0,22.0,33.0,41.0,30.0,16.0,35.0,50.0,11.0,2.0,37.0,6.0,56.0
2711,0.0,3.0,2.0,4.0,12.0,1.0,28.0,32.0,23.0,11.0,35.0,44.0,9.0,33.0,18.0,7.0,39.0,6.0,13.0,19.0,94.0,15.0,10.0,48.0,17.0,112.0,20.0,21.0,37.0,49.0
2760,0.0,1.0,8.0,9.0,13.0,6.0,15.0,39.0,11.0,2.0,81.0,23.0,12.0,7.0,38.0,43.0,48.0,40.0,3.0,16.0,37.0,50.0,30.0,24.0,14.0,26.0,5.0,25.0,17.0,171.0
2809,0.0,3.0,8.0,12.0,6.0,2.0,15.0,46.0,14.0,27.0,18.0,11.0,22.0,9.0,28.0,26.0,19.0,31.0,5.0,33.0,17.0,48.0,1.0,42.0,38.0,52.0,16.0,47.0,7.0,71.0
2858,0.0,15.0,4.0,1.0,6.0,9.0,12.0,30.0,45.0,44.0,160.0,8.0,16.0,2.0,13.0,25.0,64.0,40.0,37.0,17.0,27.0,11.0,5.0,67.0,10.0,18.0,22.0,31.0,125.0,140.0
2907,0.0,5.0,2.0,13.0,37.0,24.0,15.0,27.0,48.0,18.0,54.0,23.0,26.0,6.0,41.0,22.0,45.0,16.0,4.0,21.0,92.0,28.0,25.0,102.0,62.0,65.0,12.0,20.0,30.0,17.0
2956,0.0,1.0,3.0,14.0,4.0,5.0,9.0,2.0,26.0,7.0,28.0,21.0,24.0,8.0,52.0,18.0,31.0,20.0,37.0,35.0,34.0,30.0,44.0,29.0,45.0,12.0,27.0,102.0,48.0,17.0
3005,0.0,3.0,2.0,12.0,1.0,10.0,20.0,7.0,8.0,15.0,9.0,14.0,39.0,5.0,21.0,74.0,18.0,31.0,69.0,91.0,13.0,34.0,25.0,53.0,27.0,4.0,24.0,6.0,81.0,32.0
3054,2.0,6.0,3.0,19.0,0.0,1.0,38.0,4.0,53.0,32.0,65.0,34.0,50.0,7.0,31.0,35.0,64.0,17.0,51.0,61.0,13.0,39.0,16.0,22.0,20.0,5.0,21.0,30.0,105.0,12.0
