,ZBTB20_AMP,KIAA1217_DEL,DOCK10_AMP,FMN2_AMP,BMPR2_AMP,GSTTP1_AMP,BRAF_MUT,UNC13C_MUT,ZNF705G_AMP,BCAS1_AMP,NRXN3_DEL,CDC73_AMP,SORD_AMP,SIRPB1_AMP,PTCH1_AMP,SESTD1_AMP,BTNL3_DEL,MST1P9_AMP,NRXN1_DEL,PCCB_DEL,BCL2_DEL,LINC00221_DEL,MGAM_DEL,AMY2A_DEL,BRAF.V600E_MUT,ARHGAP22_DEL,FAM35B_DEL,FFAR3_DEL,ATG10_DEL,SORL1_MUT
1255,0.0,2.0,19.0,15.0,3.0,7.0,12.0,4.0,30.0,1.0,8.0,18.0,10.0,49.0,5.0,14.0,61.0,6.0,11.0,32.0,37.0,126.0,20.0,22.0,17.0,26.0,21.0,23.0,24.0,313.0
1304,3.0,12.0,2.0,0.0,1.0,4.0,10.0,23.0,26.0,21.0,14.0,39.0,22.0,27.0,18.0,44.0,6.0,28.0,25.0,24.0,42.0,45.0,99.0,19.0,31.0,15.0,20.0,40.0,29.0,17.0
1353,6.0,7.0,3.0,1.0,2.0,9.0,4.0,19.0,12.0,8.0,13.0,44.0,0.0,133.0,10.0,14.0,5.0,20.0,32.0,15.0,68.0,18.0,103.0,87.0,30.0,59.0,16.0,11.0,47.0,22.0
1402,14.0,41.0,2.0,27.0,0.0,8.0,7.0,9.0,1.0,6.0,23.0,13.0,4.0,20.0,22.0,516.0,10.0,5.0,12.0,402.0,38.0,15.0,21.0,61.0,26.0,100.0,3.0,29.0,112.0,55.0
1451,11.0,3.0,8.0,2.0,1.0,4.0,30.0,5.0,7.0,20.0,6.0,22.0,0.0,83.0,18.0,21.0,19.0,12.0,26.0,14.0,44.0,23.0,39.0,40.0,101.0,13.0,43.0,102.0,64.0,51.0
1500,11.0,0.0,3.0,16.0,15.0,1.0,42.0,34.0,55.0,19.0,12.0,68.0,4.0,5.0,14.0,20.0,208.0,67.0,2.0,7.0,13.0,36.0,63.0,32.0,142.0,33.0,51.0,62.0,38.0,69.0
1549,3.0,0.0,2.0,5.0,47.0,6.0,31.0,9.0,45.0,43.0,21.0,12.0,16.0,18.0,4.0,1.0,37.0,78.0,11.0,15.0,19.0,38.0,25.0,20.0,299.0,57.0,53.0,61.0,17.0,108.0
1598,0.0,2.0,5.0,6.0,18.0,3.0,9.0,34.0,46.0,78.0,11.0,22.0,7.0,28.0,13.0,23.0,4.0,32.0,12.0,25.0,30.0,62.0,17.0,14.0,76.0,15.0,162.0,165.0,35.0,94.0
1647,7.0,0.0,1.0,5.0,17.0,10.0,36.0,4.0,35.0,12.0,16.0,20.0,2.0,23.0,13.0,3.0,8.0,14.0,191.0,9.0,40.0,28.0,15.0,46.0,204.0,170.0,81.0,219.0,11.0,70.0
1696,2.0,0.0,1.0,7.0,8.0,3.0,38.0,33.0,18.0,20.0,21.0,32.0,23.0,27.0,4.0,5.0,47.0,44.0,12.0,26.0,22.0,81.0,13.0,15.0,87.0,48.0,54.0,31.0,14.0,273.0
1745,2.0,0.0,14.0,17.0,3.0,7.0,4.0,8.0,1.0,66.0,27.0,129.0,137.0,33.0,21.0,30.0,69.0,28.0,10.0,9.0,43.0,23.0,70.0,15.0,45.0,54.0,37.0,216.0,5.0,105.0
1794,1.0,2.0,4.0,45.0,9.0,3.0,39.0,22.0,18.0,25.0,14.0,8.0,0.0,15.0,37.0,5.0,16.0,34.0,12.0,35.0,92.0,161.0,67.0,47.0,207.0,24.0,482.0,613.0,17.0,281.0
1843,1.0,0.0,4.0,19.0,15.0,18.0,50.0,5.0,22.0,10.0,14.0,25.0,6.0,53.0,12.0,3.0,2.0,13.0,42.0,17.0,28.0,378.0,30.0,20.0,77.0,35.0,353.0,41.0,24.0,64.0
1892,26.0,0.0,4.0,176.0,10.0,6.0,44.0,31.0,2.0,22.0,13.0,12.0,273.0,285.0,15.0,19.0,165.0,100.0,28.0,7.0,20.0,21.0,40.0,87.0,198.0,36.0,455.0,118.0,51.0,359.0
1941,3.0,2.0,1.0,7.0,14.0,12.0,19.0,11.0,6.0,22.0,13.0,8.0,0.0,810.0,9.0,26.0,10.0,34.0,16.0,27.0,31.0,35.0,29.0,15.0,153.0,233.0,48.0,44.0,46.0,40.0
1990,1.0,2.0,0.0,4.0,3.0,7.0,5.0,6.0,159.0,8.0,13.0,14.0,66.0,22.0,9.0,41.0,426.0,45.0,10.0,40.0,11.0,16.0,18.0,23.0,12.0,199.0,162.0,91.0,115.0,28.0
2039,1.0,8.0,2.0,0.0,7.0,40.0,4.0,3.0,54.0,9.0,13.0,24.0,25.0,123.0,5.0,42.0,15.0,81.0,137.0,22.0,10.0,6.0,11.0,23.0,29.0,1408.0,117.0,209.0,103.0,28.0
2088,5.0,0.0,3.0,4.0,6.0,51.0,1.0,2.0,39.0,29.0,9.0,60.0,31.0,23.0,11.0,80.0,27.0,106.0,13.0,18.0,15.0,10.0,42.0,28.0,8.0,252.0,59.0,17.0,69.0,21.0
2137,0.0,1.0,6.0,78.0,2.0,79.0,13.0,3.0,53.0,5.0,4.0,70.0,17.0,86.0,16.0,95.0,15.0,11.0,10.0,93.0,7.0,42.0,18.0,142.0,74.0,61.0,31.0,8.0,156.0,220.0
2186,0.0,5.0,17.0,40.0,2.0,57.0,3.0,1.0,30.0,7.0,96.0,15.0,49.0,75.0,11.0,4.0,21.0,44.0,68.0,53.0,36.0,9.0,6.0,27.0,8.0,78.0,63.0,65.0,66.0,19.0
2235,1.0,2.0,3.0,0.0,25.0,10.0,4.0,6.0,26.0,20.0,23.0,35.0,369.0,5.0,11.0,128.0,29.0,108.0,9.0,48.0,55.0,15.0,147.0,37.0,45.0,201.0,838.0,987.0,178.0,42.0
2284,0.0,7.0,3.0,1.0,2.0,6.0,5.0,8.0,21.0,12.0,15.0,52.0,90.0,19.0,16.0,193.0,80.0,48.0,4.0,29.0,26.0,11.0,10.0,24.0,17.0,143.0,124.0,110.0,89.0,14.0
2333,1.0,2.0,3.0,7.0,5.0,10.0,0.0,6.0,9.0,21.0,13.0,14.0,61.0,55.0,19.0,17.0,47.0,23.0,11.0,29.0,16.0,12.0,15.0,27.0,4.0,297.0,110.0,24.0,147.0,20.0
2382,5.0,9.0,0.0,61.0,15.0,48.0,10.0,2.0,3.0,6.0,24.0,40.0,23.0,25.0,13.0,77.0,32.0,81.0,21.0,105.0,19.0,11.0,20.0,26.0,30.0,333.0,156.0,49.0,108.0,37.0
2431,1.0,0.0,5.0,2.0,6.0,26.0,4.0,11.0,30.0,9.0,17.0,14.0,35.0,7.0,3.0,68.0,70.0,49.0,23.0,41.0,22.0,13.0,19.0,33.0,15.0,351.0,20.0,36.0,115.0,40.0
2480,5.0,8.0,1.0,0.0,23.0,3.0,18.0,6.0,28.0,24.0,10.0,7.0,4.0,2.0,11.0,9.0,44.0,46.0,27.0,26.0,91.0,136.0,604.0,19.0,103.0,67.0,118.0,375.0,21.0,12.0
2529,8.0,9.0,1.0,0.0,11.0,5.0,47.0,14.0,64.0,6.0,3.0,15.0,2.0,4.0,10.0,39.0,36.0,42.0,19.0,7.0,43.0,1036.0,511.0,24.0,75.0,22.0,721.0,190.0,45.0,16.0
2578,0.0,21.0,5.0,1.0,11.0,7.0,40.0,110.0,9.0,15.0,17.0,3.0,6.0,4.0,12.0,10.0,61.0,78.0,14.0,42.0,83.0,179.0,54.0,408.0,264.0,26.0,159.0,46.0,16.0,41.0
2627,10.0,4.0,0.0,5.0,94.0,2.0,14.0,11.0,6.0,7.0,26.0,1.0,9.0,13.0,3.0,16.0,71.0,55.0,17.0,33.0,79.0,58.0,221.0,21.0,64.0,37.0,120.0,34.0,48.0,19.0
2676,64.0,19.0,15.0,6.0,13.0,37.0,3.0,8.0,0.0,28.0,47.0,17.0,38.0,1.0,104.0,5.0,93.0,42.0,48.0,30.0,656.0,53.0,4786.0,61.0,11.0,21.0,352.0,68.0,39.0,12.0
2725,2.0,0.0,5.0,1.0,25.0,3.0,11.0,15.0,19.0,13.0,18.0,6.0,7.0,17.0,9.0,4.0,85.0,24.0,16.0,28.0,189.0,133.0,374.0,31.0,58.0,45.0,84.0,68.0,23.0,22.0
2774,6.0,33.0,3.0,1.0,14.0,23.0,5.0,8.0,9.0,7.0,31.0,11.0,36.0,0.0,4.0,17.0,10.0,73.0,35.0,32.0,158.0,74.0,550.0,16.0,41.0,56.0,29.0,30.0,42.0,24.0
2823,10.0,14.0,2.0,3.0,48.0,12.0,33.0,4.0,8.0,15.0,32.0,0.0,1.0,6.0,13.0,7.0,19.0,45.0,25.0,20.0,287.0,47.0,6808.0,62.0,316.0,72.0,745.0,55.0,27.0,42.0
2872,28.0,120.0,5.0,13.0,40.0,1.0,76.0,10.0,8.0,11.0,17.0,25.0,15.0,3.0,6.0,26.0,342.0,88.0,12.0,23.0,95.0,123.0,589.0,125.0,428.0,32.0,316.0,63.0,41.0,43.0
2921,5.0,9.0,0.0,3.0,24.0,1.0,21.0,19.0,18.0,4.0,20.0,6.0,12.0,8.0,7.0,13.0,63.0,41.0,27.0,11.0,230.0,54.0,107.0,47.0,104.0,30.0,248.0,205.0,32.0,25.0
2970,0.0,1.0,3.0,6.0,4.0,13.0,10.0,20.0,5.0,44.0,18.0,12.0,40.0,9.0,69.0,48.0,7.0,19.0,11.0,104.0,23.0,136.0,551.0,37.0,36.0,26.0,8.0,17.0,34.0,105.0
3019,0.0,1.0,3.0,36.0,4.0,8.0,6.0,48.0,7.0,45.0,5.0,22.0,18.0,27.0,71.0,174.0,576.0,103.0,10.0,252.0,28.0,55.0,35.0,62.0,76.0,11.0,14.0,31.0,205.0,247.0
3068,1.0,0.0,4.0,2.0,7.0,8.0,11.0,15.0,5.0,25.0,9.0,10.0,18.0,6.0,43.0,68.0,80.0,14.0,13.0,31.0,20.0,45.0,951.0,40.0,53.0,46.0,37.0,12.0,24.0,78.0
3117,2.0,3.0,0.0,5.0,7.0,1.0,23.0,59.0,48.0,30.0,6.0,4.0,20.0,1873.0,44.0,24.0,21.0,40.0,18.0,31.0,10.0,231.0,58.0,63.0,479.0,25.0,47.0,94.0,15.0,76.0
3166,0.0,9.0,5.0,7.0,2.0,47.0,4.0,21.0,1.0,13.0,29.0,10.0,3.0,11.0,12.0,33.0,6.0,19.0,123.0,49.0,964.0,833.0,1563.0,38.0,26.0,18.0,46.0,70.0,27.0,72.0
3215,2.0,0.0,1.0,8.0,6.0,41.0,5.0,21.0,3.0,15.0,7.0,10.0,11.0,3066.0,24.0,37.0,33.0,27.0,13.0,251.0,19.0,43.0,76.0,69.0,22.0,190.0,14.0,16.0,114.0,189.0
3264,1.0,0.0,3.0,4.0,2.0,94.0,15.0,11.0,8.0,9.0,16.0,58.0,12.0,13.0,22.0,78.0,6.0,20.0,36.0,23.0,14.0,661.0,148.0,21.0,59.0,17.0,7.0,19.0,55.0,135.0
3313,1.0,0.0,2.0,8.0,11.0,40.0,3.0,6.0,12.0,15.0,14.0,4.0,21.0,9.0,22.0,24.0,67.0,7.0,17.0,73.0,16.0,50.0,129.0,84.0,33.0,96.0,52.0,13.0,18.0,256.0
3362,0.0,1.0,6.0,35.0,2.0,9.0,18.0,11.0,10.0,21.0,4.0,5.0,59.0,98.0,72.0,37.0,49.0,19.0,7.0,97.0,20.0,105.0,46.0,184.0,193.0,27.0,17.0,8.0,77.0,288.0
3411,0.0,1.0,2.0,5.0,4.0,12.0,14.0,53.0,11.0,16.0,9.0,3.0,6.0,169.0,20.0,22.0,18.0,10.0,17.0,103.0,24.0,255.0,122.0,153.0,202.0,74.0,13.0,7.0,23.0,123.0
3460,1.0,35.0,18.0,0.0,4.0,10.0,9.0,24.0,34.0,11.0,7.0,8.0,2.0,14.0,59.0,27.0,5.0,17.0,43.0,15.0,137.0,63.0,33.0,23.0,48.0,28.0,1566.0,49.0,60.0,31.0
3509,2.0,1.0,8.0,3.0,4.0,6.0,0.0,5.0,7.0,35.0,10.0,98.0,29.0,23.0,61.0,142.0,19.0,24.0,13.0,30.0,25.0,11.0,38.0,27.0,22.0,37.0,40.0,17.0,18.0,49.0
3558,2.0,6.0,1.0,0.0,3.0,5.0,4.0,10.0,26.0,17.0,7.0,50.0,14.0,44.0,48.0,33.0,18.0,34.0,8.0,12.0,21.0,11.0,9.0,22.0,28.0,67.0,194.0,42.0,16.0,19.0
3607,3.0,4.0,5.0,0.0,1.0,6.0,2.0,11.0,8.0,16.0,7.0,37.0,15.0,64.0,71.0,46.0,13.0,17.0,10.0,14.0,18.0,9.0,26.0,31.0,27.0,50.0,74.0,20.0,25.0,41.0
3656,2.0,6.0,25.0,14.0,1.0,11.0,3.0,4.0,8.0,12.0,9.0,52.0,36.0,144.0,28.0,15.0,102.0,20.0,24.0,23.0,19.0,10.0,13.0,92.0,18.0,54.0,44.0,21.0,46.0,165.0
3705,0.0,35.0,6.0,2.0,1.0,3.0,11.0,5.0,10.0,15.0,8.0,40.0,16.0,7.0,81.0,14.0,4.0,23.0,27.0,44.0,21.0,42.0,18.0,24.0,123.0,86.0,54.0,97.0,28.0,41.0
3754,12.0,2.0,5.0,7.0,3.0,28.0,14.0,22.0,4.0,9.0,6.0,287.0,1.0,13.0,47.0,165.0,0.0,18.0,36.0,107.0,11.0,49.0,43.0,60.0,31.0,92.0,10.0,45.0,19.0,85.0
3803,2.0,7.0,3.0,1.0,5.0,12.0,6.0,4.0,10.0,43.0,17.0,9.0,0.0,59.0,36.0,26.0,48.0,14.0,16.0,38.0,8.0,30.0,32.0,19.0,39.0,221.0,93.0,41.0,18.0,13.0
3852,7.0,1.0,5.0,0.0,6.0,32.0,8.0,4.0,15.0,14.0,16.0,20.0,2.0,44.0,22.0,10.0,3.0,9.0,42.0,12.0,90.0,17.0,21.0,39.0,65.0,57.0,48.0,25.0,43.0,54.0
3901,3.0,1.0,4.0,2.0,24.0,9.0,40.0,63.0,10.0,21.0,8.0,145.0,18.0,26.0,25.0,16.0,5.0,44.0,13.0,15.0,11.0,28.0,43.0,38.0,94.0,137.0,36.0,6.0,7.0,51.0
3950,1.0,0.0,7.0,2.0,15.0,26.0,3.0,9.0,12.0,8.0,34.0,21.0,13.0,6.0,5.0,28.0,68.0,20.0,37.0,29.0,22.0,41.0,30.0,36.0,4.0,50.0,16.0,23.0,259.0,52.0
3999,3.0,1.0,19.0,13.0,5.0,77.0,2.0,10.0,12.0,27.0,386.0,8.0,4.0,0.0,11.0,14.0,399.0,18.0,36.0,17.0,175.0,29.0,141.0,31.0,6.0,79.0,68.0,316.0,85.0,86.0
4048,7.0,0.0,2.0,9.0,28.0,3.0,12.0,53.0,10.0,14.0,6.0,5.0,8.0,1.0,11.0,30.0,106.0,94.0,19.0,22.0,16.0,13.0,27.0,68.0,55.0,52.0,39.0,204.0,70.0,95.0
4097,1.0,0.0,5.0,2.0,13.0,9.0,3.0,17.0,19.0,12.0,21.0,18.0,7.0,4.0,6.0,22.0,181.0,23.0,11.0,26.0,24.0,20.0,30.0,32.0,10.0,37.0,25.0,39.0,56.0,88.0
4146,2.0,5.0,9.0,19.0,12.0,7.0,3.0,4.0,1.0,6.0,26.0,8.0,14.0,0.0,16.0,24.0,23.0,20.0,27.0,25.0,30.0,10.0,35.0,37.0,29.0,53.0,28.0,310.0,124.0,48.0
4195,6.0,5.0,0.0,2.0,27.0,12.0,9.0,23.0,8.0,13.0,17.0,10.0,4.0,1.0,3.0,46.0,25.0,11.0,33.0,51.0,47.0,15.0,28.0,71.0,40.0,93.0,18.0,39.0,79.0,24.0
4244,5.0,0.0,3.0,28.0,63.0,4.0,2.0,10.0,9.0,8.0,16.0,6.0,29.0,1.0,13.0,53.0,2372.0,21.0,19.0,15.0,24.0,12.0,42.0,33.0,14.0,34.0,23.0,300.0,52.0,106.0
4293,1.0,0.0,16.0,5.0,15.0,12.0,2.0,3.0,14.0,18.0,9.0,25.0,37.0,6.0,4.0,27.0,32.0,24.0,7.0,13.0,28.0,26.0,55.0,106.0,19.0,17.0,11.0,45.0,130.0,185.0
4342,6.0,1.0,3.0,2.0,8.0,9.0,5.0,54.0,17.0,28.0,14.0,11.0,235.0,0.0,7.0,16.0,59.0,618.0,15.0,23.0,18.0,21.0,27.0,58.0,12.0,43.0,61.0,87.0,90.0,44.0
4391,3.0,1.0,5.0,8.0,16.0,6.0,2.0,31.0,4.0,9.0,13.0,12.0,19.0,0.0,10.0,44.0,60.0,78.0,7.0,25.0,14.0,35.0,28.0,50.0,11.0,23.0,18.0,53.0,166.0,69.0
4440,6.0,9.0,29.0,35.0,1.0,44.0,5.0,14.0,21.0,18.0,110.0,15.0,20.0,10.0,43.0,3.0,16.0,19.0,285.0,41.0,136.0,38.0,4.0,31.0,8.0,159.0,79.0,48.0,209.0,98.0
4489,2.0,9.0,26.0,67.0,0.0,120.0,51.0,22.0,29.0,20.0,30.0,19.0,1.0,3.0,179.0,165.0,60.0,7.0,68.0,420.0,50.0,40.0,10.0,505.0,62.0,79.0,44.0,5.0,592.0,722.0
4538,1.0,13.0,33.0,2.0,5.0,151.0,20.0,6.0,24.0,10.0,41.0,4.0,0.0,3.0,7.0,19.0,783.0,17.0,424.0,11.0,199.0,67.0,82.0,29.0,25.0,31.0,630.0,97.0,143.0,200.0
4587,0.0,13.0,34.0,33.0,1.0,68.0,14.0,4.0,31.0,7.0,19.0,12.0,2.0,64.0,40.0,8.0,94.0,74.0,138.0,6.0,41.0,42.0,5.0,30.0,18.0,9.0,61.0,75.0,51.0,70.0
4636,2.0,3.0,12.0,72.0,0.0,69.0,8.0,9.0,15.0,11.0,61.0,31.0,1.0,7.0,13.0,21.0,83.0,101.0,159.0,33.0,49.0,73.0,10.0,40.0,6.0,34.0,5.0,16.0,354.0,150.0
4685,1.0,5.0,14.0,54.0,0.0,84.0,28.0,8.0,16.0,21.0,32.0,3.0,2.0,63.0,17.0,4.0,58.0,10.0,184.0,13.0,45.0,86.0,12.0,57.0,35.0,52.0,11.0,6.0,139.0,31.0
4734,11.0,19.0,18.0,4.0,1.0,15.0,149.0,25.0,191.0,9.0,55.0,7.0,0.0,30.0,12.0,26.0,16.0,66.0,115.0,33.0,45.0,361.0,8.0,48.0,99.0,59.0,17.0,46.0,93.0,140.0
4783,4.0,6.0,7.0,24.0,0.0,59.0,33.0,17.0,45.0,5.0,30.0,11.0,2.0,21.0,14.0,3.0,49.0,10.0,1035.0,12.0,69.0,47.0,8.0,111.0,28.0,63.0,13.0,26.0,308.0,90.0
4832,1.0,5.0,11.0,36.0,2.0,19.0,42.0,9.0,12.0,4.0,101.0,8.0,0.0,3.0,23.0,7.0,22.0,50.0,278.0,26.0,97.0,35.0,13.0,58.0,34.0,10.0,16.0,331.0,145.0,80.0
4881,2.0,12.0,13.0,89.0,1.0,29.0,134.0,8.0,30.0,15.0,35.0,20.0,0.0,14.0,17.0,4.0,33.0,59.0,310.0,10.0,40.0,88.0,9.0,31.0,83.0,92.0,22.0,107.0,168.0,78.0
