,ZBTB20_AMP,KIAA1217_DEL,DOCK10_AMP,FMN2_AMP,BMPR2_AMP,GSTTP1_AMP,BRAF_MUT,UNC13C_MUT,ZNF705G_AMP,BCAS1_AMP,NRXN3_DEL,CDC73_AMP,SORD_AMP,SIRPB1_AMP,PTCH1_AMP,SESTD1_AMP,BTNL3_DEL,MST1P9_AMP,NRXN1_DEL,PCCB_DEL,BCL2_DEL,LINC00221_DEL,MGAM_DEL,AMY2A_DEL,BRAF.V600E_MUT,ARHGAP22_DEL,FAM35B_DEL,FFAR3_DEL,ATG10_DEL,SORL1_MUT
30,0.0,1.0,3.0,8.0,12.0,2.0,32.0,10.0,6.0,19.0,7.0,14.0,9.0,5.0,37.0,23.0,4.0,50.0,70.0,46.0,13.0,58.0,21.0,34.0,164.0,11.0,99.0,51.0,33.0,28.0
79,0.0,2.0,20.0,3.0,13.0,21.0,58.0,11.0,7.0,18.0,4.0,26.0,1104.0,15.0,112.0,124.0,57.0,70.0,66.0,93.0,25.0,19.0,105.0,107.0,615.0,31.0,37.0,5.0,135.0,1420.0
128,2.0,3.0,0.0,9.0,24.0,8.0,53.0,13.0,5.0,17.0,4.0,12.0,7.0,11.0,22.0,25.0,1.0,54.0,50.0,45.0,41.0,49.0,20.0,65.0,268.0,66.0,35.0,14.0,133.0,21.0
177,0.0,4.0,1.0,21.0,12.0,8.0,62.0,10.0,7.0,19.0,2.0,9.0,39.0,145.0,15.0,47.0,6.0,29.0,36.0,24.0,14.0,27.0,45.0,30.0,641.0,22.0,56.0,109.0,34.0,43.0
226,0.0,3.0,4.0,1.0,17.0,25.0,8.0,9.0,15.0,6.0,14.0,16.0,516.0,2.0,10.0,2933.0,5.0,62.0,175.0,54.0,56.0,47.0,7.0,38.0,32.0,37.0,39.0,50.0,135.0,30.0
275,1.0,3.0,0.0,23.0,7.0,10.0,8.0,19.0,2.0,6.0,4.0,45.0,38.0,15.0,27.0,9.0,5.0,49.0,48.0,57.0,29.0,16.0,18.0,46.0,34.0,22.0,26.0,69.0,44.0,52.0
324,0.0,8.0,1.0,78.0,17.0,3.0,54.0,25.0,5.0,9.0,2.0,15.0,26.0,4.0,226.0,31.0,6.0,119.0,18.0,45.0,19.0,16.0,23.0,190.0,974.0,13.0,41.0,64.0,38.0,145.0
373,0.0,3.0,1.0,18.0,17.0,2.0,34.0,8.0,9.0,19.0,4.0,10.0,35.0,25.0,22.0,37.0,7.0,15.0,33.0,100.0,26.0,28.0,16.0,31.0,281.0,29.0,38.0,24.0,41.0,70.0
422,2.0,14.0,4.0,5.0,190.0,8.0,25.0,39.0,12.0,29.0,7.0,13.0,71.0,10.0,44.0,49.0,0.0,64.0,31.0,54.0,55.0,26.0,32.0,20.0,411.0,27.0,97.0,38.0,15.0,24.0
471,0.0,6.0,3.0,28.0,27.0,30.0,107.0,8.0,11.0,4.0,5.0,49.0,7.0,10.0,18.0,119.0,1.0,9.0,189.0,21.0,109.0,1155.0,272.0,13.0,141.0,17.0,88.0,47.0,26.0,40.0
520,10.0,0.0,1.0,6.0,15.0,2.0,4.0,9.0,7.0,20.0,42.0,27.0,1140.0,30.0,97.0,3.0,17.0,56.0,39.0,86.0,33.0,31.0,74.0,32.0,16.0,24.0,13.0,198.0,88.0,54.0
569,5.0,1.0,6.0,17.0,10.0,34.0,0.0,15.0,2.0,11.0,56.0,71.0,69.0,26.0,54.0,7.0,3.0,13.0,99.0,45.0,114.0,14.0,9.0,64.0,12.0,44.0,30.0,46.0,49.0,41.0
618,0.0,1.0,3.0,5.0,4.0,9.0,2.0,23.0,8.0,17.0,42.0,21.0,35.0,16.0,59.0,11.0,12.0,24.0,54.0,108.0,20.0,18.0,15.0,30.0,10.0,29.0,22.0,34.0,105.0,32.0
667,4.0,9.0,3.0,10.0,11.0,2.0,6.0,12.0,0.0,7.0,32.0,29.0,2963.0,100.0,81.0,26.0,21.0,8.0,28.0,111.0,20.0,1.0,65.0,64.0,62.0,54.0,15.0,39.0,158.0,222.0
716,0.0,1.0,4.0,9.0,3.0,7.0,8.0,17.0,10.0,6.0,89.0,5.0,39.0,18.0,74.0,54.0,16.0,26.0,153.0,139.0,20.0,23.0,43.0,31.0,21.0,78.0,34.0,739.0,24.0,70.0
765,16.0,4.0,1.0,0.0,12.0,3.0,6.0,30.0,2.0,9.0,63.0,47.0,82.0,15.0,162.0,31.0,42.0,19.0,18.0,331.0,10.0,14.0,56.0,34.0,8.0,134.0,32.0,397.0,72.0,21.0
814,11.0,9.0,2.0,0.0,10.0,6.0,8.0,62.0,5.0,17.0,19.0,31.0,96.0,105.0,53.0,7.0,1.0,23.0,30.0,85.0,35.0,13.0,42.0,56.0,69.0,24.0,12.0,152.0,80.0,39.0
863,17.0,1.0,0.0,6.0,10.0,5.0,2.0,21.0,15.0,11.0,30.0,24.0,36.0,133.0,90.0,3.0,13.0,20.0,45.0,71.0,26.0,35.0,80.0,31.0,8.0,41.0,18.0,94.0,38.0,59.0
912,8.0,2.0,1.0,6.0,12.0,14.0,0.0,23.0,3.0,49.0,56.0,17.0,85.0,78.0,39.0,9.0,11.0,25.0,37.0,30.0,18.0,27.0,211.0,22.0,7.0,40.0,4.0,206.0,42.0,34.0
961,4.0,8.0,0.0,2.0,10.0,17.0,7.0,20.0,3.0,15.0,37.0,28.0,66.0,6.0,48.0,13.0,1.0,16.0,108.0,119.0,42.0,84.0,282.0,26.0,12.0,32.0,124.0,367.0,47.0,39.0
1010,11.0,21.0,27.0,1.0,0.0,4.0,2.0,3.0,14.0,7.0,5.0,59.0,157.0,164.0,31.0,86.0,163.0,24.0,6.0,10.0,40.0,39.0,171.0,41.0,16.0,9.0,33.0,65.0,25.0,13.0
1059,7.0,10.0,17.0,0.0,3.0,2.0,9.0,5.0,1.0,6.0,13.0,12.0,4.0,48.0,11.0,81.0,39.0,8.0,15.0,18.0,278.0,62.0,1082.0,35.0,24.0,20.0,110.0,103.0,56.0,28.0
1108,7.0,17.0,6.0,54.0,0.0,10.0,3.0,9.0,11.0,12.0,71.0,2.0,1.0,30.0,22.0,18.0,26.0,5.0,45.0,13.0,156.0,19.0,52.0,24.0,21.0,23.0,20.0,37.0,81.0,16.0
1157,3.0,6.0,8.0,2.0,0.0,1.0,70.0,4.0,18.0,5.0,9.0,11.0,19.0,10.0,15.0,161.0,16.0,34.0,14.0,12.0,47.0,24.0,22.0,58.0,540.0,27.0,35.0,404.0,60.0,41.0
1206,22.0,4.0,5.0,8.0,2.0,0.0,3.0,7.0,1.0,15.0,9.0,14.0,6.0,31.0,20.0,10.0,139.0,24.0,18.0,12.0,32.0,26.0,36.0,42.0,11.0,34.0,75.0,165.0,91.0,21.0
