,LUNG,PANCREAS,STOMACH,NERVOUS,OESOPHAGUS,OVARY,URINARY,HAEMATOPOIETIC,BREAST,LIVER,GANGLIA,LARGE_INTESTINE,BONE,ENDOMETRIUM,SOFT_TISSUE,AERODIGESTIVE,SKIN,PROSTATE,SALIVARY,THYROID,KIDNEY,PLEURA,BILIARY
48,12.0,0.0,1.0,3.0,6.0,4.0,2.0,5.0,8.0,11.0,13.0,10.0,14.0,7.0,9.0,16.0,15.0,17.0,18.0,22.0,19.0,20.0,21.0
97,2.0,1.0,3.0,4.0,0.0,5.0,9.0,20.0,8.0,7.0,10.0,11.0,14.0,15.0,6.0,13.0,12.0,16.0,17.0,18.0,19.0,21.0,22.0
146,1.0,8.0,2.0,4.0,6.0,0.0,3.0,5.0,10.0,16.0,12.0,13.0,9.0,11.0,7.0,14.0,18.0,15.0,17.0,19.0,20.0,21.0,22.0
195,2.0,1.0,11.0,4.0,14.0,5.0,3.0,6.0,10.0,0.0,12.0,7.0,13.0,9.0,8.0,15.0,18.0,16.0,17.0,19.0,20.0,21.0,22.0
244,3.0,8.0,4.0,6.0,5.0,0.0,20.0,1.0,2.0,9.0,13.0,7.0,12.0,10.0,17.0,14.0,11.0,15.0,16.0,18.0,19.0,21.0,22.0
293,1.0,9.0,0.0,3.0,5.0,12.0,2.0,4.0,11.0,7.0,14.0,6.0,8.0,10.0,18.0,15.0,13.0,16.0,17.0,19.0,20.0,21.0,22.0
342,0.0,9.0,2.0,5.0,4.0,6.0,22.0,7.0,1.0,3.0,21.0,12.0,10.0,19.0,8.0,13.0,11.0,14.0,16.0,17.0,18.0,15.0,20.0
391,3.0,1.0,11.0,5.0,0.0,12.0,4.0,20.0,9.0,2.0,13.0,6.0,8.0,10.0,7.0,14.0,17.0,15.0,16.0,18.0,19.0,22.0,21.0
440,10.0,0.0,13.0,2.0,5.0,12.0,1.0,11.0,6.0,3.0,14.0,9.0,4.0,8.0,7.0,16.0,15.0,17.0,22.0,18.0,19.0,20.0,21.0
489,11.0,1.0,2.0,13.0,0.0,3.0,12.0,4.0,10.0,7.0,5.0,6.0,8.0,9.0,14.0,15.0,18.0,16.0,17.0,19.0,20.0,21.0,22.0
