,ZBTB20_AMP,GBP3_DEL,BRAF_MUT,GSTT1_AMP,LOC391322_AMP,SIRPB1_AMP,ADAM6_AMP,CFHR1_AMP,KIAA1217_DEL,CFHR3_AMP,CNTNAP3B_DEL,NSF_AMP,KIAA0125_AMP,OR51A2_DEL,USP32P2_DEL,DOCK10_AMP,SLC25A37_DEL,GSTTP1_DEL,TPTE_DEL,TTTY22_DEL,TXNRD1_DEL,LOC340357_DEL,EID3_DEL,DDT_DEL,FAM75A6_DEL,UGT2B28_DEL,FAM21A_DEL,LRRC37A2_AMP,LCE1D_AMP,CSMD3_MUT
30,1.0,6.0,13.0,10.0,11.0,0.0,31.0,25.0,2.0,16.0,8.0,7.0,34.0,82.0,3.0,30.0,53.0,22.0,27.0,33.0,62.0,26.0,63.0,38.0,21.0,279.0,50.0,23.0,145.0,121.0
79,1.0,41.0,11.0,7.0,8.0,0.0,13.0,4.0,31.0,23.0,10.0,14.0,20.0,12.0,16.0,6.0,40.0,26.0,29.0,17.0,92.0,52.0,93.0,91.0,19.0,218.0,30.0,32.0,745.0,111.0
128,1.0,14.0,16.0,35.0,34.0,0.0,15.0,28.0,504.0,47.0,10.0,4.0,36.0,7.0,30.0,6.0,12.0,609.0,73.0,2.0,54.0,9.0,53.0,149.0,33.0,62.0,41.0,23.0,177.0,140.0
177,1.0,6.0,7.0,141.0,142.0,0.0,21.0,26.0,9.0,77.0,14.0,8.0,42.0,11.0,2.0,17.0,86.0,66.0,38.0,166.0,63.0,87.0,62.0,27.0,48.0,52.0,171.0,49.0,127.0,297.0
226,0.0,22.0,1.0,83.0,84.0,2.0,44.0,7.0,104.0,21.0,10.0,3.0,57.0,30.0,23.0,29.0,39.0,24.0,49.0,27.0,53.0,26.0,54.0,40.0,28.0,71.0,50.0,8.0,121.0,88.0
275,1.0,21.0,48.0,5.0,6.0,0.0,69.0,3.0,15.0,8.0,36.0,29.0,123.0,40.0,2.0,57.0,34.0,41.0,185.0,38.0,47.0,31.0,46.0,50.0,39.0,808.0,9.0,51.0,676.0,349.0
324,0.0,20.0,10.0,41.0,40.0,2.0,55.0,15.0,42.0,13.0,29.0,35.0,80.0,30.0,9.0,1.0,82.0,8.0,71.0,4.0,141.0,17.0,140.0,51.0,57.0,324.0,6.0,75.0,115.0,275.0
373,4.0,14.0,13.0,56.0,55.0,0.0,25.0,1.0,65.0,3.0,5.0,24.0,38.0,28.0,8.0,27.0,42.0,23.0,99.0,9.0,71.0,35.0,70.0,45.0,12.0,75.0,16.0,29.0,106.0,1157.0
422,18.0,19.0,158.0,38.0,39.0,0.0,14.0,5.0,146.0,3.0,20.0,4.0,32.0,13.0,15.0,49.0,56.0,17.0,40.0,47.0,78.0,11.0,79.0,43.0,41.0,67.0,21.0,8.0,65.0,161.0
471,6.0,22.0,24.0,15.0,14.0,2.0,35.0,0.0,31.0,1.0,29.0,5.0,39.0,50.0,26.0,25.0,82.0,61.0,51.0,27.0,91.0,45.0,90.0,33.0,62.0,278.0,37.0,13.0,99.0,1435.0
520,3.0,34.0,38.0,1.0,2.0,149.0,25.0,26.0,0.0,8.0,75.0,4.0,31.0,42.0,20.0,7.0,16.0,21.0,11.0,40.0,160.0,23.0,161.0,83.0,168.0,47.0,5.0,15.0,32.0,101.0
569,0.0,65.0,14.0,33.0,32.0,184.0,13.0,9.0,1.0,15.0,12.0,66.0,16.0,2.0,76.0,6.0,23.0,5.0,21.0,19.0,25.0,29.0,24.0,26.0,27.0,11.0,4.0,151.0,30.0,126.0
618,0.0,85.0,2.0,17.0,16.0,42.0,6.0,43.0,10.0,103.0,61.0,8.0,15.0,9.0,3.0,67.0,28.0,4.0,5.0,74.0,26.0,48.0,27.0,19.0,127.0,25.0,11.0,21.0,89.0,58.0
667,44.0,31.0,58.0,1.0,0.0,91.0,3.0,75.0,4.0,42.0,46.0,6.0,10.0,23.0,28.0,9.0,8.0,2.0,36.0,30.0,27.0,17.0,26.0,20.0,45.0,56.0,5.0,11.0,132.0,105.0
716,0.0,44.0,9.0,73.0,74.0,172.0,8.0,31.0,1.0,15.0,16.0,7.0,13.0,3.0,61.0,32.0,4.0,36.0,12.0,34.0,57.0,37.0,56.0,11.0,47.0,5.0,48.0,28.0,39.0,654.0
765,3.0,91.0,24.0,2.0,1.0,15.0,4.0,106.0,0.0,88.0,76.0,6.0,7.0,23.0,39.0,29.0,28.0,5.0,26.0,94.0,93.0,13.0,92.0,41.0,183.0,43.0,12.0,17.0,21.0,117.0
