,alpha-glycerophosphate,C22:6 LPC,1-methylnicotinamide,C16:0 LPE,GABA,pantothenate,inositol,serotonin,putrescine,cytidine,cystathionine,C20:4 CE,3-phosphoglycerate,dCMP,malondialdehyde,oxalate,uracil,2-deoxyadenosine,DHAP/glyceraldehyde 3P,C34:2 DAG,C34:4 PC,uridine,UMP,pyroglutamic acid,C36:1 DAG,PEP,sarcosine,hypoxanthine,creatine,isocitrate
21,7.0,6.0,0.0,1.0,14.0,9.0,8.0,5.0,2.0,13.0,4.0,23.0,35.0,21.0,18.0,20.0,10.0,11.0,36.0,31.0,26.0,17.0,24.0,3.0,16.0,45.0,19.0,38.0,25.0,33.0
70,0.0,3.0,2.0,7.0,13.0,1.0,25.0,4.0,19.0,6.0,44.0,8.0,30.0,17.0,28.0,47.0,18.0,52.0,21.0,11.0,26.0,58.0,10.0,5.0,54.0,15.0,38.0,12.0,46.0,32.0
119,2.0,13.0,0.0,3.0,6.0,1.0,15.0,9.0,30.0,19.0,8.0,41.0,51.0,34.0,14.0,28.0,7.0,45.0,54.0,12.0,37.0,49.0,4.0,65.0,27.0,11.0,5.0,33.0,35.0,25.0
168,0.0,2.0,1.0,4.0,3.0,5.0,62.0,6.0,7.0,31.0,13.0,25.0,24.0,21.0,15.0,32.0,11.0,51.0,45.0,8.0,64.0,23.0,20.0,10.0,36.0,33.0,9.0,16.0,63.0,18.0
217,1.0,2.0,31.0,0.0,3.0,4.0,5.0,18.0,30.0,21.0,9.0,20.0,16.0,25.0,45.0,12.0,6.0,64.0,17.0,61.0,29.0,39.0,10.0,8.0,23.0,32.0,19.0,22.0,26.0,46.0
266,0.0,2.0,1.0,11.0,5.0,7.0,20.0,12.0,4.0,21.0,17.0,29.0,46.0,13.0,23.0,34.0,3.0,35.0,31.0,60.0,55.0,33.0,15.0,18.0,30.0,16.0,9.0,53.0,27.0,24.0
315,2.0,1.0,0.0,21.0,9.0,11.0,28.0,8.0,3.0,13.0,23.0,64.0,12.0,16.0,38.0,34.0,5.0,15.0,33.0,58.0,29.0,4.0,6.0,26.0,49.0,7.0,17.0,60.0,55.0,44.0
364,1.0,3.0,0.0,9.0,11.0,5.0,7.0,4.0,8.0,2.0,38.0,43.0,25.0,16.0,41.0,49.0,20.0,44.0,14.0,28.0,10.0,6.0,30.0,35.0,56.0,27.0,19.0,15.0,18.0,51.0
413,0.0,9.0,1.0,2.0,28.0,8.0,13.0,31.0,14.0,10.0,5.0,38.0,15.0,11.0,29.0,18.0,51.0,43.0,17.0,16.0,30.0,48.0,4.0,25.0,36.0,7.0,23.0,26.0,35.0,41.0
462,0.0,7.0,1.0,50.0,51.0,8.0,13.0,2.0,46.0,10.0,5.0,15.0,16.0,21.0,17.0,3.0,29.0,31.0,27.0,24.0,23.0,26.0,6.0,18.0,11.0,14.0,9.0,35.0,44.0,49.0
511,0.0,2.0,3.0,6.0,1.0,5.0,4.0,16.0,41.0,20.0,59.0,17.0,49.0,11.0,22.0,7.0,12.0,15.0,13.0,42.0,10.0,21.0,30.0,35.0,19.0,54.0,28.0,26.0,47.0,29.0
560,0.0,1.0,8.0,9.0,3.0,21.0,7.0,2.0,35.0,40.0,6.0,19.0,34.0,4.0,15.0,23.0,12.0,14.0,24.0,27.0,18.0,42.0,10.0,11.0,46.0,53.0,26.0,44.0,13.0,29.0
609,1.0,6.0,2.0,18.0,22.0,13.0,16.0,0.0,8.0,32.0,23.0,35.0,63.0,9.0,40.0,4.0,3.0,29.0,19.0,55.0,5.0,38.0,7.0,52.0,34.0,56.0,41.0,42.0,11.0,26.0
658,2.0,0.0,5.0,27.0,20.0,3.0,15.0,4.0,54.0,25.0,58.0,7.0,12.0,1.0,28.0,38.0,13.0,19.0,11.0,35.0,42.0,8.0,10.0,43.0,29.0,21.0,33.0,60.0,22.0,18.0
707,1.0,0.0,33.0,3.0,4.0,2.0,31.0,10.0,13.0,23.0,9.0,5.0,30.0,7.0,11.0,6.0,38.0,51.0,35.0,39.0,14.0,12.0,53.0,45.0,8.0,27.0,54.0,66.0,16.0,24.0
756,1.0,0.0,15.0,41.0,17.0,4.0,18.0,3.0,50.0,22.0,21.0,16.0,40.0,2.0,31.0,39.0,47.0,20.0,51.0,24.0,9.0,11.0,36.0,57.0,43.0,54.0,55.0,25.0,38.0,5.0
805,1.0,0.0,9.0,16.0,43.0,11.0,6.0,2.0,38.0,61.0,15.0,14.0,28.0,5.0,7.0,3.0,4.0,34.0,23.0,58.0,24.0,8.0,26.0,56.0,41.0,19.0,39.0,13.0,44.0,20.0
854,1.0,0.0,6.0,26.0,14.0,7.0,21.0,2.0,10.0,22.0,20.0,8.0,31.0,3.0,54.0,9.0,5.0,24.0,39.0,44.0,27.0,16.0,12.0,61.0,48.0,51.0,30.0,25.0,63.0,34.0
903,1.0,0.0,6.0,33.0,5.0,9.0,20.0,2.0,25.0,29.0,22.0,13.0,7.0,3.0,4.0,11.0,21.0,14.0,16.0,36.0,34.0,8.0,18.0,65.0,46.0,59.0,32.0,40.0,31.0,41.0
952,1.0,2.0,4.0,37.0,12.0,22.0,6.0,0.0,47.0,16.0,35.0,9.0,3.0,5.0,25.0,13.0,8.0,41.0,45.0,7.0,52.0,32.0,11.0,30.0,14.0,46.0,31.0,50.0,42.0,21.0
1001,0.0,1.0,3.0,7.0,8.0,28.0,5.0,22.0,9.0,31.0,12.0,10.0,56.0,54.0,2.0,38.0,6.0,19.0,45.0,24.0,14.0,16.0,44.0,49.0,17.0,50.0,20.0,18.0,4.0,27.0
1050,0.0,1.0,2.0,5.0,4.0,35.0,12.0,23.0,31.0,3.0,8.0,36.0,7.0,18.0,16.0,22.0,48.0,52.0,41.0,32.0,26.0,46.0,57.0,15.0,11.0,13.0,39.0,29.0,17.0,6.0
1099,0.0,1.0,5.0,11.0,16.0,6.0,4.0,17.0,30.0,7.0,13.0,45.0,2.0,12.0,19.0,38.0,39.0,25.0,33.0,9.0,10.0,54.0,44.0,61.0,14.0,3.0,18.0,26.0,28.0,24.0
1148,0.0,3.0,2.0,26.0,11.0,10.0,12.0,4.0,7.0,1.0,5.0,30.0,15.0,21.0,6.0,61.0,8.0,42.0,22.0,45.0,14.0,49.0,31.0,59.0,51.0,23.0,34.0,27.0,37.0,13.0
1197,0.0,2.0,6.0,13.0,60.0,14.0,1.0,7.0,9.0,5.0,4.0,57.0,3.0,10.0,17.0,55.0,23.0,64.0,43.0,33.0,12.0,41.0,35.0,46.0,16.0,21.0,59.0,42.0,8.0,26.0
1246,0.0,1.0,2.0,13.0,7.0,3.0,5.0,18.0,12.0,23.0,4.0,33.0,22.0,16.0,8.0,25.0,15.0,58.0,21.0,26.0,17.0,52.0,61.0,10.0,60.0,6.0,39.0,38.0,9.0,11.0
1295,0.0,2.0,1.0,21.0,5.0,12.0,8.0,9.0,10.0,3.0,6.0,16.0,29.0,19.0,51.0,20.0,15.0,22.0,28.0,18.0,4.0,14.0,57.0,7.0,11.0,36.0,17.0,46.0,37.0,45.0
1344,2.0,0.0,9.0,3.0,1.0,14.0,4.0,8.0,19.0,16.0,5.0,26.0,17.0,10.0,50.0,38.0,25.0,57.0,23.0,31.0,22.0,6.0,33.0,29.0,7.0,48.0,27.0,21.0,52.0,61.0
1393,0.0,1.0,9.0,22.0,11.0,3.0,2.0,8.0,7.0,13.0,10.0,25.0,12.0,4.0,33.0,47.0,54.0,24.0,16.0,6.0,5.0,14.0,29.0,46.0,26.0,32.0,17.0,58.0,21.0,28.0
1442,0.0,2.0,48.0,14.0,13.0,26.0,10.0,11.0,3.0,63.0,7.0,16.0,1.0,18.0,15.0,57.0,9.0,39.0,17.0,59.0,37.0,19.0,55.0,32.0,12.0,22.0,4.0,38.0,20.0,6.0
1491,1.0,0.0,12.0,10.0,11.0,22.0,4.0,2.0,8.0,5.0,3.0,19.0,56.0,39.0,13.0,42.0,6.0,30.0,49.0,14.0,17.0,53.0,26.0,18.0,60.0,29.0,16.0,20.0,59.0,7.0
1540,0.0,1.0,11.0,13.0,19.0,2.0,3.0,5.0,23.0,7.0,18.0,21.0,15.0,34.0,46.0,50.0,42.0,14.0,4.0,6.0,8.0,41.0,27.0,38.0,33.0,35.0,49.0,17.0,60.0,10.0
1589,1.0,2.0,4.0,0.0,27.0,3.0,13.0,23.0,7.0,5.0,20.0,9.0,6.0,10.0,36.0,46.0,26.0,14.0,24.0,57.0,32.0,52.0,12.0,61.0,33.0,17.0,22.0,28.0,49.0,16.0
1638,1.0,0.0,3.0,41.0,2.0,18.0,14.0,27.0,9.0,6.0,10.0,17.0,7.0,29.0,59.0,11.0,28.0,4.0,38.0,20.0,52.0,15.0,31.0,5.0,32.0,26.0,23.0,30.0,13.0,35.0
1687,6.0,0.0,40.0,31.0,1.0,11.0,3.0,21.0,8.0,2.0,5.0,36.0,18.0,7.0,33.0,25.0,14.0,17.0,10.0,12.0,22.0,35.0,32.0,38.0,16.0,26.0,19.0,48.0,4.0,9.0
1736,0.0,1.0,6.0,4.0,5.0,12.0,7.0,16.0,10.0,11.0,31.0,3.0,17.0,19.0,39.0,8.0,27.0,2.0,15.0,33.0,13.0,32.0,51.0,22.0,59.0,45.0,18.0,66.0,25.0,34.0
1785,0.0,2.0,1.0,8.0,4.0,13.0,7.0,22.0,16.0,18.0,3.0,9.0,48.0,12.0,32.0,6.0,5.0,24.0,11.0,20.0,17.0,59.0,26.0,29.0,43.0,15.0,27.0,38.0,31.0,19.0
1834,1.0,3.0,0.0,15.0,10.0,7.0,4.0,5.0,39.0,2.0,13.0,9.0,27.0,19.0,20.0,44.0,53.0,8.0,21.0,45.0,6.0,52.0,63.0,28.0,61.0,17.0,48.0,51.0,37.0,25.0
1883,3.0,0.0,1.0,9.0,4.0,2.0,11.0,19.0,33.0,6.0,8.0,15.0,61.0,22.0,10.0,7.0,27.0,13.0,45.0,18.0,17.0,12.0,36.0,57.0,21.0,32.0,28.0,25.0,37.0,5.0
1932,0.0,1.0,2.0,20.0,3.0,7.0,5.0,18.0,8.0,21.0,16.0,6.0,56.0,47.0,34.0,11.0,33.0,25.0,4.0,12.0,29.0,17.0,27.0,13.0,50.0,28.0,45.0,42.0,51.0,15.0
1981,1.0,5.0,7.0,3.0,8.0,2.0,14.0,23.0,28.0,0.0,21.0,40.0,6.0,18.0,34.0,48.0,62.0,56.0,27.0,15.0,9.0,47.0,25.0,59.0,36.0,11.0,31.0,66.0,10.0,24.0
2030,3.0,2.0,0.0,11.0,7.0,6.0,33.0,8.0,48.0,1.0,32.0,16.0,4.0,27.0,21.0,63.0,13.0,22.0,23.0,14.0,28.0,37.0,24.0,17.0,20.0,12.0,10.0,58.0,19.0,45.0
2079,0.0,5.0,3.0,11.0,13.0,15.0,41.0,26.0,55.0,6.0,39.0,25.0,2.0,28.0,8.0,23.0,48.0,12.0,9.0,7.0,4.0,20.0,19.0,18.0,16.0,1.0,33.0,42.0,21.0,32.0
2128,1.0,3.0,13.0,7.0,6.0,0.0,20.0,18.0,57.0,4.0,5.0,15.0,2.0,10.0,21.0,35.0,41.0,14.0,37.0,23.0,19.0,39.0,32.0,17.0,12.0,8.0,16.0,51.0,9.0,43.0
2177,0.0,4.0,1.0,10.0,17.0,13.0,22.0,14.0,34.0,2.0,3.0,19.0,7.0,24.0,29.0,28.0,25.0,15.0,31.0,12.0,5.0,49.0,58.0,56.0,6.0,20.0,9.0,46.0,8.0,36.0
2226,3.0,1.0,0.0,4.0,6.0,10.0,14.0,38.0,29.0,13.0,15.0,17.0,5.0,24.0,26.0,27.0,55.0,28.0,23.0,20.0,16.0,39.0,36.0,18.0,8.0,21.0,2.0,48.0,7.0,31.0
2275,1.0,18.0,4.0,0.0,24.0,19.0,13.0,17.0,22.0,25.0,15.0,30.0,2.0,20.0,26.0,40.0,33.0,36.0,37.0,5.0,9.0,10.0,39.0,46.0,11.0,12.0,8.0,63.0,16.0,41.0
2324,2.0,9.0,0.0,6.0,11.0,4.0,12.0,5.0,8.0,13.0,51.0,7.0,1.0,29.0,20.0,27.0,53.0,21.0,37.0,3.0,43.0,14.0,22.0,57.0,38.0,10.0,16.0,49.0,15.0,36.0
2373,0.0,4.0,15.0,25.0,12.0,29.0,9.0,32.0,8.0,27.0,11.0,5.0,6.0,18.0,16.0,55.0,52.0,20.0,30.0,3.0,61.0,45.0,37.0,42.0,38.0,7.0,2.0,39.0,13.0,24.0
2422,1.0,2.0,8.0,3.0,10.0,27.0,19.0,12.0,16.0,5.0,14.0,4.0,0.0,18.0,25.0,40.0,34.0,26.0,11.0,6.0,36.0,22.0,58.0,28.0,61.0,9.0,15.0,54.0,46.0,30.0
2471,0.0,12.0,3.0,6.0,9.0,22.0,13.0,29.0,36.0,11.0,5.0,7.0,1.0,25.0,18.0,21.0,51.0,42.0,65.0,28.0,31.0,17.0,19.0,35.0,26.0,2.0,15.0,14.0,39.0,27.0
2520,0.0,1.0,3.0,2.0,6.0,27.0,16.0,29.0,45.0,5.0,7.0,4.0,18.0,59.0,34.0,13.0,28.0,43.0,36.0,23.0,15.0,53.0,20.0,24.0,8.0,33.0,51.0,21.0,41.0,17.0
2569,0.0,3.0,20.0,1.0,12.0,4.0,32.0,47.0,17.0,10.0,18.0,14.0,5.0,24.0,62.0,16.0,40.0,11.0,9.0,61.0,34.0,56.0,2.0,25.0,23.0,19.0,58.0,44.0,49.0,22.0
2618,0.0,1.0,14.0,2.0,6.0,20.0,11.0,5.0,39.0,35.0,25.0,4.0,16.0,13.0,42.0,17.0,22.0,28.0,12.0,47.0,23.0,31.0,9.0,3.0,7.0,18.0,53.0,50.0,24.0,46.0
2667,1.0,0.0,7.0,2.0,11.0,16.0,4.0,8.0,9.0,13.0,56.0,3.0,5.0,41.0,47.0,27.0,31.0,10.0,58.0,49.0,42.0,25.0,30.0,26.0,32.0,37.0,33.0,22.0,48.0,55.0
2716,0.0,2.0,11.0,3.0,9.0,5.0,35.0,40.0,53.0,29.0,49.0,4.0,1.0,26.0,19.0,38.0,10.0,24.0,20.0,7.0,25.0,37.0,17.0,21.0,15.0,12.0,57.0,8.0,27.0,45.0
2765,0.0,1.0,26.0,3.0,2.0,9.0,51.0,13.0,21.0,20.0,52.0,4.0,10.0,22.0,37.0,7.0,25.0,6.0,58.0,55.0,43.0,50.0,14.0,11.0,23.0,24.0,18.0,44.0,15.0,27.0
2814,0.0,2.0,4.0,1.0,30.0,9.0,35.0,13.0,32.0,19.0,33.0,5.0,18.0,22.0,60.0,17.0,6.0,21.0,12.0,8.0,59.0,26.0,3.0,15.0,41.0,39.0,34.0,37.0,57.0,43.0
