,LUNG,HAEMATOPOIETIC,NERVOUS,LARGE_INTESTINE,SKIN,PANCREAS,OESOPHAGUS,LIVER,BONE,OVARY,GANGLIA,PLEURA,ENDOMETRIUM,BREAST,STOMACH,URINARY,AERODIGESTIVE,PROSTATE,SOFT_TISSUE,THYROID,KIDNEY,SALIVARY,BILIARY
48,3.0,2.0,7.0,0.0,6.0,8.0,5.0,4.0,13.0,16.0,9.0,14.0,15.0,1.0,12.0,10.0,11.0,17.0,18.0,19.0,20.0,21.0,22.0
97,0.0,8.0,10.0,4.0,16.0,7.0,11.0,2.0,13.0,9.0,6.0,14.0,1.0,5.0,15.0,12.0,3.0,17.0,18.0,19.0,20.0,21.0,22.0
146,11.0,1.0,0.0,9.0,2.0,7.0,17.0,15.0,8.0,14.0,12.0,10.0,6.0,5.0,3.0,4.0,16.0,18.0,19.0,20.0,13.0,21.0,22.0
195,12.0,1.0,0.0,7.0,16.0,2.0,13.0,9.0,5.0,4.0,15.0,11.0,10.0,6.0,14.0,3.0,8.0,17.0,18.0,19.0,20.0,21.0,22.0
244,16.0,2.0,7.0,1.0,0.0,6.0,5.0,12.0,19.0,10.0,11.0,14.0,3.0,4.0,9.0,8.0,13.0,17.0,21.0,18.0,15.0,20.0,22.0
293,0.0,4.0,2.0,13.0,16.0,1.0,5.0,14.0,7.0,3.0,11.0,8.0,15.0,12.0,9.0,10.0,6.0,17.0,18.0,19.0,20.0,21.0,22.0
342,18.0,7.0,5.0,9.0,12.0,8.0,0.0,10.0,1.0,14.0,16.0,11.0,6.0,4.0,3.0,15.0,2.0,17.0,19.0,20.0,13.0,21.0,22.0
391,16.0,0.0,14.0,5.0,1.0,6.0,9.0,13.0,4.0,7.0,10.0,3.0,2.0,11.0,8.0,15.0,12.0,17.0,18.0,19.0,20.0,21.0,22.0
440,1.0,0.0,14.0,12.0,7.0,10.0,9.0,4.0,15.0,11.0,6.0,3.0,2.0,5.0,8.0,16.0,13.0,17.0,18.0,19.0,20.0,21.0,22.0
489,9.0,4.0,16.0,13.0,0.0,2.0,7.0,8.0,18.0,3.0,19.0,6.0,5.0,11.0,1.0,17.0,10.0,20.0,12.0,14.0,15.0,21.0,22.0
538,7.0,8.0,12.0,1.0,15.0,0.0,16.0,4.0,3.0,9.0,6.0,13.0,2.0,5.0,14.0,10.0,11.0,17.0,18.0,19.0,20.0,21.0,22.0
587,13.0,4.0,3.0,5.0,15.0,11.0,9.0,20.0,19.0,18.0,10.0,12.0,0.0,7.0,1.0,2.0,6.0,8.0,14.0,16.0,17.0,21.0,22.0
636,0.0,8.0,9.0,5.0,7.0,12.0,16.0,14.0,3.0,13.0,11.0,2.0,1.0,6.0,10.0,15.0,4.0,17.0,18.0,19.0,20.0,21.0,22.0
685,10.0,0.0,4.0,11.0,15.0,1.0,16.0,9.0,8.0,5.0,7.0,6.0,3.0,12.0,2.0,13.0,14.0,17.0,18.0,19.0,20.0,21.0,22.0
734,16.0,0.0,7.0,12.0,1.0,6.0,15.0,3.0,13.0,10.0,5.0,14.0,2.0,11.0,9.0,8.0,4.0,17.0,18.0,19.0,20.0,21.0,22.0
783,16.0,4.0,0.0,13.0,5.0,15.0,11.0,6.0,17.0,3.0,12.0,7.0,8.0,9.0,1.0,2.0,14.0,10.0,18.0,19.0,20.0,21.0,22.0
832,2.0,0.0,5.0,10.0,15.0,1.0,20.0,14.0,8.0,6.0,9.0,16.0,7.0,12.0,3.0,4.0,11.0,13.0,17.0,18.0,19.0,21.0,22.0
881,19.0,5.0,0.0,1.0,14.0,6.0,16.0,17.0,10.0,4.0,8.0,9.0,12.0,11.0,2.0,3.0,7.0,18.0,13.0,15.0,20.0,21.0,22.0
930,10.0,0.0,4.0,6.0,18.0,13.0,11.0,14.0,1.0,5.0,12.0,8.0,15.0,9.0,2.0,3.0,7.0,16.0,17.0,19.0,20.0,21.0,22.0
979,0.0,8.0,7.0,3.0,5.0,9.0,10.0,2.0,1.0,6.0,4.0,15.0,16.0,11.0,14.0,13.0,12.0,17.0,18.0,19.0,20.0,21.0,22.0
1028,0.0,13.0,1.0,3.0,4.0,5.0,2.0,6.0,7.0,20.0,14.0,8.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
1077,1.0,0.0,9.0,11.0,16.0,8.0,12.0,5.0,4.0,13.0,10.0,3.0,2.0,7.0,15.0,14.0,6.0,17.0,18.0,19.0,20.0,21.0,22.0
1126,18.0,9.0,7.0,3.0,1.0,4.0,11.0,13.0,0.0,6.0,12.0,2.0,15.0,16.0,8.0,14.0,5.0,17.0,19.0,20.0,10.0,21.0,22.0
1175,0.0,4.0,6.0,2.0,5.0,10.0,3.0,14.0,15.0,9.0,11.0,16.0,1.0,12.0,8.0,7.0,13.0,17.0,18.0,19.0,20.0,21.0,22.0
1224,9.0,0.0,4.0,2.0,13.0,6.0,1.0,7.0,8.0,5.0,17.0,12.0,11.0,10.0,3.0,15.0,16.0,18.0,19.0,20.0,14.0,21.0,22.0
1273,17.0,0.0,5.0,8.0,12.0,2.0,1.0,15.0,10.0,6.0,7.0,9.0,11.0,14.0,3.0,4.0,13.0,16.0,18.0,19.0,20.0,21.0,22.0
