,PAI-1,Caveolin-1,TAZ,VAV1,p62 Lck ligand,Paxillin,RAD51,EGFR,MAPK_pT202_Y204,Collagen_VI,Akt,NF2,GATA3,Rb,PEA15,VEGFR2,YAP_pS127,Rab25,4E-BP1_pS65,Rb_pS807_S811,Transglutaminase,NF-kB-p65_pS536,Annexin 1,G6PD,N-Cadherin,Bax,PTEN,Chk1_pS345,PDCD4,p27_pT157
0,0.0,2.0,6.0,32.0,13.0,70.0,3.0,14.0,1.0,29.0,20.0,50.0,11.0,24.0,30.0,23.0,4.0,45.0,98.0,78.0,44.0,10.0,7.0,16.0,27.0,46.0,19.0,35.0,137.0,63.0
49,2.0,0.0,19.0,4.0,20.0,16.0,3.0,6.0,1.0,17.0,7.0,67.0,13.0,46.0,81.0,86.0,12.0,26.0,136.0,28.0,15.0,8.0,10.0,18.0,127.0,92.0,122.0,5.0,159.0,66.0
98,0.0,1.0,7.0,9.0,4.0,8.0,10.0,25.0,5.0,50.0,11.0,22.0,30.0,13.0,88.0,17.0,3.0,21.0,101.0,2.0,51.0,16.0,29.0,26.0,63.0,33.0,44.0,24.0,136.0,31.0
147,0.0,1.0,10.0,15.0,4.0,38.0,2.0,11.0,6.0,27.0,47.0,8.0,3.0,29.0,67.0,104.0,5.0,28.0,12.0,21.0,14.0,16.0,37.0,75.0,31.0,45.0,62.0,9.0,90.0,17.0
196,0.0,6.0,8.0,12.0,4.0,54.0,10.0,26.0,2.0,51.0,9.0,22.0,3.0,23.0,43.0,106.0,5.0,7.0,67.0,20.0,27.0,1.0,28.0,73.0,138.0,19.0,33.0,16.0,42.0,96.0
245,0.0,1.0,23.0,5.0,7.0,3.0,6.0,9.0,2.0,14.0,31.0,44.0,30.0,11.0,22.0,32.0,21.0,50.0,18.0,4.0,12.0,13.0,28.0,37.0,69.0,33.0,93.0,49.0,99.0,46.0
294,0.0,17.0,6.0,103.0,3.0,30.0,7.0,8.0,1.0,18.0,56.0,47.0,11.0,19.0,16.0,42.0,5.0,22.0,43.0,23.0,4.0,2.0,113.0,138.0,63.0,24.0,37.0,46.0,128.0,15.0
343,0.0,8.0,10.0,6.0,16.0,4.0,11.0,28.0,3.0,104.0,21.0,25.0,34.0,60.0,15.0,24.0,5.0,14.0,36.0,35.0,1.0,7.0,20.0,161.0,70.0,110.0,23.0,44.0,49.0,12.0
392,2.0,0.0,57.0,7.0,10.0,6.0,8.0,5.0,1.0,21.0,3.0,14.0,13.0,87.0,56.0,25.0,4.0,33.0,103.0,12.0,45.0,59.0,17.0,133.0,84.0,48.0,35.0,29.0,92.0,79.0
441,0.0,16.0,29.0,4.0,6.0,3.0,5.0,18.0,1.0,7.0,2.0,23.0,20.0,25.0,38.0,24.0,9.0,17.0,45.0,21.0,10.0,8.0,11.0,12.0,66.0,56.0,43.0,77.0,76.0,61.0
