,Cyclin_D1,Porin,BRCA2,c-Myc,IRS1,C-Raf(MP05-739),Fibronectin,p38_MAPK,Caspase-7_cleavedD198,TFRC,RAD51,VEGFR2,ACC1,HSP70,P-Cadherin,alpha-Catenin,B-Raf,PI3K-p85,PI3K-p110-alpha,Paxillin,PDK1,PDCD4,p90RSK_pT359_S363,PEA15_pS116,PEA15,PDK1_pS241,PAI-1,p62 Lck ligand,p21,p90RSK_pT573
6,0.0,9.0,103.0,7.0,139.0,10.0,158.0,20.0,107.0,8.0,80.0,32.0,28.0,136.0,21.0,36.0,37.0,77.0,25.0,18.0,40.0,17.0,41.0,42.0,39.0,38.0,45.0,49.0,4.0,46.0
55,14.0,0.0,43.0,148.0,9.0,130.0,108.0,18.0,128.0,25.0,30.0,21.0,85.0,10.0,5.0,40.0,38.0,33.0,58.0,1.0,64.0,34.0,68.0,59.0,62.0,63.0,45.0,27.0,4.0,69.0
104,151.0,15.0,14.0,2.0,33.0,0.0,158.0,7.0,104.0,3.0,6.0,8.0,29.0,135.0,35.0,32.0,38.0,4.0,43.0,5.0,22.0,51.0,13.0,45.0,47.0,56.0,53.0,12.0,34.0,48.0
153,4.0,3.0,42.0,0.0,1.0,5.0,108.0,101.0,15.0,30.0,26.0,31.0,51.0,13.0,136.0,36.0,41.0,56.0,55.0,23.0,60.0,24.0,63.0,57.0,58.0,59.0,61.0,21.0,20.0,62.0
202,3.0,18.0,1.0,4.0,6.0,10.0,157.0,24.0,105.0,31.0,30.0,35.0,9.0,135.0,7.0,32.0,110.0,19.0,64.0,21.0,20.0,44.0,41.0,62.0,50.0,46.0,42.0,22.0,54.0,47.0
251,20.0,3.0,10.0,1.0,37.0,5.0,160.0,41.0,22.0,2.0,16.0,34.0,35.0,23.0,29.0,39.0,28.0,24.0,55.0,4.0,48.0,49.0,9.0,44.0,46.0,57.0,51.0,58.0,47.0,53.0
300,8.0,7.0,28.0,105.0,24.0,12.0,20.0,48.0,13.0,34.0,14.0,36.0,4.0,3.0,25.0,1.0,5.0,18.0,90.0,43.0,45.0,23.0,41.0,64.0,91.0,63.0,42.0,47.0,53.0,46.0
349,20.0,19.0,1.0,0.0,4.0,119.0,161.0,38.0,14.0,7.0,6.0,2.0,32.0,39.0,30.0,35.0,110.0,36.0,44.0,10.0,23.0,55.0,42.0,46.0,49.0,51.0,48.0,52.0,54.0,47.0
398,3.0,1.0,12.0,101.0,39.0,15.0,20.0,41.0,24.0,8.0,7.0,4.0,122.0,34.0,0.0,35.0,40.0,43.0,49.0,5.0,57.0,54.0,26.0,50.0,51.0,55.0,52.0,45.0,46.0,11.0
447,6.0,16.0,29.0,105.0,138.0,0.0,20.0,3.0,4.0,86.0,11.0,37.0,32.0,23.0,1.0,41.0,38.0,66.0,22.0,46.0,48.0,47.0,43.0,91.0,65.0,49.0,45.0,51.0,26.0,50.0
