,DPP6_DEL,GSTTP1_AMP,SIRPB1_AMP,HERC2P2_AMP,CDC73_AMP,CERS6_DEL,HLA-DRB6_AMP,NF1P2_AMP,POTEB_AMP,GSTTP2_AMP,OR51A4_DEL,MYH1_MUT,OR51A2_DEL,USP32P2_DEL,GSTM1_DEL,HLA-DRB1_AMP,ARHGEF5_AMP,JAK2_AMP,SESTD1_AMP,LOC643650_DEL,MYO3B_MUT,NRXN1_DEL,HEATR4_DEL,LPA_AMP,BMPR2_AMP,EP300_MUT,ADAM6_AMP,APOBEC3A_B_DEL,LOC348120_AMP,KIAA0125_AMP
30,16.0,11.0,1.0,22.0,40.0,4.0,0.0,8.0,9.0,38.0,70.0,20.0,247.0,14.0,80.0,2.0,152.0,731.0,15.0,12.0,161.0,34.0,289.0,45.0,27.0,39.0,5.0,7.0,6.0,3.0
79,8.0,12.0,6.0,71.0,21.0,3.0,2.0,88.0,87.0,119.0,13.0,26.0,93.0,37.0,35.0,7.0,116.0,100.0,15.0,9.0,107.0,18.0,10.0,14.0,29.0,27.0,190.0,128.0,68.0,225.0
128,56.0,14.0,0.0,119.0,87.0,9.0,54.0,134.0,135.0,26.0,39.0,10.0,35.0,8.0,11.0,94.0,273.0,133.0,1.0,24.0,90.0,57.0,120.0,81.0,34.0,30.0,3.0,13.0,100.0,4.0
177,241.0,10.0,4.0,1.0,13.0,8.0,20.0,35.0,36.0,352.0,17.0,5.0,6.0,25.0,29.0,37.0,55.0,146.0,2.0,58.0,22.0,186.0,191.0,289.0,85.0,86.0,65.0,89.0,24.0,53.0
226,11.0,4.0,0.0,79.0,212.0,31.0,56.0,2.0,1.0,91.0,39.0,36.0,93.0,6.0,72.0,18.0,4209.0,240.0,173.0,17.0,8.0,13.0,27.0,154.0,10.0,19.0,46.0,354.0,5.0,59.0
275,74.0,15.0,2.0,0.0,9.0,6.0,3.0,34.0,33.0,134.0,10.0,14.0,20.0,158.0,412.0,8.0,24.0,78.0,1.0,65.0,1404.0,815.0,84.0,43.0,28.0,42.0,5.0,12.0,19.0,4.0
324,29.0,7.0,2.0,0.0,109.0,12.0,37.0,61.0,60.0,3.0,81.0,10.0,17.0,43.0,147.0,74.0,108.0,97.0,1.0,32.0,49.0,31.0,35.0,71.0,30.0,20.0,14.0,33.0,34.0,9.0
373,17.0,7.0,0.0,61.0,10.0,2.0,71.0,56.0,57.0,14.0,65.0,32.0,59.0,35.0,19.0,168.0,48.0,58.0,1.0,22.0,55.0,128.0,26.0,34.0,13.0,11.0,20.0,18.0,40.0,23.0
422,53.0,90.0,2.0,7.0,73.0,5.0,17.0,109.0,110.0,649.0,107.0,28.0,49.0,4.0,1857.0,24.0,64.0,93.0,20.0,59.0,108.0,130.0,6.0,34.0,180.0,19.0,99.0,139.0,98.0,63.0
471,3.0,18.0,23.0,117.0,52.0,11.0,30.0,111.0,110.0,1242.0,35.0,17.0,4.0,39.0,651.0,42.0,47.0,201.0,0.0,24.0,115.0,284.0,179.0,171.0,20.0,125.0,36.0,100.0,64.0,31.0
520,0.0,20.0,251.0,46.0,90.0,40.0,236.0,7.0,8.0,26.0,56.0,65.0,45.0,1.0,70.0,69.0,62.0,21.0,71.0,24.0,32.0,14.0,3.0,35.0,22.0,28.0,78.0,37.0,25.0,123.0
569,0.0,58.0,34.0,139.0,56.0,63.0,101.0,4.0,5.0,1060.0,249.0,81.0,46.0,2.0,431.0,31.0,19.0,32.0,96.0,17.0,16.0,13.0,3.0,234.0,42.0,147.0,76.0,62.0,11.0,75.0
