,MEK1_pS217_S221,Porin,PTEN,SCD1,HER3,p90RSK_pT359_S363,AMPK_pT172,GATA3,Notch1,4E-BP1_pS65,CD31,PREX1,Cyclin_D1,Bax,EGFR,Smac,PDCD4,GAPDH,SF2,14-3-3_beta,MAPK_pT202_Y204,Bcl-2,VAV1,XBP1,ACC1,GSK-3-BETA,eEF2K,MSH6,RSK1-2-3,VHL
2,0.0,2.0,1.0,4.0,7.0,9.0,12.0,3.0,29.0,8.0,15.0,14.0,23.0,20.0,10.0,13.0,44.0,6.0,18.0,32.0,31.0,55.0,5.0,46.0,17.0,34.0,21.0,19.0,53.0,42.0
51,3.0,1.0,0.0,2.0,14.0,21.0,11.0,8.0,25.0,4.0,20.0,10.0,31.0,13.0,5.0,7.0,15.0,9.0,16.0,36.0,47.0,22.0,17.0,62.0,58.0,57.0,63.0,6.0,52.0,49.0
100,2.0,3.0,0.0,11.0,14.0,6.0,26.0,9.0,1.0,10.0,27.0,24.0,22.0,32.0,4.0,8.0,13.0,5.0,12.0,16.0,17.0,25.0,7.0,87.0,58.0,47.0,73.0,39.0,38.0,19.0
149,2.0,1.0,0.0,5.0,17.0,9.0,29.0,10.0,25.0,15.0,35.0,6.0,23.0,21.0,43.0,7.0,20.0,22.0,26.0,3.0,8.0,11.0,4.0,36.0,16.0,34.0,33.0,12.0,82.0,75.0
198,0.0,4.0,1.0,7.0,8.0,2.0,48.0,33.0,17.0,5.0,13.0,26.0,16.0,3.0,6.0,11.0,24.0,10.0,39.0,68.0,18.0,25.0,15.0,29.0,63.0,60.0,20.0,14.0,44.0,52.0
247,2.0,1.0,3.0,4.0,5.0,8.0,22.0,11.0,21.0,10.0,15.0,6.0,17.0,16.0,7.0,12.0,38.0,9.0,14.0,20.0,42.0,18.0,0.0,35.0,19.0,31.0,28.0,13.0,52.0,32.0
296,0.0,2.0,1.0,4.0,15.0,6.0,10.0,5.0,23.0,20.0,18.0,9.0,43.0,21.0,17.0,11.0,16.0,7.0,14.0,47.0,65.0,27.0,3.0,39.0,25.0,33.0,19.0,13.0,54.0,26.0
345,1.0,2.0,0.0,5.0,17.0,6.0,32.0,11.0,23.0,4.0,25.0,10.0,29.0,18.0,16.0,9.0,7.0,8.0,14.0,15.0,33.0,22.0,3.0,48.0,20.0,26.0,30.0,13.0,64.0,62.0
394,1.0,4.0,0.0,2.0,11.0,6.0,34.0,13.0,25.0,7.0,14.0,16.0,19.0,29.0,9.0,5.0,17.0,18.0,47.0,27.0,15.0,12.0,3.0,50.0,20.0,30.0,58.0,10.0,22.0,68.0
443,0.0,9.0,1.0,3.0,8.0,4.0,28.0,16.0,23.0,12.0,5.0,30.0,27.0,10.0,15.0,40.0,37.0,6.0,21.0,32.0,45.0,14.0,2.0,54.0,46.0,44.0,78.0,11.0,7.0,59.0
492,3.0,4.0,0.0,1.0,5.0,12.0,8.0,9.0,45.0,7.0,15.0,23.0,2.0,6.0,11.0,21.0,32.0,70.0,14.0,17.0,18.0,37.0,74.0,16.0,36.0,28.0,13.0,24.0,20.0,94.0
541,4.0,3.0,0.0,1.0,10.0,9.0,2.0,37.0,5.0,12.0,25.0,55.0,14.0,19.0,17.0,33.0,22.0,89.0,13.0,7.0,6.0,32.0,53.0,8.0,29.0,11.0,15.0,67.0,26.0,63.0
590,1.0,5.0,7.0,0.0,4.0,6.0,14.0,25.0,8.0,10.0,13.0,17.0,3.0,15.0,30.0,24.0,60.0,100.0,9.0,21.0,2.0,40.0,35.0,12.0,53.0,20.0,47.0,26.0,46.0,48.0
639,8.0,5.0,2.0,0.0,12.0,3.0,6.0,31.0,14.0,1.0,11.0,21.0,4.0,15.0,16.0,43.0,27.0,116.0,9.0,10.0,13.0,33.0,61.0,23.0,41.0,19.0,7.0,56.0,18.0,50.0
688,2.0,3.0,1.0,0.0,7.0,5.0,8.0,20.0,44.0,11.0,13.0,21.0,4.0,10.0,9.0,27.0,19.0,101.0,15.0,16.0,6.0,42.0,32.0,14.0,60.0,59.0,12.0,46.0,39.0,33.0
737,1.0,5.0,0.0,2.0,8.0,18.0,6.0,16.0,32.0,4.0,37.0,50.0,10.0,3.0,17.0,35.0,53.0,111.0,14.0,9.0,11.0,29.0,38.0,19.0,20.0,7.0,27.0,73.0,68.0,58.0
786,5.0,10.0,2.0,3.0,15.0,4.0,0.0,12.0,21.0,6.0,16.0,33.0,1.0,7.0,18.0,11.0,43.0,148.0,14.0,19.0,8.0,38.0,42.0,13.0,31.0,25.0,41.0,71.0,9.0,17.0
835,2.0,3.0,0.0,1.0,11.0,14.0,5.0,8.0,22.0,21.0,31.0,7.0,4.0,10.0,75.0,13.0,29.0,78.0,9.0,39.0,18.0,12.0,15.0,52.0,20.0,24.0,6.0,40.0,19.0,50.0
884,0.0,4.0,1.0,5.0,7.0,12.0,11.0,34.0,10.0,3.0,9.0,28.0,2.0,20.0,18.0,26.0,40.0,89.0,8.0,15.0,6.0,13.0,70.0,16.0,55.0,14.0,19.0,29.0,22.0,48.0
933,1.0,3.0,2.0,0.0,6.0,9.0,8.0,18.0,12.0,11.0,13.0,40.0,7.0,5.0,10.0,23.0,41.0,97.0,16.0,14.0,4.0,92.0,15.0,19.0,31.0,17.0,26.0,36.0,22.0,27.0
982,0.0,2.0,5.0,1.0,3.0,8.0,43.0,4.0,6.0,28.0,7.0,51.0,24.0,65.0,33.0,23.0,19.0,10.0,53.0,57.0,11.0,16.0,25.0,17.0,49.0,22.0,75.0,52.0,54.0,41.0
1031,3.0,0.0,2.0,4.0,6.0,21.0,24.0,14.0,64.0,34.0,13.0,17.0,10.0,20.0,39.0,12.0,9.0,8.0,88.0,36.0,5.0,16.0,18.0,19.0,25.0,48.0,32.0,15.0,27.0,91.0
1080,1.0,5.0,10.0,0.0,3.0,6.0,34.0,4.0,20.0,50.0,7.0,38.0,2.0,15.0,22.0,14.0,67.0,8.0,71.0,33.0,13.0,32.0,31.0,21.0,17.0,36.0,28.0,39.0,41.0,61.0
1129,0.0,6.0,10.0,1.0,4.0,2.0,25.0,3.0,27.0,32.0,7.0,23.0,15.0,20.0,21.0,28.0,8.0,16.0,84.0,46.0,5.0,11.0,39.0,42.0,14.0,9.0,19.0,29.0,63.0,75.0
1178,0.0,4.0,2.0,3.0,10.0,8.0,31.0,11.0,53.0,45.0,6.0,30.0,1.0,15.0,52.0,18.0,13.0,5.0,51.0,48.0,7.0,12.0,22.0,24.0,20.0,14.0,55.0,23.0,21.0,38.0
1227,0.0,4.0,2.0,10.0,6.0,1.0,30.0,12.0,36.0,17.0,8.0,23.0,3.0,27.0,18.0,7.0,21.0,20.0,91.0,57.0,24.0,46.0,56.0,39.0,47.0,31.0,26.0,9.0,35.0,11.0
1276,1.0,2.0,15.0,0.0,12.0,6.0,16.0,9.0,23.0,42.0,8.0,35.0,7.0,27.0,5.0,21.0,19.0,4.0,36.0,31.0,10.0,41.0,38.0,24.0,59.0,13.0,40.0,14.0,51.0,46.0
1325,5.0,0.0,23.0,4.0,2.0,6.0,25.0,1.0,26.0,29.0,8.0,11.0,10.0,14.0,32.0,21.0,19.0,12.0,53.0,43.0,3.0,16.0,65.0,22.0,27.0,24.0,31.0,30.0,20.0,68.0
1374,0.0,1.0,10.0,3.0,6.0,16.0,42.0,17.0,15.0,22.0,9.0,11.0,2.0,14.0,25.0,23.0,12.0,13.0,52.0,33.0,4.0,38.0,18.0,26.0,19.0,31.0,36.0,27.0,50.0,40.0
1423,1.0,0.0,4.0,2.0,3.0,20.0,25.0,9.0,23.0,53.0,11.0,58.0,14.0,7.0,26.0,24.0,13.0,16.0,64.0,43.0,5.0,10.0,52.0,33.0,21.0,18.0,28.0,51.0,66.0,27.0
1472,1.0,3.0,5.0,2.0,14.0,27.0,0.0,28.0,17.0,12.0,4.0,18.0,7.0,16.0,8.0,9.0,34.0,30.0,40.0,10.0,39.0,43.0,29.0,21.0,19.0,68.0,87.0,6.0,26.0,11.0
1521,1.0,2.0,4.0,0.0,6.0,22.0,5.0,7.0,26.0,8.0,3.0,9.0,23.0,12.0,24.0,11.0,18.0,13.0,21.0,10.0,44.0,14.0,15.0,47.0,17.0,30.0,55.0,27.0,41.0,32.0
1570,0.0,5.0,2.0,8.0,3.0,33.0,13.0,18.0,25.0,6.0,17.0,1.0,7.0,11.0,15.0,20.0,16.0,37.0,27.0,4.0,30.0,14.0,10.0,21.0,26.0,107.0,130.0,9.0,19.0,29.0
1619,5.0,1.0,3.0,0.0,16.0,8.0,2.0,35.0,17.0,9.0,10.0,6.0,4.0,11.0,33.0,14.0,27.0,13.0,29.0,19.0,48.0,22.0,88.0,7.0,24.0,77.0,76.0,28.0,18.0,12.0
1668,2.0,4.0,1.0,0.0,6.0,22.0,3.0,36.0,13.0,38.0,7.0,10.0,5.0,12.0,14.0,29.0,19.0,9.0,25.0,8.0,43.0,59.0,17.0,27.0,21.0,80.0,94.0,15.0,28.0,11.0
